HDR HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA,Date,Time Step,CCGT,Oil,Coal,Nucear,Wind,Pumped Storage,Hydro (non pumped storage),OCGT,Other,France,Northern Ireland,Netherlands,Ireland,Biomass,Belgium
FUELHH,20180928,1,6575,0,539,6803,5500,0,613,0,121,1554,184,772,314,1627,0
FUELHH,20180928,2,6097,0,539,6800,5496,0,610,0,121,1554,250,772,462,1630,0
FUELHH,20180928,3,6251,0,539,6794,5092,0,568,0,121,1504,186,766,408,1630,0
FUELHH,20180928,4,6791,0,539,6796,4726,0,584,0,121,1504,220,766,322,1627,0
FUELHH,20180928,5,6785,0,539,6800,4481,0,586,0,121,1504,232,766,304,1628,0
FUELHH,20180928,6,6889,0,539,6796,4176,0,588,0,121,1504,158,766,432,1633,0
FUELHH,20180928,7,6828,0,539,6798,4020,0,589,0,121,1504,158,766,430,1633,0
FUELHH,20180928,8,6884,0,539,6804,4017,0,607,0,121,1504,158,766,352,1634,0
FUELHH,20180928,9,6683,0,527,6810,4074,0,626,0,121,1504,158,758,400,1634,0
FUELHH,20180928,10,6954,0,538,6807,3906,0,628,0,121,1504,158,758,416,1633,0
FUELHH,20180928,11,6838,0,711,6807,3889,0,621,0,121,1504,158,758,468,1631,0
FUELHH,20180928,12,7037,0,1205,6807,3783,0,641,0,121,1510,224,758,378,1858,0
FUELHH,20180928,13,9443,0,1624,6807,3695,0,898,0,121,684,180,948,232,1949,0
FUELHH,20180928,14,11743,0,1842,6801,3926,202,903,0,121,664,60,950,80,2171,0
FUELHH,20180928,15,13169,0,2315,6802,3935,412,919,0,121,1888,0,848,0,2236,0
FUELHH,20180928,16,13512,0,2668,6804,3970,928,922,0,121,1896,0,846,0,2245,0
FUELHH,20180928,17,13326,0,2936,6805,3863,1040,939,0,121,1996,0,1056,0,2247,0
FUELHH,20180928,18,13276,0,3057,6807,3806,716,952,0,121,1998,0,1058,0,2244,0
FUELHH,20180928,19,13325,0,3183,6802,3694,616,943,0,121,1998,0,912,0,2244,0
FUELHH,20180928,20,13408,0,2834,6800,3524,436,875,0,121,1998,0,910,0,2243,0
FUELHH,20180928,21,13341,0,2821,6802,3324,290,747,0,121,1998,0,824,0,2229,0
