HDR HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA,Date,Time Step,CCGT,Oil,Coal,Nucear,Wind,Pumped Storage,Hydro (non pumped storage),OCGT,Other,France,Northern Ireland,Netherlands,Ireland,Biomass,Belgium
FUELHH,20180630,1,8699,0,63,7338,3949,0,21,0,0,1700,38,854,298,1300,0
FUELHH,20180630,2,8003,0,208,7333,3778,0,20,0,0,1700,84,854,444,1293,0
FUELHH,20180630,3,7805,0,247,7334,3420,0,20,0,0,1700,168,854,460,1423,0
FUELHH,20180630,4,7678,0,244,7338,3043,0,20,0,0,1700,264,854,498,1416,0
FUELHH,20180630,5,7711,0,245,7336,2744,0,20,0,0,1602,270,806,504,1364,0
FUELHH,20180630,6,7549,0,243,7336,2558,0,20,0,0,1600,248,804,504,1284,0
FUELHH,20180630,7,7737,0,243,7332,2381,0,20,0,0,1602,248,804,504,1252,0
FUELHH,20180630,8,7776,0,242,7335,2278,0,20,0,0,1602,246,804,496,1254,0
FUELHH,20180630,9,7451,0,242,7334,2307,0,20,0,0,1602,232,804,504,1226,0
FUELHH,20180630,10,7110,0,242,7341,2231,0,20,0,0,1602,248,806,504,1222,0
FUELHH,20180630,11,7045,0,243,7340,2200,0,20,0,0,1602,250,804,504,1273,0
FUELHH,20180630,12,7315,0,274,7340,2108,0,20,0,0,1602,234,804,504,1262,0
FUELHH,20180630,13,7705,0,223,7340,1976,0,20,0,0,1602,296,804,504,1328,0
FUELHH,20180630,14,8291,0,221,7340,1956,0,21,0,0,1602,272,804,504,1343,0
FUELHH,20180630,15,8543,0,316,7339,2010,210,65,0,0,1602,148,804,478,1303,0
FUELHH,20180630,16,9324,0,262,7338,2001,394,86,0,0,1600,112,804,380,1304,0
FUELHH,20180630,17,9988,0,367,7335,1814,450,235,0,0,1798,0,902,238,1483,0
FUELHH,20180630,18,10417,0,485,7339,1686,402,235,0,0,1800,0,904,124,1589,0
FUELHH,20180630,19,10386,0,493,7337,1627,530,249,0,0,1800,0,904,26,1595,0
FUELHH,20180630,20,10230,0,472,7337,1566,580,250,0,0,1798,0,904,2,1604,0
FUELHH,20180630,21,10311,0,485,7332,1461,708,140,0,11,1798,0,904,0,1566,0
FUELHH,20180630,22,10335,0,491,7332,1328,560,102,0,18,1800,0,904,0,1565,0
FUELHH,20180630,23,10218,0,418,7341,1318,306,71,0,21,1702,0,854,0,1600,0
FUELHH,20180630,24,9962,0,359,7336,1393,320,54,0,24,1702,0,854,0,1420,0
FUELHH,20180630,25,9705,0,213,7336,1470,314,43,0,26,1702,0,854,0,1290,0
FUELHH,20180630,26,9408,0,38,7326,1601,434,26,0,25,1702,0,854,0,1261,0
FUELHH,20180630,27,9320,0,0,7331,1730,322,25,0,25,1702,0,854,0,1265,0
FUELHH,20180630,28,8778,0,0,7328,1784,346,25,0,25,1702,0,852,0,1248,0
FUELHH,20180630,29,8943,0,0,7331,1838,310,24,0,26,1702,0,590,0,1247,0
FUELHH,20180630,30,8816,0,0,7330,1937,300,24,0,25,1702,0,584,0,1280,0
FUELHH,20180630,31,8928,0,0,7329,2055,314,40,0,26,1702,0,326,0,1234,0
FUELHH,20180630,32,9036,0,0,7329,2178,360,54,0,26,1700,0,322,0,1247,0
FUELHH,20180630,33,9118,0,0,7333,2403,296,130,0,26,1798,0,608,54,1252,0
FUELHH,20180630,34,9610,0,0,7332,2476,470,176,0,26,1798,0,618,114,1332,0
FUELHH,20180630,35,10012,0,0,7335,2591,460,263,0,26,1896,0,942,78,1599,0
FUELHH,20180630,36,10417,0,0,7335,2666,414,273,0,26,1896,0,950,22,1663,0
FUELHH,20180630,37,10628,0,0,7339,2948,516,276,0,25,1948,0,976,8,1649,0
FUELHH,20180630,38,10832,0,0,7337,3090,602,276,0,26,1948,0,976,64,1579,0
FUELHH,20180630,39,10841,0,0,7335,3281,708,247,0,26,1948,0,976,170,1535,0
FUELHH,20180630,40,10949,0,0,7336,3557,474,219,0,26,1948,0,976,272,1432,0
FUELHH,20180630,41,10785,0,0,7332,4013,300,122,0,23,1898,0,950,234,1309,0
FUELHH,20180630,42,10153,0,0,7326,4360,382,97,0,15,1896,0,950,246,1276,0
FUELHH,20180630,43,10335,0,0,7328,4580,462,44,0,5,1896,0,950,294,1262,0
FUELHH,20180630,44,10511,0,0,7323,4533,538,40,0,0,1896,0,950,362,1257,0
FUELHH,20180630,45,10592,0,35,7327,4371,522,40,0,0,1896,0,950,438,1227,0
FUELHH,20180630,46,9682,0,170,7325,4304,290,39,0,0,1900,0,950,430,1287,0
FUELHH,20180630,47,8911,0,249,7326,4084,210,29,0,0,1604,0,808,396,1428,0
FUELHH,20180630,48,7983,0,247,7333,4007,6,21,0,0,1600,0,806,392,1417,0
FUELHH,20180701,1,6967,0,243,7328,4053,0,21,0,0,1502,102,760,412,1298,0
FUELHH,20180701,2,6216,0,242,7332,3999,0,21,0,0,1504,114,758,398,1234,0
FUELHH,20180701,3,6524,0,242,7333,3967,0,21,0,0,1060,150,712,342,1231,0
FUELHH,20180701,4,6225,0,242,7317,3903,0,21,0,0,1058,216,710,412,1223,0
FUELHH,20180701,5,6236,0,243,7327,4000,0,21,0,0,912,208,710,464,1167,0
FUELHH,20180701,6,6148,0,243,7335,4074,0,21,0,0,912,158,710,440,1213,0
FUELHH,20180701,7,6042,0,243,7333,3991,0,21,0,0,912,212,710,406,1289,0
FUELHH,20180701,8,6003,0,242,7335,3898,0,21,0,0,912,214,710,406,1228,0
FUELHH,20180701,9,6111,0,242,7335,3736,0,21,0,0,714,152,520,422,1281,0
FUELHH,20180701,10,5839,0,242,7337,3698,0,21,0,0,712,146,518,334,1426,0
FUELHH,20180701,11,5964,0,242,7332,3627,0,21,0,0,712,108,518,228,1555,0
FUELHH,20180701,12,6199,0,242,7336,3400,0,21,0,0,714,120,518,168,1579,0
FUELHH,20180701,13,6679,0,243,7340,3207,0,21,0,0,420,176,708,304,1569,0
FUELHH,20180701,14,7071,0,243,7337,3071,0,22,0,0,418,136,710,448,1579,0
FUELHH,20180701,15,7756,0,242,7336,2914,0,40,0,0,518,0,614,400,1582,0
FUELHH,20180701,16,8028,0,243,7334,2748,0,58,0,0,518,0,612,320,1574,0
FUELHH,20180701,17,8485,0,141,7334,2575,0,78,0,0,806,0,424,380,1598,0
FUELHH,20180701,18,8892,0,0,7333,2413,338,113,0,0,804,0,422,492,1580,0
FUELHH,20180701,19,9126,0,0,7333,2282,170,122,0,0,1496,0,752,382,1496,0
FUELHH,20180701,20,9143,0,0,7334,2391,442,139,0,0,1500,0,760,298,1449,0
FUELHH,20180701,21,9312,0,0,7334,2440,222,157,0,0,1600,0,806,230,1484,0
FUELHH,20180701,22,9467,0,0,7327,2326,402,162,0,0,1602,0,806,162,1503,0
FUELHH,20180701,23,9481,0,0,7334,2454,322,182,0,0,1602,0,806,182,1448,0
FUELHH,20180701,24,9573,0,0,7333,2575,266,150,0,0,1602,0,806,144,1442,0
FUELHH,20180701,25,9613,0,0,7332,2827,248,66,0,0,1600,0,806,156,1506,0
FUELHH,20180701,26,9656,0,0,7330,2919,210,56,0,0,1602,0,804,114,1499,0
FUELHH,20180701,27,9662,0,0,7324,2977,142,56,0,0,1602,0,804,110,1512,0
FUELHH,20180701,28,9326,0,0,7326,3176,142,56,0,0,1602,0,804,78,1467,0
FUELHH,20180701,29,8954,0,0,7329,3426,142,56,0,0,1602,0,804,104,1419,0
FUELHH,20180701,30,9072,0,0,7326,3577,158,56,0,0,1602,0,804,92,1249,0
FUELHH,20180701,31,9187,0,0,7326,3825,146,55,0,0,1600,0,804,24,1266,0
FUELHH,20180701,32,9183,0,0,7326,4111,204,39,0,0,1600,0,804,94,1276,0
FUELHH,20180701,33,9528,0,0,7327,4252,150,47,0,0,1796,0,704,184,1289,0
FUELHH,20180701,34,10069,0,0,7323,4255,160,67,0,0,1798,0,702,248,1309,0
FUELHH,20180701,35,10519,0,0,7329,4293,176,97,0,0,1896,0,946,272,1343,0
FUELHH,20180701,36,10617,0,0,7329,4563,280,134,0,0,1896,0,952,348,1314,0
FUELHH,20180701,37,11014,0,0,7329,4627,266,202,0,0,1996,0,1000,482,1463,0
FUELHH,20180701,38,11037,0,0,7327,4553,514,211,0,0,1996,0,1000,504,1563,0
FUELHH,20180701,39,11103,0,0,7332,4590,668,236,0,0,1996,0,1000,504,1504,0
FUELHH,20180701,40,11236,0,0,7338,4683,778,241,0,0,1996,0,1000,504,1403,0
FUELHH,20180701,41,11197,0,0,7335,4939,638,237,0,0,1898,0,952,504,1371,0
FUELHH,20180701,42,11056,0,0,7332,4830,624,218,0,0,1896,0,952,504,1374,0
FUELHH,20180701,43,11084,0,0,7331,4483,704,193,0,0,1896,82,940,504,1369,0
FUELHH,20180701,44,11157,0,0,7331,4256,534,184,0,0,1898,126,940,504,1392,0
FUELHH,20180701,45,11399,0,31,7326,4028,876,115,0,0,1702,188,852,504,1408,0
FUELHH,20180701,46,10840,0,168,7326,3805,184,116,0,0,1702,190,850,504,1364,0
FUELHH,20180701,47,9883,0,248,7323,3666,0,86,0,0,1410,190,714,504,1366,0
FUELHH,20180701,48,8607,0,243,7322,3561,0,71,0,6,1404,190,710,504,1370,0
FUELHH,20180702,1,7802,0,243,7316,3410,0,39,0,15,1208,190,616,504,1380,0
FUELHH,20180702,2,7406,0,241,7325,3291,0,38,0,18,1206,190,614,504,1403,0
FUELHH,20180702,3,7157,0,241,7328,3086,0,38,0,21,1206,190,614,504,1373,0
FUELHH,20180702,4,6943,0,241,7325,3041,0,37,0,24,1206,190,614,504,1384,0
FUELHH,20180702,5,6839,0,243,7329,2993,0,37,0,25,1206,190,614,504,1396,0
FUELHH,20180702,6,6780,0,242,7326,2921,0,36,0,25,1206,190,614,504,1384,0
FUELHH,20180702,7,7239,0,242,7323,2704,0,36,0,25,1206,190,614,500,1398,0
FUELHH,20180702,8,7545,0,241,7326,2467,0,36,0,25,1206,190,614,504,1417,0
FUELHH,20180702,9,7487,0,243,7331,2316,0,36,0,24,1206,190,614,504,1408,0
