,col,,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,4,,
7,0,,
8,5.5,,
9,326.5,,
10,776.5,,
11,1285,,
12,1855,,
13,1502.5,,
14,1051,,
15,252.5,,
16,1,,
17,0.5,,
18,0,,
19,0,,
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,4.5,,
33,46,,
34,176,,
35,337,,
36,479,,
37,510.5,,
38,228.5,,
39,27.5,,
40,10.5,,
41,3.5,,
42,0,,
43,0,,
44,0,,
45,0,,
46,0,,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,16.5,,
57,604,,
58,1415,,
59,1785,,
60,2010,,
61,1531,,
62,771.5,,
63,102,,
64,7,,
65,5,,
66,0.5,,
67,0,,
68,0,,
69,0,,
70,0,,
71,0,,
72,0,,
73,0,,
74,0,,
75,0,,
76,0,,
77,0,,
78,0,,
79,0,,
80,64,,
81,180,,
82,657.5,,
83,969.5,,
84,1150,,
85,1310,,
86,892,,
87,271,,
88,0.5,,
89,0,,
90,0,,
91,0,,
92,0,,
93,0,,
94,0,,
95,0,,
96,0,,
97,0,,
98,0,,
99,0,,
100,0,,
101,0,,
102,0,,
103,0,,
104,29,,
105,499.5,,
106,1265,,
107,1885,,
108,2045,,
109,1511.5,,
110,1052,,
111,220,,
112,5,,
113,5,,
114,2,,
115,0,,
116,0,,
117,0,,
118,0,,
119,0,,
120,0,,
121,0,,
122,0,,
123,0,,
124,0,,
125,0,,
126,0,,
127,0,,
128,71.75,,
129,459,,
130,1275,,
131,1785,,
132,1765,,
133,1598.5,,
134,922.5,,
135,243.5,,
136,6,,
137,1,,
138,0.5,,
139,0,,
140,0,,
141,0,,
142,0,,
143,0,,
144,0,,
145,0,,
146,0,,
147,0,,
148,0,,
149,0,,
150,0,,
151,0,,
152,116.5,,
153,1218,,
154,2690,,
155,3675,,
156,4170,,
157,3257.5,,
158,2595,,
159,784.5,,
160,15.5,,
161,2,,
162,0.5,,
163,0,,
164,0,,
165,0,,
166,0,,
167,0,,
168,0,,
169,0,,
170,0,,
171,0,,
172,0,,
173,0,,
174,0,,
175,0,,
176,30,,
177,496.5,,
178,1090,,
179,1255,,
180,1130,,
181,1049.5,,
182,379,,
183,48.5,,
184,0,,
185,0,,
186,0,,
187,0,,
188,0,,
189,0,,
190,0,,
191,0,,
192,0,,
193,0,,
194,0,,
195,0,,
196,0,,
197,0,,
198,0,,
199,1,,
200,50,,
201,42.5,,
202,180.5,,
203,291,,
204,351,,
205,552,,
206,144,,
207,24.5,,
208,0,,
209,0,,
210,0,,
211,0,,
212,0,,
213,0,,
214,0,,
215,0,,
216,0,,
217,0,,
218,0,,
219,0,,
220,0,,
221,0,,
222,0,,
223,0,,
224,90.5,,
225,852,,
226,1850,,
227,2480,,
228,2880,,
229,2180.5,,
230,1595,,
231,534.5,,
232,9,,
233,2.5,,
234,0,,
235,0,,
236,0,,
237,0,,
238,0,,
239,0,,
240,0,,
241,0,,
242,0,,
243,0,,
244,0,,
245,0,,
246,0,,
247,0,,
248,40.5,,
249,433,,
250,1093,,
251,1625,,
252,1795,,
253,1524.5,,
254,1032.5,,
255,326,,
256,10,,
257,0.5,,
258,0,,
259,0,,
260,0,,
261,0,,
262,0,,
263,0,,
264,0,,
265,0,,
266,0,,
267,0,,
268,0,,
269,0,,
270,0,,
271,0,,
272,35.5,,
273,317.5,,
274,727,,
275,1095,,
276,1160,,
277,1270.5,,
278,665,,
279,183.75,,
280,1.5,,
281,0,,
282,0,,
283,0,,
284,0,,
285,0,,
286,0,,
287,0,,
288,0,,
289,0,,
290,0,,
291,0,,
292,0,,
293,0,,
294,0,,
295,1.5,,
296,27,,
297,201,,
298,493,,
299,722.5,,
300,715.5,,
301,554.5,,
302,336,,
303,90.5,,
304,1.5,,
305,0,,
306,0,,
307,0,,
308,0,,
309,0,,
310,0,,
311,0,,
312,0,,
313,0,,
314,0,,
315,0,,
316,0,,
317,0,,
318,0,,
319,0,,
320,19.5,,
321,220,,
322,651.5,,
323,1000,,
324,1170,,
325,1005.5,,
326,604.5,,
