,col
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,4.0
7,0.0
8,5.5
9,326.5
10,776.5
11,1285.0
12,1855.0
13,1502.5
14,1051.0
15,252.5
16,1.0
17,0.5
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,4.5
33,46.0
34,176.0
35,337.0
36,479.0
37,510.5
38,228.5
39,27.5
40,10.5
41,3.5
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,16.5
57,604.0
58,1415.0
59,1785.0
60,2010.0
61,1531.0
62,771.5
63,102.0
64,7.0
65,5.0
66,0.5
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,64.0
81,180.0
82,657.5
83,969.5
84,1150.0
85,1310.0
86,892.0
87,271.0
88,0.5
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,29.0
105,499.5
106,1265.0
107,1885.0
108,2045.0
109,1511.5
110,1052.0
111,220.0
112,5.0
113,5.0
114,2.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,71.75
129,459.0
130,1275.0
131,1785.0
132,1765.0
133,1598.5
134,922.5
135,243.5
136,6.0
137,1.0
138,0.5
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,116.5
153,1218.0
154,2690.0
155,3675.0
156,4170.0
157,3257.5
158,2595.0
159,784.5
160,15.5
161,2.0
162,0.5
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,30.0
177,496.5
178,1090.0
179,1255.0
180,1130.0
181,1049.5
182,379.0
183,48.5
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,1.0
200,50.0
201,42.5
202,180.5
203,291.0
204,351.0
205,552.0
206,144.0
207,24.5
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,90.5
225,852.0
226,1850.0
227,2480.0
228,2880.0
229,2180.5
230,1595.0
231,534.5
232,9.0
233,2.5
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,40.5
249,433.0
250,1093.0
251,1625.0
252,1795.0
253,1524.5
254,1032.5
255,326.0
256,10.0
257,0.5
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,35.5
273,317.5
274,727.0
275,1095.0
276,1160.0
277,1270.5
278,665.0
279,183.75
280,1.5
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,1.5
296,27.0
297,201.0
298,493.0
299,722.5
300,715.5
301,554.5
302,336.0
303,90.5
304,1.5
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,19.5
321,220.0
322,651.5
323,1000.0
324,1170.0
325,1005.5
326,604.5
327,183.5
328,3.5
329,1.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,1.5
343,0.0
344,12.5
345,160.0
346,528.5
347,955.0
348,1295.0
349,1198.5
350,1149.0
351,516.5
352,16.5
353,0.5
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,195.0
369,1229.0
370,2385.0
371,3165.0
372,3095.0
373,2085.0
374,1078.0
375,290.0
376,7.5
377,3.5
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,239.0
393,1555.0
394,2870.0
395,3665.0
396,3495.0
397,2526.0
398,1760.0
399,611.0
400,13.5
401,0.5
402,0.5
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,1.5
415,0.5
416,236.5
417,1355.0
418,2555.0
419,2965.0
420,2420.0
421,1951.5
422,1390.0
423,563.5
424,34.0
425,5.0
426,3.5
427,1.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,1.5
439,1.0
440,339.5
441,1685.0
442,3045.0
443,3780.0
444,3745.0
445,2746.5
446,1970.0
447,763.5
448,28.5
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,1.5
464,22.5
465,237.0
466,589.0
467,819.0
468,823.5
469,681.0
470,768.5
471,418.5
472,20.5
473,1.0
474,0.5
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,16.0
489,147.0
490,319.0
491,382.0
492,352.5
493,258.5
494,174.0
495,46.5
496,1.5
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,92.5
513,811.0
514,1730.0
515,2395.0
516,2320.0
517,1938.5
518,1083.0
519,316.5
520,17.5
521,5.0
522,0.5
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,1.0
535,0.0
536,18.5
537,193.0
538,391.5
539,884.0
540,1115.0
541,1059.5
542,732.5
543,291.5
544,16.5
545,0.5
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
