,col
0,3800.9475
1,3821.2889999999998
2,3800.455
3,3773.4075000000003
4,3732.5460000000003
5,3675.2255
6,3624.5434999999998
7,3629.4790000000003
8,3414.7705
9,3087.8625
10,3015.906
11,2916.6275
12,2717.3475
13,2070.34
14,2014.3445
15,1946.505
16,2292.6435
17,3057.408
18,2874.6235
19,3180.1575000000003
20,3466.4275
21,3411.2830000000004
22,3486.4545
23,3538.8675000000003
24,3328.92
25,3324.666
26,3198.8559999999998
27,2871.4525000000003
28,2714.3334999999997
29,2488.8485
30,2568.5155
31,2323.324
32,2401.3375
33,2603.556
34,2292.5805
35,2435.8745
36,2959.499
37,3299.9705000000004
38,3524.9215
39,3581.785
40,3050.248
41,3257.1865
42,3226.8765000000003
43,3340.712
44,3498.053
45,3534.3125
46,3240.1274999999996
47,3150.4565000000002
48,3142.1975
49,3095.239
50,3159.9804999999997
51,3126.101
52,3319.844
53,3510.691
54,3392.9094999999998
55,3393.7825000000003
56,3625.4755
57,3680.469
58,3662.2075
59,3710.319
60,3742.0485
61,3791.114
62,3812.7895
63,3807.522
64,3784.2960000000003
65,3812.8684999999996
66,3804.6724999999997
67,3766.9615000000003
68,3802.3925
69,3788.065
70,3733.074
71,3671.5405
72,3544.5424999999996
73,3503.0095
74,3231.9345000000003
75,2924.6075
76,2267.4170000000004
77,2118.2574999999997
78,1818.078
79,1352.7089999999998
80,1323.4940000000001
81,1474.1460000000002
82,1254.937
83,1518.446
84,2693.1625000000004
85,3275.0935
86,3337.8199999999997
87,3453.6515
88,3522.375
89,3573.7830000000004
90,3559.5280000000002
91,3508.355
92,3509.237
93,3534.6775
94,3147.0615
95,2743.217
96,2251.724
97,1772.637
98,1508.455
99,1460.1734999999999
100,1151.3745
101,1146.979
102,1262.1585
103,1300.8964999999998
104,944.7750000000001
105,788.251
106,1000.9135
107,1116.5055
108,1128.4005
109,1231.9005
110,1313.6535
111,1329.5895
112,1336.9085
113,1339.145
114,1405.1985
115,1396.069
116,1067.8029999999999
117,786.3175
118,578.6845000000001
119,467.78700000000003
120,408.856
121,585.0885000000001
122,685.498
123,730.8525
124,951.3195000000001
125,1301.0345
126,1371.286
127,1407.5230000000001
128,1691.0430000000001
129,1956.7365
130,2151.533
