Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00204374,Wind generation,"Wind Onshore",2018-04-14,48,2031.027
NGET-EMFIP-AGWS-TS-00204373,Wind generation,"Wind Offshore",2018-04-14,48,1149.702
NGET-EMFIP-AGWS-TS-00204372,Solar generation,"Solar",2018-04-14,48,0
NGET-EMFIP-AGWS-TS-00204371,Wind generation,"Wind Onshore",2018-04-14,47,1971.619
NGET-EMFIP-AGWS-TS-00204370,Wind generation,"Wind Offshore",2018-04-14,47,1104.511
NGET-EMFIP-AGWS-TS-00204369,Solar generation,"Solar",2018-04-14,47,0
NGET-EMFIP-AGWS-TS-00204368,Wind generation,"Wind Onshore",2018-04-14,46,1805.818
NGET-EMFIP-AGWS-TS-00204367,Wind generation,"Wind Offshore",2018-04-14,46,1177.41
NGET-EMFIP-AGWS-TS-00204366,Solar generation,"Solar",2018-04-14,46,0
NGET-EMFIP-AGWS-TS-00204365,Wind generation,"Wind Onshore",2018-04-14,45,1781.021
NGET-EMFIP-AGWS-TS-00204364,Wind generation,"Wind Offshore",2018-04-14,45,1165.764
NGET-EMFIP-AGWS-TS-00204363,Solar generation,"Solar",2018-04-14,45,0
NGET-EMFIP-AGWS-TS-00204362,Wind generation,"Wind Onshore",2018-04-14,44,1611.505
NGET-EMFIP-AGWS-TS-00204361,Wind generation,"Wind Offshore",2018-04-14,44,1080.111
NGET-EMFIP-AGWS-TS-00204360,Solar generation,"Solar",2018-04-14,44,0
NGET-EMFIP-AGWS-TS-00204359,Wind generation,"Wind Onshore",2018-04-14,43,1482.447
NGET-EMFIP-AGWS-TS-00204358,Wind generation,"Wind Offshore",2018-04-14,43,915.759
NGET-EMFIP-AGWS-TS-00204357,Solar generation,"Solar",2018-04-14,43,6
NGET-EMFIP-AGWS-TS-00204356,Wind generation,"Wind Onshore",2018-04-14,42,1249.15
NGET-EMFIP-AGWS-TS-00204355,Wind generation,"Wind Offshore",2018-04-14,42,779.882
