Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00204530,Wind generation,"Wind Onshore",2018-04-15,48,3714.164
NGET-EMFIP-AGWS-TS-00204529,Wind generation,"Wind Offshore",2018-04-15,48,1770.137
NGET-EMFIP-AGWS-TS-00204528,Solar generation,"Solar",2018-04-15,48,0
NGET-EMFIP-AGWS-TS-00204527,Wind generation,"Wind Onshore",2018-04-15,47,3825.741
NGET-EMFIP-AGWS-TS-00204526,Wind generation,"Wind Offshore",2018-04-15,47,1850.839
NGET-EMFIP-AGWS-TS-00204525,Solar generation,"Solar",2018-04-15,47,0
NGET-EMFIP-AGWS-TS-00204524,Wind generation,"Wind Onshore",2018-04-15,46,3888.128
NGET-EMFIP-AGWS-TS-00204523,Wind generation,"Wind Offshore",2018-04-15,46,1799.545
NGET-EMFIP-AGWS-TS-00204522,Solar generation,"Solar",2018-04-15,46,0
NGET-EMFIP-AGWS-TS-00204521,Wind generation,"Wind Onshore",2018-04-15,45,3938.726
NGET-EMFIP-AGWS-TS-00204520,Wind generation,"Wind Offshore",2018-04-15,45,1674.029
NGET-EMFIP-AGWS-TS-00204519,Solar generation,"Solar",2018-04-15,45,0
NGET-EMFIP-AGWS-TS-00204516,Wind generation,"Wind Onshore",2018-04-15,44,3940.306
NGET-EMFIP-AGWS-TS-00204515,Wind generation,"Wind Offshore",2018-04-15,44,1900.144
NGET-EMFIP-AGWS-TS-00204514,Solar generation,"Solar",2018-04-15,44,0
NGET-EMFIP-AGWS-TS-00204513,Wind generation,"Wind Onshore",2018-04-15,43,4025.114
NGET-EMFIP-AGWS-TS-00204512,Wind generation,"Wind Offshore",2018-04-15,43,1968.15
NGET-EMFIP-AGWS-TS-00204511,Solar generation,"Solar",2018-04-15,43,4
NGET-EMFIP-AGWS-TS-00204510,Wind generation,"Wind Onshore",2018-04-15,42,4136.66
NGET-EMFIP-AGWS-TS-00204509,Wind generation,"Wind Offshore",2018-04-15,42,1774.322
NGET-EMFIP-AGWS-TS-00204508,Solar generation,"Solar",2018-04-15,42,0
NGET-EMFIP-AGWS-TS-00204507,Wind generation,"Wind Onshore",2018-04-15,41,4122.515
NGET-EMFIP-AGWS-TS-00204506,Wind generation,"Wind Offshore",2018-04-15,41,1865.607
NGET-EMFIP-AGWS-TS-00204505,Solar generation,"Solar",2018-04-15,41,0
NGET-EMFIP-AGWS-TS-00204504,Wind generation,"Wind Onshore",2018-04-15,40,4106.083
NGET-EMFIP-AGWS-TS-00204503,Wind generation,"Wind Offshore",2018-04-15,40,1824.314
NGET-EMFIP-AGWS-TS-00204502,Solar generation,"Solar",2018-04-15,40,33
NGET-EMFIP-AGWS-TS-00204501,Wind generation,"Wind Onshore",2018-04-15,39,4046.316
