Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00202256,Wind generation,"Wind Onshore",2018-04-01,48,1203.973
NGET-EMFIP-AGWS-TS-00202255,Wind generation,"Wind Offshore",2018-04-01,48,39.75
NGET-EMFIP-AGWS-TS-00202254,Solar generation,"Solar",2018-04-01,48,0
NGET-EMFIP-AGWS-TS-00202253,Wind generation,"Wind Onshore",2018-04-01,47,2358.408
NGET-EMFIP-AGWS-TS-00202252,Wind generation,"Wind Offshore",2018-04-01,47,1398.278
NGET-EMFIP-AGWS-TS-00202251,Solar generation,"Solar",2018-04-01,47,0
NGET-EMFIP-AGWS-TS-00202250,Wind generation,"Wind Onshore",2018-04-01,46,2187.448
NGET-EMFIP-AGWS-TS-00202249,Wind generation,"Wind Offshore",2018-04-01,46,1177.599
NGET-EMFIP-AGWS-TS-00202248,Solar generation,"Solar",2018-04-01,46,0
NGET-EMFIP-AGWS-TS-00202247,Wind generation,"Wind Onshore",2018-04-01,45,1145.211
NGET-EMFIP-AGWS-TS-00202246,Wind generation,"Wind Offshore",2018-04-01,45,32.712
NGET-EMFIP-AGWS-TS-00202245,Solar generation,"Solar",2018-04-01,45,0
NGET-EMFIP-AGWS-TS-00202244,Wind generation,"Wind Onshore",2018-04-01,44,1063.406
NGET-EMFIP-AGWS-TS-00202243,Wind generation,"Wind Offshore",2018-04-01,44,29.097
NGET-EMFIP-AGWS-TS-00202242,Solar generation,"Solar",2018-04-01,44,0
NGET-EMFIP-AGWS-TS-00202241,Wind generation,"Wind Onshore",2018-04-01,43,1005.045
NGET-EMFIP-AGWS-TS-00202240,Wind generation,"Wind Offshore",2018-04-01,43,25.693
NGET-EMFIP-AGWS-TS-00202239,Solar generation,"Solar",2018-04-01,43,0
NGET-EMFIP-AGWS-TS-00202238,Wind generation,"Wind Onshore",2018-04-01,42,890.167
NGET-EMFIP-AGWS-TS-00202237,Wind generation,"Wind Offshore",2018-04-01,42,22.584
NGET-EMFIP-AGWS-TS-00202236,Solar generation,"Solar",2018-04-01,42,0
NGET-EMFIP-AGWS-TS-00202235,Wind generation,"Wind Onshore",2018-04-01,41,1493.277
NGET-EMFIP-AGWS-TS-00202234,Wind generation,"Wind Offshore",2018-04-01,41,853.277
NGET-EMFIP-AGWS-TS-00202233,Solar generation,"Solar",2018-04-01,41,0
NGET-EMFIP-AGWS-TS-00202232,Wind generation,"Wind Onshore",2018-04-01,40,1235
NGET-EMFIP-AGWS-TS-00202231,Wind generation,"Wind Offshore",2018-04-01,40,784.87
NGET-EMFIP-AGWS-TS-00202230,Solar generation,"Solar",2018-04-01,40,1
NGET-EMFIP-AGWS-TS-00202229,Wind generation,"Wind Onshore",2018-04-01,39,800.271
NGET-EMFIP-AGWS-TS-00202228,Wind generation,"Wind Offshore",2018-04-01,39,21.187
