Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00224593,Wind generation,"Wind Onshore",2018-08-14,48,2463.247
NGET-EMFIP-AGWS-TS-00224592,Wind generation,"Wind Offshore",2018-08-14,48,1582.837
NGET-EMFIP-AGWS-TS-00224591,Solar generation,"Solar",2018-08-14,48,0
NGET-EMFIP-AGWS-TS-00224590,Wind generation,"Wind Onshore",2018-08-14,47,2648.559
NGET-EMFIP-AGWS-TS-00224589,Wind generation,"Wind Offshore",2018-08-14,47,1693.328
NGET-EMFIP-AGWS-TS-00224588,Solar generation,"Solar",2018-08-14,47,0
NGET-EMFIP-AGWS-TS-00224587,Wind generation,"Wind Onshore",2018-08-14,46,2749.864
NGET-EMFIP-AGWS-TS-00224586,Wind generation,"Wind Offshore",2018-08-14,46,1677.66
NGET-EMFIP-AGWS-TS-00224585,Solar generation,"Solar",2018-08-14,46,0
NGET-EMFIP-AGWS-TS-00224584,Wind generation,"Wind Onshore",2018-08-14,45,2720.661
NGET-EMFIP-AGWS-TS-00224583,Wind generation,"Wind Offshore",2018-08-14,45,1638.733
NGET-EMFIP-AGWS-TS-00224582,Solar generation,"Solar",2018-08-14,45,3
NGET-EMFIP-AGWS-TS-00224581,Wind generation,"Wind Onshore",2018-08-14,44,2773.507
NGET-EMFIP-AGWS-TS-00224580,Wind generation,"Wind Offshore",2018-08-14,44,1522.913
NGET-EMFIP-AGWS-TS-00224579,Solar generation,"Solar",2018-08-14,44,1
NGET-EMFIP-AGWS-TS-00224571,Wind generation,"Wind Onshore",2018-08-14,43,2958.562
NGET-EMFIP-AGWS-TS-00224570,Wind generation,"Wind Offshore",2018-08-14,43,1645.845
NGET-EMFIP-AGWS-TS-00224569,Solar generation,"Solar",2018-08-14,43,84
NGET-EMFIP-AGWS-TS-00224568,Wind generation,"Wind Onshore",2018-08-14,42,3028.941
NGET-EMFIP-AGWS-TS-00224567,Wind generation,"Wind Offshore",2018-08-14,42,1644.295
NGET-EMFIP-AGWS-TS-00224566,Solar generation,"Solar",2018-08-14,42,3
NGET-EMFIP-AGWS-TS-00224565,Wind generation,"Wind Onshore",2018-08-14,41,3140.032
NGET-EMFIP-AGWS-TS-00224564,Wind generation,"Wind Offshore",2018-08-14,41,1415.427
NGET-EMFIP-AGWS-TS-00224563,Solar generation,"Solar",2018-08-14,41,26
NGET-EMFIP-AGWS-TS-00224562,Wind generation,"Wind Onshore",2018-08-14,40,3278.793
NGET-EMFIP-AGWS-TS-00224561,Wind generation,"Wind Offshore",2018-08-14,40,1412.209
NGET-EMFIP-AGWS-TS-00224560,Solar generation,"Solar",2018-08-14,40,197
NGET-EMFIP-AGWS-TS-00224559,Wind generation,"Wind Onshore",2018-08-14,39,3275.098
NGET-EMFIP-AGWS-TS-00224558,Wind generation,"Wind Offshore",2018-08-14,39,1442.648
NGET-EMFIP-AGWS-TS-00224557,Solar generation,"Solar",2018-08-14,39,512
NGET-EMFIP-AGWS-TS-00224556,Wind generation,"Wind Onshore",2018-08-14,38,3466.891
NGET-EMFIP-AGWS-TS-00224555,Wind generation,"Wind Offshore",2018-08-14,38,1371.338
NGET-EMFIP-AGWS-TS-00224554,Solar generation,"Solar",2018-08-14,38,930
NGET-EMFIP-AGWS-TS-00224553,Wind generation,"Wind Onshore",2018-08-14,37,3595.094
NGET-EMFIP-AGWS-TS-00224552,Wind generation,"Wind Offshore",2018-08-14,37,1375.886
NGET-EMFIP-AGWS-TS-00224551,Solar generation,"Solar",2018-08-14,37,1370
NGET-EMFIP-AGWS-TS-00224550,Wind generation,"Wind Onshore",2018-08-14,36,3618.571
NGET-EMFIP-AGWS-TS-00224549,Wind generation,"Wind Offshore",2018-08-14,36,1459.355
NGET-EMFIP-AGWS-TS-00224548,Solar generation,"Solar",2018-08-14,36,1830
NGET-EMFIP-AGWS-TS-00224547,Wind generation,"Wind Onshore",2018-08-14,35,3729.962
NGET-EMFIP-AGWS-TS-00224546,Wind generation,"Wind Offshore",2018-08-14,35,1397.08
NGET-EMFIP-AGWS-TS-00224545,Solar generation,"Solar",2018-08-14,35,2300
NGET-EMFIP-AGWS-TS-00224544,Wind generation,"Wind Onshore",2018-08-14,34,3689.474
NGET-EMFIP-AGWS-TS-00224543,Wind generation,"Wind Offshore",2018-08-14,34,1290.264
NGET-EMFIP-AGWS-TS-00224542,Solar generation,"Solar",2018-08-14,34,2690
NGET-EMFIP-AGWS-TS-00224541,Wind generation,"Wind Onshore",2018-08-14,33,3633.14
NGET-EMFIP-AGWS-TS-00224540,Wind generation,"Wind Offshore",2018-08-14,33,1250.782
NGET-EMFIP-AGWS-TS-00224539,Solar generation,"Solar",2018-08-14,33,2910
NGET-EMFIP-AGWS-TS-00224523,Wind generation,"Wind Onshore",2018-08-14,32,3271.263
NGET-EMFIP-AGWS-TS-00224522,Wind generation,"Wind Offshore",2018-08-14,32,1037.988
NGET-EMFIP-AGWS-TS-00224521,Solar generation,"Solar",2018-08-14,32,3100
NGET-EMFIP-AGWS-TS-00224520,Wind generation,"Wind Onshore",2018-08-14,31,3015.152
NGET-EMFIP-AGWS-TS-00224519,Wind generation,"Wind Offshore",2018-08-14,31,966.127
NGET-EMFIP-AGWS-TS-00224518,Solar generation,"Solar",2018-08-14,31,3370
NGET-EMFIP-AGWS-TS-00224517,Wind generation,"Wind Onshore",2018-08-14,30,2856.889
NGET-EMFIP-AGWS-TS-00224516,Wind generation,"Wind Offshore",2018-08-14,30,1116.028
NGET-EMFIP-AGWS-TS-00224515,Solar generation,"Solar",2018-08-14,30,3550
NGET-EMFIP-AGWS-TS-00224514,Wind generation,"Wind Onshore",2018-08-14,29,2768.532
NGET-EMFIP-AGWS-TS-00224513,Wind generation,"Wind Offshore",2018-08-14,29,1114.77
NGET-EMFIP-AGWS-TS-00224512,Solar generation,"Solar",2018-08-14,29,3588
NGET-EMFIP-AGWS-TS-00224511,Wind generation,"Wind Onshore",2018-08-14,28,2469.599
NGET-EMFIP-AGWS-TS-00224510,Wind generation,"Wind Offshore",2018-08-14,28,1334.745
NGET-EMFIP-AGWS-TS-00224509,Solar generation,"Solar",2018-08-14,28,3670
NGET-EMFIP-AGWS-TS-00224508,Wind generation,"Wind Onshore",2018-08-14,27,2276.409
NGET-EMFIP-AGWS-TS-00224507,Wind generation,"Wind Offshore",2018-08-14,27,1159.682
NGET-EMFIP-AGWS-TS-00224506,Solar generation,"Solar",2018-08-14,27,3660
NGET-EMFIP-AGWS-TS-00224505,Wind generation,"Wind Onshore",2018-08-14,26,2259.43
NGET-EMFIP-AGWS-TS-00224504,Wind generation,"Wind Offshore",2018-08-14,26,1168.205
NGET-EMFIP-AGWS-TS-00224503,Solar generation,"Solar",2018-08-14,26,3660
NGET-EMFIP-AGWS-TS-00224502,Wind generation,"Wind Onshore",2018-08-14,25,2254.259
NGET-EMFIP-AGWS-TS-00224501,Wind generation,"Wind Offshore",2018-08-14,25,951.304
NGET-EMFIP-AGWS-TS-00224500,Solar generation,"Solar",2018-08-14,25,3710
NGET-EMFIP-AGWS-TS-00224499,Wind generation,"Wind Onshore",2018-08-14,24,2257.142
NGET-EMFIP-AGWS-TS-00224498,Wind generation,"Wind Offshore",2018-08-14,24,868.385
NGET-EMFIP-AGWS-TS-00224497,Solar generation,"Solar",2018-08-14,24,3780
NGET-EMFIP-AGWS-TS-00224496,Wind generation,"Wind Onshore",2018-08-14,23,2199.423
NGET-EMFIP-AGWS-TS-00224495,Wind generation,"Wind Offshore",2018-08-14,23,904.929
NGET-EMFIP-AGWS-TS-00224494,Solar generation,"Solar",2018-08-14,23,3830
NGET-EMFIP-AGWS-TS-00224493,Wind generation,"Wind Onshore",2018-08-14,22,2047.479
NGET-EMFIP-AGWS-TS-00224492,Wind generation,"Wind Offshore",2018-08-14,22,928.567
NGET-EMFIP-AGWS-TS-00224491,Solar generation,"Solar",2018-08-14,22,3540
NGET-EMFIP-AGWS-TS-00224490,Wind generation,"Wind Onshore",2018-08-14,21,2006.457
NGET-EMFIP-AGWS-TS-00224489,Wind generation,"Wind Offshore",2018-08-14,21,750.725
NGET-EMFIP-AGWS-TS-00224488,Solar generation,"Solar",2018-08-14,21,3199
NGET-EMFIP-AGWS-TS-00224487,Wind generation,"Wind Onshore",2018-08-14,20,1834.817
NGET-EMFIP-AGWS-TS-00224486,Wind generation,"Wind Offshore",2018-08-14,20,659.061
NGET-EMFIP-AGWS-TS-00224485,Solar generation,"Solar",2018-08-14,20,2880
NGET-EMFIP-AGWS-TS-00224484,Wind generation,"Wind Onshore",2018-08-14,19,1780.419
NGET-EMFIP-AGWS-TS-00224483,Wind generation,"Wind Offshore",2018-08-14,19,707.547
NGET-EMFIP-AGWS-TS-00224482,Solar generation,"Solar",2018-08-14,19,2270
NGET-EMFIP-AGWS-TS-00224481,Wind generation,"Wind Onshore",2018-08-14,18,1499.184
NGET-EMFIP-AGWS-TS-00224480,Wind generation,"Wind Offshore",2018-08-14,18,783.427
NGET-EMFIP-AGWS-TS-00224479,Solar generation,"Solar",2018-08-14,18,1840
NGET-EMFIP-AGWS-TS-00224475,Wind generation,"Wind Onshore",2018-08-14,17,1461.804
NGET-EMFIP-AGWS-TS-00224474,Wind generation,"Wind Offshore",2018-08-14,17,772.132
NGET-EMFIP-AGWS-TS-00224473,Solar generation,"Solar",2018-08-14,17,1377
NGET-EMFIP-AGWS-TS-00224472,Wind generation,"Wind Onshore",2018-08-14,16,1329.812
NGET-EMFIP-AGWS-TS-00224471,Wind generation,"Wind Offshore",2018-08-14,16,894.075
NGET-EMFIP-AGWS-TS-00224470,Solar generation,"Solar",2018-08-14,16,904
NGET-EMFIP-AGWS-TS-00224469,Wind generation,"Wind Onshore",2018-08-14,15,1343.457
NGET-EMFIP-AGWS-TS-00224468,Wind generation,"Wind Offshore",2018-08-14,15,766.891
NGET-EMFIP-AGWS-TS-00224467,Solar generation,"Solar",2018-08-14,15,537
NGET-EMFIP-AGWS-TS-00224466,Wind generation,"Wind Onshore",2018-08-14,14,1223.776
NGET-EMFIP-AGWS-TS-00224465,Wind generation,"Wind Offshore",2018-08-14,14,833.551
NGET-EMFIP-AGWS-TS-00224464,Solar generation,"Solar",2018-08-14,14,246
NGET-EMFIP-AGWS-TS-00224463,Wind generation,"Wind Onshore",2018-08-14,13,1250.323
NGET-EMFIP-AGWS-TS-00224462,Wind generation,"Wind Offshore",2018-08-14,13,631.117
NGET-EMFIP-AGWS-TS-00224461,Solar generation,"Solar",2018-08-14,13,58
NGET-EMFIP-AGWS-TS-00224460,Wind generation,"Wind Onshore",2018-08-14,12,1277.175
NGET-EMFIP-AGWS-TS-00224459,Wind generation,"Wind Offshore",2018-08-14,12,634.608
NGET-EMFIP-AGWS-TS-00224458,Solar generation,"Solar",2018-08-14,12,2
NGET-EMFIP-AGWS-TS-00224457,Wind generation,"Wind Onshore",2018-08-14,11,1317.405
NGET-EMFIP-AGWS-TS-00224456,Wind generation,"Wind Offshore",2018-08-14,11,624.802
NGET-EMFIP-AGWS-TS-00224455,Solar generation,"Solar",2018-08-14,11,1
NGET-EMFIP-AGWS-TS-00224454,Wind generation,"Wind Onshore",2018-08-14,10,1296.458
NGET-EMFIP-AGWS-TS-00224453,Wind generation,"Wind Offshore",2018-08-14,10,576.466
NGET-EMFIP-AGWS-TS-00224452,Solar generation,"Solar",2018-08-14,10,1
NGET-EMFIP-AGWS-TS-00224451,Wind generation,"Wind Onshore",2018-08-14,9,1327.488
NGET-EMFIP-AGWS-TS-00224450,Wind generation,"Wind Offshore",2018-08-14,9,672.92
NGET-EMFIP-AGWS-TS-00224449,Solar generation,"Solar",2018-08-14,9,0
NGET-EMFIP-AGWS-TS-00224448,Wind generation,"Wind Onshore",2018-08-14,8,1252.317
NGET-EMFIP-AGWS-TS-00224447,Wind generation,"Wind Offshore",2018-08-14,8,758.553
NGET-EMFIP-AGWS-TS-00224446,Solar generation,"Solar",2018-08-14,8,1
NGET-EMFIP-AGWS-TS-00224445,Wind generation,"Wind Onshore",2018-08-14,7,1137.441
NGET-EMFIP-AGWS-TS-00224444,Wind generation,"Wind Offshore",2018-08-14,7,750.358
NGET-EMFIP-AGWS-TS-00224443,Solar generation,"Solar",2018-08-14,7,0
