Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00224770,Wind generation,"Wind Onshore",2018-08-15,48,3476.148
NGET-EMFIP-AGWS-TS-00224769,Wind generation,"Wind Offshore",2018-08-15,48,3180.454
NGET-EMFIP-AGWS-TS-00224768,Solar generation,"Solar",2018-08-15,48,0
NGET-EMFIP-AGWS-TS-00224767,Wind generation,"Wind Onshore",2018-08-15,47,3724.345
NGET-EMFIP-AGWS-TS-00224766,Wind generation,"Wind Offshore",2018-08-15,47,3141.594
NGET-EMFIP-AGWS-TS-00224765,Solar generation,"Solar",2018-08-15,47,0
NGET-EMFIP-AGWS-TS-00224764,Wind generation,"Wind Onshore",2018-08-15,46,3985.08
NGET-EMFIP-AGWS-TS-00224763,Wind generation,"Wind Offshore",2018-08-15,46,3120.241
NGET-EMFIP-AGWS-TS-00224762,Solar generation,"Solar",2018-08-15,46,0
NGET-EMFIP-AGWS-TS-00224761,Wind generation,"Wind Onshore",2018-08-15,45,3865.401
NGET-EMFIP-AGWS-TS-00224760,Wind generation,"Wind Offshore",2018-08-15,45,3148.916
NGET-EMFIP-AGWS-TS-00224759,Solar generation,"Solar",2018-08-15,45,2
NGET-EMFIP-AGWS-TS-00224744,Wind generation,"Wind Onshore",2018-08-15,44,3961.367
NGET-EMFIP-AGWS-TS-00224743,Wind generation,"Wind Offshore",2018-08-15,44,3015.528
NGET-EMFIP-AGWS-TS-00224742,Solar generation,"Solar",2018-08-15,44,2
NGET-EMFIP-AGWS-TS-00224741,Wind generation,"Wind Onshore",2018-08-15,43,4147.402
NGET-EMFIP-AGWS-TS-00224740,Wind generation,"Wind Offshore",2018-08-15,43,2982.474
NGET-EMFIP-AGWS-TS-00224739,Solar generation,"Solar",2018-08-15,43,57
NGET-EMFIP-AGWS-TS-00224730,Wind generation,"Wind Onshore",2018-08-15,42,4186.789
NGET-EMFIP-AGWS-TS-00224729,Wind generation,"Wind Offshore",2018-08-15,42,2922.543
NGET-EMFIP-AGWS-TS-00224728,Solar generation,"Solar",2018-08-15,42,3
NGET-EMFIP-AGWS-TS-00224727,Wind generation,"Wind Onshore",2018-08-15,41,4168.98
NGET-EMFIP-AGWS-TS-00224726,Wind generation,"Wind Offshore",2018-08-15,41,3164.696
NGET-EMFIP-AGWS-TS-00224725,Solar generation,"Solar",2018-08-15,41,12
NGET-EMFIP-AGWS-TS-00224724,Wind generation,"Wind Onshore",2018-08-15,40,4019.812
NGET-EMFIP-AGWS-TS-00224723,Wind generation,"Wind Offshore",2018-08-15,40,3240.176
NGET-EMFIP-AGWS-TS-00224722,Solar generation,"Solar",2018-08-15,40,103
NGET-EMFIP-AGWS-TS-00224721,Wind generation,"Wind Onshore",2018-08-15,39,3956.545
NGET-EMFIP-AGWS-TS-00224720,Wind generation,"Wind Offshore",2018-08-15,39,3240.09
NGET-EMFIP-AGWS-TS-00224719,Solar generation,"Solar",2018-08-15,39,305
NGET-EMFIP-AGWS-TS-00224718,Wind generation,"Wind Onshore",2018-08-15,38,4095.035
NGET-EMFIP-AGWS-TS-00224717,Wind generation,"Wind Offshore",2018-08-15,38,3084.685
NGET-EMFIP-AGWS-TS-00224716,Solar generation,"Solar",2018-08-15,38,619
NGET-EMFIP-AGWS-TS-00224715,Wind generation,"Wind Onshore",2018-08-15,37,4053.744
NGET-EMFIP-AGWS-TS-00224714,Wind generation,"Wind Offshore",2018-08-15,37,2891.405
NGET-EMFIP-AGWS-TS-00224713,Solar generation,"Solar",2018-08-15,37,973
NGET-EMFIP-AGWS-TS-00224712,Wind generation,"Wind Onshore",2018-08-15,36,4287.974
NGET-EMFIP-AGWS-TS-00224711,Wind generation,"Wind Offshore",2018-08-15,36,2813.859
NGET-EMFIP-AGWS-TS-00224710,Solar generation,"Solar",2018-08-15,36,1420
NGET-EMFIP-AGWS-TS-00224709,Wind generation,"Wind Onshore",2018-08-15,35,4697.124
NGET-EMFIP-AGWS-TS-00224708,Wind generation,"Wind Offshore",2018-08-15,35,2601.936
NGET-EMFIP-AGWS-TS-00224707,Solar generation,"Solar",2018-08-15,35,1940
NGET-EMFIP-AGWS-TS-00224706,Wind generation,"Wind Onshore",2018-08-15,34,5063.391
NGET-EMFIP-AGWS-TS-00224705,Wind generation,"Wind Offshore",2018-08-15,34,2510.937
NGET-EMFIP-AGWS-TS-00224704,Solar generation,"Solar",2018-08-15,34,2440
NGET-EMFIP-AGWS-TS-00224703,Wind generation,"Wind Onshore",2018-08-15,33,4994.923
NGET-EMFIP-AGWS-TS-00224702,Wind generation,"Wind Offshore",2018-08-15,33,2527.827
