Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00227087,Wind generation,Wind Onshore,29/08/2018,48,1853.289
NGET-EMFIP-AGWS-TS-00227086,Wind generation,Wind Offshore,29/08/2018,48,828.468
NGET-EMFIP-AGWS-TS-00227085,Solar generation,Solar,29/08/2018,48,0
NGET-EMFIP-AGWS-TS-00227081,Wind generation,Wind Onshore,29/08/2018,,1956.6365
NGET-EMFIP-AGWS-TS-00227080,Wind generation,Wind Offshore,29/08/2018,,804.9015
NGET-EMFIP-AGWS-TS-00227079,Solar generation,Solar,29/08/2018,,0
NGET-EMFIP-AGWS-TS-00227081,Wind generation,Wind Onshore,29/08/2018,46,2059.984
NGET-EMFIP-AGWS-TS-00227080,Wind generation,Wind Offshore,29/08/2018,46,781.335
NGET-EMFIP-AGWS-TS-00227079,Solar generation,Solar,29/08/2018,46,0
NGET-EMFIP-AGWS-TS-00227078,Wind generation,Wind Onshore,29/08/2018,45,2063.343
NGET-EMFIP-AGWS-TS-00227077,Wind generation,Wind Offshore,29/08/2018,45,721.26
NGET-EMFIP-AGWS-TS-00227076,Solar generation,Solar,29/08/2018,45,1
NGET-EMFIP-AGWS-TS-00227075,Wind generation,Wind Onshore,29/08/2018,44,2168.202
NGET-EMFIP-AGWS-TS-00227074,Wind generation,Wind Offshore,29/08/2018,44,719.153
NGET-EMFIP-AGWS-TS-00227073,Solar generation,Solar,29/08/2018,44,2
NGET-EMFIP-AGWS-TS-00227072,Wind generation,Wind Onshore,29/08/2018,43,2340.866
NGET-EMFIP-AGWS-TS-00227071,Wind generation,Wind Offshore,29/08/2018,43,762.154
NGET-EMFIP-AGWS-TS-00227070,Solar generation,Solar,29/08/2018,43,6
NGET-EMFIP-AGWS-TS-00227069,Wind generation,Wind Onshore,29/08/2018,42,2419.684
NGET-EMFIP-AGWS-TS-00227068,Wind generation,Wind Offshore,29/08/2018,42,868.127
NGET-EMFIP-AGWS-TS-00227067,Solar generation,Solar,29/08/2018,42,5
NGET-EMFIP-AGWS-TS-00227066,Wind generation,Wind Onshore,29/08/2018,41,2432.479
NGET-EMFIP-AGWS-TS-00227065,Wind generation,Wind Offshore,29/08/2018,41,957.443
NGET-EMFIP-AGWS-TS-00227064,Solar generation,Solar,29/08/2018,41,3
NGET-EMFIP-AGWS-TS-00227063,Wind generation,Wind Onshore,29/08/2018,40,2696.112
NGET-EMFIP-AGWS-TS-00227062,Wind generation,Wind Offshore,29/08/2018,40,1099.159
NGET-EMFIP-AGWS-TS-00227061,Solar generation,Solar,29/08/2018,40,56
NGET-EMFIP-AGWS-TS-00227060,Wind generation,Wind Onshore,29/08/2018,39,2830.637
NGET-EMFIP-AGWS-TS-00227059,Wind generation,Wind Offshore,29/08/2018,39,1101.453
NGET-EMFIP-AGWS-TS-00227058,Solar generation,Solar,29/08/2018,39,401
NGET-EMFIP-AGWS-TS-00227057,Wind generation,Wind Onshore,29/08/2018,38,3230.769
NGET-EMFIP-AGWS-TS-00227056,Wind generation,Wind Offshore,29/08/2018,38,1092.911
NGET-EMFIP-AGWS-TS-00227055,Solar generation,Solar,29/08/2018,38,965
NGET-EMFIP-AGWS-TS-00227054,Wind generation,Wind Onshore,29/08/2018,37,3445.662
NGET-EMFIP-AGWS-TS-00227053,Wind generation,Wind Offshore,29/08/2018,37,1299.15
NGET-EMFIP-AGWS-TS-00227052,Solar generation,Solar,29/08/2018,37,1650
NGET-EMFIP-AGWS-TS-00227051,Wind generation,Wind Onshore,29/08/2018,36,3647.252
NGET-EMFIP-AGWS-TS-00227050,Wind generation,Wind Offshore,29/08/2018,36,1400.57
NGET-EMFIP-AGWS-TS-00227049,Solar generation,Solar,29/08/2018,36,2350
NGET-EMFIP-AGWS-TS-00227048,Wind generation,Wind Onshore,29/08/2018,35,3658.311
NGET-EMFIP-AGWS-TS-00227047,Wind generation,Wind Offshore,29/08/2018,35,1281.828
NGET-EMFIP-AGWS-TS-00227046,Solar generation,Solar,29/08/2018,35,2930
NGET-EMFIP-AGWS-TS-00227045,Wind generation,Wind Onshore,29/08/2018,34,3754.073
NGET-EMFIP-AGWS-TS-00227044,Wind generation,Wind Offshore,29/08/2018,34,1261.104
NGET-EMFIP-AGWS-TS-00227043,Solar generation,Solar,29/08/2018,34,3400
NGET-EMFIP-AGWS-TS-00227042,Wind generation,Wind Onshore,29/08/2018,33,3681.135
NGET-EMFIP-AGWS-TS-00227041,Wind generation,Wind Offshore,29/08/2018,33,1199.94
NGET-EMFIP-AGWS-TS-00227040,Solar generation,Solar,29/08/2018,33,3740
NGET-EMFIP-AGWS-TS-00227039,Wind generation,Wind Onshore,29/08/2018,32,3837.78
NGET-EMFIP-AGWS-TS-00227038,Wind generation,Wind Offshore,29/08/2018,32,1174.917
NGET-EMFIP-AGWS-TS-00227037,Solar generation,Solar,29/08/2018,32,4190
NGET-EMFIP-AGWS-TS-00227036,Wind generation,Wind Onshore,29/08/2018,31,3835.716
NGET-EMFIP-AGWS-TS-00227035,Wind generation,Wind Offshore,29/08/2018,31,1166.08
NGET-EMFIP-AGWS-TS-00227034,Solar generation,Solar,29/08/2018,31,4600
NGET-EMFIP-AGWS-TS-00227033,Wind generation,Wind Onshore,29/08/2018,30,3717.176
NGET-EMFIP-AGWS-TS-00227032,Wind generation,Wind Offshore,29/08/2018,30,1092.131
NGET-EMFIP-AGWS-TS-00227031,Solar generation,Solar,29/08/2018,30,4820
NGET-EMFIP-AGWS-TS-00227030,Wind generation,Wind Onshore,29/08/2018,29,3717.198
NGET-EMFIP-AGWS-TS-00227029,Wind generation,Wind Offshore,29/08/2018,29,1016.507
NGET-EMFIP-AGWS-TS-00227028,Solar generation,Solar,29/08/2018,29,3434
NGET-EMFIP-AGWS-TS-00227027,Wind generation,Wind Onshore,29/08/2018,28,3442.869
NGET-EMFIP-AGWS-TS-00227026,Wind generation,Wind Offshore,29/08/2018,28,990.62
NGET-EMFIP-AGWS-TS-00227025,Solar generation,Solar,29/08/2018,28,4750
NGET-EMFIP-AGWS-TS-00227024,Wind generation,Wind Onshore,29/08/2018,27,3435.14
NGET-EMFIP-AGWS-TS-00227023,Wind generation,Wind Offshore,29/08/2018,27,954.283
NGET-EMFIP-AGWS-TS-00227022,Solar generation,Solar,29/08/2018,27,4860
NGET-EMFIP-AGWS-TS-00227021,Wind generation,Wind Onshore,29/08/2018,26,3156.029
NGET-EMFIP-AGWS-TS-00227020,Wind generation,Wind Offshore,29/08/2018,26,898.853
NGET-EMFIP-AGWS-TS-00227019,Solar generation,Solar,29/08/2018,26,4780
NGET-EMFIP-AGWS-TS-00227010,Wind generation,Wind Onshore,29/08/2018,25,2902.278
NGET-EMFIP-AGWS-TS-00227009,Wind generation,Wind Offshore,29/08/2018,25,788.827
NGET-EMFIP-AGWS-TS-00227008,Solar generation,Solar,29/08/2018,25,4490
NGET-EMFIP-AGWS-TS-00227007,Wind generation,Wind Onshore,29/08/2018,24,2747.599
NGET-EMFIP-AGWS-TS-00227006,Wind generation,Wind Offshore,29/08/2018,24,742.513
NGET-EMFIP-AGWS-TS-00227005,Solar generation,Solar,29/08/2018,24,4230
NGET-EMFIP-AGWS-TS-00227004,Wind generation,Wind Onshore,29/08/2018,23,1221.051
NGET-EMFIP-AGWS-TS-00227003,Wind generation,Wind Offshore,29/08/2018,23,48.153
NGET-EMFIP-AGWS-TS-00227002,Solar generation,Solar,29/08/2018,23,3660
NGET-EMFIP-AGWS-TS-00227001,Wind generation,Wind Onshore,29/08/2018,22,1153.979
NGET-EMFIP-AGWS-TS-00227000,Wind generation,Wind Offshore,29/08/2018,22,48.902
NGET-EMFIP-AGWS-TS-00226999,Solar generation,Solar,29/08/2018,22,3080
NGET-EMFIP-AGWS-TS-00226983,Wind generation,Wind Onshore,29/08/2018,21,1153.979
NGET-EMFIP-AGWS-TS-00226982,Wind generation,Wind Offshore,29/08/2018,21,48.902
NGET-EMFIP-AGWS-TS-00226981,Solar generation,Solar,29/08/2018,21,1714
NGET-EMFIP-AGWS-TS-00226980,Wind generation,Wind Onshore,29/08/2018,20,2195.106
NGET-EMFIP-AGWS-TS-00226979,Wind generation,Wind Offshore,29/08/2018,20,731.748
NGET-EMFIP-AGWS-TS-00226978,Solar generation,Solar,29/08/2018,20,2040
NGET-EMFIP-AGWS-TS-00226977,Wind generation,Wind Onshore,29/08/2018,19,2028.117
NGET-EMFIP-AGWS-TS-00226976,Wind generation,Wind Offshore,29/08/2018,19,698.677
NGET-EMFIP-AGWS-TS-00226975,Solar generation,Solar,29/08/2018,19,1440
NGET-EMFIP-AGWS-TS-00226974,Wind generation,Wind Onshore,29/08/2018,18,1938.271
NGET-EMFIP-AGWS-TS-00226973,Wind generation,Wind Offshore,29/08/2018,18,733.042
NGET-EMFIP-AGWS-TS-00226972,Solar generation,Solar,29/08/2018,18,1114
NGET-EMFIP-AGWS-TS-00226971,Wind generation,Wind Onshore,29/08/2018,17,1858.075
NGET-EMFIP-AGWS-TS-00226970,Wind generation,Wind Offshore,29/08/2018,17,652.695
NGET-EMFIP-AGWS-TS-00226969,Solar generation,Solar,29/08/2018,17,616
NGET-EMFIP-AGWS-TS-00226968,Wind generation,Wind Onshore,29/08/2018,16,2158.486
NGET-EMFIP-AGWS-TS-00226967,Wind generation,Wind Offshore,29/08/2018,16,700.309
NGET-EMFIP-AGWS-TS-00226966,Solar generation,Solar,29/08/2018,16,336
NGET-EMFIP-AGWS-TS-00226965,Wind generation,Wind Onshore,29/08/2018,15,1937.348
NGET-EMFIP-AGWS-TS-00226964,Wind generation,Wind Offshore,29/08/2018,15,819.263
NGET-EMFIP-AGWS-TS-00226963,Solar generation,Solar,29/08/2018,15,119
NGET-EMFIP-AGWS-TS-00226962,Wind generation,Wind Onshore,29/08/2018,14,1730.167
NGET-EMFIP-AGWS-TS-00226961,Wind generation,Wind Offshore,29/08/2018,14,804.211
NGET-EMFIP-AGWS-TS-00226960,Solar generation,Solar,29/08/2018,14,15
NGET-EMFIP-AGWS-TS-00226959,Wind generation,Wind Onshore,29/08/2018,13,1732.005
NGET-EMFIP-AGWS-TS-00226958,Wind generation,Wind Offshore,29/08/2018,13,830.804
NGET-EMFIP-AGWS-TS-00226957,Solar generation,Solar,29/08/2018,13,0
NGET-EMFIP-AGWS-TS-00226956,Wind generation,Wind Onshore,29/08/2018,12,1871.136
NGET-EMFIP-AGWS-TS-00226955,Wind generation,Wind Offshore,29/08/2018,12,804.048
NGET-EMFIP-AGWS-TS-00226954,Solar generation,Solar,29/08/2018,12,0
NGET-EMFIP-AGWS-TS-00226953,Wind generation,Wind Onshore,29/08/2018,11,1882.383
NGET-EMFIP-AGWS-TS-00226952,Wind generation,Wind Offshore,29/08/2018,11,608.257
NGET-EMFIP-AGWS-TS-00226951,Solar generation,Solar,29/08/2018,11,0
NGET-EMFIP-AGWS-TS-00226950,Wind generation,Wind Onshore,29/08/2018,10,1733.536
NGET-EMFIP-AGWS-TS-00226949,Wind generation,Wind Offshore,29/08/2018,10,630.876
NGET-EMFIP-AGWS-TS-00226948,Solar generation,Solar,29/08/2018,10,0
NGET-EMFIP-AGWS-TS-00226947,Wind generation,Wind Onshore,29/08/2018,9,1584.863
NGET-EMFIP-AGWS-TS-00226946,Wind generation,Wind Offshore,29/08/2018,9,612.066
NGET-EMFIP-AGWS-TS-00226945,Solar generation,Solar,29/08/2018,9,0
NGET-EMFIP-AGWS-TS-00226944,Wind generation,Wind Onshore,29/08/2018,8,1492.454
NGET-EMFIP-AGWS-TS-00226943,Wind generation,Wind Offshore,29/08/2018,8,654.244
NGET-EMFIP-AGWS-TS-00226942,Solar generation,Solar,29/08/2018,8,0
