Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00222360,Wind generation,"Wind Onshore",2018-08-01,48,3003.951
NGET-EMFIP-AGWS-TS-00222359,Wind generation,"Wind Offshore",2018-08-01,48,879.304
NGET-EMFIP-AGWS-TS-00222358,Solar generation,"Solar",2018-08-01,48,0
NGET-EMFIP-AGWS-TS-00222357,Wind generation,"Wind Onshore",2018-08-01,47,3190.937
NGET-EMFIP-AGWS-TS-00222356,Wind generation,"Wind Offshore",2018-08-01,47,999.194
NGET-EMFIP-AGWS-TS-00222355,Solar generation,"Solar",2018-08-01,47,0
NGET-EMFIP-AGWS-TS-00222354,Wind generation,"Wind Onshore",2018-08-01,46,3410.24
NGET-EMFIP-AGWS-TS-00222353,Wind generation,"Wind Offshore",2018-08-01,46,1177.542
NGET-EMFIP-AGWS-TS-00222352,Solar generation,"Solar",2018-08-01,46,0
NGET-EMFIP-AGWS-TS-00222351,Wind generation,"Wind Onshore",2018-08-01,45,3495.416
NGET-EMFIP-AGWS-TS-00222350,Wind generation,"Wind Offshore",2018-08-01,45,1306.003
NGET-EMFIP-AGWS-TS-00222349,Solar generation,"Solar",2018-08-01,45,7
NGET-EMFIP-AGWS-TS-00222348,Wind generation,"Wind Onshore",2018-08-01,44,3488.316
NGET-EMFIP-AGWS-TS-00222347,Wind generation,"Wind Offshore",2018-08-01,44,1326.751
NGET-EMFIP-AGWS-TS-00222346,Solar generation,"Solar",2018-08-01,44,2
NGET-EMFIP-AGWS-TS-00222345,Wind generation,"Wind Onshore",2018-08-01,43,3701.668
NGET-EMFIP-AGWS-TS-00222344,Wind generation,"Wind Offshore",2018-08-01,43,1248.056
NGET-EMFIP-AGWS-TS-00222343,Solar generation,"Solar",2018-08-01,43,7
NGET-EMFIP-AGWS-TS-00222342,Wind generation,"Wind Onshore",2018-08-01,42,3621.659
NGET-EMFIP-AGWS-TS-00222341,Wind generation,"Wind Offshore",2018-08-01,42,1420.861
NGET-EMFIP-AGWS-TS-00222340,Solar generation,"Solar",2018-08-01,42,18
NGET-EMFIP-AGWS-TS-00222339,Wind generation,"Wind Onshore",2018-08-01,41,3794.965
NGET-EMFIP-AGWS-TS-00222338,Wind generation,"Wind Offshore",2018-08-01,41,1384.897
NGET-EMFIP-AGWS-TS-00222337,Solar generation,"Solar",2018-08-01,41,192
NGET-EMFIP-AGWS-TS-00222336,Wind generation,"Wind Onshore",2018-08-01,40,3785.044
NGET-EMFIP-AGWS-TS-00222335,Wind generation,"Wind Offshore",2018-08-01,40,1285.87
NGET-EMFIP-AGWS-TS-00222334,Solar generation,"Solar",2018-08-01,40,579
NGET-EMFIP-AGWS-TS-00222333,Wind generation,"Wind Onshore",2018-08-01,39,3751.812
NGET-EMFIP-AGWS-TS-00222332,Wind generation,"Wind Offshore",2018-08-01,39,1070.173
NGET-EMFIP-AGWS-TS-00222331,Solar generation,"Solar",2018-08-01,39,1020
NGET-EMFIP-AGWS-TS-00222330,Wind generation,"Wind Onshore",2018-08-01,38,3648.978
NGET-EMFIP-AGWS-TS-00222329,Wind generation,"Wind Offshore",2018-08-01,38,875.372
NGET-EMFIP-AGWS-TS-00222328,Solar generation,"Solar",2018-08-01,38,1530
NGET-EMFIP-AGWS-TS-00222327,Wind generation,"Wind Onshore",2018-08-01,37,3586.066
NGET-EMFIP-AGWS-TS-00222326,Wind generation,"Wind Offshore",2018-08-01,37,772.351
NGET-EMFIP-AGWS-TS-00222325,Solar generation,"Solar",2018-08-01,37,2180
NGET-EMFIP-AGWS-TS-00222324,Wind generation,"Wind Onshore",2018-08-01,36,3238.996
