Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00246634,Wind generation,"Wind Onshore",2018-12-26,48,2518.166
NGET-EMFIP-AGWS-TS-00246633,Wind generation,"Wind Offshore",2018-12-26,48,697.276
NGET-EMFIP-AGWS-TS-00246632,Solar generation,"Solar",2018-12-26,48,0
NGET-EMFIP-AGWS-TS-00246631,Wind generation,"Wind Onshore",2018-12-26,47,2535.469
NGET-EMFIP-AGWS-TS-00246630,Wind generation,"Wind Offshore",2018-12-26,47,715.265
NGET-EMFIP-AGWS-TS-00246629,Solar generation,"Solar",2018-12-26,47,0
NGET-EMFIP-AGWS-TS-00246628,Wind generation,"Wind Onshore",2018-12-26,46,908.752
NGET-EMFIP-AGWS-TS-00246627,Wind generation,"Wind Offshore",2018-12-26,46,37.393
NGET-EMFIP-AGWS-TS-00246626,Solar generation,"Solar",2018-12-26,46,0
NGET-EMFIP-AGWS-TS-00246625,Wind generation,"Wind Onshore",2018-12-26,45,2279.551
NGET-EMFIP-AGWS-TS-00246624,Wind generation,"Wind Offshore",2018-12-26,45,720.758
NGET-EMFIP-AGWS-TS-00246623,Solar generation,"Solar",2018-12-26,45,0
NGET-EMFIP-AGWS-TS-00246622,Wind generation,"Wind Onshore",2018-12-26,44,2238.203
NGET-EMFIP-AGWS-TS-00246621,Wind generation,"Wind Offshore",2018-12-26,44,707.926
NGET-EMFIP-AGWS-TS-00246620,Solar generation,"Solar",2018-12-26,44,0
NGET-EMFIP-AGWS-TS-00246619,Wind generation,"Wind Onshore",2018-12-26,43,2320.138
NGET-EMFIP-AGWS-TS-00246618,Wind generation,"Wind Offshore",2018-12-26,43,774.955
NGET-EMFIP-AGWS-TS-00246617,Solar generation,"Solar",2018-12-26,43,0
NGET-EMFIP-AGWS-TS-00246616,Wind generation,"Wind Onshore",2018-12-26,42,2364.363
NGET-EMFIP-AGWS-TS-00246615,Wind generation,"Wind Offshore",2018-12-26,42,725.845
NGET-EMFIP-AGWS-TS-00246614,Solar generation,"Solar",2018-12-26,42,0
NGET-EMFIP-AGWS-TS-00246613,Wind generation,"Wind Onshore",2018-12-26,41,2383.431
NGET-EMFIP-AGWS-TS-00246612,Wind generation,"Wind Offshore",2018-12-26,41,651.346
NGET-EMFIP-AGWS-TS-00246611,Solar generation,"Solar",2018-12-26,41,0
NGET-EMFIP-AGWS-TS-00246610,Wind generation,"Wind Onshore",2018-12-26,40,2326.273
NGET-EMFIP-AGWS-TS-00246609,Wind generation,"Wind Offshore",2018-12-26,40,791.559
NGET-EMFIP-AGWS-TS-00246608,Solar generation,"Solar",2018-12-26,40,0
NGET-EMFIP-AGWS-TS-00246607,Wind generation,"Wind Onshore",2018-12-26,39,2244.699
NGET-EMFIP-AGWS-TS-00246606,Wind generation,"Wind Offshore",2018-12-26,39,869.586
NGET-EMFIP-AGWS-TS-00246605,Solar generation,"Solar",2018-12-26,39,0
NGET-EMFIP-AGWS-TS-00246604,Wind generation,"Wind Onshore",2018-12-26,38,2212.194
NGET-EMFIP-AGWS-TS-00246603,Wind generation,"Wind Offshore",2018-12-26,38,917.338
NGET-EMFIP-AGWS-TS-00246602,Solar generation,"Solar",2018-12-26,38,1
NGET-EMFIP-AGWS-TS-00246601,Wind generation,"Wind Onshore",2018-12-26,37,2349.215
NGET-EMFIP-AGWS-TS-00246600,Wind generation,"Wind Offshore",2018-12-26,37,901.821
NGET-EMFIP-AGWS-TS-00246599,Solar generation,"Solar",2018-12-26,37,0
NGET-EMFIP-AGWS-TS-00246598,Wind generation,"Wind Onshore",2018-12-26,36,2482.414
NGET-EMFIP-AGWS-TS-00246597,Wind generation,"Wind Offshore",2018-12-26,36,838.051
NGET-EMFIP-AGWS-TS-00246596,Solar generation,"Solar",2018-12-26,36,0
NGET-EMFIP-AGWS-TS-00246595,Wind generation,"Wind Onshore",2018-12-26,35,2388.958
NGET-EMFIP-AGWS-TS-00246594,Wind generation,"Wind Offshore",2018-12-26,35,887.246
NGET-EMFIP-AGWS-TS-00246593,Solar generation,"Solar",2018-12-26,35,0
NGET-EMFIP-AGWS-TS-00246592,Wind generation,"Wind Onshore",2018-12-26,34,2398.897
NGET-EMFIP-AGWS-TS-00246591,Wind generation,"Wind Offshore",2018-12-26,34,793.358
NGET-EMFIP-AGWS-TS-00246590,Solar generation,"Solar",2018-12-26,34,0
NGET-EMFIP-AGWS-TS-00246589,Wind generation,"Wind Onshore",2018-12-26,33,2435.439
NGET-EMFIP-AGWS-TS-00246588,Wind generation,"Wind Offshore",2018-12-26,33,868.799
NGET-EMFIP-AGWS-TS-00246587,Solar generation,"Solar",2018-12-26,33,0
NGET-EMFIP-AGWS-TS-00246586,Wind generation,"Wind Onshore",2018-12-26,32,2565.911
NGET-EMFIP-AGWS-TS-00246585,Wind generation,"Wind Offshore",2018-12-26,32,959.331
NGET-EMFIP-AGWS-TS-00246584,Solar generation,"Solar",2018-12-26,32,8
NGET-EMFIP-AGWS-TS-00246583,Wind generation,"Wind Onshore",2018-12-26,31,2625.726
NGET-EMFIP-AGWS-TS-00246582,Wind generation,"Wind Offshore",2018-12-26,31,939.424
NGET-EMFIP-AGWS-TS-00246581,Solar generation,"Solar",2018-12-26,31,93
NGET-EMFIP-AGWS-TS-00246580,Wind generation,"Wind Onshore",2018-12-26,30,2635.55
NGET-EMFIP-AGWS-TS-00246579,Wind generation,"Wind Offshore",2018-12-26,30,913.299
NGET-EMFIP-AGWS-TS-00246578,Solar generation,"Solar",2018-12-26,30,265
NGET-EMFIP-AGWS-TS-00246577,Wind generation,"Wind Onshore",2018-12-26,29,2682.838
NGET-EMFIP-AGWS-TS-00246576,Wind generation,"Wind Offshore",2018-12-26,29,917.616
NGET-EMFIP-AGWS-TS-00246575,Solar generation,"Solar",2018-12-26,29,471
NGET-EMFIP-AGWS-TS-00246574,Wind generation,"Wind Onshore",2018-12-26,28,2642.295
NGET-EMFIP-AGWS-TS-00246573,Wind generation,"Wind Offshore",2018-12-26,28,863.162
NGET-EMFIP-AGWS-TS-00246572,Solar generation,"Solar",2018-12-26,28,644
NGET-EMFIP-AGWS-TS-00246571,Wind generation,"Wind Onshore",2018-12-26,27,2750.936
NGET-EMFIP-AGWS-TS-00246570,Wind generation,"Wind Offshore",2018-12-26,27,852.529
NGET-EMFIP-AGWS-TS-00246569,Solar generation,"Solar",2018-12-26,27,799
NGET-EMFIP-AGWS-TS-00246568,Wind generation,"Wind Onshore",2018-12-26,26,2749.644
NGET-EMFIP-AGWS-TS-00246567,Wind generation,"Wind Offshore",2018-12-26,26,730.071
NGET-EMFIP-AGWS-TS-00246566,Solar generation,"Solar",2018-12-26,26,849
NGET-EMFIP-AGWS-TS-00246565,Wind generation,"Wind Onshore",2018-12-26,25,2795.193
NGET-EMFIP-AGWS-TS-00246564,Wind generation,"Wind Offshore",2018-12-26,25,712.519
NGET-EMFIP-AGWS-TS-00246563,Solar generation,"Solar",2018-12-26,25,892
NGET-EMFIP-AGWS-TS-00246562,Wind generation,"Wind Onshore",2018-12-26,24,2700.884
NGET-EMFIP-AGWS-TS-00246561,Wind generation,"Wind Offshore",2018-12-26,24,734.423
NGET-EMFIP-AGWS-TS-00246560,Solar generation,"Solar",2018-12-26,24,921
NGET-EMFIP-AGWS-TS-00246559,Wind generation,"Wind Onshore",2018-12-26,23,2641.168
NGET-EMFIP-AGWS-TS-00246558,Wind generation,"Wind Offshore",2018-12-26,23,827.841
NGET-EMFIP-AGWS-TS-00246557,Solar generation,"Solar",2018-12-26,23,870
NGET-EMFIP-AGWS-TS-00246556,Wind generation,"Wind Onshore",2018-12-26,22,2762.673
NGET-EMFIP-AGWS-TS-00246555,Wind generation,"Wind Offshore",2018-12-26,22,780.116
NGET-EMFIP-AGWS-TS-00246554,Solar generation,"Solar",2018-12-26,22,733
NGET-EMFIP-AGWS-TS-00246553,Wind generation,"Wind Onshore",2018-12-26,21,2716.095
NGET-EMFIP-AGWS-TS-00246552,Wind generation,"Wind Offshore",2018-12-26,21,710.01
NGET-EMFIP-AGWS-TS-00246551,Solar generation,"Solar",2018-12-26,21,543
NGET-EMFIP-AGWS-TS-00246550,Wind generation,"Wind Onshore",2018-12-26,20,2683.729
NGET-EMFIP-AGWS-TS-00246549,Wind generation,"Wind Offshore",2018-12-26,20,713.401
NGET-EMFIP-AGWS-TS-00246548,Solar generation,"Solar",2018-12-26,20,308
NGET-EMFIP-AGWS-TS-00246547,Wind generation,"Wind Onshore",2018-12-26,19,2625.283
NGET-EMFIP-AGWS-TS-00246546,Wind generation,"Wind Offshore",2018-12-26,19,705.377
NGET-EMFIP-AGWS-TS-00246545,Solar generation,"Solar",2018-12-26,19,143
NGET-EMFIP-AGWS-TS-00246544,Wind generation,"Wind Onshore",2018-12-26,18,2529.792
NGET-EMFIP-AGWS-TS-00246543,Wind generation,"Wind Offshore",2018-12-26,18,688.154
NGET-EMFIP-AGWS-TS-00246542,Solar generation,"Solar",2018-12-26,18,26
NGET-EMFIP-AGWS-TS-00246541,Wind generation,"Wind Onshore",2018-12-26,17,2375.722
NGET-EMFIP-AGWS-TS-00246540,Wind generation,"Wind Offshore",2018-12-26,17,779.874
NGET-EMFIP-AGWS-TS-00246539,Solar generation,"Solar",2018-12-26,17,0
NGET-EMFIP-AGWS-TS-00246538,Wind generation,"Wind Onshore",2018-12-26,16,2315.222
NGET-EMFIP-AGWS-TS-00246537,Wind generation,"Wind Offshore",2018-12-26,16,818.705
NGET-EMFIP-AGWS-TS-00246536,Solar generation,"Solar",2018-12-26,16,0
NGET-EMFIP-AGWS-TS-00246535,Wind generation,"Wind Onshore",2018-12-26,15,2421.708
NGET-EMFIP-AGWS-TS-00246534,Wind generation,"Wind Offshore",2018-12-26,15,797.218
NGET-EMFIP-AGWS-TS-00246533,Solar generation,"Solar",2018-12-26,15,0
NGET-EMFIP-AGWS-TS-00246532,Wind generation,"Wind Onshore",2018-12-26,14,2579.241
NGET-EMFIP-AGWS-TS-00246531,Wind generation,"Wind Offshore",2018-12-26,14,792.649
NGET-EMFIP-AGWS-TS-00246530,Solar generation,"Solar",2018-12-26,14,0
NGET-EMFIP-AGWS-TS-00246529,Wind generation,"Wind Onshore",2018-12-26,13,2465.334
NGET-EMFIP-AGWS-TS-00246528,Wind generation,"Wind Offshore",2018-12-26,13,851.161
NGET-EMFIP-AGWS-TS-00246527,Solar generation,"Solar",2018-12-26,13,0
NGET-EMFIP-AGWS-TS-00246526,Wind generation,"Wind Onshore",2018-12-26,12,2551.472
NGET-EMFIP-AGWS-TS-00246525,Wind generation,"Wind Offshore",2018-12-26,12,871.547
NGET-EMFIP-AGWS-TS-00246524,Solar generation,"Solar",2018-12-26,12,0
NGET-EMFIP-AGWS-TS-00246523,Wind generation,"Wind Onshore",2018-12-26,11,2509.102
NGET-EMFIP-AGWS-TS-00246522,Wind generation,"Wind Offshore",2018-12-26,11,921.761
NGET-EMFIP-AGWS-TS-00246521,Solar generation,"Solar",2018-12-26,11,0
NGET-EMFIP-AGWS-TS-00246520,Wind generation,"Wind Onshore",2018-12-26,10,2529.162
NGET-EMFIP-AGWS-TS-00246519,Wind generation,"Wind Offshore",2018-12-26,10,926.67
NGET-EMFIP-AGWS-TS-00246518,Solar generation,"Solar",2018-12-26,10,0
