Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00242699,Wind generation,"Wind Onshore",2018-12-01,48,1543.354
NGET-EMFIP-AGWS-TS-00242698,Wind generation,"Wind Offshore",2018-12-01,48,2917.782
NGET-EMFIP-AGWS-TS-00242697,Solar generation,"Solar",2018-12-01,48,0
NGET-EMFIP-AGWS-TS-00242696,Wind generation,"Wind Onshore",2018-12-01,47,1540.937
NGET-EMFIP-AGWS-TS-00242695,Wind generation,"Wind Offshore",2018-12-01,47,2940.008
NGET-EMFIP-AGWS-TS-00242694,Solar generation,"Solar",2018-12-01,47,0
NGET-EMFIP-AGWS-TS-00242693,Wind generation,"Wind Onshore",2018-12-01,46,1506.078
NGET-EMFIP-AGWS-TS-00242692,Wind generation,"Wind Offshore",2018-12-01,46,2715.812
NGET-EMFIP-AGWS-TS-00242691,Solar generation,"Solar",2018-12-01,46,0
NGET-EMFIP-AGWS-TS-00242690,Wind generation,"Wind Onshore",2018-12-01,45,1526.63
NGET-EMFIP-AGWS-TS-00242689,Wind generation,"Wind Offshore",2018-12-01,45,2726.424
NGET-EMFIP-AGWS-TS-00242688,Solar generation,"Solar",2018-12-01,45,0
NGET-EMFIP-AGWS-TS-00242687,Wind generation,"Wind Onshore",2018-12-01,44,1587.663
NGET-EMFIP-AGWS-TS-00242686,Wind generation,"Wind Offshore",2018-12-01,44,2650.119
NGET-EMFIP-AGWS-TS-00242685,Solar generation,"Solar",2018-12-01,44,0
NGET-EMFIP-AGWS-TS-00242684,Wind generation,"Wind Onshore",2018-12-01,43,1625.751
NGET-EMFIP-AGWS-TS-00242683,Wind generation,"Wind Offshore",2018-12-01,43,2649.179
NGET-EMFIP-AGWS-TS-00242682,Solar generation,"Solar",2018-12-01,43,0
NGET-EMFIP-AGWS-TS-00242681,Wind generation,"Wind Onshore",2018-12-01,42,1595.803
NGET-EMFIP-AGWS-TS-00242680,Wind generation,"Wind Offshore",2018-12-01,42,2483.449
NGET-EMFIP-AGWS-TS-00242679,Solar generation,"Solar",2018-12-01,42,0
NGET-EMFIP-AGWS-TS-00242678,Wind generation,"Wind Onshore",2018-12-01,41,1597.573
NGET-EMFIP-AGWS-TS-00242677,Wind generation,"Wind Offshore",2018-12-01,41,2541.366
NGET-EMFIP-AGWS-TS-00242676,Solar generation,"Solar",2018-12-01,41,0
NGET-EMFIP-AGWS-TS-00242675,Wind generation,"Wind Onshore",2018-12-01,40,1627.709
NGET-EMFIP-AGWS-TS-00242674,Wind generation,"Wind Offshore",2018-12-01,40,2596.965
NGET-EMFIP-AGWS-TS-00242673,Solar generation,"Solar",2018-12-01,40,0
NGET-EMFIP-AGWS-TS-00242672,Wind generation,"Wind Onshore",2018-12-01,39,1540.389
NGET-EMFIP-AGWS-TS-00242671,Wind generation,"Wind Offshore",2018-12-01,39,2639.17
NGET-EMFIP-AGWS-TS-00242670,Solar generation,"Solar",2018-12-01,39,0
NGET-EMFIP-AGWS-TS-00242669,Wind generation,"Wind Onshore",2018-12-01,38,1741.486
NGET-EMFIP-AGWS-TS-00242668,Wind generation,"Wind Offshore",2018-12-01,38,2795.745
NGET-EMFIP-AGWS-TS-00242667,Solar generation,"Solar",2018-12-01,38,0
NGET-EMFIP-AGWS-TS-00242666,Wind generation,"Wind Onshore",2018-12-01,37,1787.142
NGET-EMFIP-AGWS-TS-00242665,Wind generation,"Wind Offshore",2018-12-01,37,2950.795
NGET-EMFIP-AGWS-TS-00242664,Solar generation,"Solar",2018-12-01,37,0
NGET-EMFIP-AGWS-TS-00242663,Wind generation,"Wind Onshore",2018-12-01,36,1913.888
NGET-EMFIP-AGWS-TS-00242662,Wind generation,"Wind Offshore",2018-12-01,36,2969.133
NGET-EMFIP-AGWS-TS-00242661,Solar generation,"Solar",2018-12-01,36,0
NGET-EMFIP-AGWS-TS-00242660,Wind generation,"Wind Onshore",2018-12-01,35,2053.25
NGET-EMFIP-AGWS-TS-00242659,Wind generation,"Wind Offshore",2018-12-01,35,3091.417
NGET-EMFIP-AGWS-TS-00242658,Solar generation,"Solar",2018-12-01,35,0
NGET-EMFIP-AGWS-TS-00242657,Wind generation,"Wind Onshore",2018-12-01,34,2188.714
NGET-EMFIP-AGWS-TS-00242656,Wind generation,"Wind Offshore",2018-12-01,34,3292.817
NGET-EMFIP-AGWS-TS-00242655,Solar generation,"Solar",2018-12-01,34,0
NGET-EMFIP-AGWS-TS-00242654,Wind generation,"Wind Onshore",2018-12-01,33,2219.198
NGET-EMFIP-AGWS-TS-00242653,Wind generation,"Wind Offshore",2018-12-01,33,3410.353
NGET-EMFIP-AGWS-TS-00242652,Solar generation,"Solar",2018-12-01,33,0
NGET-EMFIP-AGWS-TS-00242651,Wind generation,"Wind Onshore",2018-12-01,32,2354.32
NGET-EMFIP-AGWS-TS-00242650,Wind generation,"Wind Offshore",2018-12-01,32,3445.562
NGET-EMFIP-AGWS-TS-00242649,Solar generation,"Solar",2018-12-01,32,6
