Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00194550,Wind generation,"Wind Onshore",2018-02-12,48,5507.398
NGET-EMFIP-AGWS-TS-00194549,Wind generation,"Wind Offshore",2018-02-12,48,3358.448
NGET-EMFIP-AGWS-TS-00194548,Solar generation,"Solar",2018-02-12,48,0
NGET-EMFIP-AGWS-TS-00194547,Wind generation,"Wind Onshore",2018-02-12,47,5749.505
NGET-EMFIP-AGWS-TS-00194546,Wind generation,"Wind Offshore",2018-02-12,47,3414.904
NGET-EMFIP-AGWS-TS-00194545,Solar generation,"Solar",2018-02-12,47,0
NGET-EMFIP-AGWS-TS-00194544,Wind generation,"Wind Onshore",2018-02-12,46,5550.441
NGET-EMFIP-AGWS-TS-00194543,Wind generation,"Wind Offshore",2018-02-12,46,2991.477
NGET-EMFIP-AGWS-TS-00194542,Solar generation,"Solar",2018-02-12,46,0
NGET-EMFIP-AGWS-TS-00194541,Wind generation,"Wind Onshore",2018-02-12,45,5392.579
NGET-EMFIP-AGWS-TS-00194540,Wind generation,"Wind Offshore",2018-02-12,45,3111.399
NGET-EMFIP-AGWS-TS-00194539,Solar generation,"Solar",2018-02-12,45,0
NGET-EMFIP-AGWS-TS-00194520,Wind generation,"Wind Onshore",2018-02-12,44,5352.822
NGET-EMFIP-AGWS-TS-00194519,Wind generation,"Wind Offshore",2018-02-12,44,2930.303
NGET-EMFIP-AGWS-TS-00194518,Solar generation,"Solar",2018-02-12,44,0
NGET-EMFIP-AGWS-TS-00194517,Wind generation,"Wind Onshore",2018-02-12,43,5375.577
NGET-EMFIP-AGWS-TS-00194516,Wind generation,"Wind Offshore",2018-02-12,43,2919.233
NGET-EMFIP-AGWS-TS-00194515,Solar generation,"Solar",2018-02-12,43,0
NGET-EMFIP-AGWS-TS-00194514,Wind generation,"Wind Onshore",2018-02-12,42,5207.732
NGET-EMFIP-AGWS-TS-00194513,Wind generation,"Wind Offshore",2018-02-12,42,2992.38
NGET-EMFIP-AGWS-TS-00194512,Solar generation,"Solar",2018-02-12,42,0
NGET-EMFIP-AGWS-TS-00194511,Wind generation,"Wind Onshore",2018-02-12,41,4893.923
NGET-EMFIP-AGWS-TS-00194510,Wind generation,"Wind Offshore",2018-02-12,41,3019.55
NGET-EMFIP-AGWS-TS-00194509,Solar generation,"Solar",2018-02-12,41,0
NGET-EMFIP-AGWS-TS-00194508,Wind generation,"Wind Onshore",2018-02-12,40,4544.694
