Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00193401,Wind generation,"Wind Onshore",2018-02-05,48,1603.638
NGET-EMFIP-AGWS-TS-00193400,Wind generation,"Wind Offshore",2018-02-05,48,824.97
NGET-EMFIP-AGWS-TS-00193399,Solar generation,"Solar",2018-02-05,48,0
NGET-EMFIP-AGWS-TS-00193382,Wind generation,"Wind Onshore",2018-02-05,47,1650.129
NGET-EMFIP-AGWS-TS-00193381,Wind generation,"Wind Offshore",2018-02-05,47,869.583
NGET-EMFIP-AGWS-TS-00193380,Solar generation,"Solar",2018-02-05,47,0
NGET-EMFIP-AGWS-TS-00193379,Wind generation,"Wind Onshore",2018-02-05,46,1722.748
NGET-EMFIP-AGWS-TS-00193378,Wind generation,"Wind Offshore",2018-02-05,46,800.618
NGET-EMFIP-AGWS-TS-00193377,Solar generation,"Solar",2018-02-05,46,0
NGET-EMFIP-AGWS-TS-00193373,Wind generation,"Wind Onshore",2018-02-05,44,1724.423
NGET-EMFIP-AGWS-TS-00193372,Wind generation,"Wind Offshore",2018-02-05,44,895.647
NGET-EMFIP-AGWS-TS-00193371,Solar generation,"Solar",2018-02-05,44,0
NGET-EMFIP-AGWS-TS-00193370,Wind generation,"Wind Onshore",2018-02-05,43,1700.206
NGET-EMFIP-AGWS-TS-00193369,Wind generation,"Wind Offshore",2018-02-05,43,864.77
NGET-EMFIP-AGWS-TS-00193368,Solar generation,"Solar",2018-02-05,43,0
NGET-EMFIP-AGWS-TS-00193367,Wind generation,"Wind Onshore",2018-02-05,42,1711.54
NGET-EMFIP-AGWS-TS-00193366,Wind generation,"Wind Offshore",2018-02-05,42,975.63
NGET-EMFIP-AGWS-TS-00193365,Solar generation,"Solar",2018-02-05,42,0
NGET-EMFIP-AGWS-TS-00193364,Wind generation,"Wind Onshore",2018-02-05,41,1711.741
NGET-EMFIP-AGWS-TS-00193363,Wind generation,"Wind Offshore",2018-02-05,41,966.874
NGET-EMFIP-AGWS-TS-00193362,Solar generation,"Solar",2018-02-05,41,0
NGET-EMFIP-AGWS-TS-00193361,Wind generation,"Wind Onshore",2018-02-05,40,1705.046
NGET-EMFIP-AGWS-TS-00193360,Wind generation,"Wind Offshore",2018-02-05,40,945.314
NGET-EMFIP-AGWS-TS-00193359,Solar generation,"Solar",2018-02-05,40,0
NGET-EMFIP-AGWS-TS-00193358,Wind generation,"Wind Onshore",2018-02-05,39,1682.366
NGET-EMFIP-AGWS-TS-00193357,Wind generation,"Wind Offshore",2018-02-05,39,853.933
NGET-EMFIP-AGWS-TS-00193356,Solar generation,"Solar",2018-02-05,39,0
NGET-EMFIP-AGWS-TS-00193355,Wind generation,"Wind Onshore",2018-02-05,38,1688.595
NGET-EMFIP-AGWS-TS-00193354,Wind generation,"Wind Offshore",2018-02-05,38,957.617
NGET-EMFIP-AGWS-TS-00193353,Solar generation,"Solar",2018-02-05,38,0
NGET-EMFIP-AGWS-TS-00193352,Wind generation,"Wind Onshore",2018-02-05,37,1726.649
NGET-EMFIP-AGWS-TS-00193351,Wind generation,"Wind Offshore",2018-02-05,37,961.311
NGET-EMFIP-AGWS-TS-00193350,Solar generation,"Solar",2018-02-05,37,1
NGET-EMFIP-AGWS-TS-00193349,Wind generation,"Wind Onshore",2018-02-05,36,1735.865
NGET-EMFIP-AGWS-TS-00193348,Wind generation,"Wind Offshore",2018-02-05,36,1000.952
NGET-EMFIP-AGWS-TS-00193347,Solar generation,"Solar",2018-02-05,36,2
NGET-EMFIP-AGWS-TS-00193346,Wind generation,"Wind Onshore",2018-02-05,35,1720.617
NGET-EMFIP-AGWS-TS-00193345,Wind generation,"Wind Offshore",2018-02-05,35,1055.228
NGET-EMFIP-AGWS-TS-00193344,Solar generation,"Solar",2018-02-05,35,0
NGET-EMFIP-AGWS-TS-00193343,Wind generation,"Wind Onshore",2018-02-05,34,1685.698
NGET-EMFIP-AGWS-TS-00193342,Wind generation,"Wind Offshore",2018-02-05,34,1197.016
NGET-EMFIP-AGWS-TS-00193341,Solar generation,"Solar",2018-02-05,34,61
NGET-EMFIP-AGWS-TS-00193340,Wind generation,"Wind Onshore",2018-02-05,33,1678.612
NGET-EMFIP-AGWS-TS-00193339,Wind generation,"Wind Offshore",2018-02-05,33,1278.714
NGET-EMFIP-AGWS-TS-00193338,Solar generation,"Solar",2018-02-05,33,374
NGET-EMFIP-AGWS-TS-00193337,Wind generation,"Wind Onshore",2018-02-05,32,1729.289
NGET-EMFIP-AGWS-TS-00193336,Wind generation,"Wind Offshore",2018-02-05,32,1262.208
NGET-EMFIP-AGWS-TS-00193335,Solar generation,"Solar",2018-02-05,32,831
NGET-EMFIP-AGWS-TS-00193334,Wind generation,"Wind Onshore",2018-02-05,31,1768.259
NGET-EMFIP-AGWS-TS-00193333,Wind generation,"Wind Offshore",2018-02-05,31,1163.887
NGET-EMFIP-AGWS-TS-00193332,Solar generation,"Solar",2018-02-05,31,1310
NGET-EMFIP-AGWS-TS-00193331,Wind generation,"Wind Onshore",2018-02-05,30,1793.384
NGET-EMFIP-AGWS-TS-00193330,Wind generation,"Wind Offshore",2018-02-05,30,1118.979
NGET-EMFIP-AGWS-TS-00193329,Solar generation,"Solar",2018-02-05,30,1830
NGET-EMFIP-AGWS-TS-00193328,Wind generation,"Wind Onshore",2018-02-05,29,1776.908
NGET-EMFIP-AGWS-TS-00193327,Wind generation,"Wind Offshore",2018-02-05,29,1158.331
NGET-EMFIP-AGWS-TS-00193326,Solar generation,"Solar",2018-02-05,29,2040
NGET-EMFIP-AGWS-TS-00193325,Wind generation,"Wind Onshore",2018-02-05,28,1804.378
NGET-EMFIP-AGWS-TS-00193324,Wind generation,"Wind Offshore",2018-02-05,28,1040.986
NGET-EMFIP-AGWS-TS-00193323,Solar generation,"Solar",2018-02-05,28,2430
NGET-EMFIP-AGWS-TS-00193322,Wind generation,"Wind Onshore",2018-02-05,27,1787.389
NGET-EMFIP-AGWS-TS-00193321,Wind generation,"Wind Offshore",2018-02-05,27,1039.709
NGET-EMFIP-AGWS-TS-00193320,Solar generation,"Solar",2018-02-05,27,3637
NGET-EMFIP-AGWS-TS-00193319,Wind generation,"Wind Onshore",2018-02-05,26,1790.218
NGET-EMFIP-AGWS-TS-00193318,Wind generation,"Wind Offshore",2018-02-05,26,1239.903
NGET-EMFIP-AGWS-TS-00193317,Solar generation,"Solar",2018-02-05,26,3040
NGET-EMFIP-AGWS-TS-00193316,Wind generation,"Wind Onshore",2018-02-05,25,1790.333
NGET-EMFIP-AGWS-TS-00193315,Wind generation,"Wind Offshore",2018-02-05,25,1242.062
NGET-EMFIP-AGWS-TS-00193314,Solar generation,"Solar",2018-02-05,25,3230
NGET-EMFIP-AGWS-TS-00193313,Wind generation,"Wind Onshore",2018-02-05,24,1720.213
NGET-EMFIP-AGWS-TS-00193312,Wind generation,"Wind Offshore",2018-02-05,24,1261.551
NGET-EMFIP-AGWS-TS-00193311,Solar generation,"Solar",2018-02-05,24,3210
NGET-EMFIP-AGWS-TS-00193310,Wind generation,"Wind Onshore",2018-02-05,23,1725.28
NGET-EMFIP-AGWS-TS-00193309,Wind generation,"Wind Offshore",2018-02-05,23,1426.204
NGET-EMFIP-AGWS-TS-00193308,Solar generation,"Solar",2018-02-05,23,3250
NGET-EMFIP-AGWS-TS-00193307,Wind generation,"Wind Onshore",2018-02-05,22,1677.086
NGET-EMFIP-AGWS-TS-00193306,Wind generation,"Wind Offshore",2018-02-05,22,1554.21
NGET-EMFIP-AGWS-TS-00193305,Solar generation,"Solar",2018-02-05,22,2900
NGET-EMFIP-AGWS-TS-00193301,Wind generation,"Wind Onshore",2018-02-05,20,1615.909
NGET-EMFIP-AGWS-TS-00193300,Wind generation,"Wind Offshore",2018-02-05,20,1503.911
NGET-EMFIP-AGWS-TS-00193299,Solar generation,"Solar",2018-02-05,20,1940
NGET-EMFIP-AGWS-TS-00193281,Wind generation,"Wind Onshore",2018-02-05,19,1642.141
NGET-EMFIP-AGWS-TS-00193280,Wind generation,"Wind Offshore",2018-02-05,19,1622.276
NGET-EMFIP-AGWS-TS-00193279,Solar generation,"Solar",2018-02-05,19,1350
NGET-EMFIP-AGWS-TS-00193278,Wind generation,"Wind Onshore",2018-02-05,18,1670.276
NGET-EMFIP-AGWS-TS-00193277,Wind generation,"Wind Offshore",2018-02-05,18,1482.938
NGET-EMFIP-AGWS-TS-00193276,Solar generation,"Solar",2018-02-05,18,775
NGET-EMFIP-AGWS-TS-00193275,Wind generation,"Wind Onshore",2018-02-05,17,1647.251
NGET-EMFIP-AGWS-TS-00193274,Wind generation,"Wind Offshore",2018-02-05,17,1437.547
NGET-EMFIP-AGWS-TS-00193273,Solar generation,"Solar",2018-02-05,17,246
NGET-EMFIP-AGWS-TS-00193272,Wind generation,"Wind Onshore",2018-02-05,16,1554.822
NGET-EMFIP-AGWS-TS-00193271,Wind generation,"Wind Offshore",2018-02-05,16,1469.074
NGET-EMFIP-AGWS-TS-00193270,Solar generation,"Solar",2018-02-05,16,14
NGET-EMFIP-AGWS-TS-00193269,Wind generation,"Wind Onshore",2018-02-05,15,1517.854
NGET-EMFIP-AGWS-TS-00193268,Wind generation,"Wind Offshore",2018-02-05,15,1575.258
NGET-EMFIP-AGWS-TS-00193267,Solar generation,"Solar",2018-02-05,15,0
