Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00189546,Wind generation,"Wind Onshore",2018-01-12,48,5399.207
NGET-EMFIP-AGWS-TS-00189545,Wind generation,"Wind Offshore",2018-01-12,48,1429.146
NGET-EMFIP-AGWS-TS-00189544,Solar generation,"Solar",2018-01-12,48,0
NGET-EMFIP-AGWS-TS-00189543,Wind generation,"Wind Onshore",2018-01-12,47,5576.768
NGET-EMFIP-AGWS-TS-00189542,Wind generation,"Wind Offshore",2018-01-12,47,1409.877
NGET-EMFIP-AGWS-TS-00189541,Solar generation,"Solar",2018-01-12,47,0
NGET-EMFIP-AGWS-TS-00189540,Wind generation,"Wind Onshore",2018-01-12,46,5573.975
NGET-EMFIP-AGWS-TS-00189539,Wind generation,"Wind Offshore",2018-01-12,46,1388.921
NGET-EMFIP-AGWS-TS-00189538,Solar generation,"Solar",2018-01-12,46,0
NGET-EMFIP-AGWS-TS-00189537,Wind generation,"Wind Onshore",2018-01-12,45,5499.401
NGET-EMFIP-AGWS-TS-00189536,Wind generation,"Wind Offshore",2018-01-12,45,1414.817
NGET-EMFIP-AGWS-TS-00189535,Solar generation,"Solar",2018-01-12,45,0
NGET-EMFIP-AGWS-TS-00189534,Wind generation,"Wind Onshore",2018-01-12,44,5354.07
NGET-EMFIP-AGWS-TS-00189533,Wind generation,"Wind Offshore",2018-01-12,44,1336.978
NGET-EMFIP-AGWS-TS-00189532,Solar generation,"Solar",2018-01-12,44,0
NGET-EMFIP-AGWS-TS-00189531,Wind generation,"Wind Onshore",2018-01-12,43,5324.375
NGET-EMFIP-AGWS-TS-00189530,Wind generation,"Wind Offshore",2018-01-12,43,1349.88
NGET-EMFIP-AGWS-TS-00189529,Solar generation,"Solar",2018-01-12,43,0
NGET-EMFIP-AGWS-TS-00189528,Wind generation,"Wind Onshore",2018-01-12,42,5360.271
NGET-EMFIP-AGWS-TS-00189527,Wind generation,"Wind Offshore",2018-01-12,42,1258.776
NGET-EMFIP-AGWS-TS-00189526,Solar generation,"Solar",2018-01-12,42,0
NGET-EMFIP-AGWS-TS-00189525,Wind generation,"Wind Onshore",2018-01-12,41,5516.771
NGET-EMFIP-AGWS-TS-00189524,Wind generation,"Wind Offshore",2018-01-12,41,1250.816
NGET-EMFIP-AGWS-TS-00189523,Solar generation,"Solar",2018-01-12,41,0
NGET-EMFIP-AGWS-TS-00189522,Wind generation,"Wind Onshore",2018-01-12,40,5460.242
NGET-EMFIP-AGWS-TS-00189521,Wind generation,"Wind Offshore",2018-01-12,40,1188.266
NGET-EMFIP-AGWS-TS-00189520,Solar generation,"Solar",2018-01-12,40,0
NGET-EMFIP-AGWS-TS-00189519,Wind generation,"Wind Onshore",2018-01-12,39,5464.102
NGET-EMFIP-AGWS-TS-00189518,Wind generation,"Wind Offshore",2018-01-12,39,1176.397
NGET-EMFIP-AGWS-TS-00189517,Solar generation,"Solar",2018-01-12,39,0
NGET-EMFIP-AGWS-TS-00189516,Wind generation,"Wind Onshore",2018-01-12,38,5442.921
NGET-EMFIP-AGWS-TS-00189515,Wind generation,"Wind Offshore",2018-01-12,38,1112.846
NGET-EMFIP-AGWS-TS-00189514,Solar generation,"Solar",2018-01-12,38,0
NGET-EMFIP-AGWS-TS-00189513,Wind generation,"Wind Onshore",2018-01-12,37,5344.64
NGET-EMFIP-AGWS-TS-00189512,Wind generation,"Wind Offshore",2018-01-12,37,1065.453
NGET-EMFIP-AGWS-TS-00189511,Solar generation,"Solar",2018-01-12,37,0
NGET-EMFIP-AGWS-TS-00189510,Wind generation,"Wind Onshore",2018-01-12,36,5113.15
NGET-EMFIP-AGWS-TS-00189509,Wind generation,"Wind Offshore",2018-01-12,36,961.545
NGET-EMFIP-AGWS-TS-00189508,Solar generation,"Solar",2018-01-12,36,0
NGET-EMFIP-AGWS-TS-00189507,Wind generation,"Wind Onshore",2018-01-12,35,4854.521
NGET-EMFIP-AGWS-TS-00189506,Wind generation,"Wind Offshore",2018-01-12,35,912.069
NGET-EMFIP-AGWS-TS-00189505,Solar generation,"Solar",2018-01-12,35,0
NGET-EMFIP-AGWS-TS-00189504,Wind generation,"Wind Onshore",2018-01-12,34,4839.017
NGET-EMFIP-AGWS-TS-00189503,Wind generation,"Wind Offshore",2018-01-12,34,906.022
NGET-EMFIP-AGWS-TS-00189502,Solar generation,"Solar",2018-01-12,34,0
