Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00188658,Wind generation,Wind Onshore,06/01/2018,48,2103.491
NGET-EMFIP-AGWS-TS-00188657,Wind generation,Wind Offshore,06/01/2018,48,2795.74
NGET-EMFIP-AGWS-TS-00188656,Solar generation,Solar,06/01/2018,48,0
NGET-EMFIP-AGWS-TS-00188655,Wind generation,Wind Onshore,06/01/2018,47,2137.993
NGET-EMFIP-AGWS-TS-00188654,Wind generation,Wind Offshore,06/01/2018,47,2839.769
NGET-EMFIP-AGWS-TS-00188653,Solar generation,Solar,06/01/2018,47,0
NGET-EMFIP-AGWS-TS-00188652,Wind generation,Wind Onshore,06/01/2018,46,2232.756
NGET-EMFIP-AGWS-TS-00188651,Wind generation,Wind Offshore,06/01/2018,46,2798.541
NGET-EMFIP-AGWS-TS-00188650,Solar generation,Solar,06/01/2018,46,0
NGET-EMFIP-AGWS-TS-00188649,Wind generation,Wind Onshore,06/01/2018,45,2327.564
NGET-EMFIP-AGWS-TS-00188648,Wind generation,Wind Offshore,06/01/2018,45,2830.377
NGET-EMFIP-AGWS-TS-00188647,Solar generation,Solar,06/01/2018,45,0
NGET-EMFIP-AGWS-TS-00188646,Wind generation,Wind Onshore,06/01/2018,44,2537.515
NGET-EMFIP-AGWS-TS-00188645,Wind generation,Wind Offshore,06/01/2018,44,2785.961
NGET-EMFIP-AGWS-TS-00188644,Solar generation,Solar,06/01/2018,44,0
NGET-EMFIP-AGWS-TS-00188643,Wind generation,Wind Onshore,06/01/2018,43,2561.759
NGET-EMFIP-AGWS-TS-00188642,Wind generation,Wind Offshore,06/01/2018,43,2872.556
NGET-EMFIP-AGWS-TS-00188641,Solar generation,Solar,06/01/2018,43,0
NGET-EMFIP-AGWS-TS-00188640,Wind generation,Wind Onshore,06/01/2018,42,2807.507
NGET-EMFIP-AGWS-TS-00188639,Wind generation,Wind Offshore,06/01/2018,42,2965.568
NGET-EMFIP-AGWS-TS-00188638,Solar generation,Solar,06/01/2018,42,0
NGET-EMFIP-AGWS-TS-00188637,Wind generation,Wind Onshore,06/01/2018,41,2884.861
NGET-EMFIP-AGWS-TS-00188636,Wind generation,Wind Offshore,06/01/2018,41,3110.523
NGET-EMFIP-AGWS-TS-00188635,Solar generation,Solar,06/01/2018,41,0
NGET-EMFIP-AGWS-TS-00188634,Wind generation,Wind Onshore,06/01/2018,40,3009.094
NGET-EMFIP-AGWS-TS-00188633,Wind generation,Wind Offshore,06/01/2018,40,3109.341
NGET-EMFIP-AGWS-TS-00188632,Solar generation,Solar,06/01/2018,40,0
NGET-EMFIP-AGWS-TS-00188631,Wind generation,Wind Onshore,06/01/2018,39,2976.222
NGET-EMFIP-AGWS-TS-00188630,Wind generation,Wind Offshore,06/01/2018,39,3306.781
NGET-EMFIP-AGWS-TS-00188629,Solar generation,Solar,06/01/2018,39,0
NGET-EMFIP-AGWS-TS-00188628,Wind generation,Wind Onshore,06/01/2018,38,3117.534
NGET-EMFIP-AGWS-TS-00188627,Wind generation,Wind Offshore,06/01/2018,38,3126.961
NGET-EMFIP-AGWS-TS-00188626,Solar generation,Solar,06/01/2018,38,0
NGET-EMFIP-AGWS-TS-00188625,Wind generation,Wind Onshore,06/01/2018,37,3180.775
NGET-EMFIP-AGWS-TS-00188624,Wind generation,Wind Offshore,06/01/2018,37,3211.633
NGET-EMFIP-AGWS-TS-00188623,Solar generation,Solar,06/01/2018,37,1
NGET-EMFIP-AGWS-TS-00188622,Wind generation,Wind Onshore,06/01/2018,36,3040.39
NGET-EMFIP-AGWS-TS-00188621,Wind generation,Wind Offshore,06/01/2018,36,3173.962
NGET-EMFIP-AGWS-TS-00188620,Solar generation,Solar,06/01/2018,36,2
NGET-EMFIP-AGWS-TS-00188619,Wind generation,Wind Onshore,06/01/2018,35,3124.849
NGET-EMFIP-AGWS-TS-00188618,Wind generation,Wind Offshore,06/01/2018,35,3230.424
NGET-EMFIP-AGWS-TS-00188617,Solar generation,Solar,06/01/2018,35,0
NGET-EMFIP-AGWS-TS-00188616,Wind generation,Wind Onshore,06/01/2018,34,3401.941
NGET-EMFIP-AGWS-TS-00188615,Wind generation,Wind Offshore,06/01/2018,34,3149.502
NGET-EMFIP-AGWS-TS-00188614,Solar generation,Solar,06/01/2018,34,3
NGET-EMFIP-AGWS-TS-00188613,Wind generation,Wind Onshore,06/01/2018,33,3507.498
NGET-EMFIP-AGWS-TS-00188612,Wind generation,Wind Offshore,06/01/2018,33,3117.505
NGET-EMFIP-AGWS-TS-00188611,Solar generation,Solar,06/01/2018,33,9
NGET-EMFIP-AGWS-TS-00188610,Wind generation,Wind Onshore,06/01/2018,32,3778.253
NGET-EMFIP-AGWS-TS-00188609,Wind generation,Wind Offshore,06/01/2018,32,3122.142
NGET-EMFIP-AGWS-TS-00188608,Solar generation,Solar,06/01/2018,32,107
NGET-EMFIP-AGWS-TS-00188607,Wind generation,Wind Onshore,06/01/2018,31,3705.622
NGET-EMFIP-AGWS-TS-00188606,Wind generation,Wind Offshore,06/01/2018,31,3229.696
NGET-EMFIP-AGWS-TS-00188605,Solar generation,Solar,06/01/2018,31,380
NGET-EMFIP-AGWS-TS-00188604,Wind generation,Wind Onshore,06/01/2018,30,3850.625
NGET-EMFIP-AGWS-TS-00188603,Wind generation,Wind Offshore,06/01/2018,30,3221.164
NGET-EMFIP-AGWS-TS-00188602,Solar generation,Solar,06/01/2018,30,765
NGET-EMFIP-AGWS-TS-00188601,Wind generation,Wind Onshore,06/01/2018,29,3864.947
NGET-EMFIP-AGWS-TS-00188600,Wind generation,Wind Offshore,06/01/2018,29,3003.391
NGET-EMFIP-AGWS-TS-00188599,Solar generation,Solar,06/01/2018,29,1080
NGET-EMFIP-AGWS-TS-00188598,Wind generation,Wind Onshore,06/01/2018,28,4080.55
NGET-EMFIP-AGWS-TS-00188597,Wind generation,Wind Offshore,06/01/2018,28,2976.13
NGET-EMFIP-AGWS-TS-00188596,Solar generation,Solar,06/01/2018,28,1390
NGET-EMFIP-AGWS-TS-00188595,Wind generation,Wind Onshore,06/01/2018,27,4130.053
NGET-EMFIP-AGWS-TS-00188594,Wind generation,Wind Offshore,06/01/2018,27,2831.628
NGET-EMFIP-AGWS-TS-00188593,Solar generation,Solar,06/01/2018,27,1807
NGET-EMFIP-AGWS-TS-00188592,Wind generation,Wind Onshore,06/01/2018,26,4309.287
NGET-EMFIP-AGWS-TS-00188591,Wind generation,Wind Offshore,06/01/2018,26,2355.586
NGET-EMFIP-AGWS-TS-00188590,Solar generation,Solar,06/01/2018,26,1690
NGET-EMFIP-AGWS-TS-00188589,Wind generation,Wind Onshore,06/01/2018,25,4159.587
NGET-EMFIP-AGWS-TS-00188588,Wind generation,Wind Offshore,06/01/2018,25,2282.275
NGET-EMFIP-AGWS-TS-00188587,Solar generation,Solar,06/01/2018,25,1840
NGET-EMFIP-AGWS-TS-00188586,Wind generation,Wind Onshore,06/01/2018,24,4266.357
NGET-EMFIP-AGWS-TS-00188585,Wind generation,Wind Offshore,06/01/2018,24,2557.17
NGET-EMFIP-AGWS-TS-00188584,Solar generation,Solar,06/01/2018,24,1890
NGET-EMFIP-AGWS-TS-00188583,Wind generation,Wind Onshore,06/01/2018,23,4493.68
NGET-EMFIP-AGWS-TS-00188582,Wind generation,Wind Offshore,06/01/2018,23,2283.996
NGET-EMFIP-AGWS-TS-00188581,Solar generation,Solar,06/01/2018,23,1680
NGET-EMFIP-AGWS-TS-00188580,Wind generation,Wind Onshore,06/01/2018,22,4726.812
NGET-EMFIP-AGWS-TS-00188579,Wind generation,Wind Offshore,06/01/2018,22,2283.927
NGET-EMFIP-AGWS-TS-00188578,Solar generation,Solar,06/01/2018,22,1490
NGET-EMFIP-AGWS-TS-00188577,Wind generation,Wind Onshore,06/01/2018,21,4980.448
NGET-EMFIP-AGWS-TS-00188576,Wind generation,Wind Offshore,06/01/2018,21,2019.139
