Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00189090,Wind generation,"Wind Onshore",2018-01-09,48,3539.213
NGET-EMFIP-AGWS-TS-00189089,Wind generation,"Wind Offshore",2018-01-09,48,1549.952
NGET-EMFIP-AGWS-TS-00189088,Solar generation,"Solar",2018-01-09,48,0
NGET-EMFIP-AGWS-TS-00189087,Wind generation,"Wind Onshore",2018-01-09,47,3642.384
NGET-EMFIP-AGWS-TS-00189086,Wind generation,"Wind Offshore",2018-01-09,47,1525.968
NGET-EMFIP-AGWS-TS-00189085,Solar generation,"Solar",2018-01-09,47,0
NGET-EMFIP-AGWS-TS-00189084,Wind generation,"Wind Onshore",2018-01-09,46,3800.108
NGET-EMFIP-AGWS-TS-00189083,Wind generation,"Wind Offshore",2018-01-09,46,1484.994
NGET-EMFIP-AGWS-TS-00189082,Solar generation,"Solar",2018-01-09,46,0
NGET-EMFIP-AGWS-TS-00189081,Wind generation,"Wind Onshore",2018-01-09,45,3934.827
NGET-EMFIP-AGWS-TS-00189080,Wind generation,"Wind Offshore",2018-01-09,45,1518.163
NGET-EMFIP-AGWS-TS-00189079,Solar generation,"Solar",2018-01-09,45,0
NGET-EMFIP-AGWS-TS-00189078,Wind generation,"Wind Onshore",2018-01-09,44,4028.03
NGET-EMFIP-AGWS-TS-00189077,Wind generation,"Wind Offshore",2018-01-09,44,1591.864
NGET-EMFIP-AGWS-TS-00189076,Solar generation,"Solar",2018-01-09,44,0
NGET-EMFIP-AGWS-TS-00189075,Wind generation,"Wind Onshore",2018-01-09,43,3944.762
NGET-EMFIP-AGWS-TS-00189074,Wind generation,"Wind Offshore",2018-01-09,43,1885.049
NGET-EMFIP-AGWS-TS-00189073,Solar generation,"Solar",2018-01-09,43,0
NGET-EMFIP-AGWS-TS-00189072,Wind generation,"Wind Onshore",2018-01-09,42,4096.14
NGET-EMFIP-AGWS-TS-00189071,Wind generation,"Wind Offshore",2018-01-09,42,1683.027
NGET-EMFIP-AGWS-TS-00189070,Solar generation,"Solar",2018-01-09,42,0
NGET-EMFIP-AGWS-TS-00189069,Wind generation,"Wind Onshore",2018-01-09,41,4189.789
NGET-EMFIP-AGWS-TS-00189068,Wind generation,"Wind Offshore",2018-01-09,41,1521.741
NGET-EMFIP-AGWS-TS-00189067,Solar generation,"Solar",2018-01-09,41,0
NGET-EMFIP-AGWS-TS-00189066,Wind generation,"Wind Onshore",2018-01-09,40,4368.022
NGET-EMFIP-AGWS-TS-00189065,Wind generation,"Wind Offshore",2018-01-09,40,1291.334
NGET-EMFIP-AGWS-TS-00189064,Solar generation,"Solar",2018-01-09,40,0
NGET-EMFIP-AGWS-TS-00189063,Wind generation,"Wind Onshore",2018-01-09,39,4427.191
NGET-EMFIP-AGWS-TS-00189062,Wind generation,"Wind Offshore",2018-01-09,39,1222.626
NGET-EMFIP-AGWS-TS-00189061,Solar generation,"Solar",2018-01-09,39,0
NGET-EMFIP-AGWS-TS-00189060,Wind generation,"Wind Onshore",2018-01-09,38,4339.826
NGET-EMFIP-AGWS-TS-00189059,Wind generation,"Wind Offshore",2018-01-09,38,1125.655
NGET-EMFIP-AGWS-TS-00189058,Solar generation,"Solar",2018-01-09,38,0
NGET-EMFIP-AGWS-TS-00189057,Wind generation,"Wind Onshore",2018-01-09,37,4645.327
NGET-EMFIP-AGWS-TS-00189056,Wind generation,"Wind Offshore",2018-01-09,37,1082.151
NGET-EMFIP-AGWS-TS-00189055,Solar generation,"Solar",2018-01-09,37,0
NGET-EMFIP-AGWS-TS-00189054,Wind generation,"Wind Onshore",2018-01-09,36,4742.921
NGET-EMFIP-AGWS-TS-00189053,Wind generation,"Wind Offshore",2018-01-09,36,1062.053
NGET-EMFIP-AGWS-TS-00189052,Solar generation,"Solar",2018-01-09,36,0
NGET-EMFIP-AGWS-TS-00189051,Wind generation,"Wind Onshore",2018-01-09,35,4754.291
NGET-EMFIP-AGWS-TS-00189050,Wind generation,"Wind Offshore",2018-01-09,35,1097.687
NGET-EMFIP-AGWS-TS-00189049,Solar generation,"Solar",2018-01-09,35,0
NGET-EMFIP-AGWS-TS-00189048,Wind generation,"Wind Onshore",2018-01-09,34,4606.213
NGET-EMFIP-AGWS-TS-00189047,Wind generation,"Wind Offshore",2018-01-09,34,1181.649
NGET-EMFIP-AGWS-TS-00189046,Solar generation,"Solar",2018-01-09,34,0
NGET-EMFIP-AGWS-TS-00189045,Wind generation,"Wind Onshore",2018-01-09,33,4762.747
NGET-EMFIP-AGWS-TS-00189044,Wind generation,"Wind Offshore",2018-01-09,33,1223.202
NGET-EMFIP-AGWS-TS-00189043,Solar generation,"Solar",2018-01-09,33,0
NGET-EMFIP-AGWS-TS-00189042,Wind generation,"Wind Onshore",2018-01-09,32,4670.576
NGET-EMFIP-AGWS-TS-00189041,Wind generation,"Wind Offshore",2018-01-09,32,1212.741
NGET-EMFIP-AGWS-TS-00189040,Solar generation,"Solar",2018-01-09,32,7
NGET-EMFIP-AGWS-TS-00189039,Wind generation,"Wind Onshore",2018-01-09,31,4653.018
NGET-EMFIP-AGWS-TS-00189038,Wind generation,"Wind Offshore",2018-01-09,31,1347.042
NGET-EMFIP-AGWS-TS-00189037,Solar generation,"Solar",2018-01-09,31,42
NGET-EMFIP-AGWS-TS-00189036,Wind generation,"Wind Onshore",2018-01-09,30,4672.942
NGET-EMFIP-AGWS-TS-00189035,Wind generation,"Wind Offshore",2018-01-09,30,1368.947
NGET-EMFIP-AGWS-TS-00189034,Solar generation,"Solar",2018-01-09,30,109
NGET-EMFIP-AGWS-TS-00189033,Wind generation,"Wind Onshore",2018-01-09,29,4587.913
