Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00219728,Wind generation,"Wind Onshore",2018-07-15,48,1652.052
NGET-EMFIP-AGWS-TS-00219727,Wind generation,"Wind Offshore",2018-07-15,48,994.429
NGET-EMFIP-AGWS-TS-00219726,Solar generation,"Solar",2018-07-15,48,0
NGET-EMFIP-AGWS-TS-00219725,Wind generation,"Wind Onshore",2018-07-15,47,1715.336
NGET-EMFIP-AGWS-TS-00219724,Wind generation,"Wind Offshore",2018-07-15,47,1040.234
NGET-EMFIP-AGWS-TS-00219723,Solar generation,"Solar",2018-07-15,47,0
NGET-EMFIP-AGWS-TS-00219722,Wind generation,"Wind Onshore",2018-07-15,46,1739.907
NGET-EMFIP-AGWS-TS-00219721,Wind generation,"Wind Offshore",2018-07-15,46,1131.65
NGET-EMFIP-AGWS-TS-00219720,Solar generation,"Solar",2018-07-15,46,0
NGET-EMFIP-AGWS-TS-00219719,Wind generation,"Wind Onshore",2018-07-15,45,1767.086
NGET-EMFIP-AGWS-TS-00219718,Wind generation,"Wind Offshore",2018-07-15,45,1179.684
NGET-EMFIP-AGWS-TS-00219717,Solar generation,"Solar",2018-07-15,45,7
NGET-EMFIP-AGWS-TS-00219716,Wind generation,"Wind Onshore",2018-07-15,44,1821.688
NGET-EMFIP-AGWS-TS-00219715,Wind generation,"Wind Offshore",2018-07-15,44,1267.712
NGET-EMFIP-AGWS-TS-00219714,Solar generation,"Solar",2018-07-15,44,6
NGET-EMFIP-AGWS-TS-00219713,Wind generation,"Wind Onshore",2018-07-15,43,1807.494
NGET-EMFIP-AGWS-TS-00219712,Wind generation,"Wind Offshore",2018-07-15,43,1403.47
NGET-EMFIP-AGWS-TS-00219711,Solar generation,"Solar",2018-07-15,43,486
NGET-EMFIP-AGWS-TS-00219710,Wind generation,"Wind Onshore",2018-07-15,42,1889.525
NGET-EMFIP-AGWS-TS-00219709,Wind generation,"Wind Offshore",2018-07-15,42,1326.137
NGET-EMFIP-AGWS-TS-00219708,Solar generation,"Solar",2018-07-15,42,150
NGET-EMFIP-AGWS-TS-00219707,Wind generation,"Wind Onshore",2018-07-15,41,1902.004
NGET-EMFIP-AGWS-TS-00219706,Wind generation,"Wind Offshore",2018-07-15,41,1366.984
NGET-EMFIP-AGWS-TS-00219705,Solar generation,"Solar",2018-07-15,41,483
NGET-EMFIP-AGWS-TS-00219704,Wind generation,"Wind Onshore",2018-07-15,40,2008.724
NGET-EMFIP-AGWS-TS-00219703,Wind generation,"Wind Offshore",2018-07-15,40,1406.331
NGET-EMFIP-AGWS-TS-00219702,Solar generation,"Solar",2018-07-15,40,959
NGET-EMFIP-AGWS-TS-00219701,Wind generation,"Wind Onshore",2018-07-15,39,2049.029
NGET-EMFIP-AGWS-TS-00219700,Wind generation,"Wind Offshore",2018-07-15,39,1416.447
NGET-EMFIP-AGWS-TS-00219699,Solar generation,"Solar",2018-07-15,39,1550
NGET-EMFIP-AGWS-TS-00219698,Wind generation,"Wind Onshore",2018-07-15,38,2055.108
NGET-EMFIP-AGWS-TS-00219697,Wind generation,"Wind Offshore",2018-07-15,38,1251.374
NGET-EMFIP-AGWS-TS-00219696,Solar generation,"Solar",2018-07-15,38,2200
NGET-EMFIP-AGWS-TS-00219695,Wind generation,"Wind Onshore",2018-07-15,37,2011.82
NGET-EMFIP-AGWS-TS-00219694,Wind generation,"Wind Offshore",2018-07-15,37,1212.464
NGET-EMFIP-AGWS-TS-00219693,Solar generation,"Solar",2018-07-15,37,2940
NGET-EMFIP-AGWS-TS-00219692,Wind generation,"Wind Onshore",2018-07-15,36,2118.972
NGET-EMFIP-AGWS-TS-00219691,Wind generation,"Wind Offshore",2018-07-15,36,1162.008
NGET-EMFIP-AGWS-TS-00219690,Solar generation,"Solar",2018-07-15,36,3660
NGET-EMFIP-AGWS-TS-00219689,Wind generation,"Wind Onshore",2018-07-15,35,2029.383
NGET-EMFIP-AGWS-TS-00219688,Wind generation,"Wind Offshore",2018-07-15,35,1070.841
NGET-EMFIP-AGWS-TS-00219687,Solar generation,"Solar",2018-07-15,35,4450
NGET-EMFIP-AGWS-TS-00219686,Wind generation,"Wind Onshore",2018-07-15,34,1983.545
NGET-EMFIP-AGWS-TS-00219685,Wind generation,"Wind Offshore",2018-07-15,34,993.335
NGET-EMFIP-AGWS-TS-00219684,Solar generation,"Solar",2018-07-15,34,5220
NGET-EMFIP-AGWS-TS-00219683,Wind generation,"Wind Onshore",2018-07-15,33,1945.827
NGET-EMFIP-AGWS-TS-00219682,Wind generation,"Wind Offshore",2018-07-15,33,870.97
NGET-EMFIP-AGWS-TS-00219681,Solar generation,"Solar",2018-07-15,33,5890
NGET-EMFIP-AGWS-TS-00219680,Wind generation,"Wind Onshore",2018-07-15,32,1932.587
NGET-EMFIP-AGWS-TS-00219679,Wind generation,"Wind Offshore",2018-07-15,32,713.793
NGET-EMFIP-AGWS-TS-00219678,Solar generation,"Solar",2018-07-15,32,6500
NGET-EMFIP-AGWS-TS-00219677,Wind generation,"Wind Onshore",2018-07-15,31,1909.662
NGET-EMFIP-AGWS-TS-00219676,Wind generation,"Wind Offshore",2018-07-15,31,516.882
NGET-EMFIP-AGWS-TS-00219675,Solar generation,"Solar",2018-07-15,31,7090
NGET-EMFIP-AGWS-TS-00219674,Wind generation,"Wind Onshore",2018-07-15,30,1936.812
NGET-EMFIP-AGWS-TS-00219673,Wind generation,"Wind Offshore",2018-07-15,30,436.428
NGET-EMFIP-AGWS-TS-00219672,Solar generation,"Solar",2018-07-15,30,7540
NGET-EMFIP-AGWS-TS-00219671,Wind generation,"Wind Onshore",2018-07-15,29,1911.249
NGET-EMFIP-AGWS-TS-00219670,Wind generation,"Wind Offshore",2018-07-15,29,474.274
NGET-EMFIP-AGWS-TS-00219669,Solar generation,"Solar",2018-07-15,29,8023
NGET-EMFIP-AGWS-TS-00219668,Wind generation,"Wind Onshore",2018-07-15,28,1834.542
NGET-EMFIP-AGWS-TS-00219667,Wind generation,"Wind Offshore",2018-07-15,28,479.97
NGET-EMFIP-AGWS-TS-00219666,Solar generation,"Solar",2018-07-15,28,8110
NGET-EMFIP-AGWS-TS-00219665,Wind generation,"Wind Onshore",2018-07-15,27,1775.784
NGET-EMFIP-AGWS-TS-00219664,Wind generation,"Wind Offshore",2018-07-15,27,435.09
NGET-EMFIP-AGWS-TS-00219663,Solar generation,"Solar",2018-07-15,27,8160
NGET-EMFIP-AGWS-TS-00219662,Wind generation,"Wind Onshore",2018-07-15,26,1699.763
NGET-EMFIP-AGWS-TS-00219661,Wind generation,"Wind Offshore",2018-07-15,26,434.964
NGET-EMFIP-AGWS-TS-00219660,Solar generation,"Solar",2018-07-15,26,8100
NGET-EMFIP-AGWS-TS-00219659,Wind generation,"Wind Onshore",2018-07-15,25,1652.553
NGET-EMFIP-AGWS-TS-00219658,Wind generation,"Wind Offshore",2018-07-15,25,457.687
NGET-EMFIP-AGWS-TS-00219657,Solar generation,"Solar",2018-07-15,25,7920
NGET-EMFIP-AGWS-TS-00219656,Wind generation,"Wind Onshore",2018-07-15,24,1550.949
NGET-EMFIP-AGWS-TS-00219655,Wind generation,"Wind Offshore",2018-07-15,24,455.365
NGET-EMFIP-AGWS-TS-00219654,Solar generation,"Solar",2018-07-15,24,7540
NGET-EMFIP-AGWS-TS-00219653,Wind generation,"Wind Onshore",2018-07-15,23,1528.309
NGET-EMFIP-AGWS-TS-00219652,Wind generation,"Wind Offshore",2018-07-15,23,492.92
NGET-EMFIP-AGWS-TS-00219651,Solar generation,"Solar",2018-07-15,23,7150
