Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00217716,Wind generation,Wind Onshore,03/07/2018,48,1302.482
NGET-EMFIP-AGWS-TS-00217715,Wind generation,Wind Offshore,03/07/2018,48,1310.946
NGET-EMFIP-AGWS-TS-00217714,Solar generation,Solar,03/07/2018,48,0
NGET-EMFIP-AGWS-TS-00217713,Wind generation,Wind Onshore,03/07/2018,47,1243.083
NGET-EMFIP-AGWS-TS-00217712,Wind generation,Wind Offshore,03/07/2018,47,1199.958
NGET-EMFIP-AGWS-TS-00217711,Solar generation,Solar,03/07/2018,47,0
NGET-EMFIP-AGWS-TS-00217710,Wind generation,Wind Onshore,03/07/2018,46,1268.068
NGET-EMFIP-AGWS-TS-00217709,Wind generation,Wind Offshore,03/07/2018,46,1201.931
NGET-EMFIP-AGWS-TS-00217708,Solar generation,Solar,03/07/2018,46,0
NGET-EMFIP-AGWS-TS-00217707,Wind generation,Wind Onshore,03/07/2018,45,1232.709
NGET-EMFIP-AGWS-TS-00217706,Wind generation,Wind Offshore,03/07/2018,45,1301.074
NGET-EMFIP-AGWS-TS-00217705,Solar generation,Solar,03/07/2018,45,11
NGET-EMFIP-AGWS-TS-00217704,Wind generation,Wind Onshore,03/07/2018,44,1322.36
NGET-EMFIP-AGWS-TS-00217703,Wind generation,Wind Offshore,03/07/2018,44,1251.908
NGET-EMFIP-AGWS-TS-00217702,Solar generation,Solar,03/07/2018,44,6
NGET-EMFIP-AGWS-TS-00217701,Wind generation,Wind Onshore,03/07/2018,43,1338.554
NGET-EMFIP-AGWS-TS-00217700,Wind generation,Wind Offshore,03/07/2018,43,1210.308
NGET-EMFIP-AGWS-TS-00217699,Solar generation,Solar,03/07/2018,43,554
NGET-EMFIP-AGWS-TS-00217686,Wind generation,Wind Onshore,03/07/2018,42,1397.584
NGET-EMFIP-AGWS-TS-00217685,Wind generation,Wind Offshore,03/07/2018,42,1260.065
