Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00217381,Wind generation,"Wind Onshore",2018-07-01,48,1984.577
NGET-EMFIP-AGWS-TS-00217380,Wind generation,"Wind Offshore",2018-07-01,48,2172.341
NGET-EMFIP-AGWS-TS-00217379,Solar generation,"Solar",2018-07-01,48,0
NGET-EMFIP-AGWS-TS-00217378,Wind generation,"Wind Onshore",2018-07-01,47,2007.257
NGET-EMFIP-AGWS-TS-00217377,Wind generation,"Wind Offshore",2018-07-01,47,2131.681
NGET-EMFIP-AGWS-TS-00217376,Solar generation,"Solar",2018-07-01,47,0
NGET-EMFIP-AGWS-TS-00217375,Wind generation,"Wind Onshore",2018-07-01,46,2136.823
NGET-EMFIP-AGWS-TS-00217374,Wind generation,"Wind Offshore",2018-07-01,46,2130.129
NGET-EMFIP-AGWS-TS-00217373,Solar generation,"Solar",2018-07-01,46,0
NGET-EMFIP-AGWS-TS-00217372,Wind generation,"Wind Onshore",2018-07-01,45,2181.589
NGET-EMFIP-AGWS-TS-00217371,Wind generation,"Wind Offshore",2018-07-01,45,2160.449
NGET-EMFIP-AGWS-TS-00217370,Solar generation,"Solar",2018-07-01,45,9
NGET-EMFIP-AGWS-TS-00217369,Wind generation,"Wind Onshore",2018-07-01,44,2316.592
NGET-EMFIP-AGWS-TS-00217368,Wind generation,"Wind Offshore",2018-07-01,44,2332.59
NGET-EMFIP-AGWS-TS-00217367,Solar generation,"Solar",2018-07-01,44,9
NGET-EMFIP-AGWS-TS-00217366,Wind generation,"Wind Onshore",2018-07-01,43,2409.336
NGET-EMFIP-AGWS-TS-00217365,Wind generation,"Wind Offshore",2018-07-01,43,2353.716
NGET-EMFIP-AGWS-TS-00217364,Solar generation,"Solar",2018-07-01,43,49
NGET-EMFIP-AGWS-TS-00217363,Wind generation,"Wind Onshore",2018-07-01,42,2667.786
NGET-EMFIP-AGWS-TS-00217362,Wind generation,"Wind Offshore",2018-07-01,42,2347.678
NGET-EMFIP-AGWS-TS-00217361,Solar generation,"Solar",2018-07-01,42,202
NGET-EMFIP-AGWS-TS-00217360,Wind generation,"Wind Onshore",2018-07-01,41,2773.515
NGET-EMFIP-AGWS-TS-00217359,Wind generation,"Wind Offshore",2018-07-01,41,2201.294
NGET-EMFIP-AGWS-TS-00217358,Solar generation,"Solar",2018-07-01,41,483
NGET-EMFIP-AGWS-TS-00217357,Wind generation,"Wind Onshore",2018-07-01,40,2871.415
NGET-EMFIP-AGWS-TS-00217356,Wind generation,"Wind Offshore",2018-07-01,40,2060.294
NGET-EMFIP-AGWS-TS-00217355,Solar generation,"Solar",2018-07-01,40,846
NGET-EMFIP-AGWS-TS-00217354,Wind generation,"Wind Onshore",2018-07-01,39,2906.103
NGET-EMFIP-AGWS-TS-00217353,Wind generation,"Wind Offshore",2018-07-01,39,2051.677
NGET-EMFIP-AGWS-TS-00217352,Solar generation,"Solar",2018-07-01,39,1320
NGET-EMFIP-AGWS-TS-00217351,Wind generation,"Wind Onshore",2018-07-01,38,2901.794
NGET-EMFIP-AGWS-TS-00217350,Wind generation,"Wind Offshore",2018-07-01,38,2080.18
