Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00214858,Wind generation,Wind Onshore,17/06/2018,48,3441.43
NGET-EMFIP-AGWS-TS-00214857,Wind generation,Wind Offshore,17/06/2018,48,2295.433
NGET-EMFIP-AGWS-TS-00214856,Solar generation,Solar,17/06/2018,48,0
NGET-EMFIP-AGWS-TS-00214855,Wind generation,Wind Onshore,17/06/2018,47,3366.251
NGET-EMFIP-AGWS-TS-00214854,Wind generation,Wind Offshore,17/06/2018,47,2216.017
NGET-EMFIP-AGWS-TS-00214853,Solar generation,Solar,17/06/2018,47,0
NGET-EMFIP-AGWS-TS-00214852,Wind generation,Wind Onshore,17/06/2018,46,3581.706
NGET-EMFIP-AGWS-TS-00214851,Wind generation,Wind Offshore,17/06/2018,46,2194.143
NGET-EMFIP-AGWS-TS-00214850,Solar generation,Solar,17/06/2018,46,0
NGET-EMFIP-AGWS-TS-00214849,Wind generation,Wind Onshore,17/06/2018,45,3708.563
NGET-EMFIP-AGWS-TS-00214848,Wind generation,Wind Offshore,17/06/2018,45,2048.228
NGET-EMFIP-AGWS-TS-00214847,Solar generation,Solar,17/06/2018,45,5
NGET-EMFIP-AGWS-TS-00214849,Wind generation,Wind Onshore,17/06/2018,,3601.846
NGET-EMFIP-AGWS-TS-00214848,Wind generation,Wind Offshore,17/06/2018,,2086.971
NGET-EMFIP-AGWS-TS-00214847,Solar generation,Solar,17/06/2018,,83.5
NGET-EMFIP-AGWS-TS-00214843,Wind generation,Wind Onshore,17/06/2018,43,3495.129
NGET-EMFIP-AGWS-TS-00214842,Wind generation,Wind Offshore,17/06/2018,43,2125.714
NGET-EMFIP-AGWS-TS-00214841,Solar generation,Solar,17/06/2018,43,162
NGET-EMFIP-AGWS-TS-00214840,Wind generation,Wind Onshore,17/06/2018,42,3349.776
NGET-EMFIP-AGWS-TS-00214839,Wind generation,Wind Offshore,17/06/2018,42,2281.664
NGET-EMFIP-AGWS-TS-00214838,Solar generation,Solar,17/06/2018,42,53
NGET-EMFIP-AGWS-TS-00214837,Wind generation,Wind Onshore,17/06/2018,41,3255.104
NGET-EMFIP-AGWS-TS-00214836,Wind generation,Wind Offshore,17/06/2018,41,2494.819
NGET-EMFIP-AGWS-TS-00214835,Solar generation,Solar,17/06/2018,41,162
NGET-EMFIP-AGWS-TS-00214834,Wind generation,Wind Onshore,17/06/2018,40,3378.322
NGET-EMFIP-AGWS-TS-00214833,Wind generation,Wind Offshore,17/06/2018,40,2253.96
NGET-EMFIP-AGWS-TS-00214832,Solar generation,Solar,17/06/2018,40,298
NGET-EMFIP-AGWS-TS-00214831,Wind generation,Wind Onshore,17/06/2018,39,3491.63
NGET-EMFIP-AGWS-TS-00214830,Wind generation,Wind Offshore,17/06/2018,39,2023.222
NGET-EMFIP-AGWS-TS-00214829,Solar generation,Solar,17/06/2018,39,434
NGET-EMFIP-AGWS-TS-00214828,Wind generation,Wind Onshore,17/06/2018,38,3467.772
NGET-EMFIP-AGWS-TS-00214827,Wind generation,Wind Offshore,17/06/2018,38,1865.05
NGET-EMFIP-AGWS-TS-00214826,Solar generation,Solar,17/06/2018,38,640
NGET-EMFIP-AGWS-TS-00214825,Wind generation,Wind Onshore,17/06/2018,37,3470.685
NGET-EMFIP-AGWS-TS-00214824,Wind generation,Wind Offshore,17/06/2018,37,1712.045
NGET-EMFIP-AGWS-TS-00214823,Solar generation,Solar,17/06/2018,37,821
NGET-EMFIP-AGWS-TS-00214822,Wind generation,Wind Onshore,17/06/2018,36,3512.642
NGET-EMFIP-AGWS-TS-00214821,Wind generation,Wind Offshore,17/06/2018,36,1850.11
NGET-EMFIP-AGWS-TS-00214820,Solar generation,Solar,17/06/2018,36,1020
NGET-EMFIP-AGWS-TS-00214819,Wind generation,Wind Onshore,17/06/2018,35,3549.428
NGET-EMFIP-AGWS-TS-00214818,Wind generation,Wind Offshore,17/06/2018,35,1683.904
NGET-EMFIP-AGWS-TS-00214817,Solar generation,Solar,17/06/2018,35,1300
NGET-EMFIP-AGWS-TS-00214816,Wind generation,Wind Onshore,17/06/2018,34,3427.022
NGET-EMFIP-AGWS-TS-00214815,Wind generation,Wind Offshore,17/06/2018,34,1813.852
NGET-EMFIP-AGWS-TS-00214814,Solar generation,Solar,17/06/2018,34,1550
NGET-EMFIP-AGWS-TS-00214813,Wind generation,Wind Onshore,17/06/2018,33,3643.464
NGET-EMFIP-AGWS-TS-00214812,Wind generation,Wind Offshore,17/06/2018,33,1303.528
NGET-EMFIP-AGWS-TS-00214811,Solar generation,Solar,17/06/2018,33,1780
NGET-EMFIP-AGWS-TS-00214810,Wind generation,Wind Onshore,17/06/2018,32,3583.133
