Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00215456,Wind generation,"Wind Onshore",2018-06-20,48,2643.443
NGET-EMFIP-AGWS-TS-00215455,Wind generation,"Wind Offshore",2018-06-20,48,1362.628
NGET-EMFIP-AGWS-TS-00215454,Solar generation,"Solar",2018-06-20,48,0
NGET-EMFIP-AGWS-TS-00215453,Wind generation,"Wind Onshore",2018-06-20,47,2965.153
NGET-EMFIP-AGWS-TS-00215452,Wind generation,"Wind Offshore",2018-06-20,47,1339.007
NGET-EMFIP-AGWS-TS-00215451,Solar generation,"Solar",2018-06-20,47,0
NGET-EMFIP-AGWS-TS-00215450,Wind generation,"Wind Onshore",2018-06-20,46,3432.543
NGET-EMFIP-AGWS-TS-00215449,Wind generation,"Wind Offshore",2018-06-20,46,1055.709
NGET-EMFIP-AGWS-TS-00215448,Solar generation,"Solar",2018-06-20,46,0
NGET-EMFIP-AGWS-TS-00215447,Wind generation,"Wind Onshore",2018-06-20,45,3699.178
NGET-EMFIP-AGWS-TS-00215446,Wind generation,"Wind Offshore",2018-06-20,45,972.012
NGET-EMFIP-AGWS-TS-00215445,Solar generation,"Solar",2018-06-20,45,4
NGET-EMFIP-AGWS-TS-00215444,Wind generation,"Wind Onshore",2018-06-20,44,3712.473
NGET-EMFIP-AGWS-TS-00215443,Wind generation,"Wind Offshore",2018-06-20,44,1110.625
NGET-EMFIP-AGWS-TS-00215442,Solar generation,"Solar",2018-06-20,44,5
NGET-EMFIP-AGWS-TS-00215441,Wind generation,"Wind Onshore",2018-06-20,43,3657.562
NGET-EMFIP-AGWS-TS-00215440,Wind generation,"Wind Offshore",2018-06-20,43,1245.855
NGET-EMFIP-AGWS-TS-00215439,Solar generation,"Solar",2018-06-20,43,346
NGET-EMFIP-AGWS-TS-00215420,Wind generation,"Wind Onshore",2018-06-20,42,3465.586
NGET-EMFIP-AGWS-TS-00215419,Wind generation,"Wind Offshore",2018-06-20,42,1260.236
NGET-EMFIP-AGWS-TS-00215418,Solar generation,"Solar",2018-06-20,42,160
NGET-EMFIP-AGWS-TS-00215417,Wind generation,"Wind Onshore",2018-06-20,41,3119.736
NGET-EMFIP-AGWS-TS-00215416,Wind generation,"Wind Offshore",2018-06-20,41,1416.278
NGET-EMFIP-AGWS-TS-00215415,Solar generation,"Solar",2018-06-20,41,405
NGET-EMFIP-AGWS-TS-00215414,Wind generation,"Wind Onshore",2018-06-20,40,3157.375
NGET-EMFIP-AGWS-TS-00215413,Wind generation,"Wind Offshore",2018-06-20,40,1400.79
NGET-EMFIP-AGWS-TS-00215412,Solar generation,"Solar",2018-06-20,40,744
