Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00217216,Wind generation,"Wind Onshore",2018-06-30,48,2084.389
NGET-EMFIP-AGWS-TS-00217215,Wind generation,"Wind Offshore",2018-06-30,48,1792.418
NGET-EMFIP-AGWS-TS-00217214,Solar generation,"Solar",2018-06-30,48,0
NGET-EMFIP-AGWS-TS-00217213,Wind generation,"Wind Onshore",2018-06-30,47,2182.726
NGET-EMFIP-AGWS-TS-00217212,Wind generation,"Wind Offshore",2018-06-30,47,1895.431
NGET-EMFIP-AGWS-TS-00217211,Solar generation,"Solar",2018-06-30,47,0
NGET-EMFIP-AGWS-TS-00217210,Wind generation,"Wind Onshore",2018-06-30,46,2221.267
NGET-EMFIP-AGWS-TS-00217209,Wind generation,"Wind Offshore",2018-06-30,46,2052.677
NGET-EMFIP-AGWS-TS-00217208,Solar generation,"Solar",2018-06-30,46,0
NGET-EMFIP-AGWS-TS-00217207,Wind generation,"Wind Onshore",2018-06-30,45,2138.838
NGET-EMFIP-AGWS-TS-00217206,Wind generation,"Wind Offshore",2018-06-30,45,2124.12
NGET-EMFIP-AGWS-TS-00217205,Solar generation,"Solar",2018-06-30,45,7
NGET-EMFIP-AGWS-TS-00217204,Wind generation,"Wind Onshore",2018-06-30,44,2195.685
NGET-EMFIP-AGWS-TS-00217203,Wind generation,"Wind Offshore",2018-06-30,44,2174.358
NGET-EMFIP-AGWS-TS-00217202,Solar generation,"Solar",2018-06-30,44,14
NGET-EMFIP-AGWS-TS-00217201,Wind generation,"Wind Onshore",2018-06-30,43,2225.93
NGET-EMFIP-AGWS-TS-00217200,Wind generation,"Wind Offshore",2018-06-30,43,2145.997
NGET-EMFIP-AGWS-TS-00217199,Solar generation,"Solar",2018-06-30,43,781
NGET-EMFIP-AGWS-TS-00217189,Wind generation,"Wind Onshore",2018-06-30,42,2156.788
NGET-EMFIP-AGWS-TS-00217188,Wind generation,"Wind Offshore",2018-06-30,42,2017.275
NGET-EMFIP-AGWS-TS-00217187,Solar generation,"Solar",2018-06-30,42,272
NGET-EMFIP-AGWS-TS-00217186,Wind generation,"Wind Onshore",2018-06-30,41,2165.736
NGET-EMFIP-AGWS-TS-00217185,Wind generation,"Wind Offshore",2018-06-30,41,1842.821
NGET-EMFIP-AGWS-TS-00217184,Solar generation,"Solar",2018-06-30,41,656
NGET-EMFIP-AGWS-TS-00217183,Wind generation,"Wind Onshore",2018-06-30,40,2177.825
NGET-EMFIP-AGWS-TS-00217182,Wind generation,"Wind Offshore",2018-06-30,40,1691.644
NGET-EMFIP-AGWS-TS-00217181,Solar generation,"Solar",2018-06-30,40,1170
NGET-EMFIP-AGWS-TS-00217180,Wind generation,"Wind Onshore",2018-06-30,39,2107.383
NGET-EMFIP-AGWS-TS-00217179,Wind generation,"Wind Offshore",2018-06-30,39,1569.687
NGET-EMFIP-AGWS-TS-00217178,Solar generation,"Solar",2018-06-30,39,1770
NGET-EMFIP-AGWS-TS-00217177,Wind generation,"Wind Onshore",2018-06-30,38,1999.007
NGET-EMFIP-AGWS-TS-00217176,Wind generation,"Wind Offshore",2018-06-30,38,1503.272
NGET-EMFIP-AGWS-TS-00217175,Solar generation,"Solar",2018-06-30,38,2480
NGET-EMFIP-AGWS-TS-00217174,Wind generation,"Wind Onshore",2018-06-30,37,1974.382
NGET-EMFIP-AGWS-TS-00217173,Wind generation,"Wind Offshore",2018-06-30,37,1339.654
NGET-EMFIP-AGWS-TS-00217172,Solar generation,"Solar",2018-06-30,37,3270
NGET-EMFIP-AGWS-TS-00217171,Wind generation,"Wind Onshore",2018-06-30,36,1964.294
NGET-EMFIP-AGWS-TS-00217170,Wind generation,"Wind Offshore",2018-06-30,36,1159.073
NGET-EMFIP-AGWS-TS-00217169,Solar generation,"Solar",2018-06-30,36,4080
NGET-EMFIP-AGWS-TS-00217168,Wind generation,"Wind Onshore",2018-06-30,35,1926.379
NGET-EMFIP-AGWS-TS-00217167,Wind generation,"Wind Offshore",2018-06-30,35,1235.423
NGET-EMFIP-AGWS-TS-00217166,Solar generation,"Solar",2018-06-30,35,4970
NGET-EMFIP-AGWS-TS-00217165,Wind generation,"Wind Onshore",2018-06-30,34,1892.765
NGET-EMFIP-AGWS-TS-00217164,Wind generation,"Wind Offshore",2018-06-30,34,1119.982
NGET-EMFIP-AGWS-TS-00217163,Solar generation,"Solar",2018-06-30,34,5810
NGET-EMFIP-AGWS-TS-00217162,Wind generation,"Wind Onshore",2018-06-30,33,1938.228
NGET-EMFIP-AGWS-TS-00217161,Wind generation,"Wind Offshore",2018-06-30,33,1129.285
NGET-EMFIP-AGWS-TS-00217160,Solar generation,"Solar",2018-06-30,33,6600
NGET-EMFIP-AGWS-TS-00217159,Wind generation,"Wind Onshore",2018-06-30,32,1897.263
NGET-EMFIP-AGWS-TS-00217158,Wind generation,"Wind Offshore",2018-06-30,32,1016.423
NGET-EMFIP-AGWS-TS-00217157,Solar generation,"Solar",2018-06-30,32,7320
NGET-EMFIP-AGWS-TS-00217156,Wind generation,"Wind Onshore",2018-06-30,31,1919.519
NGET-EMFIP-AGWS-TS-00217155,Wind generation,"Wind Offshore",2018-06-30,31,974.274
NGET-EMFIP-AGWS-TS-00217154,Solar generation,"Solar",2018-06-30,31,7940
NGET-EMFIP-AGWS-TS-00217153,Wind generation,"Wind Onshore",2018-06-30,30,1917.323
NGET-EMFIP-AGWS-TS-00217152,Wind generation,"Wind Offshore",2018-06-30,30,922.265
NGET-EMFIP-AGWS-TS-00217151,Solar generation,"Solar",2018-06-30,30,8420
NGET-EMFIP-AGWS-TS-00217150,Wind generation,"Wind Onshore",2018-06-30,29,1842.367
NGET-EMFIP-AGWS-TS-00217149,Wind generation,"Wind Offshore",2018-06-30,29,935.346
NGET-EMFIP-AGWS-TS-00217148,Solar generation,"Solar",2018-06-30,29,8579
NGET-EMFIP-AGWS-TS-00217147,Wind generation,"Wind Onshore",2018-06-30,28,1797.979
NGET-EMFIP-AGWS-TS-00217146,Wind generation,"Wind Offshore",2018-06-30,28,935.816
NGET-EMFIP-AGWS-TS-00217145,Solar generation,"Solar",2018-06-30,28,8980
NGET-EMFIP-AGWS-TS-00217144,Wind generation,"Wind Onshore",2018-06-30,27,1724.241
NGET-EMFIP-AGWS-TS-00217143,Wind generation,"Wind Offshore",2018-06-30,27,853.602
NGET-EMFIP-AGWS-TS-00217142,Solar generation,"Solar",2018-06-30,27,9040
