Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00212190,Wind generation,"Wind Onshore",2018-06-01,48,538.444
NGET-EMFIP-AGWS-TS-00212189,Wind generation,"Wind Offshore",2018-06-01,48,596.873
NGET-EMFIP-AGWS-TS-00212188,Solar generation,"Solar",2018-06-01,48,0
NGET-EMFIP-AGWS-TS-00212187,Wind generation,"Wind Onshore",2018-06-01,47,589.743
NGET-EMFIP-AGWS-TS-00212186,Wind generation,"Wind Offshore",2018-06-01,47,593.447
NGET-EMFIP-AGWS-TS-00212185,Solar generation,"Solar",2018-06-01,47,0
NGET-EMFIP-AGWS-TS-00212184,Wind generation,"Wind Onshore",2018-06-01,46,578.895
NGET-EMFIP-AGWS-TS-00212183,Wind generation,"Wind Offshore",2018-06-01,46,612.745
NGET-EMFIP-AGWS-TS-00212182,Solar generation,"Solar",2018-06-01,46,0
NGET-EMFIP-AGWS-TS-00212181,Wind generation,"Wind Onshore",2018-06-01,45,554.285
NGET-EMFIP-AGWS-TS-00212180,Wind generation,"Wind Offshore",2018-06-01,45,625.936
NGET-EMFIP-AGWS-TS-00212179,Solar generation,"Solar",2018-06-01,45,4
NGET-EMFIP-AGWS-TS-00212176,Wind generation,"Wind Onshore",2018-06-01,44,587.527
NGET-EMFIP-AGWS-TS-00212175,Wind generation,"Wind Offshore",2018-06-01,44,621.465
NGET-EMFIP-AGWS-TS-00212174,Solar generation,"Solar",2018-06-01,44,7
NGET-EMFIP-AGWS-TS-00212173,Wind generation,"Wind Onshore",2018-06-01,43,590.385
NGET-EMFIP-AGWS-TS-00212172,Wind generation,"Wind Offshore",2018-06-01,43,621.932
NGET-EMFIP-AGWS-TS-00212171,Solar generation,"Solar",2018-06-01,43,11
NGET-EMFIP-AGWS-TS-00212170,Wind generation,"Wind Onshore",2018-06-01,42,622.307
NGET-EMFIP-AGWS-TS-00212169,Wind generation,"Wind Offshore",2018-06-01,42,557.841
NGET-EMFIP-AGWS-TS-00212168,Solar generation,"Solar",2018-06-01,42,121
NGET-EMFIP-AGWS-TS-00212167,Wind generation,"Wind Onshore",2018-06-01,41,645.112
NGET-EMFIP-AGWS-TS-00212166,Wind generation,"Wind Offshore",2018-06-01,41,563.624
NGET-EMFIP-AGWS-TS-00212165,Solar generation,"Solar",2018-06-01,41,359
NGET-EMFIP-AGWS-TS-00212164,Wind generation,"Wind Onshore",2018-06-01,40,681.084
NGET-EMFIP-AGWS-TS-00212163,Wind generation,"Wind Offshore",2018-06-01,40,520.11
NGET-EMFIP-AGWS-TS-00212162,Solar generation,"Solar",2018-06-01,40,688
NGET-EMFIP-AGWS-TS-00212161,Wind generation,"Wind Onshore",2018-06-01,39,706.242
NGET-EMFIP-AGWS-TS-00212160,Wind generation,"Wind Offshore",2018-06-01,39,499.711
NGET-EMFIP-AGWS-TS-00212159,Solar generation,"Solar",2018-06-01,39,1020
NGET-EMFIP-AGWS-TS-00212158,Wind generation,"Wind Onshore",2018-06-01,38,751.477
NGET-EMFIP-AGWS-TS-00212157,Wind generation,"Wind Offshore",2018-06-01,38,481.458
NGET-EMFIP-AGWS-TS-00212156,Solar generation,"Solar",2018-06-01,38,1490
NGET-EMFIP-AGWS-TS-00212155,Wind generation,"Wind Onshore",2018-06-01,37,753.422
NGET-EMFIP-AGWS-TS-00212154,Wind generation,"Wind Offshore",2018-06-01,37,519.383
NGET-EMFIP-AGWS-TS-00212153,Solar generation,"Solar",2018-06-01,37,1980
NGET-EMFIP-AGWS-TS-00212152,Wind generation,"Wind Onshore",2018-06-01,36,778.926
NGET-EMFIP-AGWS-TS-00212151,Wind generation,"Wind Offshore",2018-06-01,36,503.155
NGET-EMFIP-AGWS-TS-00212150,Solar generation,"Solar",2018-06-01,36,2610
NGET-EMFIP-AGWS-TS-00212149,Wind generation,"Wind Onshore",2018-06-01,35,747.899
NGET-EMFIP-AGWS-TS-00212148,Wind generation,"Wind Offshore",2018-06-01,35,496.582
NGET-EMFIP-AGWS-TS-00212147,Solar generation,"Solar",2018-06-01,35,3290
NGET-EMFIP-AGWS-TS-00212146,Wind generation,"Wind Onshore",2018-06-01,34,746.209
