Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00201597,Wind generation,"Wind Onshore",2018-03-28,48,1264.133
NGET-EMFIP-AGWS-TS-00201596,Wind generation,"Wind Offshore",2018-03-28,48,1090.868
NGET-EMFIP-AGWS-TS-00201595,Solar generation,"Solar",2018-03-28,48,0
NGET-EMFIP-AGWS-TS-00201594,Wind generation,"Wind Onshore",2018-03-28,47,1308.666
NGET-EMFIP-AGWS-TS-00201593,Wind generation,"Wind Offshore",2018-03-28,47,1053.46
NGET-EMFIP-AGWS-TS-00201592,Solar generation,"Solar",2018-03-28,47,0
NGET-EMFIP-AGWS-TS-00201591,Wind generation,"Wind Onshore",2018-03-28,46,1376.742
NGET-EMFIP-AGWS-TS-00201590,Wind generation,"Wind Offshore",2018-03-28,46,1039.612
NGET-EMFIP-AGWS-TS-00201589,Solar generation,"Solar",2018-03-28,46,0
NGET-EMFIP-AGWS-TS-00201588,Wind generation,"Wind Onshore",2018-03-28,45,1387.909
NGET-EMFIP-AGWS-TS-00201587,Wind generation,"Wind Offshore",2018-03-28,45,1062.787
NGET-EMFIP-AGWS-TS-00201586,Solar generation,"Solar",2018-03-28,45,0
NGET-EMFIP-AGWS-TS-00201585,Wind generation,"Wind Onshore",2018-03-28,44,1535.126
NGET-EMFIP-AGWS-TS-00201584,Wind generation,"Wind Offshore",2018-03-28,44,1198.175
NGET-EMFIP-AGWS-TS-00201583,Solar generation,"Solar",2018-03-28,44,0
NGET-EMFIP-AGWS-TS-00201582,Wind generation,"Wind Onshore",2018-03-28,43,1500.414
NGET-EMFIP-AGWS-TS-00201581,Wind generation,"Wind Offshore",2018-03-28,43,1165.648
NGET-EMFIP-AGWS-TS-00201580,Solar generation,"Solar",2018-03-28,43,9
NGET-EMFIP-AGWS-TS-00201579,Wind generation,"Wind Onshore",2018-03-28,42,1459.967
NGET-EMFIP-AGWS-TS-00201578,Wind generation,"Wind Offshore",2018-03-28,42,999.285
NGET-EMFIP-AGWS-TS-00201577,Solar generation,"Solar",2018-03-28,42,7
NGET-EMFIP-AGWS-TS-00201576,Wind generation,"Wind Onshore",2018-03-28,41,1467.208
NGET-EMFIP-AGWS-TS-00201575,Wind generation,"Wind Offshore",2018-03-28,41,892.21
NGET-EMFIP-AGWS-TS-00201574,Solar generation,"Solar",2018-03-28,41,7
NGET-EMFIP-AGWS-TS-00201573,Wind generation,"Wind Onshore",2018-03-28,40,1723.893
NGET-EMFIP-AGWS-TS-00201572,Wind generation,"Wind Offshore",2018-03-28,40,843.798
NGET-EMFIP-AGWS-TS-00201571,Solar generation,"Solar",2018-03-28,40,2
NGET-EMFIP-AGWS-TS-00201570,Wind generation,"Wind Onshore",2018-03-28,39,1659.89
NGET-EMFIP-AGWS-TS-00201569,Wind generation,"Wind Offshore",2018-03-28,39,848.203
NGET-EMFIP-AGWS-TS-00201568,Solar generation,"Solar",2018-03-28,39,112
NGET-EMFIP-AGWS-TS-00201567,Wind generation,"Wind Onshore",2018-03-28,38,1854.93
NGET-EMFIP-AGWS-TS-00201566,Wind generation,"Wind Offshore",2018-03-28,38,941.449
NGET-EMFIP-AGWS-TS-00201565,Solar generation,"Solar",2018-03-28,38,575
NGET-EMFIP-AGWS-TS-00201564,Wind generation,"Wind Onshore",2018-03-28,37,1957.908
NGET-EMFIP-AGWS-TS-00201563,Wind generation,"Wind Offshore",2018-03-28,37,1104.649
NGET-EMFIP-AGWS-TS-00201562,Solar generation,"Solar",2018-03-28,37,1250
NGET-EMFIP-AGWS-TS-00201561,Wind generation,"Wind Onshore",2018-03-28,36,2106.11
NGET-EMFIP-AGWS-TS-00201560,Wind generation,"Wind Offshore",2018-03-28,36,1101.841
NGET-EMFIP-AGWS-TS-00201559,Solar generation,"Solar",2018-03-28,36,2070
NGET-EMFIP-AGWS-TS-00201558,Wind generation,"Wind Onshore",2018-03-28,35,2094.936
NGET-EMFIP-AGWS-TS-00201557,Wind generation,"Wind Offshore",2018-03-28,35,929.783
NGET-EMFIP-AGWS-TS-00201556,Solar generation,"Solar",2018-03-28,35,2710
NGET-EMFIP-AGWS-TS-00201555,Wind generation,"Wind Onshore",2018-03-28,34,2160.365
NGET-EMFIP-AGWS-TS-00201554,Wind generation,"Wind Offshore",2018-03-28,34,1027.969
NGET-EMFIP-AGWS-TS-00201553,Solar generation,"Solar",2018-03-28,34,3260
NGET-EMFIP-AGWS-TS-00201552,Wind generation,"Wind Onshore",2018-03-28,33,2381.342
NGET-EMFIP-AGWS-TS-00201551,Wind generation,"Wind Offshore",2018-03-28,33,1023.571
NGET-EMFIP-AGWS-TS-00201550,Solar generation,"Solar",2018-03-28,33,3850
NGET-EMFIP-AGWS-TS-00201549,Wind generation,"Wind Onshore",2018-03-28,32,2226.256
NGET-EMFIP-AGWS-TS-00201548,Wind generation,"Wind Offshore",2018-03-28,32,884.815
NGET-EMFIP-AGWS-TS-00201547,Solar generation,"Solar",2018-03-28,32,4260
NGET-EMFIP-AGWS-TS-00201546,Wind generation,"Wind Onshore",2018-03-28,31,2213.445
NGET-EMFIP-AGWS-TS-00201545,Wind generation,"Wind Offshore",2018-03-28,31,780.137
NGET-EMFIP-AGWS-TS-00201544,Solar generation,"Solar",2018-03-28,31,4650
NGET-EMFIP-AGWS-TS-00201543,Wind generation,"Wind Onshore",2018-03-28,30,2065.541
NGET-EMFIP-AGWS-TS-00201542,Wind generation,"Wind Offshore",2018-03-28,30,589.117
NGET-EMFIP-AGWS-TS-00201541,Solar generation,"Solar",2018-03-28,30,4520
NGET-EMFIP-AGWS-TS-00201540,Wind generation,"Wind Onshore",2018-03-28,29,2054.373
NGET-EMFIP-AGWS-TS-00201539,Wind generation,"Wind Offshore",2018-03-28,29,581.838
NGET-EMFIP-AGWS-TS-00201538,Solar generation,"Solar",2018-03-28,29,2962
NGET-EMFIP-AGWS-TS-00201537,Wind generation,"Wind Onshore",2018-03-28,28,1848.887
NGET-EMFIP-AGWS-TS-00201536,Wind generation,"Wind Offshore",2018-03-28,28,563.877
NGET-EMFIP-AGWS-TS-00201535,Solar generation,"Solar",2018-03-28,28,4470
NGET-EMFIP-AGWS-TS-00201534,Wind generation,"Wind Onshore",2018-03-28,27,1823.279
NGET-EMFIP-AGWS-TS-00201533,Wind generation,"Wind Offshore",2018-03-28,27,579.424
NGET-EMFIP-AGWS-TS-00201532,Solar generation,"Solar",2018-03-28,27,4000
NGET-EMFIP-AGWS-TS-00201531,Wind generation,"Wind Onshore",2018-03-28,26,1630.452
NGET-EMFIP-AGWS-TS-00201530,Wind generation,"Wind Offshore",2018-03-28,26,527.716
NGET-EMFIP-AGWS-TS-00201529,Solar generation,"Solar",2018-03-28,26,3490
NGET-EMFIP-AGWS-TS-00201528,Wind generation,"Wind Onshore",2018-03-28,25,1581.146
NGET-EMFIP-AGWS-TS-00201527,Wind generation,"Wind Offshore",2018-03-28,25,587.151
NGET-EMFIP-AGWS-TS-00201526,Solar generation,"Solar",2018-03-28,25,3120
NGET-EMFIP-AGWS-TS-00201525,Wind generation,"Wind Onshore",2018-03-28,24,1360.465
NGET-EMFIP-AGWS-TS-00201524,Wind generation,"Wind Offshore",2018-03-28,24,473.83
NGET-EMFIP-AGWS-TS-00201523,Solar generation,"Solar",2018-03-28,24,2780
NGET-EMFIP-AGWS-TS-00201522,Wind generation,"Wind Onshore",2018-03-28,23,1361.134
NGET-EMFIP-AGWS-TS-00201521,Wind generation,"Wind Offshore",2018-03-28,23,409.545
NGET-EMFIP-AGWS-TS-00201520,Solar generation,"Solar",2018-03-28,23,2350
NGET-EMFIP-AGWS-TS-00201519,Wind generation,"Wind Onshore",2018-03-28,22,1318.049
NGET-EMFIP-AGWS-TS-00201518,Wind generation,"Wind Offshore",2018-03-28,22,388.593
NGET-EMFIP-AGWS-TS-00201517,Solar generation,"Solar",2018-03-28,22,1910
NGET-EMFIP-AGWS-TS-00201516,Wind generation,"Wind Onshore",2018-03-28,21,1374.046
NGET-EMFIP-AGWS-TS-00201515,Wind generation,"Wind Offshore",2018-03-28,21,401.977
NGET-EMFIP-AGWS-TS-00201514,Solar generation,"Solar",2018-03-28,21,1580
NGET-EMFIP-AGWS-TS-00201513,Wind generation,"Wind Onshore",2018-03-28,20,1330.071
NGET-EMFIP-AGWS-TS-00201512,Wind generation,"Wind Offshore",2018-03-28,20,477.109
NGET-EMFIP-AGWS-TS-00201511,Solar generation,"Solar",2018-03-28,20,1190
NGET-EMFIP-AGWS-TS-00201510,Wind generation,"Wind Onshore",2018-03-28,19,572.218
NGET-EMFIP-AGWS-TS-00201509,Wind generation,"Wind Offshore",2018-03-28,19,25.415
NGET-EMFIP-AGWS-TS-00201508,Solar generation,"Solar",2018-03-28,19,800
NGET-EMFIP-AGWS-TS-00201507,Wind generation,"Wind Onshore",2018-03-28,18,1186.081
NGET-EMFIP-AGWS-TS-00201506,Wind generation,"Wind Offshore",2018-03-28,18,432.56
NGET-EMFIP-AGWS-TS-00201505,Solar generation,"Solar",2018-03-28,18,484
NGET-EMFIP-AGWS-TS-00201504,Wind generation,"Wind Onshore",2018-03-28,17,1202.083
NGET-EMFIP-AGWS-TS-00201503,Wind generation,"Wind Offshore",2018-03-28,17,397.994
NGET-EMFIP-AGWS-TS-00201502,Solar generation,"Solar",2018-03-28,17,292
NGET-EMFIP-AGWS-TS-00201501,Wind generation,"Wind Onshore",2018-03-28,16,1164.712
NGET-EMFIP-AGWS-TS-00201500,Wind generation,"Wind Offshore",2018-03-28,16,486.677
NGET-EMFIP-AGWS-TS-00201499,Solar generation,"Solar",2018-03-28,16,112
NGET-EMFIP-AGWS-TS-00201498,Wind generation,"Wind Onshore",2018-03-28,15,1167.844
NGET-EMFIP-AGWS-TS-00201497,Wind generation,"Wind Offshore",2018-03-28,15,605.746
NGET-EMFIP-AGWS-TS-00201496,Solar generation,"Solar",2018-03-28,15,13
NGET-EMFIP-AGWS-TS-00201495,Wind generation,"Wind Onshore",2018-03-28,14,1314.723
NGET-EMFIP-AGWS-TS-00201494,Wind generation,"Wind Offshore",2018-03-28,14,745.446
NGET-EMFIP-AGWS-TS-00201493,Solar generation,"Solar",2018-03-28,14,1
NGET-EMFIP-AGWS-TS-00201492,Wind generation,"Wind Onshore",2018-03-28,13,1372.301
NGET-EMFIP-AGWS-TS-00201491,Wind generation,"Wind Offshore",2018-03-28,13,835.807
NGET-EMFIP-AGWS-TS-00201490,Solar generation,"Solar",2018-03-28,13,2
NGET-EMFIP-AGWS-TS-00201489,Wind generation,"Wind Onshore",2018-03-28,12,661.46
NGET-EMFIP-AGWS-TS-00201488,Wind generation,"Wind Offshore",2018-03-28,12,51.465
NGET-EMFIP-AGWS-TS-00201487,Solar generation,"Solar",2018-03-28,12,3
NGET-EMFIP-AGWS-TS-00201486,Wind generation,"Wind Onshore",2018-03-28,11,1663.79
NGET-EMFIP-AGWS-TS-00201485,Wind generation,"Wind Offshore",2018-03-28,11,1177.328
NGET-EMFIP-AGWS-TS-00201484,Solar generation,"Solar",2018-03-28,11,0
NGET-EMFIP-AGWS-TS-00201483,Wind generation,"Wind Onshore",2018-03-28,10,1876.404
NGET-EMFIP-AGWS-TS-00201482,Wind generation,"Wind Offshore",2018-03-28,10,1363.616
NGET-EMFIP-AGWS-TS-00201481,Solar generation,"Solar",2018-03-28,10,0
NGET-EMFIP-AGWS-TS-00201480,Wind generation,"Wind Onshore",2018-03-28,9,1892.474
NGET-EMFIP-AGWS-TS-00201479,Wind generation,"Wind Offshore",2018-03-28,9,1567.247
NGET-EMFIP-AGWS-TS-00201478,Solar generation,"Solar",2018-03-28,9,0
NGET-EMFIP-AGWS-TS-00201477,Wind generation,"Wind Onshore",2018-03-28,8,2066.817
NGET-EMFIP-AGWS-TS-00201476,Wind generation,"Wind Offshore",2018-03-28,8,1572.033
NGET-EMFIP-AGWS-TS-00201475,Solar generation,"Solar",2018-03-28,8,0
NGET-EMFIP-AGWS-TS-00201474,Wind generation,"Wind Onshore",2018-03-28,7,2018.984
NGET-EMFIP-AGWS-TS-00201473,Wind generation,"Wind Offshore",2018-03-28,7,1622.591
NGET-EMFIP-AGWS-TS-00201472,Solar generation,"Solar",2018-03-28,7,0
NGET-EMFIP-AGWS-TS-00201471,Wind generation,"Wind Onshore",2018-03-28,6,2174.861
NGET-EMFIP-AGWS-TS-00201470,Wind generation,"Wind Offshore",2018-03-28,6,1894.607
NGET-EMFIP-AGWS-TS-00201469,Solar generation,"Solar",2018-03-28,6,0
NGET-EMFIP-AGWS-TS-00201468,Wind generation,"Wind Onshore",2018-03-28,5,2248.318
NGET-EMFIP-AGWS-TS-00201467,Wind generation,"Wind Offshore",2018-03-28,5,1873.739
NGET-EMFIP-AGWS-TS-00201466,Solar generation,"Solar",2018-03-28,5,0
NGET-EMFIP-AGWS-TS-00201465,Wind generation,"Wind Onshore",2018-03-28,4,2498.907
NGET-EMFIP-AGWS-TS-00201464,Wind generation,"Wind Offshore",2018-03-28,4,1797.558
NGET-EMFIP-AGWS-TS-00201463,Solar generation,"Solar",2018-03-28,4,0
NGET-EMFIP-AGWS-TS-00201462,Wind generation,"Wind Onshore",2018-03-28,3,2609.885
NGET-EMFIP-AGWS-TS-00201461,Wind generation,"Wind Offshore",2018-03-28,3,1869.588
NGET-EMFIP-AGWS-TS-00201460,Solar generation,"Solar",2018-03-28,3,0
NGET-EMFIP-AGWS-TS-00201459,Wind generation,"Wind Onshore",2018-03-28,2,2743.295
NGET-EMFIP-AGWS-TS-00201458,Wind generation,"Wind Offshore",2018-03-28,2,1849.358
NGET-EMFIP-AGWS-TS-00201457,Solar generation,"Solar",2018-03-28,2,0
NGET-EMFIP-AGWS-TS-00201456,Wind generation,"Wind Onshore",2018-03-28,1,2740.167
NGET-EMFIP-AGWS-TS-00201455,Wind generation,"Wind Offshore",2018-03-28,1,1968.008
NGET-EMFIP-AGWS-TS-00201454,Solar generation,"Solar",2018-03-28,1,0
