Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00197242,Wind generation,"Wind Onshore",2018-03-01,48,6892.294
NGET-EMFIP-AGWS-TS-00197241,Wind generation,"Wind Offshore",2018-03-01,48,3232.797
NGET-EMFIP-AGWS-TS-00197240,Solar generation,"Solar",2018-03-01,48,0
NGET-EMFIP-AGWS-TS-00197239,Wind generation,"Wind Onshore",2018-03-01,47,6974.899
NGET-EMFIP-AGWS-TS-00197238,Wind generation,"Wind Offshore",2018-03-01,47,3224.257
NGET-EMFIP-AGWS-TS-00197237,Solar generation,"Solar",2018-03-01,47,0
NGET-EMFIP-AGWS-TS-00197236,Wind generation,"Wind Onshore",2018-03-01,46,6993.465
NGET-EMFIP-AGWS-TS-00197235,Wind generation,"Wind Offshore",2018-03-01,46,3147.198
NGET-EMFIP-AGWS-TS-00197234,Solar generation,"Solar",2018-03-01,46,0
NGET-EMFIP-AGWS-TS-00197233,Wind generation,"Wind Onshore",2018-03-01,45,7052.446
NGET-EMFIP-AGWS-TS-00197232,Wind generation,"Wind Offshore",2018-03-01,45,3272.175
NGET-EMFIP-AGWS-TS-00197231,Solar generation,"Solar",2018-03-01,45,0
NGET-EMFIP-AGWS-TS-00197230,Wind generation,"Wind Onshore",2018-03-01,44,7046.579
NGET-EMFIP-AGWS-TS-00197229,Wind generation,"Wind Offshore",2018-03-01,44,3278.877
NGET-EMFIP-AGWS-TS-00197228,Solar generation,"Solar",2018-03-01,44,0
NGET-EMFIP-AGWS-TS-00197227,Wind generation,"Wind Onshore",2018-03-01,43,7059.326
NGET-EMFIP-AGWS-TS-00197226,Wind generation,"Wind Offshore",2018-03-01,43,3327.745
NGET-EMFIP-AGWS-TS-00197225,Solar generation,"Solar",2018-03-01,43,0
NGET-EMFIP-AGWS-TS-00197224,Wind generation,"Wind Onshore",2018-03-01,42,7076.379
NGET-EMFIP-AGWS-TS-00197223,Wind generation,"Wind Offshore",2018-03-01,42,3308.419
NGET-EMFIP-AGWS-TS-00197222,Solar generation,"Solar",2018-03-01,42,0
NGET-EMFIP-AGWS-TS-00197221,Wind generation,"Wind Onshore",2018-03-01,41,7073.988
NGET-EMFIP-AGWS-TS-00197220,Wind generation,"Wind Offshore",2018-03-01,41,3289.593
NGET-EMFIP-AGWS-TS-00197219,Solar generation,"Solar",2018-03-01,41,0
NGET-EMFIP-AGWS-TS-00197218,Wind generation,"Wind Onshore",2018-03-01,40,7022.318
NGET-EMFIP-AGWS-TS-00197217,Wind generation,"Wind Offshore",2018-03-01,40,3292.373
NGET-EMFIP-AGWS-TS-00197216,Solar generation,"Solar",2018-03-01,40,0
NGET-EMFIP-AGWS-TS-00197215,Wind generation,"Wind Onshore",2018-03-01,39,7017.339
NGET-EMFIP-AGWS-TS-00197214,Wind generation,"Wind Offshore",2018-03-01,39,3341.274
NGET-EMFIP-AGWS-TS-00197213,Solar generation,"Solar",2018-03-01,39,0
NGET-EMFIP-AGWS-TS-00197212,Wind generation,"Wind Onshore",2018-03-01,38,7060.871
NGET-EMFIP-AGWS-TS-00197211,Wind generation,"Wind Offshore",2018-03-01,38,3341.55
NGET-EMFIP-AGWS-TS-00197210,Solar generation,"Solar",2018-03-01,38,0
NGET-EMFIP-AGWS-TS-00197209,Wind generation,"Wind Onshore",2018-03-01,37,7075.055
NGET-EMFIP-AGWS-TS-00197208,Wind generation,"Wind Offshore",2018-03-01,37,3352.091
NGET-EMFIP-AGWS-TS-00197207,Solar generation,"Solar",2018-03-01,37,3
NGET-EMFIP-AGWS-TS-00197206,Wind generation,"Wind Onshore",2018-03-01,36,7231.247
NGET-EMFIP-AGWS-TS-00197205,Wind generation,"Wind Offshore",2018-03-01,36,3388.625
NGET-EMFIP-AGWS-TS-00197204,Solar generation,"Solar",2018-03-01,36,0
NGET-EMFIP-AGWS-TS-00197203,Wind generation,"Wind Onshore",2018-03-01,35,7231.042
NGET-EMFIP-AGWS-TS-00197202,Wind generation,"Wind Offshore",2018-03-01,35,3393.7
NGET-EMFIP-AGWS-TS-00197201,Solar generation,"Solar",2018-03-01,35,16
NGET-EMFIP-AGWS-TS-00197200,Wind generation,"Wind Onshore",2018-03-01,34,7302.697
NGET-EMFIP-AGWS-TS-00197199,Wind generation,"Wind Offshore",2018-03-01,34,3373.159
