Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00209413,Wind generation,"Wind Onshore",2018-05-15,48,4081.268
NGET-EMFIP-AGWS-TS-00209412,Wind generation,"Wind Offshore",2018-05-15,48,1989.885
NGET-EMFIP-AGWS-TS-00209411,Solar generation,"Solar",2018-05-15,48,0
NGET-EMFIP-AGWS-TS-00209410,Wind generation,"Wind Onshore",2018-05-15,47,4198.515
NGET-EMFIP-AGWS-TS-00209409,Wind generation,"Wind Offshore",2018-05-15,47,2014.467
NGET-EMFIP-AGWS-TS-00209408,Solar generation,"Solar",2018-05-15,47,0
NGET-EMFIP-AGWS-TS-00209407,Wind generation,"Wind Onshore",2018-05-15,46,4292.563
NGET-EMFIP-AGWS-TS-00209406,Wind generation,"Wind Offshore",2018-05-15,46,2052.201
NGET-EMFIP-AGWS-TS-00209405,Solar generation,"Solar",2018-05-15,46,0
NGET-EMFIP-AGWS-TS-00209404,Wind generation,"Wind Onshore",2018-05-15,45,4276.603
NGET-EMFIP-AGWS-TS-00209403,Wind generation,"Wind Offshore",2018-05-15,45,2011.261
NGET-EMFIP-AGWS-TS-00209402,Solar generation,"Solar",2018-05-15,45,1
NGET-EMFIP-AGWS-TS-00209401,Wind generation,"Wind Onshore",2018-05-15,44,4259.458
NGET-EMFIP-AGWS-TS-00209400,Wind generation,"Wind Offshore",2018-05-15,44,1937.332
NGET-EMFIP-AGWS-TS-00209399,Solar generation,"Solar",2018-05-15,44,9
NGET-EMFIP-AGWS-TS-00209382,Wind generation,"Wind Onshore",2018-05-15,43,4288.217
NGET-EMFIP-AGWS-TS-00209381,Wind generation,"Wind Offshore",2018-05-15,43,1931.501
NGET-EMFIP-AGWS-TS-00209380,Solar generation,"Solar",2018-05-15,43,235
NGET-EMFIP-AGWS-TS-00209379,Wind generation,"Wind Onshore",2018-05-15,42,4111.208
NGET-EMFIP-AGWS-TS-00209378,Wind generation,"Wind Offshore",2018-05-15,42,1856.524
NGET-EMFIP-AGWS-TS-00209377,Solar generation,"Solar",2018-05-15,42,17
NGET-EMFIP-AGWS-TS-00209376,Wind generation,"Wind Onshore",2018-05-15,41,3891.385
NGET-EMFIP-AGWS-TS-00209375,Wind generation,"Wind Offshore",2018-05-15,41,1838.424
NGET-EMFIP-AGWS-TS-00209374,Solar generation,"Solar",2018-05-15,41,147
NGET-EMFIP-AGWS-TS-00209373,Wind generation,"Wind Onshore",2018-05-15,40,4124.773
NGET-EMFIP-AGWS-TS-00209372,Wind generation,"Wind Offshore",2018-05-15,40,1703.632
NGET-EMFIP-AGWS-TS-00209371,Solar generation,"Solar",2018-05-15,40,481
NGET-EMFIP-AGWS-TS-00209370,Wind generation,"Wind Onshore",2018-05-15,39,4045.362
NGET-EMFIP-AGWS-TS-00209369,Wind generation,"Wind Offshore",2018-05-15,39,1391.825
NGET-EMFIP-AGWS-TS-00209368,Solar generation,"Solar",2018-05-15,39,982
NGET-EMFIP-AGWS-TS-00209367,Wind generation,"Wind Onshore",2018-05-15,38,3828.682
NGET-EMFIP-AGWS-TS-00209366,Wind generation,"Wind Offshore",2018-05-15,38,1159.653
NGET-EMFIP-AGWS-TS-00209365,Solar generation,"Solar",2018-05-15,38,1610
NGET-EMFIP-AGWS-TS-00209364,Wind generation,"Wind Onshore",2018-05-15,37,3646.893
NGET-EMFIP-AGWS-TS-00209363,Wind generation,"Wind Offshore",2018-05-15,37,981.274
NGET-EMFIP-AGWS-TS-00209362,Solar generation,"Solar",2018-05-15,37,2360
NGET-EMFIP-AGWS-TS-00209361,Wind generation,"Wind Onshore",2018-05-15,36,3392.386
NGET-EMFIP-AGWS-TS-00209360,Wind generation,"Wind Offshore",2018-05-15,36,939.1
NGET-EMFIP-AGWS-TS-00209359,Solar generation,"Solar",2018-05-15,36,3170
NGET-EMFIP-AGWS-TS-00209358,Wind generation,"Wind Onshore",2018-05-15,35,3343.377
NGET-EMFIP-AGWS-TS-00209357,Wind generation,"Wind Offshore",2018-05-15,35,927.256
NGET-EMFIP-AGWS-TS-00209356,Solar generation,"Solar",2018-05-15,35,4090
NGET-EMFIP-AGWS-TS-00209355,Wind generation,"Wind Onshore",2018-05-15,34,2949.561
NGET-EMFIP-AGWS-TS-00209354,Wind generation,"Wind Offshore",2018-05-15,34,966.057
NGET-EMFIP-AGWS-TS-00209353,Solar generation,"Solar",2018-05-15,34,5030
NGET-EMFIP-AGWS-TS-00209352,Wind generation,"Wind Onshore",2018-05-15,33,2857.754
NGET-EMFIP-AGWS-TS-00209351,Wind generation,"Wind Offshore",2018-05-15,33,1027.34
NGET-EMFIP-AGWS-TS-00209350,Solar generation,"Solar",2018-05-15,33,5910
NGET-EMFIP-AGWS-TS-00209349,Wind generation,"Wind Onshore",2018-05-15,32,2456.844
NGET-EMFIP-AGWS-TS-00209348,Wind generation,"Wind Offshore",2018-05-15,32,1028.446
NGET-EMFIP-AGWS-TS-00209347,Solar generation,"Solar",2018-05-15,32,6620
NGET-EMFIP-AGWS-TS-00209346,Wind generation,"Wind Onshore",2018-05-15,31,2438.611
NGET-EMFIP-AGWS-TS-00209345,Wind generation,"Wind Offshore",2018-05-15,31,1027.885
NGET-EMFIP-AGWS-TS-00209344,Solar generation,"Solar",2018-05-15,31,7300
NGET-EMFIP-AGWS-TS-00209343,Wind generation,"Wind Onshore",2018-05-15,30,2271.316
NGET-EMFIP-AGWS-TS-00209342,Wind generation,"Wind Offshore",2018-05-15,30,1007.064
NGET-EMFIP-AGWS-TS-00209341,Solar generation,"Solar",2018-05-15,30,7870
NGET-EMFIP-AGWS-TS-00209340,Wind generation,"Wind Onshore",2018-05-15,29,2226.154
NGET-EMFIP-AGWS-TS-00209339,Wind generation,"Wind Offshore",2018-05-15,29,1074.931
NGET-EMFIP-AGWS-TS-00209338,Solar generation,"Solar",2018-05-15,29,8457
NGET-EMFIP-AGWS-TS-00209337,Wind generation,"Wind Onshore",2018-05-15,28,2069.511
NGET-EMFIP-AGWS-TS-00209336,Wind generation,"Wind Offshore",2018-05-15,28,1105.894
NGET-EMFIP-AGWS-TS-00209335,Solar generation,"Solar",2018-05-15,28,8610
NGET-EMFIP-AGWS-TS-00209334,Wind generation,"Wind Onshore",2018-05-15,27,2056.169
