Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00210839,Wind generation,"Wind Onshore",2018-05-24,48,1286.896
NGET-EMFIP-AGWS-TS-00210838,Wind generation,"Wind Offshore",2018-05-24,48,1196.792
NGET-EMFIP-AGWS-TS-00210837,Solar generation,"Solar",2018-05-24,48,0
NGET-EMFIP-AGWS-TS-00210836,Wind generation,"Wind Onshore",2018-05-24,47,1346.716
NGET-EMFIP-AGWS-TS-00210835,Wind generation,"Wind Offshore",2018-05-24,47,1187.138
NGET-EMFIP-AGWS-TS-00210834,Solar generation,"Solar",2018-05-24,47,0
NGET-EMFIP-AGWS-TS-00210833,Wind generation,"Wind Onshore",2018-05-24,46,1365.126
NGET-EMFIP-AGWS-TS-00210832,Wind generation,"Wind Offshore",2018-05-24,46,1244.314
NGET-EMFIP-AGWS-TS-00210831,Solar generation,"Solar",2018-05-24,46,0
NGET-EMFIP-AGWS-TS-00210830,Wind generation,"Wind Onshore",2018-05-24,45,1464.298
NGET-EMFIP-AGWS-TS-00210829,Wind generation,"Wind Offshore",2018-05-24,45,1251.786
NGET-EMFIP-AGWS-TS-00210828,Solar generation,"Solar",2018-05-24,45,5
NGET-EMFIP-AGWS-TS-00210827,Wind generation,"Wind Onshore",2018-05-24,44,1469.122
NGET-EMFIP-AGWS-TS-00210826,Wind generation,"Wind Offshore",2018-05-24,44,1432.584
NGET-EMFIP-AGWS-TS-00210825,Solar generation,"Solar",2018-05-24,44,10
NGET-EMFIP-AGWS-TS-00210824,Wind generation,"Wind Onshore",2018-05-24,43,1442.571
NGET-EMFIP-AGWS-TS-00210823,Wind generation,"Wind Offshore",2018-05-24,43,1414.159
NGET-EMFIP-AGWS-TS-00210822,Solar generation,"Solar",2018-05-24,43,104
NGET-EMFIP-AGWS-TS-00210821,Wind generation,"Wind Onshore",2018-05-24,42,1377.602
NGET-EMFIP-AGWS-TS-00210820,Wind generation,"Wind Offshore",2018-05-24,42,1112.403
NGET-EMFIP-AGWS-TS-00210819,Solar generation,"Solar",2018-05-24,42,198
NGET-EMFIP-AGWS-TS-00210818,Wind generation,"Wind Onshore",2018-05-24,41,1366.434
NGET-EMFIP-AGWS-TS-00210817,Wind generation,"Wind Offshore",2018-05-24,41,1183.884
NGET-EMFIP-AGWS-TS-00210816,Solar generation,"Solar",2018-05-24,41,442
NGET-EMFIP-AGWS-TS-00210815,Wind generation,"Wind Onshore",2018-05-24,40,1500.964
NGET-EMFIP-AGWS-TS-00210814,Wind generation,"Wind Offshore",2018-05-24,40,1195.005
NGET-EMFIP-AGWS-TS-00210813,Solar generation,"Solar",2018-05-24,40,686
NGET-EMFIP-AGWS-TS-00210812,Wind generation,"Wind Onshore",2018-05-24,39,1475.147
NGET-EMFIP-AGWS-TS-00210811,Wind generation,"Wind Offshore",2018-05-24,39,1207.794
