Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00208451,Wind generation,Wind Onshore,09/05/2018,48,2471.392
NGET-EMFIP-AGWS-TS-00208450,Wind generation,Wind Offshore,09/05/2018,48,1059.275
NGET-EMFIP-AGWS-TS-00208449,Solar generation,Solar,09/05/2018,48,0
NGET-EMFIP-AGWS-TS-00208448,Wind generation,Wind Onshore,09/05/2018,47,2464.877
NGET-EMFIP-AGWS-TS-00208447,Wind generation,Wind Offshore,09/05/2018,47,866.331
NGET-EMFIP-AGWS-TS-00208446,Solar generation,Solar,09/05/2018,47,0
NGET-EMFIP-AGWS-TS-00208445,Wind generation,Wind Onshore,09/05/2018,46,2476.478
NGET-EMFIP-AGWS-TS-00208444,Wind generation,Wind Offshore,09/05/2018,46,680.477
NGET-EMFIP-AGWS-TS-00208443,Solar generation,Solar,09/05/2018,46,0
NGET-EMFIP-AGWS-TS-00208442,Wind generation,Wind Onshore,09/05/2018,45,2710.907
NGET-EMFIP-AGWS-TS-00208441,Wind generation,Wind Offshore,09/05/2018,45,834.923
NGET-EMFIP-AGWS-TS-00208440,Solar generation,Solar,09/05/2018,45,0
NGET-EMFIP-AGWS-TS-00208439,Wind generation,Wind Onshore,09/05/2018,44,2834.207
NGET-EMFIP-AGWS-TS-00208438,Wind generation,Wind Offshore,09/05/2018,44,1114.648
NGET-EMFIP-AGWS-TS-00208437,Solar generation,Solar,09/05/2018,44,8
NGET-EMFIP-AGWS-TS-00208436,Wind generation,Wind Onshore,09/05/2018,43,2700.356
NGET-EMFIP-AGWS-TS-00208435,Wind generation,Wind Offshore,09/05/2018,43,1126.597
NGET-EMFIP-AGWS-TS-00208434,Solar generation,Solar,09/05/2018,43,11
NGET-EMFIP-AGWS-TS-00208433,Wind generation,Wind Onshore,09/05/2018,42,3187.233
NGET-EMFIP-AGWS-TS-00208432,Wind generation,Wind Offshore,09/05/2018,42,1096.789
NGET-EMFIP-AGWS-TS-00208431,Solar generation,Solar,09/05/2018,42,6
NGET-EMFIP-AGWS-TS-00208430,Wind generation,Wind Onshore,09/05/2018,41,3521.204
NGET-EMFIP-AGWS-TS-00208429,Wind generation,Wind Offshore,09/05/2018,41,1079.794
NGET-EMFIP-AGWS-TS-00208428,Solar generation,Solar,09/05/2018,41,27
NGET-EMFIP-AGWS-TS-00208427,Wind generation,Wind Onshore,09/05/2018,40,3759.151
NGET-EMFIP-AGWS-TS-00208426,Wind generation,Wind Offshore,09/05/2018,40,1237.865
NGET-EMFIP-AGWS-TS-00208425,Solar generation,Solar,09/05/2018,40,175
NGET-EMFIP-AGWS-TS-00208424,Wind generation,Wind Onshore,09/05/2018,39,4382.328
NGET-EMFIP-AGWS-TS-00208423,Wind generation,Wind Offshore,09/05/2018,39,1324.568
NGET-EMFIP-AGWS-TS-00208422,Solar generation,Solar,09/05/2018,39,421
NGET-EMFIP-AGWS-TS-00208421,Wind generation,Wind Onshore,09/05/2018,38,4945.152
NGET-EMFIP-AGWS-TS-00208420,Wind generation,Wind Offshore,09/05/2018,38,1267.196
NGET-EMFIP-AGWS-TS-00208419,Solar generation,Solar,09/05/2018,38,689
NGET-EMFIP-AGWS-TS-00208418,Wind generation,Wind Onshore,09/05/2018,37,5186.194
NGET-EMFIP-AGWS-TS-00208417,Wind generation,Wind Offshore,09/05/2018,37,1120.275
NGET-EMFIP-AGWS-TS-00208416,Solar generation,Solar,09/05/2018,37,1010
NGET-EMFIP-AGWS-TS-00208415,Wind generation,Wind Onshore,09/05/2018,36,5401.256
NGET-EMFIP-AGWS-TS-00208414,Wind generation,Wind Offshore,09/05/2018,36,1058.566
NGET-EMFIP-AGWS-TS-00208413,Solar generation,Solar,09/05/2018,36,1450
NGET-EMFIP-AGWS-TS-00208412,Wind generation,Wind Onshore,09/05/2018,35,5355.939
NGET-EMFIP-AGWS-TS-00208411,Wind generation,Wind Offshore,09/05/2018,35,1092.685
NGET-EMFIP-AGWS-TS-00208410,Solar generation,Solar,09/05/2018,35,1930
NGET-EMFIP-AGWS-TS-00208409,Wind generation,Wind Onshore,09/05/2018,34,5411.188
NGET-EMFIP-AGWS-TS-00208408,Wind generation,Wind Offshore,09/05/2018,34,1066.875
NGET-EMFIP-AGWS-TS-00208407,Solar generation,Solar,09/05/2018,34,2450
NGET-EMFIP-AGWS-TS-00208406,Wind generation,Wind Onshore,09/05/2018,33,1964.153
NGET-EMFIP-AGWS-TS-00208405,Wind generation,Wind Offshore,09/05/2018,33,67.925
NGET-EMFIP-AGWS-TS-00208404,Solar generation,Solar,09/05/2018,33,3060
NGET-EMFIP-AGWS-TS-00208403,Wind generation,Wind Onshore,09/05/2018,32,5618.961
NGET-EMFIP-AGWS-TS-00208402,Wind generation,Wind Offshore,09/05/2018,32,927.551
NGET-EMFIP-AGWS-TS-00208401,Solar generation,Solar,09/05/2018,32,3620
NGET-EMFIP-AGWS-TS-00208400,Wind generation,Wind Onshore,09/05/2018,31,5549.292
NGET-EMFIP-AGWS-TS-00208399,Wind generation,Wind Offshore,09/05/2018,31,911.489
NGET-EMFIP-AGWS-TS-00208398,Solar generation,Solar,09/05/2018,31,4190
NGET-EMFIP-AGWS-TS-00208397,Wind generation,Wind Onshore,09/05/2018,30,5474.337
NGET-EMFIP-AGWS-TS-00208396,Wind generation,Wind Offshore,09/05/2018,30,806.013
NGET-EMFIP-AGWS-TS-00208395,Solar generation,Solar,09/05/2018,30,4710
NGET-EMFIP-AGWS-TS-00208394,Wind generation,Wind Onshore,09/05/2018,29,5461.927
NGET-EMFIP-AGWS-TS-00208393,Wind generation,Wind Offshore,09/05/2018,29,879.408
NGET-EMFIP-AGWS-TS-00208392,Solar generation,Solar,09/05/2018,29,5270
NGET-EMFIP-AGWS-TS-00208394,Wind generation,Wind Onshore,09/05/2018,,3598.6755
NGET-EMFIP-AGWS-TS-00208393,Wind generation,Wind Offshore,09/05/2018,,461.4555
NGET-EMFIP-AGWS-TS-00208392,Solar generation,Solar,09/05/2018,,5580
NGET-EMFIP-AGWS-TS-00208388,Wind generation,Wind Onshore,09/05/2018,27,1735.424
NGET-EMFIP-AGWS-TS-00208387,Wind generation,Wind Offshore,09/05/2018,27,43.503
NGET-EMFIP-AGWS-TS-00208386,Solar generation,Solar,09/05/2018,27,5890
NGET-EMFIP-AGWS-TS-00208385,Wind generation,Wind Onshore,09/05/2018,26,5188.996
NGET-EMFIP-AGWS-TS-00208384,Wind generation,Wind Offshore,09/05/2018,26,838.455
NGET-EMFIP-AGWS-TS-00208383,Solar generation,Solar,09/05/2018,26,5950
NGET-EMFIP-AGWS-TS-00208382,Wind generation,Wind Onshore,09/05/2018,25,5015.657
NGET-EMFIP-AGWS-TS-00208381,Wind generation,Wind Offshore,09/05/2018,25,885.661
NGET-EMFIP-AGWS-TS-00208380,Solar generation,Solar,09/05/2018,25,6010
NGET-EMFIP-AGWS-TS-00208379,Wind generation,Wind Onshore,09/05/2018,24,4546.029
NGET-EMFIP-AGWS-TS-00208378,Wind generation,Wind Offshore,09/05/2018,24,835.091
NGET-EMFIP-AGWS-TS-00208377,Solar generation,Solar,09/05/2018,24,6120
NGET-EMFIP-AGWS-TS-00208376,Wind generation,Wind Onshore,09/05/2018,23,4227.451
NGET-EMFIP-AGWS-TS-00208375,Wind generation,Wind Offshore,09/05/2018,23,861.578
NGET-EMFIP-AGWS-TS-00208374,Solar generation,Solar,09/05/2018,23,6200
NGET-EMFIP-AGWS-TS-00208373,Wind generation,Wind Onshore,09/05/2018,22,3924.236
NGET-EMFIP-AGWS-TS-00208372,Wind generation,Wind Offshore,09/05/2018,22,766.056
NGET-EMFIP-AGWS-TS-00208371,Solar generation,Solar,09/05/2018,22,6000
NGET-EMFIP-AGWS-TS-00208370,Wind generation,Wind Onshore,09/05/2018,21,3821.963
NGET-EMFIP-AGWS-TS-00208369,Wind generation,Wind Offshore,09/05/2018,21,671.148
NGET-EMFIP-AGWS-TS-00208368,Solar generation,Solar,09/05/2018,21,5610
NGET-EMFIP-AGWS-TS-00208367,Wind generation,Wind Onshore,09/05/2018,20,3506.257
NGET-EMFIP-AGWS-TS-00208366,Wind generation,Wind Offshore,09/05/2018,20,598.541
NGET-EMFIP-AGWS-TS-00208365,Solar generation,Solar,09/05/2018,20,5050
NGET-EMFIP-AGWS-TS-00208364,Wind generation,Wind Onshore,09/05/2018,19,3379.991
NGET-EMFIP-AGWS-TS-00208363,Wind generation,Wind Offshore,09/05/2018,19,629.25
NGET-EMFIP-AGWS-TS-00208362,Solar generation,Solar,09/05/2018,19,4390
NGET-EMFIP-AGWS-TS-00208361,Wind generation,Wind Onshore,09/05/2018,18,3051.786
NGET-EMFIP-AGWS-TS-00208360,Wind generation,Wind Offshore,09/05/2018,18,593.631
NGET-EMFIP-AGWS-TS-00208359,Solar generation,Solar,09/05/2018,18,3610
NGET-EMFIP-AGWS-TS-00208345,Wind generation,Wind Onshore,09/05/2018,17,2885.577
NGET-EMFIP-AGWS-TS-00208344,Wind generation,Wind Offshore,09/05/2018,17,647.568
