Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00207134,Wind generation,"Wind Onshore",2018-05-01,48,2429.424
NGET-EMFIP-AGWS-TS-00207133,Wind generation,"Wind Offshore",2018-05-01,48,146.673
NGET-EMFIP-AGWS-TS-00207132,Solar generation,"Solar",2018-05-01,48,0
NGET-EMFIP-AGWS-TS-00207131,Wind generation,"Wind Onshore",2018-05-01,47,5850.488
NGET-EMFIP-AGWS-TS-00207130,Wind generation,"Wind Offshore",2018-05-01,47,3434.274
NGET-EMFIP-AGWS-TS-00207129,Solar generation,"Solar",2018-05-01,47,0
NGET-EMFIP-AGWS-TS-00207128,Wind generation,"Wind Onshore",2018-05-01,46,6055.476
NGET-EMFIP-AGWS-TS-00207127,Wind generation,"Wind Offshore",2018-05-01,46,3451.147
NGET-EMFIP-AGWS-TS-00207126,Solar generation,"Solar",2018-05-01,46,0
NGET-EMFIP-AGWS-TS-00207125,Wind generation,"Wind Onshore",2018-05-01,45,2484.394
NGET-EMFIP-AGWS-TS-00207124,Wind generation,"Wind Offshore",2018-05-01,45,143.418
NGET-EMFIP-AGWS-TS-00207123,Solar generation,"Solar",2018-05-01,45,0
NGET-EMFIP-AGWS-TS-00207122,Wind generation,"Wind Onshore",2018-05-01,44,2501.41
NGET-EMFIP-AGWS-TS-00207121,Wind generation,"Wind Offshore",2018-05-01,44,146.628
NGET-EMFIP-AGWS-TS-00207120,Solar generation,"Solar",2018-05-01,44,0
NGET-EMFIP-AGWS-TS-00207119,Wind generation,"Wind Onshore",2018-05-01,43,2513.748
NGET-EMFIP-AGWS-TS-00207118,Wind generation,"Wind Offshore",2018-05-01,43,151.743
NGET-EMFIP-AGWS-TS-00207117,Solar generation,"Solar",2018-05-01,43,46
NGET-EMFIP-AGWS-TS-00207116,Wind generation,"Wind Onshore",2018-05-01,42,2512.673
NGET-EMFIP-AGWS-TS-00207115,Wind generation,"Wind Offshore",2018-05-01,42,149.892
NGET-EMFIP-AGWS-TS-00207114,Solar generation,"Solar",2018-05-01,42,46
NGET-EMFIP-AGWS-TS-00207113,Wind generation,"Wind Onshore",2018-05-01,41,2512.673
NGET-EMFIP-AGWS-TS-00207112,Wind generation,"Wind Offshore",2018-05-01,41,149.892
NGET-EMFIP-AGWS-TS-00207111,Solar generation,"Solar",2018-05-01,41,345
NGET-EMFIP-AGWS-TS-00207110,Wind generation,"Wind Onshore",2018-05-01,40,6006.151
NGET-EMFIP-AGWS-TS-00207109,Wind generation,"Wind Offshore",2018-05-01,40,3482.963
NGET-EMFIP-AGWS-TS-00207108,Solar generation,"Solar",2018-05-01,40,345
NGET-EMFIP-AGWS-TS-00207107,Wind generation,"Wind Onshore",2018-05-01,39,2569.589
NGET-EMFIP-AGWS-TS-00207106,Wind generation,"Wind Offshore",2018-05-01,39,152.443
NGET-EMFIP-AGWS-TS-00207105,Solar generation,"Solar",2018-05-01,39,1070
NGET-EMFIP-AGWS-TS-00207104,Wind generation,"Wind Onshore",2018-05-01,38,6218.445
NGET-EMFIP-AGWS-TS-00207103,Wind generation,"Wind Offshore",2018-05-01,38,3369.184
NGET-EMFIP-AGWS-TS-00207102,Solar generation,"Solar",2018-05-01,38,1070
NGET-EMFIP-AGWS-TS-00207101,Wind generation,"Wind Onshore",2018-05-01,37,2631.707
NGET-EMFIP-AGWS-TS-00207100,Wind generation,"Wind Offshore",2018-05-01,37,153.897
NGET-EMFIP-AGWS-TS-00207099,Solar generation,"Solar",2018-05-01,37,2044
NGET-EMFIP-AGWS-TS-00207098,Wind generation,"Wind Onshore",2018-05-01,36,2608.305
NGET-EMFIP-AGWS-TS-00207097,Wind generation,"Wind Offshore",2018-05-01,36,150.802
NGET-EMFIP-AGWS-TS-00207096,Solar generation,"Solar",2018-05-01,36,2044
NGET-EMFIP-AGWS-TS-00207095,Wind generation,"Wind Onshore",2018-05-01,35,6209.683
NGET-EMFIP-AGWS-TS-00207094,Wind generation,"Wind Offshore",2018-05-01,35,2939.323
NGET-EMFIP-AGWS-TS-00207093,Solar generation,"Solar",2018-05-01,35,3154
NGET-EMFIP-AGWS-TS-00207092,Wind generation,"Wind Onshore",2018-05-01,34,5979.968
NGET-EMFIP-AGWS-TS-00207091,Wind generation,"Wind Offshore",2018-05-01,34,2872.749
NGET-EMFIP-AGWS-TS-00207090,Solar generation,"Solar",2018-05-01,34,3154
NGET-EMFIP-AGWS-TS-00207089,Wind generation,"Wind Onshore",2018-05-01,33,5805.053
NGET-EMFIP-AGWS-TS-00207088,Wind generation,"Wind Offshore",2018-05-01,33,2879.108
NGET-EMFIP-AGWS-TS-00207087,Solar generation,"Solar",2018-05-01,33,4117
NGET-EMFIP-AGWS-TS-00207086,Wind generation,"Wind Onshore",2018-05-01,32,5849.71
NGET-EMFIP-AGWS-TS-00207085,Wind generation,"Wind Offshore",2018-05-01,32,2484.531
NGET-EMFIP-AGWS-TS-00207084,Solar generation,"Solar",2018-05-01,32,4117
NGET-EMFIP-AGWS-TS-00207083,Wind generation,"Wind Onshore",2018-05-01,31,5948.49
NGET-EMFIP-AGWS-TS-00207082,Wind generation,"Wind Offshore",2018-05-01,31,2209.852
NGET-EMFIP-AGWS-TS-00207081,Solar generation,"Solar",2018-05-01,31,5080
NGET-EMFIP-AGWS-TS-00207080,Wind generation,"Wind Onshore",2018-05-01,30,5848.7
NGET-EMFIP-AGWS-TS-00207079,Wind generation,"Wind Offshore",2018-05-01,30,2075.191
NGET-EMFIP-AGWS-TS-00207078,Solar generation,"Solar",2018-05-01,30,5080
