Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00240061,Wind generation,Wind Onshore,15/11/2018,48,2270.269
NGET-EMFIP-AGWS-TS-00240060,Wind generation,Wind Offshore,15/11/2018,48,1093.018
NGET-EMFIP-AGWS-TS-00240059,Solar generation,Solar,15/11/2018,48,0
NGET-EMFIP-AGWS-TS-00240039,Wind generation,Wind Onshore,15/11/2018,47,2381.61
NGET-EMFIP-AGWS-TS-00240038,Wind generation,Wind Offshore,15/11/2018,47,1063.354
NGET-EMFIP-AGWS-TS-00240037,Solar generation,Solar,15/11/2018,47,0
NGET-EMFIP-AGWS-TS-00240036,Wind generation,Wind Onshore,15/11/2018,46,2703.616
NGET-EMFIP-AGWS-TS-00240035,Wind generation,Wind Offshore,15/11/2018,46,1148.251
NGET-EMFIP-AGWS-TS-00240034,Solar generation,Solar,15/11/2018,46,0
NGET-EMFIP-AGWS-TS-00240033,Wind generation,Wind Onshore,15/11/2018,45,2919.623
NGET-EMFIP-AGWS-TS-00240032,Wind generation,Wind Offshore,15/11/2018,45,1216.377
NGET-EMFIP-AGWS-TS-00240031,Solar generation,Solar,15/11/2018,45,0
NGET-EMFIP-AGWS-TS-00240030,Wind generation,Wind Onshore,15/11/2018,44,3376.904
NGET-EMFIP-AGWS-TS-00240029,Wind generation,Wind Offshore,15/11/2018,44,1297.016
NGET-EMFIP-AGWS-TS-00240028,Solar generation,Solar,15/11/2018,44,0
NGET-EMFIP-AGWS-TS-00240027,Wind generation,Wind Onshore,15/11/2018,43,3605.48
NGET-EMFIP-AGWS-TS-00240026,Wind generation,Wind Offshore,15/11/2018,43,1201.009
NGET-EMFIP-AGWS-TS-00240025,Solar generation,Solar,15/11/2018,43,0
NGET-EMFIP-AGWS-TS-00240024,Wind generation,Wind Onshore,15/11/2018,42,1370.374
NGET-EMFIP-AGWS-TS-00240023,Wind generation,Wind Offshore,15/11/2018,42,61.647
NGET-EMFIP-AGWS-TS-00240022,Solar generation,Solar,15/11/2018,42,0
NGET-EMFIP-AGWS-TS-00240021,Wind generation,Wind Onshore,15/11/2018,41,4039.248
NGET-EMFIP-AGWS-TS-00240020,Wind generation,Wind Offshore,15/11/2018,41,1172.766
NGET-EMFIP-AGWS-TS-00240019,Solar generation,Solar,15/11/2018,41,0
NGET-EMFIP-AGWS-TS-00240004,Wind generation,Wind Onshore,15/11/2018,40,4517.693
