Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00241236,Wind generation,"Wind Onshore",2018-11-22,48,1709.151
NGET-EMFIP-AGWS-TS-00241235,Wind generation,"Wind Offshore",2018-11-22,48,1123.179
NGET-EMFIP-AGWS-TS-00241234,Solar generation,"Solar",2018-11-22,48,0
NGET-EMFIP-AGWS-TS-00241233,Wind generation,"Wind Onshore",2018-11-22,47,1803.019
NGET-EMFIP-AGWS-TS-00241232,Wind generation,"Wind Offshore",2018-11-22,47,1178.092
NGET-EMFIP-AGWS-TS-00241231,Solar generation,"Solar",2018-11-22,47,0
NGET-EMFIP-AGWS-TS-00241230,Wind generation,"Wind Onshore",2018-11-22,46,1819.24
NGET-EMFIP-AGWS-TS-00241229,Wind generation,"Wind Offshore",2018-11-22,46,1146.14
NGET-EMFIP-AGWS-TS-00241228,Solar generation,"Solar",2018-11-22,46,0
NGET-EMFIP-AGWS-TS-00241227,Wind generation,"Wind Onshore",2018-11-22,45,1828.602
NGET-EMFIP-AGWS-TS-00241226,Wind generation,"Wind Offshore",2018-11-22,45,1156.128
NGET-EMFIP-AGWS-TS-00241225,Solar generation,"Solar",2018-11-22,45,0
NGET-EMFIP-AGWS-TS-00241224,Wind generation,"Wind Onshore",2018-11-22,44,1902.227
NGET-EMFIP-AGWS-TS-00241223,Wind generation,"Wind Offshore",2018-11-22,44,1134.277
NGET-EMFIP-AGWS-TS-00241222,Solar generation,"Solar",2018-11-22,44,0
NGET-EMFIP-AGWS-TS-00241221,Wind generation,"Wind Onshore",2018-11-22,43,1901.11
NGET-EMFIP-AGWS-TS-00241220,Wind generation,"Wind Offshore",2018-11-22,43,1178.662
NGET-EMFIP-AGWS-TS-00241219,Solar generation,"Solar",2018-11-22,43,0
NGET-EMFIP-AGWS-TS-00241210,Wind generation,"Wind Onshore",2018-11-22,42,1944.901
NGET-EMFIP-AGWS-TS-00241209,Wind generation,"Wind Offshore",2018-11-22,42,1140.874
NGET-EMFIP-AGWS-TS-00241208,Solar generation,"Solar",2018-11-22,42,0
NGET-EMFIP-AGWS-TS-00241207,Wind generation,"Wind Onshore",2018-11-22,41,1941.742
NGET-EMFIP-AGWS-TS-00241206,Wind generation,"Wind Offshore",2018-11-22,41,1119.079
NGET-EMFIP-AGWS-TS-00241205,Solar generation,"Solar",2018-11-22,41,0
NGET-EMFIP-AGWS-TS-00241204,Wind generation,"Wind Onshore",2018-11-22,40,1919.305
NGET-EMFIP-AGWS-TS-00241203,Wind generation,"Wind Offshore",2018-11-22,40,1144.557
NGET-EMFIP-AGWS-TS-00241202,Solar generation,"Solar",2018-11-22,40,0
NGET-EMFIP-AGWS-TS-00241201,Wind generation,"Wind Onshore",2018-11-22,39,1929.282
NGET-EMFIP-AGWS-TS-00241200,Wind generation,"Wind Offshore",2018-11-22,39,1161.564
NGET-EMFIP-AGWS-TS-00241199,Solar generation,"Solar",2018-11-22,39,0
NGET-EMFIP-AGWS-TS-00241198,Wind generation,"Wind Onshore",2018-11-22,38,1914.162
NGET-EMFIP-AGWS-TS-00241197,Wind generation,"Wind Offshore",2018-11-22,38,1053.863
NGET-EMFIP-AGWS-TS-00241196,Solar generation,"Solar",2018-11-22,38,0
NGET-EMFIP-AGWS-TS-00241195,Wind generation,"Wind Onshore",2018-11-22,37,1900.319
NGET-EMFIP-AGWS-TS-00241194,Wind generation,"Wind Offshore",2018-11-22,37,1011.759
NGET-EMFIP-AGWS-TS-00241193,Solar generation,"Solar",2018-11-22,37,0
NGET-EMFIP-AGWS-TS-00241192,Wind generation,"Wind Onshore",2018-11-22,36,1829.302
