Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00241708,Wind generation,"Wind Onshore",2018-11-25,48,2466.671
NGET-EMFIP-AGWS-TS-00241707,Wind generation,"Wind Offshore",2018-11-25,48,2015.421
NGET-EMFIP-AGWS-TS-00241706,Solar generation,"Solar",2018-11-25,48,0
NGET-EMFIP-AGWS-TS-00241705,Wind generation,"Wind Onshore",2018-11-25,47,2524.864
NGET-EMFIP-AGWS-TS-00241704,Wind generation,"Wind Offshore",2018-11-25,47,2199.417
NGET-EMFIP-AGWS-TS-00241703,Solar generation,"Solar",2018-11-25,47,0
NGET-EMFIP-AGWS-TS-00241702,Wind generation,"Wind Onshore",2018-11-25,46,2644.332
NGET-EMFIP-AGWS-TS-00241701,Wind generation,"Wind Offshore",2018-11-25,46,2307.243
NGET-EMFIP-AGWS-TS-00241700,Solar generation,"Solar",2018-11-25,46,0
NGET-EMFIP-AGWS-TS-00241699,Wind generation,"Wind Onshore",2018-11-25,45,2630.361
NGET-EMFIP-AGWS-TS-00241698,Wind generation,"Wind Offshore",2018-11-25,45,2144.329
NGET-EMFIP-AGWS-TS-00241697,Solar generation,"Solar",2018-11-25,45,0
NGET-EMFIP-AGWS-TS-00241696,Wind generation,"Wind Onshore",2018-11-25,44,2869.865
NGET-EMFIP-AGWS-TS-00241695,Wind generation,"Wind Offshore",2018-11-25,44,2222.907
NGET-EMFIP-AGWS-TS-00241694,Solar generation,"Solar",2018-11-25,44,0
NGET-EMFIP-AGWS-TS-00241693,Wind generation,"Wind Onshore",2018-11-25,43,2850.877
NGET-EMFIP-AGWS-TS-00241692,Wind generation,"Wind Offshore",2018-11-25,43,2045.669
NGET-EMFIP-AGWS-TS-00241691,Solar generation,"Solar",2018-11-25,43,0
NGET-EMFIP-AGWS-TS-00241690,Wind generation,"Wind Onshore",2018-11-25,42,2961.999
NGET-EMFIP-AGWS-TS-00241689,Wind generation,"Wind Offshore",2018-11-25,42,1933.961
NGET-EMFIP-AGWS-TS-00241688,Solar generation,"Solar",2018-11-25,42,0
NGET-EMFIP-AGWS-TS-00241687,Wind generation,"Wind Onshore",2018-11-25,41,2905.806
NGET-EMFIP-AGWS-TS-00241686,Wind generation,"Wind Offshore",2018-11-25,41,1933.699
NGET-EMFIP-AGWS-TS-00241685,Solar generation,"Solar",2018-11-25,41,0
