Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00237747,Wind generation,"Wind Onshore",2018-11-01,48,2690.094
NGET-EMFIP-AGWS-TS-00237746,Wind generation,"Wind Offshore",2018-11-01,48,2022.155
NGET-EMFIP-AGWS-TS-00237745,Solar generation,"Solar",2018-11-01,48,0
NGET-EMFIP-AGWS-TS-00237744,Wind generation,"Wind Onshore",2018-11-01,47,2817.617
NGET-EMFIP-AGWS-TS-00237743,Wind generation,"Wind Offshore",2018-11-01,47,2058.854
NGET-EMFIP-AGWS-TS-00237742,Solar generation,"Solar",2018-11-01,47,0
NGET-EMFIP-AGWS-TS-00237741,Wind generation,"Wind Onshore",2018-11-01,46,2670.765
NGET-EMFIP-AGWS-TS-00237740,Wind generation,"Wind Offshore",2018-11-01,46,2039.166
NGET-EMFIP-AGWS-TS-00237739,Solar generation,"Solar",2018-11-01,46,0
NGET-EMFIP-AGWS-TS-00237727,Wind generation,"Wind Onshore",2018-11-01,45,2636.097
NGET-EMFIP-AGWS-TS-00237726,Wind generation,"Wind Offshore",2018-11-01,45,2079.258
NGET-EMFIP-AGWS-TS-00237725,Solar generation,"Solar",2018-11-01,45,0
NGET-EMFIP-AGWS-TS-00237724,Wind generation,"Wind Onshore",2018-11-01,44,2669.806
NGET-EMFIP-AGWS-TS-00237723,Wind generation,"Wind Offshore",2018-11-01,44,2102.132
NGET-EMFIP-AGWS-TS-00237722,Solar generation,"Solar",2018-11-01,44,0
NGET-EMFIP-AGWS-TS-00237721,Wind generation,"Wind Onshore",2018-11-01,43,2706.696
NGET-EMFIP-AGWS-TS-00237720,Wind generation,"Wind Offshore",2018-11-01,43,2124.657
NGET-EMFIP-AGWS-TS-00237719,Solar generation,"Solar",2018-11-01,43,0
NGET-EMFIP-AGWS-TS-00237718,Wind generation,"Wind Onshore",2018-11-01,42,2745.721
NGET-EMFIP-AGWS-TS-00237717,Wind generation,"Wind Offshore",2018-11-01,42,2194.373
NGET-EMFIP-AGWS-TS-00237716,Solar generation,"Solar",2018-11-01,42,0
