Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00235185,Wind generation,"Wind Onshore",2018-10-17,48,1622.219
NGET-EMFIP-AGWS-TS-00235184,Wind generation,"Wind Offshore",2018-10-17,48,1044.873
NGET-EMFIP-AGWS-TS-00235183,Solar generation,"Solar",2018-10-17,48,0
NGET-EMFIP-AGWS-TS-00235182,Wind generation,"Wind Onshore",2018-10-17,47,1640.791
NGET-EMFIP-AGWS-TS-00235181,Wind generation,"Wind Offshore",2018-10-17,47,975.723
NGET-EMFIP-AGWS-TS-00235180,Solar generation,"Solar",2018-10-17,47,0
NGET-EMFIP-AGWS-TS-00235179,Wind generation,"Wind Onshore",2018-10-17,46,1710.117
NGET-EMFIP-AGWS-TS-00235178,Wind generation,"Wind Offshore",2018-10-17,46,968.873
NGET-EMFIP-AGWS-TS-00235177,Solar generation,"Solar",2018-10-17,46,0
NGET-EMFIP-AGWS-TS-00235176,Wind generation,"Wind Onshore",2018-10-17,45,1738.071
NGET-EMFIP-AGWS-TS-00235175,Wind generation,"Wind Offshore",2018-10-17,45,960.054
NGET-EMFIP-AGWS-TS-00235174,Solar generation,"Solar",2018-10-17,45,0
NGET-EMFIP-AGWS-TS-00235173,Wind generation,"Wind Onshore",2018-10-17,44,1752.691
NGET-EMFIP-AGWS-TS-00235172,Wind generation,"Wind Offshore",2018-10-17,44,964.894
NGET-EMFIP-AGWS-TS-00235171,Solar generation,"Solar",2018-10-17,44,0
NGET-EMFIP-AGWS-TS-00235170,Wind generation,"Wind Onshore",2018-10-17,43,1905.216
NGET-EMFIP-AGWS-TS-00235169,Wind generation,"Wind Offshore",2018-10-17,43,994.245
NGET-EMFIP-AGWS-TS-00235168,Solar generation,"Solar",2018-10-17,43,1
NGET-EMFIP-AGWS-TS-00235167,Wind generation,"Wind Onshore",2018-10-17,42,1873.691
NGET-EMFIP-AGWS-TS-00235166,Wind generation,"Wind Offshore",2018-10-17,42,1049.917
NGET-EMFIP-AGWS-TS-00235165,Solar generation,"Solar",2018-10-17,42,1
NGET-EMFIP-AGWS-TS-00235164,Wind generation,"Wind Onshore",2018-10-17,41,1820.969
NGET-EMFIP-AGWS-TS-00235163,Wind generation,"Wind Offshore",2018-10-17,41,971.312
NGET-EMFIP-AGWS-TS-00235162,Solar generation,"Solar",2018-10-17,41,1
NGET-EMFIP-AGWS-TS-00235161,Wind generation,"Wind Onshore",2018-10-17,40,1798.356
NGET-EMFIP-AGWS-TS-00235160,Wind generation,"Wind Offshore",2018-10-17,40,901.209
NGET-EMFIP-AGWS-TS-00235159,Solar generation,"Solar",2018-10-17,40,0
NGET-EMFIP-AGWS-TS-00235158,Wind generation,"Wind Onshore",2018-10-17,39,1776.337
NGET-EMFIP-AGWS-TS-00235157,Wind generation,"Wind Offshore",2018-10-17,39,932.687
NGET-EMFIP-AGWS-TS-00235156,Solar generation,"Solar",2018-10-17,39,2
NGET-EMFIP-AGWS-TS-00235155,Wind generation,"Wind Onshore",2018-10-17,38,1901.276
NGET-EMFIP-AGWS-TS-00235154,Wind generation,"Wind Offshore",2018-10-17,38,850.286
NGET-EMFIP-AGWS-TS-00235153,Solar generation,"Solar",2018-10-17,38,4
NGET-EMFIP-AGWS-TS-00235152,Wind generation,"Wind Onshore",2018-10-17,37,1957.3
NGET-EMFIP-AGWS-TS-00235151,Wind generation,"Wind Offshore",2018-10-17,37,824.829
NGET-EMFIP-AGWS-TS-00235150,Solar generation,"Solar",2018-10-17,37,6
NGET-EMFIP-AGWS-TS-00235149,Wind generation,"Wind Onshore",2018-10-17,36,1999.839
NGET-EMFIP-AGWS-TS-00235148,Wind generation,"Wind Offshore",2018-10-17,36,771.967
NGET-EMFIP-AGWS-TS-00235147,Solar generation,"Solar",2018-10-17,36,84
NGET-EMFIP-AGWS-TS-00235146,Wind generation,"Wind Onshore",2018-10-17,35,1983.617
NGET-EMFIP-AGWS-TS-00235145,Wind generation,"Wind Offshore",2018-10-17,35,762.509
NGET-EMFIP-AGWS-TS-00235144,Solar generation,"Solar",2018-10-17,35,367
NGET-EMFIP-AGWS-TS-00235143,Wind generation,"Wind Onshore",2018-10-17,34,2121.577
NGET-EMFIP-AGWS-TS-00235142,Wind generation,"Wind Offshore",2018-10-17,34,706.23
NGET-EMFIP-AGWS-TS-00235141,Solar generation,"Solar",2018-10-17,34,795
NGET-EMFIP-AGWS-TS-00235140,Wind generation,"Wind Onshore",2018-10-17,33,2128.122
NGET-EMFIP-AGWS-TS-00235139,Wind generation,"Wind Offshore",2018-10-17,33,703.443
NGET-EMFIP-AGWS-TS-00235138,Solar generation,"Solar",2018-10-17,33,1170
NGET-EMFIP-AGWS-TS-00235137,Wind generation,"Wind Onshore",2018-10-17,32,2220.321
NGET-EMFIP-AGWS-TS-00235136,Wind generation,"Wind Offshore",2018-10-17,32,697.259
NGET-EMFIP-AGWS-TS-00235135,Solar generation,"Solar",2018-10-17,32,1490
NGET-EMFIP-AGWS-TS-00235134,Wind generation,"Wind Onshore",2018-10-17,31,2221.134
NGET-EMFIP-AGWS-TS-00235133,Wind generation,"Wind Offshore",2018-10-17,31,660.497
NGET-EMFIP-AGWS-TS-00235132,Solar generation,"Solar",2018-10-17,31,1790
NGET-EMFIP-AGWS-TS-00235128,Wind generation,"Wind Onshore",2018-10-17,29,2100.499
NGET-EMFIP-AGWS-TS-00235127,Wind generation,"Wind Offshore",2018-10-17,29,823.315
NGET-EMFIP-AGWS-TS-00235126,Solar generation,"Solar",2018-10-17,29,2420
NGET-EMFIP-AGWS-TS-00235125,Wind generation,"Wind Onshore",2018-10-17,28,2175.202
NGET-EMFIP-AGWS-TS-00235124,Wind generation,"Wind Offshore",2018-10-17,28,873.877
NGET-EMFIP-AGWS-TS-00235123,Solar generation,"Solar",2018-10-17,28,2530
NGET-EMFIP-AGWS-TS-00235122,Wind generation,"Wind Onshore",2018-10-17,27,2161.386
NGET-EMFIP-AGWS-TS-00235121,Wind generation,"Wind Offshore",2018-10-17,27,873.764
NGET-EMFIP-AGWS-TS-00235120,Solar generation,"Solar",2018-10-17,27,2620
NGET-EMFIP-AGWS-TS-00235119,Wind generation,"Wind Onshore",2018-10-17,26,2132.998
NGET-EMFIP-AGWS-TS-00235118,Wind generation,"Wind Offshore",2018-10-17,26,862.705
NGET-EMFIP-AGWS-TS-00235117,Solar generation,"Solar",2018-10-17,26,2700
NGET-EMFIP-AGWS-TS-00235116,Wind generation,"Wind Onshore",2018-10-17,25,2132.642
NGET-EMFIP-AGWS-TS-00235115,Wind generation,"Wind Offshore",2018-10-17,25,862.728
NGET-EMFIP-AGWS-TS-00235114,Solar generation,"Solar",2018-10-17,25,2660
NGET-EMFIP-AGWS-TS-00235113,Wind generation,"Wind Onshore",2018-10-17,24,2069.029
NGET-EMFIP-AGWS-TS-00235112,Wind generation,"Wind Offshore",2018-10-17,24,854.199
NGET-EMFIP-AGWS-TS-00235111,Solar generation,"Solar",2018-10-17,24,2570
NGET-EMFIP-AGWS-TS-00235110,Wind generation,"Wind Onshore",2018-10-17,23,703.912
NGET-EMFIP-AGWS-TS-00235109,Wind generation,"Wind Offshore",2018-10-17,23,30.888
NGET-EMFIP-AGWS-TS-00235108,Solar generation,"Solar",2018-10-17,23,2380
NGET-EMFIP-AGWS-TS-00235107,Wind generation,"Wind Onshore",2018-10-17,22,640.136
NGET-EMFIP-AGWS-TS-00235106,Wind generation,"Wind Offshore",2018-10-17,22,29.53
NGET-EMFIP-AGWS-TS-00235105,Solar generation,"Solar",2018-10-17,22,2090
NGET-EMFIP-AGWS-TS-00235104,Wind generation,"Wind Onshore",2018-10-17,21,640.136
NGET-EMFIP-AGWS-TS-00235103,Wind generation,"Wind Offshore",2018-10-17,21,29.53
NGET-EMFIP-AGWS-TS-00235102,Solar generation,"Solar",2018-10-17,21,1690
NGET-EMFIP-AGWS-TS-00235101,Wind generation,"Wind Onshore",2018-10-17,20,670.977
NGET-EMFIP-AGWS-TS-00235100,Wind generation,"Wind Offshore",2018-10-17,20,32.336
NGET-EMFIP-AGWS-TS-00235099,Solar generation,"Solar",2018-10-17,20,1228
NGET-EMFIP-AGWS-TS-00235087,Wind generation,"Wind Onshore",2018-10-17,19,1899.692
NGET-EMFIP-AGWS-TS-00235086,Wind generation,"Wind Offshore",2018-10-17,19,969.767
NGET-EMFIP-AGWS-TS-00235085,Solar generation,"Solar",2018-10-17,19,644
NGET-EMFIP-AGWS-TS-00235084,Wind generation,"Wind Onshore",2018-10-17,18,1927.52
NGET-EMFIP-AGWS-TS-00235083,Wind generation,"Wind Offshore",2018-10-17,18,999.946
NGET-EMFIP-AGWS-TS-00235082,Solar generation,"Solar",2018-10-17,18,405
NGET-EMFIP-AGWS-TS-00235081,Wind generation,"Wind Onshore",2018-10-17,17,1908.041
NGET-EMFIP-AGWS-TS-00235080,Wind generation,"Wind Offshore",2018-10-17,17,1065.797
NGET-EMFIP-AGWS-TS-00235079,Solar generation,"Solar",2018-10-17,17,142
NGET-EMFIP-AGWS-TS-00235068,Wind generation,"Wind Onshore",2018-10-17,16,1918.104
NGET-EMFIP-AGWS-TS-00235067,Wind generation,"Wind Offshore",2018-10-17,16,1128.361
NGET-EMFIP-AGWS-TS-00235066,Solar generation,"Solar",2018-10-17,16,20
NGET-EMFIP-AGWS-TS-00235065,Wind generation,"Wind Onshore",2018-10-17,15,1963.798
NGET-EMFIP-AGWS-TS-00235064,Wind generation,"Wind Offshore",2018-10-17,15,1162.55
NGET-EMFIP-AGWS-TS-00235063,Solar generation,"Solar",2018-10-17,15,0
NGET-EMFIP-AGWS-TS-00235062,Wind generation,"Wind Onshore",2018-10-17,14,1946.168
NGET-EMFIP-AGWS-TS-00235061,Wind generation,"Wind Offshore",2018-10-17,14,1248.993
NGET-EMFIP-AGWS-TS-00235060,Solar generation,"Solar",2018-10-17,14,0
NGET-EMFIP-AGWS-TS-00235059,Wind generation,"Wind Onshore",2018-10-17,13,2050.867
NGET-EMFIP-AGWS-TS-00235058,Wind generation,"Wind Offshore",2018-10-17,13,1340.65
NGET-EMFIP-AGWS-TS-00235057,Solar generation,"Solar",2018-10-17,13,0
NGET-EMFIP-AGWS-TS-00235056,Wind generation,"Wind Onshore",2018-10-17,12,2157.352
NGET-EMFIP-AGWS-TS-00235055,Wind generation,"Wind Offshore",2018-10-17,12,1395.07
NGET-EMFIP-AGWS-TS-00235054,Solar generation,"Solar",2018-10-17,12,0
NGET-EMFIP-AGWS-TS-00235053,Wind generation,"Wind Onshore",2018-10-17,11,2186.262
NGET-EMFIP-AGWS-TS-00235052,Wind generation,"Wind Offshore",2018-10-17,11,1548.515
NGET-EMFIP-AGWS-TS-00235051,Solar generation,"Solar",2018-10-17,11,0
NGET-EMFIP-AGWS-TS-00235050,Wind generation,"Wind Onshore",2018-10-17,10,2312.031
NGET-EMFIP-AGWS-TS-00235049,Wind generation,"Wind Offshore",2018-10-17,10,1687.479
NGET-EMFIP-AGWS-TS-00235048,Solar generation,"Solar",2018-10-17,10,0
NGET-EMFIP-AGWS-TS-00235047,Wind generation,"Wind Onshore",2018-10-17,9,2409.977
NGET-EMFIP-AGWS-TS-00235046,Wind generation,"Wind Offshore",2018-10-17,9,1642.429
NGET-EMFIP-AGWS-TS-00235045,Solar generation,"Solar",2018-10-17,9,0
NGET-EMFIP-AGWS-TS-00235044,Wind generation,"Wind Onshore",2018-10-17,8,2638.31
NGET-EMFIP-AGWS-TS-00235043,Wind generation,"Wind Offshore",2018-10-17,8,1539.973
NGET-EMFIP-AGWS-TS-00235042,Solar generation,"Solar",2018-10-17,8,0
NGET-EMFIP-AGWS-TS-00235041,Wind generation,"Wind Onshore",2018-10-17,7,2816.997
NGET-EMFIP-AGWS-TS-00235040,Wind generation,"Wind Offshore",2018-10-17,7,1413.892
NGET-EMFIP-AGWS-TS-00235039,Solar generation,"Solar",2018-10-17,7,0
NGET-EMFIP-AGWS-TS-00235034,Wind generation,"Wind Onshore",2018-10-17,6,3034.316
NGET-EMFIP-AGWS-TS-00235033,Wind generation,"Wind Offshore",2018-10-17,6,1415.82
NGET-EMFIP-AGWS-TS-00235032,Solar generation,"Solar",2018-10-17,6,0
NGET-EMFIP-AGWS-TS-00235031,Wind generation,"Wind Onshore",2018-10-17,5,3037.912
NGET-EMFIP-AGWS-TS-00235030,Wind generation,"Wind Offshore",2018-10-17,5,1275.378
NGET-EMFIP-AGWS-TS-00235029,Solar generation,"Solar",2018-10-17,5,0
NGET-EMFIP-AGWS-TS-00235028,Wind generation,"Wind Onshore",2018-10-17,4,3184.187
NGET-EMFIP-AGWS-TS-00235027,Wind generation,"Wind Offshore",2018-10-17,4,1233.256
NGET-EMFIP-AGWS-TS-00235026,Solar generation,"Solar",2018-10-17,4,0
NGET-EMFIP-AGWS-TS-00235025,Wind generation,"Wind Onshore",2018-10-17,3,3379.243
NGET-EMFIP-AGWS-TS-00235024,Wind generation,"Wind Offshore",2018-10-17,3,1314.52
NGET-EMFIP-AGWS-TS-00235023,Solar generation,"Solar",2018-10-17,3,0
NGET-EMFIP-AGWS-TS-00235022,Wind generation,"Wind Onshore",2018-10-17,2,3489.121
NGET-EMFIP-AGWS-TS-00235021,Wind generation,"Wind Offshore",2018-10-17,2,1560.792
NGET-EMFIP-AGWS-TS-00235020,Solar generation,"Solar",2018-10-17,2,0
NGET-EMFIP-AGWS-TS-00235019,Wind generation,"Wind Onshore",2018-10-17,1,3561.262
NGET-EMFIP-AGWS-TS-00235018,Wind generation,"Wind Offshore",2018-10-17,1,1727.36
NGET-EMFIP-AGWS-TS-00235017,Solar generation,"Solar",2018-10-17,1,0
