Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00236458,Wind generation,Wind Onshore,25/10/2018,48,5082.881
NGET-EMFIP-AGWS-TS-00236457,Wind generation,Wind Offshore,25/10/2018,48,2569.892
NGET-EMFIP-AGWS-TS-00236456,Solar generation,Solar,25/10/2018,48,0
NGET-EMFIP-AGWS-TS-00236455,Wind generation,Wind Onshore,25/10/2018,47,5146.917
NGET-EMFIP-AGWS-TS-00236454,Wind generation,Wind Offshore,25/10/2018,47,2389.18
NGET-EMFIP-AGWS-TS-00236453,Solar generation,Solar,25/10/2018,47,0
NGET-EMFIP-AGWS-TS-00236452,Wind generation,Wind Onshore,25/10/2018,46,5226.93
NGET-EMFIP-AGWS-TS-00236451,Wind generation,Wind Offshore,25/10/2018,46,2330.47
NGET-EMFIP-AGWS-TS-00236450,Solar generation,Solar,25/10/2018,46,0
NGET-EMFIP-AGWS-TS-00236449,Wind generation,Wind Onshore,25/10/2018,45,5498.97
NGET-EMFIP-AGWS-TS-00236448,Wind generation,Wind Offshore,25/10/2018,45,2147.012
NGET-EMFIP-AGWS-TS-00236447,Solar generation,Solar,25/10/2018,45,0
NGET-EMFIP-AGWS-TS-00236446,Wind generation,Wind Onshore,25/10/2018,44,5242.7
NGET-EMFIP-AGWS-TS-00236445,Wind generation,Wind Offshore,25/10/2018,44,2088.129
NGET-EMFIP-AGWS-TS-00236444,Solar generation,Solar,25/10/2018,44,0
NGET-EMFIP-AGWS-TS-00236446,Wind generation,Wind Onshore,25/10/2018,,5118.743
NGET-EMFIP-AGWS-TS-00236445,Wind generation,Wind Offshore,25/10/2018,,1940.9965
NGET-EMFIP-AGWS-TS-00236444,Solar generation,Solar,25/10/2018,,1
NGET-EMFIP-AGWS-TS-00236440,Wind generation,Wind Onshore,25/10/2018,42,4994.786
NGET-EMFIP-AGWS-TS-00236439,Wind generation,Wind Offshore,25/10/2018,42,1793.864
NGET-EMFIP-AGWS-TS-00236438,Solar generation,Solar,25/10/2018,42,2
NGET-EMFIP-AGWS-TS-00236437,Wind generation,Wind Onshore,25/10/2018,41,5033.648
NGET-EMFIP-AGWS-TS-00236436,Wind generation,Wind Offshore,25/10/2018,41,1606.559
