Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00237378,Wind generation,"Wind Onshore",2018-10-30,48,1445.635
NGET-EMFIP-AGWS-TS-00237377,Wind generation,"Wind Offshore",2018-10-30,48,2000.173
NGET-EMFIP-AGWS-TS-00237376,Solar generation,"Solar",2018-10-30,48,0
NGET-EMFIP-AGWS-TS-00237375,Wind generation,"Wind Onshore",2018-10-30,47,1351.508
NGET-EMFIP-AGWS-TS-00237374,Wind generation,"Wind Offshore",2018-10-30,47,2065.64
NGET-EMFIP-AGWS-TS-00237373,Solar generation,"Solar",2018-10-30,47,0
NGET-EMFIP-AGWS-TS-00237372,Wind generation,"Wind Onshore",2018-10-30,46,1265.369
NGET-EMFIP-AGWS-TS-00237371,Wind generation,"Wind Offshore",2018-10-30,46,2158.297
NGET-EMFIP-AGWS-TS-00237370,Solar generation,"Solar",2018-10-30,46,0
NGET-EMFIP-AGWS-TS-00237369,Wind generation,"Wind Onshore",2018-10-30,45,1303.473
NGET-EMFIP-AGWS-TS-00237368,Wind generation,"Wind Offshore",2018-10-30,45,2346.337
NGET-EMFIP-AGWS-TS-00237367,Solar generation,"Solar",2018-10-30,45,0
NGET-EMFIP-AGWS-TS-00237366,Wind generation,"Wind Onshore",2018-10-30,44,1268.148
NGET-EMFIP-AGWS-TS-00237365,Wind generation,"Wind Offshore",2018-10-30,44,2480.71
NGET-EMFIP-AGWS-TS-00237364,Solar generation,"Solar",2018-10-30,44,0
NGET-EMFIP-AGWS-TS-00237363,Wind generation,"Wind Onshore",2018-10-30,43,1260.609
NGET-EMFIP-AGWS-TS-00237362,Wind generation,"Wind Offshore",2018-10-30,43,2590.651
NGET-EMFIP-AGWS-TS-00237361,Solar generation,"Solar",2018-10-30,43,0
NGET-EMFIP-AGWS-TS-00237360,Wind generation,"Wind Onshore",2018-10-30,42,1286.557
NGET-EMFIP-AGWS-TS-00237359,Wind generation,"Wind Offshore",2018-10-30,42,2554.02
NGET-EMFIP-AGWS-TS-00237358,Solar generation,"Solar",2018-10-30,42,0
NGET-EMFIP-AGWS-TS-00237357,Wind generation,"Wind Onshore",2018-10-30,41,1330.04
NGET-EMFIP-AGWS-TS-00237356,Wind generation,"Wind Offshore",2018-10-30,41,2524.117
NGET-EMFIP-AGWS-TS-00237355,Solar generation,"Solar",2018-10-30,41,0
NGET-EMFIP-AGWS-TS-00237354,Wind generation,"Wind Onshore",2018-10-30,40,1421.139
NGET-EMFIP-AGWS-TS-00237353,Wind generation,"Wind Offshore",2018-10-30,40,2577.594
NGET-EMFIP-AGWS-TS-00237352,Solar generation,"Solar",2018-10-30,40,1
NGET-EMFIP-AGWS-TS-00237351,Wind generation,"Wind Onshore",2018-10-30,39,1364.333
NGET-EMFIP-AGWS-TS-00237350,Wind generation,"Wind Offshore",2018-10-30,39,2614.655
NGET-EMFIP-AGWS-TS-00237349,Solar generation,"Solar",2018-10-30,39,0
NGET-EMFIP-AGWS-TS-00237348,Wind generation,"Wind Onshore",2018-10-30,38,1403.229
NGET-EMFIP-AGWS-TS-00237347,Wind generation,"Wind Offshore",2018-10-30,38,2655.737
NGET-EMFIP-AGWS-TS-00237346,Solar generation,"Solar",2018-10-30,38,1
NGET-EMFIP-AGWS-TS-00237345,Wind generation,"Wind Onshore",2018-10-30,37,1446.945
NGET-EMFIP-AGWS-TS-00237344,Wind generation,"Wind Offshore",2018-10-30,37,2675.123
NGET-EMFIP-AGWS-TS-00237343,Solar generation,"Solar",2018-10-30,37,3
NGET-EMFIP-AGWS-TS-00237342,Wind generation,"Wind Onshore",2018-10-30,36,1570.65
NGET-EMFIP-AGWS-TS-00237341,Wind generation,"Wind Offshore",2018-10-30,36,2695.649
NGET-EMFIP-AGWS-TS-00237340,Solar generation,"Solar",2018-10-30,36,1
NGET-EMFIP-AGWS-TS-00237339,Wind generation,"Wind Onshore",2018-10-30,35,1575.3
NGET-EMFIP-AGWS-TS-00237338,Wind generation,"Wind Offshore",2018-10-30,35,2693.075
NGET-EMFIP-AGWS-TS-00237337,Solar generation,"Solar",2018-10-30,35,2
NGET-EMFIP-AGWS-TS-00237336,Wind generation,"Wind Onshore",2018-10-30,34,1521.178
NGET-EMFIP-AGWS-TS-00237335,Wind generation,"Wind Offshore",2018-10-30,34,2642.539
NGET-EMFIP-AGWS-TS-00237334,Solar generation,"Solar",2018-10-30,34,17
NGET-EMFIP-AGWS-TS-00237333,Wind generation,"Wind Onshore",2018-10-30,33,1485.591
NGET-EMFIP-AGWS-TS-00237332,Wind generation,"Wind Offshore",2018-10-30,33,2666.891
NGET-EMFIP-AGWS-TS-00237331,Solar generation,"Solar",2018-10-30,33,244
NGET-EMFIP-AGWS-TS-00237330,Wind generation,"Wind Onshore",2018-10-30,32,1460.12
NGET-EMFIP-AGWS-TS-00237329,Wind generation,"Wind Offshore",2018-10-30,32,2579.158
NGET-EMFIP-AGWS-TS-00237328,Solar generation,"Solar",2018-10-30,32,732
NGET-EMFIP-AGWS-TS-00237327,Wind generation,"Wind Onshore",2018-10-30,31,1399.007
NGET-EMFIP-AGWS-TS-00237326,Wind generation,"Wind Offshore",2018-10-30,31,2547.623
NGET-EMFIP-AGWS-TS-00237325,Solar generation,"Solar",2018-10-30,31,1190
NGET-EMFIP-AGWS-TS-00237324,Wind generation,"Wind Onshore",2018-10-30,30,1538.875
NGET-EMFIP-AGWS-TS-00237323,Wind generation,"Wind Offshore",2018-10-30,30,2555.564
NGET-EMFIP-AGWS-TS-00237322,Solar generation,"Solar",2018-10-30,30,1560
NGET-EMFIP-AGWS-TS-00237321,Wind generation,"Wind Onshore",2018-10-30,29,1655.727
NGET-EMFIP-AGWS-TS-00237320,Wind generation,"Wind Offshore",2018-10-30,29,2578.186
NGET-EMFIP-AGWS-TS-00237319,Solar generation,"Solar",2018-10-30,29,1990
NGET-EMFIP-AGWS-TS-00237302,Wind generation,"Wind Onshore",2018-10-30,28,1823.715
NGET-EMFIP-AGWS-TS-00237301,Wind generation,"Wind Offshore",2018-10-30,28,2607.868
NGET-EMFIP-AGWS-TS-00237300,Solar generation,"Solar",2018-10-30,28,2334
NGET-EMFIP-AGWS-TS-00237299,Wind generation,"Wind Onshore",2018-10-30,27,1780.327
NGET-EMFIP-AGWS-TS-00237298,Wind generation,"Wind Offshore",2018-10-30,27,2590.91
NGET-EMFIP-AGWS-TS-00237297,Solar generation,"Solar",2018-10-30,27,2499
NGET-EMFIP-AGWS-TS-00237296,Wind generation,"Wind Onshore",2018-10-30,26,1871.911
