Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00230332,Wind generation,"Wind Onshore",2018-09-17,48,4933.055
NGET-EMFIP-AGWS-TS-00230331,Wind generation,"Wind Offshore",2018-09-17,48,3493.328
NGET-EMFIP-AGWS-TS-00230330,Solar generation,"Solar",2018-09-17,48,0
NGET-EMFIP-AGWS-TS-00230329,Wind generation,"Wind Onshore",2018-09-17,47,4966.894
NGET-EMFIP-AGWS-TS-00230328,Wind generation,"Wind Offshore",2018-09-17,47,3547.735
NGET-EMFIP-AGWS-TS-00230327,Solar generation,"Solar",2018-09-17,47,0
NGET-EMFIP-AGWS-TS-00230326,Wind generation,"Wind Onshore",2018-09-17,46,5205.462
NGET-EMFIP-AGWS-TS-00230325,Wind generation,"Wind Offshore",2018-09-17,46,3496.38
NGET-EMFIP-AGWS-TS-00230324,Solar generation,"Solar",2018-09-17,46,0
NGET-EMFIP-AGWS-TS-00230323,Wind generation,"Wind Onshore",2018-09-17,45,5213.917
NGET-EMFIP-AGWS-TS-00230322,Wind generation,"Wind Offshore",2018-09-17,45,3167.385
NGET-EMFIP-AGWS-TS-00230321,Solar generation,"Solar",2018-09-17,45,0
NGET-EMFIP-AGWS-TS-00230320,Wind generation,"Wind Onshore",2018-09-17,44,5308.027
NGET-EMFIP-AGWS-TS-00230319,Wind generation,"Wind Offshore",2018-09-17,44,3094.645
NGET-EMFIP-AGWS-TS-00230318,Solar generation,"Solar",2018-09-17,44,1
NGET-EMFIP-AGWS-TS-00230317,Wind generation,"Wind Onshore",2018-09-17,43,5195.506
NGET-EMFIP-AGWS-TS-00230316,Wind generation,"Wind Offshore",2018-09-17,43,3029.198
NGET-EMFIP-AGWS-TS-00230315,Solar generation,"Solar",2018-09-17,43,0
NGET-EMFIP-AGWS-TS-00230314,Wind generation,"Wind Onshore",2018-09-17,42,5145.31
NGET-EMFIP-AGWS-TS-00230313,Wind generation,"Wind Offshore",2018-09-17,42,2799.722
NGET-EMFIP-AGWS-TS-00230312,Solar generation,"Solar",2018-09-17,42,1
NGET-EMFIP-AGWS-TS-00230311,Wind generation,"Wind Onshore",2018-09-17,41,5200.482
NGET-EMFIP-AGWS-TS-00230310,Wind generation,"Wind Offshore",2018-09-17,41,2684.654
NGET-EMFIP-AGWS-TS-00230309,Solar generation,"Solar",2018-09-17,41,0
NGET-EMFIP-AGWS-TS-00230308,Wind generation,"Wind Onshore",2018-09-17,40,5399.245
NGET-EMFIP-AGWS-TS-00230307,Wind generation,"Wind Offshore",2018-09-17,40,2741.961
NGET-EMFIP-AGWS-TS-00230306,Solar generation,"Solar",2018-09-17,40,1
NGET-EMFIP-AGWS-TS-00230305,Wind generation,"Wind Onshore",2018-09-17,39,5658.395
NGET-EMFIP-AGWS-TS-00230304,Wind generation,"Wind Offshore",2018-09-17,39,2814.28
NGET-EMFIP-AGWS-TS-00230303,Solar generation,"Solar",2018-09-17,39,18
