Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00230496,Wind generation,Wind Onshore,18/09/2018,48,4521.428
NGET-EMFIP-AGWS-TS-00230495,Wind generation,Wind Offshore,18/09/2018,48,3679.368
NGET-EMFIP-AGWS-TS-00230494,Solar generation,Solar,18/09/2018,48,0
NGET-EMFIP-AGWS-TS-00230493,Wind generation,Wind Onshore,18/09/2018,47,4896.562
NGET-EMFIP-AGWS-TS-00230492,Wind generation,Wind Offshore,18/09/2018,47,3678.357
NGET-EMFIP-AGWS-TS-00230491,Solar generation,Solar,18/09/2018,47,0
NGET-EMFIP-AGWS-TS-00230490,Wind generation,Wind Onshore,18/09/2018,46,5330.005
NGET-EMFIP-AGWS-TS-00230489,Wind generation,Wind Offshore,18/09/2018,46,3714.849
NGET-EMFIP-AGWS-TS-00230488,Solar generation,Solar,18/09/2018,46,0
NGET-EMFIP-AGWS-TS-00230487,Wind generation,Wind Onshore,18/09/2018,45,5820.393
NGET-EMFIP-AGWS-TS-00230486,Wind generation,Wind Offshore,18/09/2018,45,3865.199
NGET-EMFIP-AGWS-TS-00230485,Solar generation,Solar,18/09/2018,45,0
NGET-EMFIP-AGWS-TS-00230484,Wind generation,Wind Onshore,18/09/2018,44,6081.102
NGET-EMFIP-AGWS-TS-00230483,Wind generation,Wind Offshore,18/09/2018,44,3981.682
NGET-EMFIP-AGWS-TS-00230482,Solar generation,Solar,18/09/2018,44,1
NGET-EMFIP-AGWS-TS-00230481,Wind generation,Wind Onshore,18/09/2018,43,6062.508
NGET-EMFIP-AGWS-TS-00230480,Wind generation,Wind Offshore,18/09/2018,43,3947.221
NGET-EMFIP-AGWS-TS-00230479,Solar generation,Solar,18/09/2018,43,0
NGET-EMFIP-AGWS-TS-00230474,Wind generation,Wind Onshore,18/09/2018,42,5855.622
NGET-EMFIP-AGWS-TS-00230473,Wind generation,Wind Offshore,18/09/2018,42,4151.585
NGET-EMFIP-AGWS-TS-00230472,Solar generation,Solar,18/09/2018,42,1
NGET-EMFIP-AGWS-TS-00230471,Wind generation,Wind Onshore,18/09/2018,41,6018.157
NGET-EMFIP-AGWS-TS-00230470,Wind generation,Wind Offshore,18/09/2018,41,4147.676
NGET-EMFIP-AGWS-TS-00230469,Solar generation,Solar,18/09/2018,41,2
NGET-EMFIP-AGWS-TS-00230468,Wind generation,Wind Onshore,18/09/2018,40,6032.972
NGET-EMFIP-AGWS-TS-00230467,Wind generation,Wind Offshore,18/09/2018,40,4203.594
