Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00231007,Wind generation,"Wind Onshore",2018-09-21,48,4873.291
NGET-EMFIP-AGWS-TS-00231006,Wind generation,"Wind Offshore",2018-09-21,48,4044.124
NGET-EMFIP-AGWS-TS-00231005,Solar generation,"Solar",2018-09-21,48,0
NGET-EMFIP-AGWS-TS-00231004,Wind generation,"Wind Onshore",2018-09-21,47,5166.852
NGET-EMFIP-AGWS-TS-00231003,Wind generation,"Wind Offshore",2018-09-21,47,4056.052
NGET-EMFIP-AGWS-TS-00231002,Solar generation,"Solar",2018-09-21,47,0
NGET-EMFIP-AGWS-TS-00231001,Wind generation,"Wind Onshore",2018-09-21,46,5470.969
NGET-EMFIP-AGWS-TS-00231000,Wind generation,"Wind Offshore",2018-09-21,46,4137.79
NGET-EMFIP-AGWS-TS-00230999,Solar generation,"Solar",2018-09-21,46,0
NGET-EMFIP-AGWS-TS-00230998,Wind generation,"Wind Onshore",2018-09-21,45,5869.649
NGET-EMFIP-AGWS-TS-00230997,Wind generation,"Wind Offshore",2018-09-21,45,4102.56
NGET-EMFIP-AGWS-TS-00230996,Solar generation,"Solar",2018-09-21,45,0
NGET-EMFIP-AGWS-TS-00230995,Wind generation,"Wind Onshore",2018-09-21,44,6145.8
NGET-EMFIP-AGWS-TS-00230994,Wind generation,"Wind Offshore",2018-09-21,44,4112.919
NGET-EMFIP-AGWS-TS-00230993,Solar generation,"Solar",2018-09-21,44,3
NGET-EMFIP-AGWS-TS-00230992,Wind generation,"Wind Onshore",2018-09-21,43,6002.954
NGET-EMFIP-AGWS-TS-00230991,Wind generation,"Wind Offshore",2018-09-21,43,4092.132
NGET-EMFIP-AGWS-TS-00230990,Solar generation,"Solar",2018-09-21,43,0
NGET-EMFIP-AGWS-TS-00230989,Wind generation,"Wind Onshore",2018-09-21,42,6127.596
NGET-EMFIP-AGWS-TS-00230988,Wind generation,"Wind Offshore",2018-09-21,42,4157.221
NGET-EMFIP-AGWS-TS-00230987,Solar generation,"Solar",2018-09-21,42,4
NGET-EMFIP-AGWS-TS-00230986,Wind generation,"Wind Onshore",2018-09-21,41,5923.887
NGET-EMFIP-AGWS-TS-00230985,Wind generation,"Wind Offshore",2018-09-21,41,4218.33
NGET-EMFIP-AGWS-TS-00230984,Solar generation,"Solar",2018-09-21,41,2
NGET-EMFIP-AGWS-TS-00230983,Wind generation,"Wind Onshore",2018-09-21,40,5894.296
NGET-EMFIP-AGWS-TS-00230982,Wind generation,"Wind Offshore",2018-09-21,40,4160.068
NGET-EMFIP-AGWS-TS-00230981,Solar generation,"Solar",2018-09-21,40,5
NGET-EMFIP-AGWS-TS-00230980,Wind generation,"Wind Onshore",2018-09-21,39,5780.603
NGET-EMFIP-AGWS-TS-00230979,Wind generation,"Wind Offshore",2018-09-21,39,4135.103
NGET-EMFIP-AGWS-TS-00230978,Solar generation,"Solar",2018-09-21,39,6
NGET-EMFIP-AGWS-TS-00230977,Wind generation,"Wind Onshore",2018-09-21,38,6198.701
NGET-EMFIP-AGWS-TS-00230976,Wind generation,"Wind Offshore",2018-09-21,38,4151.287
NGET-EMFIP-AGWS-TS-00230975,Solar generation,"Solar",2018-09-21,38,150
