,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
0,Thetford Biomass Power Station,Biomass,9,4,1,38.5,38500,1998,2023
1,Chilton Energy Plant,Biomass,9,14,1,18.0,18000,2012,2037
2,Double H Nurseries Biomass Plant,Biomass,9,22,1,1.5,1500,2012,2037
3,Beckton STW Biodiesel Power Plant,Biomass,9,24,1,8.0,8000,2010,2035
4,Buslingthorpe Power Station (Leeds North),Biomass,9,26,1,2.0,2000,2011,2036
5,Invergordon Pellet Mill,Biomass,9,28,1,5.0,5000,2009,2034
6,Caledonian Papermill,Biomass,9,34,1,26.0,26000,2009,2034
7,Wilton International,Biomass,9,35,1,35.2,35200,2007,2032
8,South View Farm,Biomass,9,37,1,2.0,2000,2007,2032
9,Cowie Biomass Facility,Biomass,9,41,1,15.0,15000,2008,2033
10,Thornton Power Station,Biomass,9,44,1,9.0,9000,2002,2027
11,Iggesund Paperboard CHP Plant,Biomass,9,47,1,49.0,49000,2013,2038
12,Goosey Lodge Industrial Estate,Biomass,9,49,1,16.0,16000,2000,2025
13,Western Wood Energy Plant,Biomass,9,57,1,14.0,14000,2009,2034
14,Eccleshall Biomass,Biomass,9,58,1,2.6,2600,2007,2032
15,Westfield Biomass Power Station,Biomass,9,62,1,12.5,12500,2000,2025
16,Derriford Hospital,Biomass,9,64,1,1.5,1500,2014,2039
17,Rampton Hospital Energy Centre,Biomass,9,66,1,1.2,1200,2015,2040
18,Elean Business Park Biomass Plant,Biomass,9,78,1,40.0,40000,2000,2025
19,Eye Biomass Plant,Biomass,9,82,1,14.3,14300,1992,2017
20,King's Yard,Biomass,9,87,1,3.0,3000,2012,2037
21,Ridham CHP Plant,Biomass,9,106,1,25.0,25000,2016,2041
22,Margam Green Energy Plant,Biomass,9,113,1,40.0,40000,2017,2042
23,Lynemouth Power Station,Biomass,9,115,1,420.0,420000,2018,2043
24,Holbrook Community Renewable Energy Centre,Biomass,9,117,1,6.5,6500,2017,2042
25,Cramlington CHP,Biomass,9,121,1,27.7,27700,2018,2043
26,Ironbridge Power Station,Biomass,9,125,1,740.0,740000,2013,2038
27,Markley Group (Premiere Kitckens) Biomass,Biomass,9,127,1,2.1,2100,2012,2037
28,Heathrow Airport Biomass CHP,Biomass,9,129,1,1.8,1800,2013,2038
29,Bentwaters CHP,Biomass,9,130,1,4.6,4600,2010,2035
30,SAICA Paper Mill,Biomass,9,132,1,41.6,41600,2012,2037
31,Eco Composting,Biomass,9,139,1,3.2,3200,2017,2042
32,Rothes Bio-Plant,Biomass,9,140,1,8.3,8300,2013,2038
33,Beckton Gas Pressure Reduction Station,Biomass,9,143,1,19.0,19000,2015,2040
34,Brigg Renewable Energy Plant (Re-submission),Biomass,9,150,1,40.0,40000,2016,2041
35,Tilbury Green Power,Biomass,9,152,1,43.0,43000,2017,2042
36,Markinch Biomass CHP Plant,Biomass,9,155,1,65.0,65000,2014,2039
37,Templeborough Biomass Power Plant- Rotherham,Biomass,9,161,1,42.0,42000,2019,2044
38,Blackburn Meadows Biomass Plant,Biomass,9,166,1,30.0,30000,2014,2039
39,Diageo Biomass Energy Project,Biomass,9,172,1,5.5,5500,2013,2038
40,Discovery Park,Biomass,9,173,1,16.0,16000,2018,2043
41,Drax Biomass Power Station - Unit 3,Biomass,9,175,1,645.0,645000,2017,2042
42,King George Dock,Biomass,9,179,1,9.0,9000,2018,2043
43,Northampton General Hospital,Biomass,9,182,1,1.9,1900,2016,2041
44,Snetterton Biomass Plant,Biomass,9,185,1,44.2,44200,2016,2041
45,Speyside Biomass CHP Plant,Biomass,9,186,1,12.5,12500,2016,2041
46,Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass,9,190,1,20.0,20000,2017,2042
47,Drax Biomass Power Station - Unit 2,Biomass,9,192,1,645.0,645000,2014,2039
48,Stevens Croft,Biomass,9,196,1,50.4,50400,2007,2032
49,Macphie of Glenbervie,Biomass,9,205,1,1.2,1200,2008,2033
50,Sleaford Renewable Energy Plant,Biomass,9,206,1,40.0,40000,2014,2039
51,Sustainable Power and Research Campus,Biomass,9,4730,1,6.5,6500,2016,2041
52,Whitemoor,Biomass,9,5003,1,18.0,18000,2014,2039
53,Daventry,Biomass,9,5639,1,1.0,1000,2018,2043
54,The Sawmill,Biomass,9,5752,1,6.8,6800,2017,2042
55,Felinfach,Biomass,9,6016,1,3.2,3200,2016,2041
56,Acharn Forest Killin Biomass Plant,Biomass,9,6061,1,5.6,5600,2017,2042
57,Hull Biomass Plant (Tansterne power station),Biomass,9,6087,1,22.0,22000,2018,2043
58,Pulteney Distillery ,Biomass,9,6091,1,3.5,3500,2012,2037
59,Harbour Road,Biomass,9,6138,1,2.6,2600,2017,2042
60,Barnsley 1.5 ,Biomass,9,6164,1,9.0,9000,2015,2040
61,Spalding,Biomass,9,6165,1,14.5,14500,2015,2040
62,Balderton,Biomass,9,6166,1,20.3,20300,2015,2040
63,Liberty Steel Power Station,Biomass,9,6184,1,9.0,9000,2017,2042
64,JG Pears' animal rendering facility,Biomass,9,6227,1,12.0,12000,2018,2043
65,Blazer Fuels ,Biomass,9,6228,1,3.0,3000,2017,2042
66,Loicher Lane,Biomass,9,6274,1,8.0,8000,2016,2041
67,Safran Landing Systems Service,Biomass,9,6367,1,3.6,3600,2017,2042
68,ABP Ellesmere Abbatoir,Biomass,9,6488,1,1.1,1100,2015,2040
69,Alscot,Biomass,9,6492,1,1.6,1600,2017,2042
70,Ipswich Hospital Energy Centre,Biomass,9,6507,1,2.6,2600,2017,2042
71,Drax Biomass Power Station - Unit 4,Biomass,9,6659,1,645.0,645000,2018,2043
72,Liberty Steel Dalzell,Biomass,9,6731,1,17.0,17000,2017,2042
73,Aberthaw Power Station Biomass,Biomass,9,1,1,35.0,35000,2007,2032
74,Drax Biomass Power Station - Unit 1,Biomass,9,174,1,645.0,645000,2013,2038
75,Uskmouth Power Station ,Biomass,9,6089,1,18.0,18000,2015,2040
