,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
0,Fen Farm Solar Park,Solar,7,1018,1,1.0,1000,2011,2036
1,Manor Farm,Solar,7,1019,1,4.7,4700,2011,2036
2,Nanterrow Farm,Solar,7,1020,1,4.7,4700,2011,2036
3,Howton Farm,Solar,7,1021,1,4.4,4400,2011,2036
4,East Langford Farm,Solar,7,1022,1,5.0,5000,2011,2036
5,Trevemper solar farm,Solar,7,1023,1,1.7,1700,2011,2036
6,Chester Energy (East Woolley Farm),Solar,7,1024,1,5.0,5000,2012,2037
7,Chynoweth Farm,Solar,7,1028,1,2.9,2900,2011,2036
8,Carlton Farm Solar farm,Solar,7,1029,1,5.0,5000,2011,2036
9,Wheal Jane,Solar,7,1032,1,1.4,1400,2011,2036
10,Cantelupe Solar Farm,Solar,7,1034,1,5.0,5000,2013,2038
11,Benbole Farm,Solar,7,1035,1,2.0,2000,2011,2036
12,Langage Solar Farm,Solar,7,1039,1,5.0,5000,2011,2036
13,Grange Solar Farm,Solar,7,1040,1,4.6,4600,2011,2036
14,Ebbsfleet Farm Solar Farm,Solar,7,1041,1,4.9,4900,2011,2036
15,Westcott Venture Park Phase 2 & 3,Solar,7,1042,1,1.3,1300,2012,2037
16,Summerway Drove,Solar,7,1046,1,2.0,2000,2011,2036
17,Puriton Solar Farm,Solar,7,1047,1,4.6,4600,2011,2036
18,Toyota Solar Farm,Solar,7,1048,1,4.6,4600,2011,2036
19,Long Sutton Butterfly And Wildlife Park,Solar,7,1049,1,1.7,1700,2011,2036
20,Long Sutton Butterfly And Wildlife Park (extension),Solar,7,1050,1,1.0,1000,2011,2036
21,Springhill Solar Park (Northwick),Solar,7,1053,1,5.0,5000,2013,2038
22,Westmill Farm - PV,Solar,7,1054,1,5.0,5000,2011,2036
23,Rhosygilwen Solar Farm,Solar,7,1055,1,1.0,1000,2011,2036
24,Llancayo Solar Farm,Solar,7,1056,1,3.9,3900,2011,2036
25,Shacks Barn Solar Farm,Solar,7,1058,1,5.0,5000,2013,2038
26,Carines Farm Solar Array,Solar,7,1059,1,1.0,1000,2013,2038
27,Trigon Solar Farm,Solar,7,1060,1,7.0,7000,2013,2038
28,Chittering Solar Farm Extension,Solar,7,1062,1,6.3,6300,2013,2038
29,Tredinnick Fields,Solar,7,1064,1,5.8,5800,2013,2038
30,Summercourt Solar Farm (Glebe Farm),Solar,7,1065,1,1.1,1100,2013,2038
31,Higher Trevartha Farm,Solar,7,1067,1,3.0,3000,2013,2038
32,Beechgrove Farm,Solar,7,1070,1,4.0,4000,2011,2036
33,PARK WOOD SOLAR FARM,Solar,7,1076,1,5.0,5000,2011,2036
34,Promens Solar,Solar,7,1078,1,1.7,1700,2011,2036
35,Malmesbury Solar,Solar,7,1079,1,5.0,5000,2011,2036
36,Trefullock Solar Farm,Solar,7,1080,1,5.0,5000,2011,2036
37,Lower Coombe Farm Solar,Solar,7,1081,1,1.0,1000,2011,2036
38,Durrants Farm Solar,Solar,7,1082,1,4.5,4500,2011,2036
39,Dunsfold Park Solar Farm,Solar,7,1084,1,2.0,2000,2011,2036
40,Alan Bartlett & Sons Solar,Solar,7,1085,1,1.2,1200,2013,2038
41,Tavells Lane Solar Farm,Solar,7,1086,1,5.3,5300,2013,2038
42,LITTLE TREVEASE SOLAR PARK,Solar,7,1088,1,5.3,5300,2013,2038
43,Cobbs Cross Solar Park,Solar,7,1089,1,5.0,5000,2013,2038
44,NOTTINGTON LANE SOLAR FARM,Solar,7,1090,1,5.0,5000,2013,2038
45,RUDGE FARM SOLAR FARM,Solar,7,1091,1,7.0,7000,2013,2038
46,CRINACOTT SOLAR FARM (Pyworthy),Solar,7,1094,1,6.7,6700,2013,2038
47,Chawton Farm Solar Farm,Solar,7,1095,1,3.2,3200,2013,2038
48,VENTNOR ROAD SOLAR PARK,Solar,7,1096,1,4.8,4800,2013,2038
49,ROOKERY FARM SOLAR FARM,Solar,7,1097,1,5.3,5300,2013,2038
50,Little White Alice Solar Park,Solar,7,1098,1,1.3,1300,2013,2038
51,Park Wall Solar Park,Solar,7,1103,1,5.0,5000,2013,2038
52,Hall Farm Solar park,Solar,7,1108,1,15.0,15000,2016,2041
53,Oulton Airfield Solar Farm (Phase 1),Solar,7,1128,1,5.0,5000,2016,2041
54,Chalcroft Solar Park,Solar,7,1157,1,6.3,6300,2013,2038
55,Bradford Solar Park,Solar,7,1158,1,5.3,5300,2013,2038
56,Lower Coombe Farm (Bean Field),Solar,7,1160,1,1.0,1000,2012,2037
