,Company Name,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear,Bus
0,Airtricity / Fluor Ltd,Greater Gabbard Wind Farm,Wind Offshore,9,2510,1,504,504000,2012,2034,20
1,Blyth Harbor Wind Ltd,Blyth Offshore??,Wind Offshore,9,2486,1,4,4000,2000,2022,0
2,Catapult,Levenmouth demonstration turbine (Fife Energy Park),Wind Offshore,9,2528,1,7,7000,2014,2036,0
3,E.On,Robin Rigg East,Wind Offshore,9,2496,1,90,90000,2010,2032,0
4,E.On,Robin Rigg West,Wind Offshore,9,2497,1,84,84000,2009,2031,0
5,E.On,Scroby Sands??,Wind Offshore,9,2498,1,60,60000,2004,2026,0
6,E.On,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,9,2520,1,400,400000,2017,2039,0
7,E.On,Humber Gateway A,Wind Offshore,9,2544,1,219,219000,2015,2037,0
8,EDF Energy,Teeside Offshore Wind Farm,Wind Offshore,9,2514,1,62.1,62100,2013,2035,10
9,EDF Energy,Blyth Offshore??Wind Test Site,Wind Offshore,9,2523,1,41.5,41500,2017,2039,0
10,GIB,Centrica (Lincs),Wind Offshore,9,2513,1,270,270000,2013,2035,16
11,GIB,Inner Dowsing??,Wind Offshore,9,2491,1,97.2,97200,2008,2030,0
12,GIB,Lynn,Wind Offshore,9,2493,1,97.2,97200,2008,2030,0
13,Greencoat,North Hoyle??,Wind Offshore,9,2494,1,60,60000,2003,2025,0
14,Orsted,Burbo Bank,Wind Offshore,9,2487,1,90,90000,2007,2029,0
15,Orsted,Gunfleet Sands - (Demo) Extension,Wind Offshore,9,2488,1,12,12000,2013,2035,16
16,Orsted,Gunfleet Sands II??,Wind Offshore,9,2489,1,64.8,64800,2009,2031,0
17,Orsted,Gunfleet Sands Offshore Wind Scheme,Wind Offshore,9,2490,1,108,108000,2009,2031,0
18,Orsted,Walney??1,Wind Offshore,9,2500,1,183.6,183600,2011,2033,11
19,Orsted,Walney??2,Wind Offshore,9,2506,1,183.6,183600,2012,2034,11
20,Orsted,Walney 3,Wind Offshore,9,2533,1,660,660000,2018,2040,0
21,Orsted,Burbo Bank Extension (Burbo Bank 2),Wind Offshore,9,2539,1,258,258000,2017,2039,0
22,Orsted,Westermost Rough A,Wind Offshore,9,2545,1,210,210000,2015,2037,0
23,Orsted,Barrow??,Wind Offshore,9,2546,1,90,90000,2006,2028,0
24,Orsted,Race Bank (Phase 1),Wind Offshore,9,2515,1,286.5,286500,2017,2039,0
25,Orsted,Race Bank (Phase 2),Wind Offshore,9,6501,1,286.5,286500,2018,2040,0
26,RWE,Gwynt y Mor??,Wind Offshore,9,2543,1,576,576000,2015,2037,0
27,RWE,Rhyl Flats??,Wind Offshore,9,2495,1,90,90000,2009,2031,0
28,RWE,Galloper Wind Farm,Wind Offshore,9,2526,1,353,353000,2018,2040,0
29,SSE,Beatrice,Wind Offshore,9,2521,1,588,588000,2019,2041,0
30,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,9,2519,1,389,389000,2014,2036,0
31,Siemens Gamesa Renewable Energy,London Array??Phase 1,Wind Offshore,9,2511,1,630,630000,2013,2035,27
32,Statoil,Hywind Scotland Pilot Park (Hywind 2) Demonstrator,Wind Offshore,9,2479,1,30,30000,2017,2039,0
33,Statoil,Dudgeon East??,Wind Offshore,9,2538,1,402,402000,2017,2039,0
34,Talisman Energy,Beatrice Demonstrator,Wind Offshore,9,2485,1,10,10000,2007,2029,0
35,Vattenfall,Kentish Flats??,Wind Offshore,9,2492,1,90,90000,2005,2027,0
36,Vattenfall,Thanet??,Wind Offshore,9,2499,1,300,300000,2010,2032,0
37,Vattenfall,Kentish Flats 2,Wind Offshore,9,2504,1,49.5,49500,2015,2037,0
38,Vattenfall,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Wind Offshore,9,2505,1,93.2,93200,2018,2040,0
39,Vattenfall,Ormonde Offshore,Wind Offshore,9,2509,1,150,150000,2012,2034,9
40,Vattenfall,Sheringham Shoal??,Wind Offshore,9,2512,1,317,317000,2012,2034,19
