Company Name,Station Name,Fuel,Installed Capacity(MW),StartYear,Location,Bus
AES,Kllroot,Coal/Oil,662,1981,Northern Ireland,0
Baglan Generation Ltd,Baglan Bay,CCGT,575,2002,Wales,30
Barking Power,Barking,CCGT,1000,1994,London,26
Beaufort Wind Ltd,Bears Down,Wind Onshore,10,2001,South West,29
Beaufort Wind Ltd,Bein Ghlas,Wind Onshore,8,1999,Scotland,3
Beaufort Wind Ltd,Bryn Titli,Wind Onshore,10,1994,Wales,30
Beaufort Wind Ltd,Carno,Wind Onshore,34,1996,Wales,18
Beaufort Wind Ltd,Causeymire,Wind Onshore,48,2004,Scotland,1
Beaufort Wind Ltd,Kirkby Moor,Wind Onshore,5,1993,North West,11
Beaufort Wind Ltd,Lambrigg,Wind Onshore,7,2000,North West,11
Beaufort Wind Ltd,Llyn Alaw,Wind Onshore,20,1997,Wales,12
Beaufort Wind Ltd,Mynydd Gorddu,Wind Onshore,10,1996,Wales,30
Beaufort Wind Ltd,Novar,Wind Onshore,17,1997,Scotland,1
Beaufort Wind Ltd,Taff Ely,Wind Onshore,9,1993,Wales,30
Beaufort Wind Ltd,Tow Law,Wind Onshore,2,2001,North East,10
Beaufort Wind Ltd,Trysglwyn,Wind Onshore,6,1996,Scotland,12
Beaufort Wind Ltd,Windly Standard,Wind Onshore,22,1996,Wales,9
Beaufort Wind Ltd,North Hoyle,Wind Offshore,60,2003,Wales,13
Beaufort Wind Ltd,Farr,Wind Onshore,92,2006,Scotland,1
Beaufort Wind Ltd,Ffynnon Oer,Wind Onshore,32,2006,Wales,30
Bares of Doune Windfarm,Bares of Doune,Wind Onshore,72,2007,Scotland,4
British Energy,Dungeness B,Nuclear,1040,1983,South East,27
British Energy,Hartlepool,Nuclear,1190,1984,North East,10
British Energy,Heysham1,Nuclear,1160,1984,North West,11
British Energy,Heysham2,Nuclear,1230,1988,North West,11
British Energy,Hinkley Point B,Nuclear,860,1976,South West,29
British Energy,Sizewell B,Nuclear,1188,1995,East,20
British Energy,Hunterston B,Nuclear,860,1976,Scotland,5
British Energy,Torness,Nuclear,1205,1988,Scotland,7
Cemmaes Windfarm Ldt,Cemmaes,Wind Onshore,15,2002,Wales,12
Centrica,Barry,CCGT,230,1998,Wales,30
Centrica,Glanford Brigg,CCGT,260,1993,Yorkshire and the Humber,16
Centrica,Killingholme,CCGT,665,1994,Yorkshire and the Humber,16
Centrica,Kings Lynn,CCGT,340,1996,East,19
Centrica,Peterborough,CCGT,405,1993,East,19
Centrica,Roosecote,CCGT,229,1991,North West,11
Centrica,South Humber Bank,CCGT,1285,1996,Yorkshire and the Humber,16
Centrica,Langage,CCGT,905,2010,South West,29
Centrica,Glens of Foudland,Wind Onshore,26,2005,Scotland,2
