Company Name,Station Name,Fuel,Installed Capacity(MW),StartYear,Location
AES,Ballylumford B,CCGT,540,1968,Northern Ireland
AES,Ballylumford B OCGT,OCGT,116,1968,Northern Ireland
AES,Ballylumford C,CCGT,616,2003,Northern Ireland
AES,Kilroot OCGT,OCGT,142,1981,Northern Ireland
AES,Kilroot,Coal,560,1981,Northern Ireland
Blue energy,Beinneun Wind Farm,Wind Onshore,109,2017,Scotland
Blue energy,Cour Wind Farm,Wind Onshore,21,2016,Scotland
British Solar Renewables,Bradenstoke Solar Park,Solar,70,2015,South West
Calon energy (formerly MPF operations),Sutton Bridge,CCGT,819,1999,East Midlands
Calon energy (formerly MPF operations),Baglan Bay CCGT,CCGT,520,2002,Wales
Calon energy (formerly MPF operations),Severn Power,CCGT,850,2010,Wales
Calon energy (formerly MPF operations),Baglan Bay OCGT,OCGT,32.3,2002,Wales
Centrica,Peterborough,CCGT,360,1993,East England
Centrica,Glanford Brigg,CCGT,150,1993,Yorkshire & Humber
Centrica,Barry,CCGT,235,1998,Wales
Corby Power Ltd,Corby,CCGT,401,1993,East Midlands
Cubico Sustainable Investments Limited,Broxted Solar Park,Solar,32,2014,Eastern
Cubico Sustainable Investments Limited,Owl's Hatch Solar Park,Solar,51.9,2015,South East
Drax Power Ltd,Drax - coal units,Coal,1980,1974,Yorkshire and the Humber
Drax Power Ltd,Drax - biomass units,Biomass,1980,1974,Yorkshire and the Humber
Drax Power Ltd,Drax GT,OCGT,75,1971,Yorkshire and the Humber
E.On UK,Blackburn meadows *,Biomass,33,2015,Yorkshire & Humber
E.On UK,Castleford,CCGT,56,2002,Yorkshire & Humber
E.On UK,Sandbach,CCGT,56,1999,North West
E.On UK,Steven's Croft *,Biomass,50,2007,Scotland
E.On UK,Thornhill,CCGT,50,1998,Yorkshire & Humber
E.On UK,Camster,Wind Onshore,50,2013,Scotland
E.On UK,Humber Gateway,Wind Offshore,219,2015,Yorkshire and Humber
E.On UK,London Array,Wind Offshore,630,2013,South East
E.On UK,Robin Rigg East,Wind Offshore,90,2010,Scotland
E.On UK,Robin Rigg West,Wind Offshore,90,2010,Scotland
E.On UK,Rosehall,Wind Onshore,25,2013,Scotland
E.On UK,Scroby Sands,Wind Offshore,60,2004,Eastern
E.On UK,Tween Bridge,Wind Onshore,44,2012,Yorkshire and Humber
E.On UK,Rampion,Wind Offshore,182.9,2018,South East
EDF Energy,Dungeness B,Nuclear,1120,1983,South East
EDF Energy,Hartlepool,Nuclear,1207,1984,North East
EDF Energy,Heysham 1,Nuclear,1179,1984,North West
EDF Energy,Heysham 2,Nuclear,1254,1988,North West
EDF Energy,Hinkley Point B,Nuclear,1061,1976,South West
EDF Energy,Sizewell B,Nuclear,1216,1995,East England
EDF Energy,Hunterston B,Nuclear,1074,1976,Scotland
EDF Energy,Torness,Nuclear,1250,1988,Scotland
EDF Energy,Cottam,Coal,2008,1969,West Midlands
EDF Energy,West Burton,Coal,2012,1967,West Midlands
EDF Energy,West Burton CCGT,CCGT,1332,2012,West Midlands
EDF Energy,Barkantine Heat & Power Company *,Gas,1,2000,London
EDF Energy,London Heat & Power Company *,Gas,9,2000,London
EDF Energy,West Burton GT,OCGT,40,1967,East Midlands
EDF renewables,Beckburn,Wind Onshore,31.1,2017,North West
EDF renewables,Bicker Fen,Wind Onshore,26,2008,East Midlands
EDF renewables,Blyth,Wind Offshore,40,2017,North East
EDF renewables,Burnfoot,Wind Onshore,30.1,2010,Scotland
EDF renewables,Burnhead Moss,Wind Onshore,26,2015,Scotland
EDF renewables,Corriemoillie,Wind Onshore,47.5,2017,Scotland
EDF renewables,Fallago Rig,Wind Onshore,144,2013,Scotland
EDF renewables,Green Rigg,Wind Onshore,36,2012,North East
EDF renewables,Longpark,Wind Onshore,38,2009,Scotland
EDF renewables,Red Tile,Wind Onshore,24,2006,Eastern
EDF renewables,Rusholme,Wind Onshore,24,2010,Yorkshire and Humber
EDF renewables,Teesside (offshore),Wind Offshore,62,2013,North East
Eggborough Power Ltd,Eggborough,Coal,1960,1967,Yorkshire & Humber
Eneco,Burn of Whilk,Wind Onshore,22.5,2015,Scotland
