"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas"
"2013-01-01T00:00:00",5.187613981360756e-05,2.178308147408111e-05,6.327095817272971e-05,2.3894946082733086e-05,5.288834419489006e-05,5.288834419489006e-05,1.9715670381757834e-05,2.347103673250091e-05
"2013-01-01T00:30:00",5.187613981360756e-05,2.1840487267655157e-05,6.327095817272971e-05,2.392922905414599e-05,8.964575306160354e-05,8.964575306160354e-05,1.7636808902868714e-05,2.0996201949821005e-05
"2013-01-01T01:00:00",5.29992078551996e-05,2.2472437057049878e-05,6.510994375678179e-05,2.4291455712627073e-05,9.047629336211576e-05,9.047629336211576e-05,1.725735683463855e-05,2.054447316386841e-05
"2013-01-01T01:30:00",5.29992078551996e-05,2.2483768551222004e-05,6.486482960295081e-05,2.3968923377890746e-05,9.047629336211576e-05,9.047629336211576e-05,1.725735683463855e-05,2.054447316386841e-05
"2013-01-01T02:00:00",5.6908466691112016e-05,2.4305214010365146e-05,6.8267236177091e-05,2.4546794612318048e-05,8.959195775028e-05,8.959195775028e-05,1.725735683463855e-05,2.054447316386841e-05
"2013-01-01T02:30:00",5.6500204198415214e-05,2.413140032441555e-05,6.831120538175704e-05,2.498446199145009e-05,8.766338325072418e-05,8.766338325072418e-05,1.725735683463855e-05,2.054447316386841e-05
"2013-01-01T03:00:00",6.302548034804735e-05,2.6178624187652058e-05,7.239427090994885e-05,2.6760329701776854e-05,8.479257953726079e-05,8.479257953726079e-05,2.0924660907241364e-05,2.4910309847412583e-05
"2013-01-01T03:30:00",6.17784040429694e-05,2.5848751996021023e-05,7.294085421223448e-05,2.723975803420333e-05,7.89605089860529e-05,7.89605089860529e-05,2.0924660907241364e-05,2.4910309847412583e-05
"2013-01-01T04:00:00",6.951884438047078e-05,2.6584356720147183e-05,7.454448880608111e-05,2.7665558903391504e-05,7.89605089860529e-05,7.89605089860529e-05,3.0069652273721438e-05,3.579720518375188e-05
"2013-01-01T04:30:00",7.452245175122145e-05,2.8788658416499527e-05,7.496421392426663e-05,2.756396360453952e-05,7.89605089860529e-05,7.89605089860529e-05,3.4922451636707486e-05,4.1574345446492767e-05
"2013-01-01T05:00:00",8.889338101312764e-05,3.331127786636491e-05,7.677598014382687e-05,2.8532987317473157e-05,7.92567678501945e-05,7.92567678501945e-05,6.127711174902119e-05,7.294894350902851e-05
"2013-01-01T05:30:00",8.889338101312764e-05,3.331127786636491e-05,8.190694924293339e-05,2.963207581230224e-05,7.92567678501945e-05,7.92567678501945e-05,8.218076541934262e-05,9.783424110921574e-05
"2013-01-01T06:00:00",0.00011167252722604365,4.0128560728645556e-05,8.448871155992107e-05,3.072422134102154e-05,8.129173006111976e-05,8.129173006111976e-05,0.00010675399785350555,0.00012708809514822475
"2013-01-01T06:30:00",0.00011712579262351661,4.2924462234064844e-05,8.98598013323223e-05,3.166347824508611e-05,8.265346059576587e-05,8.265346059576587e-05,0.00011341862288224869,0.00013502216761934307
"2013-01-01T07:00:00",0.00011813682556503746,4.3531754090685377e-05,9.388835819482823e-05,3.254589059761169e-05,8.196405955394068e-05,8.196405955394068e-05,0.0001274275807546368,0.00015169949320163563
"2013-01-01T07:30:00",0.00011798016735213475,4.3531754090685377e-05,9.387082506358952e-05,3.287389722771184e-05,7.638331353571814e-05,7.638331353571814e-05,0.0001274275807546368,0.00015169949320163563
"2013-01-01T08:00:00",0.0001144976552793076,4.249092112036193e-05,9.371504805313438e-05,3.280853788268138e-05,6.881528115645238e-05,6.881528115645238e-05,0.00010967280611935127,0.00013056286161687038
"2013-01-01T08:30:00",0.00011242010161674941,4.158802081093017e-05,9.153300196383604e-05,3.280853788268138e-05,6.881528115645238e-05,6.881528115645238e-05,0.00010502559618295426,0.00012503047557579144
"2013-01-01T09:00:00",0.0001006224513498554,3.856096801427187e-05,8.92660107560593e-05,3.203035919109785e-05,6.369474661331241e-05,6.369474661331241e-05,9.124666012406481e-05,0.00010862697828031164
"2013-01-01T09:30:00",9.709573928124499e-05,3.6491691360417713e-05,8.691890705592539e-05,3.151109666152224e-05,6.337568139058708e-05,6.337568139058708e-05,8.790072044327178e-05,0.00010464371258804144
"2013-01-01T10:00:00",9.006349197744691e-05,3.381380803994187e-05,8.275716973144151e-05,3.0065767289914857e-05,6.334283212156906e-05,6.334283212156906e-05,7.999645338089336e-05,9.523387002398505e-05
"2013-01-01T10:30:00",8.91056458979406e-05,3.3746217714111596e-05,8.161738332119126e-05,2.9492373752845186e-05,6.330616430861151e-05,6.330616430861151e-05,7.679235931947946e-05,9.141947856879805e-05
"2013-01-01T11:00:00",8.839289998492482e-05,3.345154291627458e-05,7.986270643162767e-05,2.8272329731580733e-05,6.268728743727341e-05,6.268728743727341e-05,7.484254504346893e-05,8.90982683909899e-05
"2013-01-01T11:30:00",8.75389029144985e-05,3.303056593111987e-05,7.774952701297455e-05,2.7770196448788694e-05,6.247025986304142e-05,6.247025986304142e-05,7.484254504346893e-05,8.90982683909899e-05
"2013-01-01T12:00:00",8.721041721798836e-05,3.29832502552541e-05,7.564750949199075e-05,2.657806591378531e-05,6.233589747079647e-05,6.233589747079647e-05,7.484254504346893e-05,8.90982683909899e-05
"2013-01-01T12:30:00",8.656597148833007e-05,3.276632758607539e-05,7.433479759190871e-05,2.621587422365532e-05,6.140217955354526e-05,6.140217955354526e-05,7.484254504346893e-05,8.90982683909899e-05
"2013-01-01T13:00:00",8.558878791066857e-05,3.1737016687437535e-05,7.351392953730918e-05,2.5561326137365874e-05,6.140217955354526e-05,6.140217955354526e-05,7.562229731085172e-05,9.002654818355082e-05
"2013-01-01T13:30:00",8.558878791066857e-05,3.175195866386015e-05,7.351392953730918e-05,2.5482491738241205e-05,6.140217955354526e-05,6.140217955354526e-05,7.562229731085172e-05,9.002654818355082e-05
"2013-01-01T14:00:00",9.175749178419157e-05,3.3884832257849615e-05,7.351392953730918e-05,2.5412520067701405e-05,6.140217955354526e-05,6.140217955354526e-05,8.16332589525881e-05,9.718244997544214e-05
"2013-01-01T14:30:00",9.164827163638347e-05,3.3884832257849615e-05,7.374161546495474e-05,2.5747167187674372e-05,6.140217955354526e-05,6.140217955354526e-05,8.16332589525881e-05,9.718244997544214e-05
