HDR HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA,Date,Time Step,CCGT,Oil,Coal,Nucear,Wind,Pumped Storage,Hydro (non pumped storage),OCGT,Other,France,Northern Ireland,Netherlands,Ireland,Biomass,Belgium
FUELHH,20181201,1,7340,0,1192,6251,6924,12,642,0,50,1594,0,854,0,2727,0
FUELHH,20181201,2,7418,0,1091,6252,6790,232,635,0,50,1602,0,854,0,2728,0
FUELHH,20181201,3,7341,0,809,6264,6572,274,498,0,57,1602,0,854,0,2731,0
FUELHH,20181201,4,7161,0,812,6275,6327,16,489,0,54,1602,0,854,0,2730,0
FUELHH,20181201,5,7346,0,769,6277,5779,0,484,0,53,1502,0,806,0,2726,0
FUELHH,20181201,6,7721,0,604,6291,5170,0,488,0,53,1502,0,804,0,2727,0
FUELHH,20181201,7,8085,0,646,6310,4726,0,492,0,53,1502,0,804,0,2725,0
FUELHH,20181201,8,8000,0,646,6316,4575,0,495,0,52,1500,0,804,0,2722,0
FUELHH,20181201,9,7566,0,646,6334,4846,0,493,0,52,1600,0,806,0,2725,0
FUELHH,20181201,10,7525,0,559,6338,4802,0,500,0,52,1602,0,804,0,2725,0
FUELHH,20181201,11,7542,0,608,6343,4558,0,685,0,52,1702,0,802,0,2715,0
FUELHH,20181201,12,7637,0,623,6354,4944,0,702,0,51,1702,0,802,0,2710,0
FUELHH,20181201,13,8391,0,646,6349,5004,0,861,0,51,1748,0,618,0,2708,0
FUELHH,20181201,14,9516,0,752,6350,5105,100,878,0,51,1748,0,616,0,2708,0
FUELHH,20181201,15,10806,0,886,6345,5374,414,893,0,51,1896,0,726,0,2708,0
FUELHH,20181201,16,11958,0,906,6343,5765,304,844,0,51,1900,0,722,0,2707,0
FUELHH,20181201,17,14117,0,1305,6348,5815,482,923,0,50,1696,0,0,0,2710,0
FUELHH,20181201,18,14961,0,1909,6346,5926,454,933,0,51,1688,0,0,0,2709,0
FUELHH,20181201,19,15620,0,2169,6352,6175,426,931,0,51,1998,0,98,0,2708,0
FUELHH,20181201,20,16118,0,2077,6344,6097,590,937,0,58,1998,0,106,0,2705,0
FUELHH,20181201,21,16034,0,2310,6348,5967,448,938,0,68,1998,0,814,0,2697,0
FUELHH,20181201,22,15844,0,2357,6348,6101,434,865,0,68,1998,0,884,0,2698,0
FUELHH,20181201,23,15864,0,2253,6347,6270,182,749,0,63,1998,0,942,0,2696,0
FUELHH,20181201,24,15737,0,2195,6353,6174,306,739,0,60,1998,0,942,0,2696,0
FUELHH,20181201,25,16092,0,2326,6349,5921,152,725,0,62,1998,0,744,0,2697,0
FUELHH,20181201,26,15986,0,2282,6357,5881,140,717,0,62,1998,0,742,0,2698,0
FUELHH,20181201,27,15722,0,2159,6352,5914,138,718,0,62,1998,0,982,0,2698,0
FUELHH,20181201,28,15128,0,2119,6355,5987,146,717,0,59,1998,0,988,0,2697,0
FUELHH,20181201,29,15094,0,2190,6346,5997,142,717,8,60,1998,0,1000,0,2692,0
FUELHH,20181201,30,15184,0,2148,6278,6066,150,731,0,61,2000,0,1000,0,2693,0
FUELHH,20181201,31,15764,0,2020,6272,5998,234,699,0,62,1998,0,1000,0,2693,0
FUELHH,20181201,32,16445,0,2122,6278,6061,144,701,0,58,1998,0,1000,0,2686,0
FUELHH,20181201,33,17581,0,2401,6274,5729,476,786,0,65,1998,0,1000,0,2691,0
FUELHH,20181201,34,17858,0,2971,6273,5479,910,995,0,73,2000,0,1000,0,2689,0
FUELHH,20181201,35,18047,0,3122,6278,5209,1392,996,0,72,2000,0,1058,0,2691,0
FUELHH,20181201,36,18190,0,3111,6274,4929,1530,996,0,64,2000,0,1058,0,2689,0
FUELHH,20181201,37,18260,0,3111,6273,4886,1244,996,0,59,2000,0,1058,0,2688,0
FUELHH,20181201,38,18054,0,2982,6273,4553,1152,994,0,58,2000,0,1058,0,2692,0
FUELHH,20181201,39,17817,0,2879,6272,4376,766,985,0,57,1998,0,1058,0,2691,0
FUELHH,20181201,40,17467,0,2782,6278,4309,270,811,0,57,2000,0,1058,0,2691,0
FUELHH,20181201,41,17223,0,2296,6275,3945,226,774,0,58,1998,0,1058,0,2692,0
FUELHH,20181201,42,16224,0,1834,6277,4064,150,758,0,58,1998,0,1058,0,2694,0
FUELHH,20181201,43,14641,0,1729,6280,4186,206,743,0,57,1998,0,1002,0,2693,0
FUELHH,20181201,44,13941,0,1276,6279,4239,138,740,0,58,1998,0,1000,0,2668,0
FUELHH,20181201,45,12855,0,1245,6276,4169,178,736,0,58,1806,0,1000,0,2661,0
FUELHH,20181201,46,12151,0,1199,6279,4316,140,686,0,58,1794,0,1000,0,2443,0
FUELHH,20181201,47,10740,0,898,6275,4756,0,644,0,58,1998,0,1000,0,2028,0
FUELHH,20181201,48,10126,0,586,6266,4533,36,645,0,58,1998,0,1000,0,1999,0
FUELHH,20181202,1,10166,0,485,6270,3994,114,648,0,57,1950,0,976,40,1996,0
FUELHH,20181202,2,10555,0,545,6266,3693,134,647,0,57,1950,0,976,42,1993,0
FUELHH,20181202,3,10342,0,509,6259,3829,0,530,0,57,1898,88,952,32,1987,0
FUELHH,20181202,4,9450,0,257,6265,3772,0,527,0,57,1898,184,952,112,1994,0
FUELHH,20181202,5,9129,0,230,6272,3749,0,527,0,57,1850,186,928,266,1995,0
FUELHH,20181202,6,8630,0,102,6268,3757,0,524,0,58,1852,186,928,372,2000,0
FUELHH,20181202,7,9087,0,0,6214,3673,0,494,0,59,1654,186,830,352,2001,0
FUELHH,20181202,8,9193,0,0,6193,3433,0,493,0,59,1652,186,824,230,1996,0
FUELHH,20181202,9,9411,0,0,6197,3375,0,493,11,59,1652,186,362,294,1992,0
FUELHH,20181202,10,9358,0,0,6196,3196,0,540,15,59,1656,186,354,302,1997,0
FUELHH,20181202,11,9459,0,0,6199,3140,0,705,5,58,1164,186,810,384,1994,0
FUELHH,20181202,12,9546,0,0,6204,3280,0,743,0,59,1156,186,828,386,1992,0
FUELHH,20181202,13,9758,0,223,6205,3542,0,747,0,58,1474,186,854,308,1909,0
FUELHH,20181202,14,10069,0,299,6202,3796,0,700,0,57,1494,186,854,296,1896,0
FUELHH,20181202,15,10184,0,436,6198,4087,0,759,0,56,1560,186,902,230,1902,0
FUELHH,20181202,16,9876,0,557,6194,4537,0,751,0,56,1598,186,900,318,1905,0
FUELHH,20181202,17,10638,0,576,6192,4597,478,809,0,57,1796,186,570,292,1911,0
FUELHH,20181202,18,11499,0,712,6199,5176,460,810,0,63,1796,186,566,288,1913,0
FUELHH,20181202,19,11704,0,1045,6120,5831,138,829,0,66,1998,186,986,152,1913,0
FUELHH,20181202,20,12398,0,1551,5997,5656,140,873,0,66,1998,106,1002,82,1914,0
FUELHH,20181202,21,13070,0,1569,5989,5798,140,885,0,69,2000,20,1002,4,1906,0
FUELHH,20181202,22,12975,0,1503,5989,6178,154,874,0,69,1998,14,1000,0,1994,0
FUELHH,20181202,23,13396,0,1621,6008,6378,20,841,0,69,1998,0,688,0,2035,0
FUELHH,20181202,24,13491,0,1595,6113,6740,0,845,0,69,1998,0,682,0,2022,0
FUELHH,20181202,25,13555,0,1740,6117,6875,0,837,0,69,2000,0,972,0,2023,0
FUELHH,20181202,26,13621,0,1816,6118,7029,0,727,0,68,1998,0,980,0,2035,0
FUELHH,20181202,27,13462,0,1810,6042,7100,0,693,0,71,1998,0,1000,0,2066,0
FUELHH,20181202,28,13286,0,1707,5996,7224,0,688,0,66,1998,0,1000,0,2065,0
FUELHH,20181202,29,13612,0,1772,5977,7038,0,684,0,68,1998,0,1000,0,2076,0
FUELHH,20181202,30,13935,0,1944,5996,6896,0,691,0,68,1998,0,854,0,2076,0
FUELHH,20181202,31,14657,0,1972,6105,7122,364,727,0,69,1998,0,0,0,2077,0
FUELHH,20181202,32,15471,0,2114,6195,7349,148,728,0,68,1998,0,0,0,2072,0
FUELHH,20181202,33,16544,0,2720,6197,7374,216,743,0,73,1998,0,98,0,2077,0
FUELHH,20181202,34,16673,0,2730,6220,7525,740,1017,0,70,1998,0,102,0,2060,0
FUELHH,20181202,35,16773,0,2662,6216,7757,1046,1035,0,68,1998,0,260,0,2079,0
FUELHH,20181202,36,16873,0,2734,6220,7756,1048,1034,0,67,1998,0,268,0,2082,0
FUELHH,20181202,37,16446,0,2680,6219,7801,960,1037,0,68,1998,0,268,0,2088,0
FUELHH,20181202,38,16258,0,2547,6217,8007,286,1036,0,67,1998,0,268,0,2097,0
FUELHH,20181202,39,14836,0,2512,6212,8114,134,1036,0,67,1998,0,548,0,2112,0
FUELHH,20181202,40,13767,0,2139,6213,8430,76,732,0,69,1998,0,556,0,2109,0
FUELHH,20181202,41,12227,0,1982,6219,8630,136,701,0,67,1998,0,844,0,2120,0
FUELHH,20181202,42,10829,0,1776,6218,8860,132,687,0,67,1998,0,852,0,2122,0
FUELHH,20181202,43,9988,0,1118,6020,9189,202,647,0,67,1998,0,796,0,2133,0
FUELHH,20181202,44,9027,0,873,6000,9168,184,577,0,68,1998,0,796,0,2018,0
FUELHH,20181202,45,8158,0,776,5973,9083,156,569,0,67,1354,0,842,0,1806,0
FUELHH,20181202,46,6586,0,783,5971,9088,144,569,0,67,1338,0,842,0,1895,0
FUELHH,20181202,47,5041,0,673,6021,9182,0,524,0,67,1696,0,854,0,1746,0
FUELHH,20181202,48,4774,0,577,6122,9336,0,489,0,67,1702,0,854,0,1251,0
FUELHH,20181203,1,4725,0,581,6118,8989,0,450,0,67,1654,0,828,0,1269,0
FUELHH,20181203,2,4581,0,580,6119,9362,0,435,0,61,1652,0,828,0,1296,0
FUELHH,20181203,3,4446,0,569,6114,9672,0,416,0,61,1604,0,806,0,1715,0
FUELHH,20181203,4,4401,0,531,6033,9824,0,413,0,60,1602,0,808,0,1591,0
FUELHH,20181203,5,4296,0,524,5979,9767,0,383,0,60,1604,0,806,0,1465,0
FUELHH,20181203,6,4269,0,522,5984,9969,0,376,0,55,1602,0,802,0,1374,0
FUELHH,20181203,7,4353,0,532,6065,9909,0,371,0,50,1602,0,430,0,1329,0
FUELHH,20181203,8,4396,0,538,6196,9346,0,371,0,30,1602,0,420,0,1292,0
FUELHH,20181203,9,4593,0,585,6217,8586,0,370,0,30,1602,0,420,0,1402,0
FUELHH,20181203,10,4866,0,684,6222,7963,0,405,0,30,1602,0,420,0,1858,0
FUELHH,20181203,11,5585,0,779,6231,7549,0,500,0,28,1602,0,420,0,2080,0
FUELHH,20181203,12,6428,0,1108,6230,6981,0,494,0,28,1602,0,426,0,2283,0
FUELHH,20181203,13,7869,0,1328,6227,6826,0,520,0,30,1896,0,894,0,2540,0
FUELHH,20181203,14,10560,0,1713,6224,6585,162,520,0,29,1904,0,910,0,2698,0
FUELHH,20181203,15,15115,0,1983,6221,6271,418,587,0,32,1954,0,800,0,2755,0
FUELHH,20181203,16,17066,0,2320,6224,6127,474,604,0,38,1972,0,798,0,2759,0
FUELHH,20181203,17,19066,0,2449,6218,5957,184,684,0,29,1784,0,552,0,2744,0
FUELHH,20181203,18,19275,0,2528,6138,5932,142,685,0,29,1784,0,546,0,2748,0
FUELHH,20181203,19,19262,0,2842,6006,5857,300,713,0,30,1998,0,618,0,2757,0
FUELHH,20181203,20,19197,0,2968,6010,5418,334,967,0,29,2000,0,620,0,2743,0
FUELHH,20181203,21,19225,0,3032,6023,5267,182,986,0,30,1998,0,644,0,2757,0
FUELHH,20181203,22,19309,0,3044,6044,5202,154,864,0,31,2000,0,644,0,2759,0
FUELHH,20181203,23,19570,0,2889,6084,4850,204,713,0,31,1998,0,784,0,2764,0
FUELHH,20181203,24,19800,0,2921,6111,4654,150,705,0,30,2000,0,788,0,2763,0
FUELHH,20181203,25,19836,0,2977,6112,4609,138,664,0,30,2000,0,858,0,2753,0
FUELHH,20181203,26,19696,0,2843,6237,4530,140,630,0,30,1998,0,860,0,2764,0
FUELHH,20181203,27,19256,0,2806,6356,4795,142,542,0,30,1998,0,924,0,2758,0
FUELHH,20181203,28,18711,0,2721,6392,5260,138,538,0,39,1998,0,926,0,2741,0
FUELHH,20181203,29,18471,0,2953,6395,5384,346,540,0,53,1998,0,926,0,2746,0
FUELHH,20181203,30,19122,0,3118,6395,5167,204,542,0,56,2000,0,926,0,2745,0
FUELHH,20181203,31,20035,0,3163,6398,4971,156,550,0,66,2000,0,820,0,2750,0
FUELHH,20181203,32,20992,0,3569,6397,4903,240,618,0,67,2000,0,818,0,2757,0
FUELHH,20181203,33,21386,0,4371,6395,4950,402,947,0,71,1998,0,996,0,2759,0
FUELHH,20181203,34,21850,0,4697,6316,4808,1438,970,0,73,2000,0,1000,0,2770,0
