,HDR HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA,Date,Time Step,CCGT,Oil,Coal,Nuclear,Wind,Pumped Storage,Hydro (non pumped storage),OCGT,Other,France,Northern Ireland,Netherlands,Ireland,Biomass,Belgium,Solar,,Total Generated (MWh),,,Total Generated (kWh),,,Residential Consumption (kWh),,ConsumptionPerCust (kW),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,20180101,1.5,5550,0,1320.5,7266,8673,0,353,0,89,1406,203,710,432,752.5,0,0,,26755,0,,26755000,,,9825560.044,,0.374094948,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,20180101,3.5,5620,0,1557,7260.5,8613,0,348,0,89,1405,211,724,432,755.5,0,0,,27015,0,,27015000,,,9921042.967,,0.377730332,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,20180101,5.5,4918.5,0,1564.5,7255,8418.5,0,331.5,0,89,1306,212,675,432,753,0,0,,25955,0,,25955000,,,9531766.434,,0.362909153,3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,20180101,7.5,4133,0,1574.5,7256.5,8299,0,280,0,89,1305,213,677,432,757,0,0,,25016,0,,25016000,,,9186926.184,,0.349779825,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,20180101,9.5,3505.5,0,1431.5,7256,8197.5,0,272,0,89,1306,214,461,432,756.5,0,0,,23921,0,,23921000,,,8784796.181,,0.334469268,5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,20180101,11.5,3702,0,1587,7259.5,8018.5,0,264,0,89,1306,213,224,432,757.5,0,0,,23852.5,0,,23852500,,,8759640.103,,0.333511484,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,20180101,13.5,4848,0,1673.5,7263,7697.5,0,275.5,0,89,1307,208,366,432,757,0,4,,24920.5,0,,24920500,,,9151854.572,,0.348444521,7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,20180101,15.5,5754.5,0,1633.5,7264.5,7230,0,435,0,89,815,208,0,432,756.5,0,0,,24618,0,,24618000,,,9040763.863,,0.344214892,8,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,20180101,17.5,6922.5,0,1604,7266,6904.5,356,377,0,88.5,711,208,0,432,756,0,5.5,,25631,0,,25631000,,,9412780.022,,0.358378905,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,20180101,19.5,8805.5,0,1595,7261,6351,512,508.5,0,89,1305,208,243,432,752.5,0,326.5,,28389,0,,28389000,,,10425633.49,,0.396941935,10,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,20180101,21.5,10329.5,0,1673.5,7259.5,6005.5,532,623,0,89,1800,189,631,432,749,0,776.5,,31089.5,0,,31089500,,,11417370.55,,0.434700986,11,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,20180101,23.5,12463.5,0,1692,7260.5,5640.5,386,613.5,0,89,1800,121,897,418,756,0,1285,,33422,0,,33422000,,,12273962.54,,0.467314571,12,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,20180101,25.5,13931,0,1663.5,7259,5202.5,545,540.5,0,89,1800,88,903,275,756,0,1855,,34907.5,0,,34907500,,,12819500.55,,0.488085195,13,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,20180101,27.5,14991,0,1578.5,7257.5,4541,672,544.5,0,89,1800,89,905,242,750,0,1502.5,,34962,0,,34962000,,,12839515.24,,0.488847228,14,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,20180101,29.5,14772.5,0,1978,7259,4922,359,479.5,0,89,1799,62,890,242,745,0,1051,,34648,0,,34648000,,,12724201.25,,0.484456803,15,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,20180101,31.5,14944,0,2098.5,7256,5395.5,469,506,0,89,1997,0,993,137,741,0,252.5,,34878.5,0,,34878500,,,12808850.53,,0.48767971,16,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,20180101,33.5,16465.5,0,2216,7261.5,6373.5,829,728.5,0,89,1996,0,994,129,753,0,1,,37836,0,,37836000,,,13894968.78,,0.529032198,17,,No. Households in GB,,,,,,,,,,,,,,,,,,,,,,,,
