Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00206033,Wind generation,"Wind Onshore",2018-04-24,48,2506.216
NGET-EMFIP-AGWS-TS-00206032,Wind generation,"Wind Offshore",2018-04-24,48,2617.769
NGET-EMFIP-AGWS-TS-00206031,Solar generation,"Solar",2018-04-24,48,0
NGET-EMFIP-AGWS-TS-00206030,Wind generation,"Wind Onshore",2018-04-24,47,2342.094
NGET-EMFIP-AGWS-TS-00206029,Wind generation,"Wind Offshore",2018-04-24,47,2564.76
NGET-EMFIP-AGWS-TS-00206028,Solar generation,"Solar",2018-04-24,47,0
NGET-EMFIP-AGWS-TS-00206027,Wind generation,"Wind Onshore",2018-04-24,46,2155.01
NGET-EMFIP-AGWS-TS-00206026,Wind generation,"Wind Offshore",2018-04-24,46,2412.686
NGET-EMFIP-AGWS-TS-00206025,Solar generation,"Solar",2018-04-24,46,0
NGET-EMFIP-AGWS-TS-00206024,Wind generation,"Wind Onshore",2018-04-24,45,2162.093
NGET-EMFIP-AGWS-TS-00206023,Wind generation,"Wind Offshore",2018-04-24,45,2358.305
NGET-EMFIP-AGWS-TS-00206022,Solar generation,"Solar",2018-04-24,45,0
NGET-EMFIP-AGWS-TS-00206021,Wind generation,"Wind Onshore",2018-04-24,44,2112.095
NGET-EMFIP-AGWS-TS-00206020,Wind generation,"Wind Offshore",2018-04-24,44,2406.633
NGET-EMFIP-AGWS-TS-00206019,Solar generation,"Solar",2018-04-24,44,0
NGET-EMFIP-AGWS-TS-00206001,Wind generation,"Wind Onshore",2018-04-24,43,2061.299
NGET-EMFIP-AGWS-TS-00206000,Wind generation,"Wind Offshore",2018-04-24,43,2343.451
NGET-EMFIP-AGWS-TS-00205999,Solar generation,"Solar",2018-04-24,43,2
NGET-EMFIP-AGWS-TS-00205993,Wind generation,"Wind Onshore",2018-04-24,42,2074.539
NGET-EMFIP-AGWS-TS-00205992,Wind generation,"Wind Offshore",2018-04-24,42,2283.265
NGET-EMFIP-AGWS-TS-00205991,Solar generation,"Solar",2018-04-24,42,3
NGET-EMFIP-AGWS-TS-00205990,Wind generation,"Wind Onshore",2018-04-24,41,2094.31
NGET-EMFIP-AGWS-TS-00205989,Wind generation,"Wind Offshore",2018-04-24,41,2021.94
NGET-EMFIP-AGWS-TS-00205988,Solar generation,"Solar",2018-04-24,41,10
NGET-EMFIP-AGWS-TS-00205987,Wind generation,"Wind Onshore",2018-04-24,40,2247.444
NGET-EMFIP-AGWS-TS-00205986,Wind generation,"Wind Offshore",2018-04-24,40,1879.679
NGET-EMFIP-AGWS-TS-00205985,Solar generation,"Solar",2018-04-24,40,52
NGET-EMFIP-AGWS-TS-00205984,Wind generation,"Wind Onshore",2018-04-24,39,1252.623
NGET-EMFIP-AGWS-TS-00205983,Wind generation,"Wind Offshore",2018-04-24,39,113.723
NGET-EMFIP-AGWS-TS-00205982,Solar generation,"Solar",2018-04-24,39,136
NGET-EMFIP-AGWS-TS-00205981,Wind generation,"Wind Onshore",2018-04-24,38,2743.902
NGET-EMFIP-AGWS-TS-00205980,Wind generation,"Wind Offshore",2018-04-24,38,1514.168
NGET-EMFIP-AGWS-TS-00205979,Solar generation,"Solar",2018-04-24,38,257
NGET-EMFIP-AGWS-TS-00205978,Wind generation,"Wind Onshore",2018-04-24,37,2986.971
NGET-EMFIP-AGWS-TS-00205977,Wind generation,"Wind Offshore",2018-04-24,37,1527.807
NGET-EMFIP-AGWS-TS-00205976,Solar generation,"Solar",2018-04-24,37,417
NGET-EMFIP-AGWS-TS-00205975,Wind generation,"Wind Onshore",2018-04-24,36,3152.983
NGET-EMFIP-AGWS-TS-00205974,Wind generation,"Wind Offshore",2018-04-24,36,1497.323
NGET-EMFIP-AGWS-TS-00205973,Solar generation,"Solar",2018-04-24,36,600
NGET-EMFIP-AGWS-TS-00205972,Wind generation,"Wind Onshore",2018-04-24,35,3281.056
NGET-EMFIP-AGWS-TS-00205971,Wind generation,"Wind Offshore",2018-04-24,35,1432.376
NGET-EMFIP-AGWS-TS-00205970,Solar generation,"Solar",2018-04-24,35,811
NGET-EMFIP-AGWS-TS-00205969,Wind generation,"Wind Onshore",2018-04-24,34,3440.093
NGET-EMFIP-AGWS-TS-00205968,Wind generation,"Wind Offshore",2018-04-24,34,1329.114
NGET-EMFIP-AGWS-TS-00205967,Solar generation,"Solar",2018-04-24,34,980
NGET-EMFIP-AGWS-TS-00205966,Wind generation,"Wind Onshore",2018-04-24,33,3553.326
NGET-EMFIP-AGWS-TS-00205965,Wind generation,"Wind Offshore",2018-04-24,33,1223.547
NGET-EMFIP-AGWS-TS-00205964,Solar generation,"Solar",2018-04-24,33,1110
