Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00206671,Wind generation,Wind Onshore,28/04/2018,48,955.564
NGET-EMFIP-AGWS-TS-00206670,Wind generation,Wind Offshore,28/04/2018,48,1425.575
NGET-EMFIP-AGWS-TS-00206669,Solar generation,Solar,28/04/2018,48,0
NGET-EMFIP-AGWS-TS-00206668,Wind generation,Wind Onshore,28/04/2018,47,997.151
NGET-EMFIP-AGWS-TS-00206667,Wind generation,Wind Offshore,28/04/2018,47,1461.503
NGET-EMFIP-AGWS-TS-00206666,Solar generation,Solar,28/04/2018,47,0
NGET-EMFIP-AGWS-TS-00206665,Wind generation,Wind Onshore,28/04/2018,46,980.067
NGET-EMFIP-AGWS-TS-00206664,Wind generation,Wind Offshore,28/04/2018,46,1402.953
NGET-EMFIP-AGWS-TS-00206663,Solar generation,Solar,28/04/2018,46,0
NGET-EMFIP-AGWS-TS-00206662,Wind generation,Wind Onshore,28/04/2018,45,972.046
NGET-EMFIP-AGWS-TS-00206661,Wind generation,Wind Offshore,28/04/2018,45,1476.011
NGET-EMFIP-AGWS-TS-00206660,Solar generation,Solar,28/04/2018,45,0
NGET-EMFIP-AGWS-TS-00206659,Wind generation,Wind Onshore,28/04/2018,44,1017.666
NGET-EMFIP-AGWS-TS-00206658,Wind generation,Wind Offshore,28/04/2018,44,1664.216
NGET-EMFIP-AGWS-TS-00206657,Solar generation,Solar,28/04/2018,44,0
NGET-EMFIP-AGWS-TS-00206656,Wind generation,Wind Onshore,28/04/2018,43,976.81
NGET-EMFIP-AGWS-TS-00206655,Wind generation,Wind Offshore,28/04/2018,43,1501.315
NGET-EMFIP-AGWS-TS-00206654,Solar generation,Solar,28/04/2018,43,49
NGET-EMFIP-AGWS-TS-00206653,Wind generation,Wind Onshore,28/04/2018,42,990.636
NGET-EMFIP-AGWS-TS-00206652,Wind generation,Wind Offshore,28/04/2018,42,1436.947
NGET-EMFIP-AGWS-TS-00206651,Solar generation,Solar,28/04/2018,42,5
NGET-EMFIP-AGWS-TS-00206650,Wind generation,Wind Onshore,28/04/2018,41,1074.215
NGET-EMFIP-AGWS-TS-00206649,Wind generation,Wind Offshore,28/04/2018,41,1507.682
NGET-EMFIP-AGWS-TS-00206648,Solar generation,Solar,28/04/2018,41,26
NGET-EMFIP-AGWS-TS-00206647,Wind generation,Wind Onshore,28/04/2018,40,780.606
NGET-EMFIP-AGWS-TS-00206646,Wind generation,Wind Offshore,28/04/2018,40,48.454
NGET-EMFIP-AGWS-TS-00206645,Solar generation,Solar,28/04/2018,40,155
NGET-EMFIP-AGWS-TS-00206644,Wind generation,Wind Onshore,28/04/2018,39,780.606
NGET-EMFIP-AGWS-TS-00206643,Wind generation,Wind Offshore,28/04/2018,39,48.454
NGET-EMFIP-AGWS-TS-00206642,Solar generation,Solar,28/04/2018,39,342
NGET-EMFIP-AGWS-TS-00206641,Wind generation,Wind Onshore,28/04/2018,38,1306.103
NGET-EMFIP-AGWS-TS-00206640,Wind generation,Wind Offshore,28/04/2018,38,1231.941
NGET-EMFIP-AGWS-TS-00206639,Solar generation,Solar,28/04/2018,38,625
NGET-EMFIP-AGWS-TS-00206638,Wind generation,Wind Onshore,28/04/2018,37,1232.721
NGET-EMFIP-AGWS-TS-00206637,Wind generation,Wind Offshore,28/04/2018,37,1217.087
