Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00203218,Wind generation,"Wind Onshore",2018-04-07,47,649.067
NGET-EMFIP-AGWS-TS-00203217,Wind generation,"Wind Offshore",2018-04-07,47,667.794
NGET-EMFIP-AGWS-TS-00203216,Solar generation,"Solar",2018-04-07,47,0
NGET-EMFIP-AGWS-TS-00203215,Wind generation,"Wind Onshore",2018-04-07,46,680.711
NGET-EMFIP-AGWS-TS-00203214,Wind generation,"Wind Offshore",2018-04-07,46,831.585
NGET-EMFIP-AGWS-TS-00203213,Solar generation,"Solar",2018-04-07,46,0
NGET-EMFIP-AGWS-TS-00203212,Wind generation,"Wind Onshore",2018-04-07,45,717.914
NGET-EMFIP-AGWS-TS-00203211,Wind generation,"Wind Offshore",2018-04-07,45,1009.112
NGET-EMFIP-AGWS-TS-00203210,Solar generation,"Solar",2018-04-07,45,0
NGET-EMFIP-AGWS-TS-00203209,Wind generation,"Wind Onshore",2018-04-07,44,786.221
NGET-EMFIP-AGWS-TS-00203208,Wind generation,"Wind Offshore",2018-04-07,44,1229.652
NGET-EMFIP-AGWS-TS-00203207,Solar generation,"Solar",2018-04-07,44,0
NGET-EMFIP-AGWS-TS-00203206,Wind generation,"Wind Onshore",2018-04-07,43,827.308
NGET-EMFIP-AGWS-TS-00203205,Wind generation,"Wind Offshore",2018-04-07,43,1185.71
NGET-EMFIP-AGWS-TS-00203204,Solar generation,"Solar",2018-04-07,43,0
NGET-EMFIP-AGWS-TS-00203203,Wind generation,"Wind Onshore",2018-04-07,42,887.459
NGET-EMFIP-AGWS-TS-00203202,Wind generation,"Wind Offshore",2018-04-07,42,1178.003
NGET-EMFIP-AGWS-TS-00203201,Solar generation,"Solar",2018-04-07,42,0
NGET-EMFIP-AGWS-TS-00203200,Wind generation,"Wind Onshore",2018-04-07,41,910.414
NGET-EMFIP-AGWS-TS-00203199,Wind generation,"Wind Offshore",2018-04-07,41,1230.607
NGET-EMFIP-AGWS-TS-00203198,Solar generation,"Solar",2018-04-07,41,0
NGET-EMFIP-AGWS-TS-00203197,Wind generation,"Wind Onshore",2018-04-07,40,1010.464
NGET-EMFIP-AGWS-TS-00203196,Wind generation,"Wind Offshore",2018-04-07,40,1366.53
NGET-EMFIP-AGWS-TS-00203195,Solar generation,"Solar",2018-04-07,40,10
NGET-EMFIP-AGWS-TS-00203194,Wind generation,"Wind Onshore",2018-04-07,39,1023.976
NGET-EMFIP-AGWS-TS-00203193,Wind generation,"Wind Offshore",2018-04-07,39,1446.682
NGET-EMFIP-AGWS-TS-00203192,Solar generation,"Solar",2018-04-07,39,115
NGET-EMFIP-AGWS-TS-00203191,Wind generation,"Wind Onshore",2018-04-07,38,1065.472
NGET-EMFIP-AGWS-TS-00203190,Wind generation,"Wind Offshore",2018-04-07,38,1517.878
NGET-EMFIP-AGWS-TS-00203189,Solar generation,"Solar",2018-04-07,38,297
NGET-EMFIP-AGWS-TS-00203188,Wind generation,"Wind Onshore",2018-04-07,37,1089.773
NGET-EMFIP-AGWS-TS-00203187,Wind generation,"Wind Offshore",2018-04-07,37,1636.779
NGET-EMFIP-AGWS-TS-00203186,Solar generation,"Solar",2018-04-07,37,597
NGET-EMFIP-AGWS-TS-00203185,Wind generation,"Wind Onshore",2018-04-07,36,1110.926
NGET-EMFIP-AGWS-TS-00203184,Wind generation,"Wind Offshore",2018-04-07,36,1684.819
NGET-EMFIP-AGWS-TS-00203183,Solar generation,"Solar",2018-04-07,36,828
NGET-EMFIP-AGWS-TS-00203182,Wind generation,"Wind Onshore",2018-04-07,35,1143.674
NGET-EMFIP-AGWS-TS-00203181,Wind generation,"Wind Offshore",2018-04-07,35,1841.783
NGET-EMFIP-AGWS-TS-00203180,Solar generation,"Solar",2018-04-07,35,1130
NGET-EMFIP-AGWS-TS-00203179,Wind generation,"Wind Onshore",2018-04-07,34,1180.434
NGET-EMFIP-AGWS-TS-00203178,Wind generation,"Wind Offshore",2018-04-07,34,1701.375
NGET-EMFIP-AGWS-TS-00203177,Solar generation,"Solar",2018-04-07,34,1510
NGET-EMFIP-AGWS-TS-00203176,Wind generation,"Wind Onshore",2018-04-07,33,1175.865
NGET-EMFIP-AGWS-TS-00203175,Wind generation,"Wind Offshore",2018-04-07,33,1719.791
NGET-EMFIP-AGWS-TS-00203174,Solar generation,"Solar",2018-04-07,33,1840
NGET-EMFIP-AGWS-TS-00203173,Wind generation,"Wind Onshore",2018-04-07,32,1144.695
NGET-EMFIP-AGWS-TS-00203172,Wind generation,"Wind Offshore",2018-04-07,32,1572.089
NGET-EMFIP-AGWS-TS-00203171,Solar generation,"Solar",2018-04-07,32,2180
NGET-EMFIP-AGWS-TS-00203170,Wind generation,"Wind Onshore",2018-04-07,31,1158.088
NGET-EMFIP-AGWS-TS-00203169,Wind generation,"Wind Offshore",2018-04-07,31,1533.991
NGET-EMFIP-AGWS-TS-00203168,Solar generation,"Solar",2018-04-07,31,2510
NGET-EMFIP-AGWS-TS-00203167,Wind generation,"Wind Onshore",2018-04-07,30,1198.558
NGET-EMFIP-AGWS-TS-00203166,Wind generation,"Wind Offshore",2018-04-07,30,1476.728
NGET-EMFIP-AGWS-TS-00203165,Solar generation,"Solar",2018-04-07,30,2810
NGET-EMFIP-AGWS-TS-00203164,Wind generation,"Wind Onshore",2018-04-07,29,1147.066
NGET-EMFIP-AGWS-TS-00203163,Wind generation,"Wind Offshore",2018-04-07,29,1248.392
NGET-EMFIP-AGWS-TS-00203162,Solar generation,"Solar",2018-04-07,29,3281
NGET-EMFIP-AGWS-TS-00203161,Wind generation,"Wind Onshore",2018-04-07,28,1162.767
NGET-EMFIP-AGWS-TS-00203160,Wind generation,"Wind Offshore",2018-04-07,28,1228.083
NGET-EMFIP-AGWS-TS-00203159,Solar generation,"Solar",2018-04-07,28,2930
NGET-EMFIP-AGWS-TS-00203155,Wind generation,"Wind Onshore",2018-04-07,27,1181.266
NGET-EMFIP-AGWS-TS-00203154,Wind generation,"Wind Offshore",2018-04-07,27,1235.402
NGET-EMFIP-AGWS-TS-00203153,Solar generation,"Solar",2018-04-07,27,3050
NGET-EMFIP-AGWS-TS-00203152,Wind generation,"Wind Onshore",2018-04-07,26,1336.98
NGET-EMFIP-AGWS-TS-00203151,Wind generation,"Wind Offshore",2018-04-07,26,1328.739
NGET-EMFIP-AGWS-TS-00203150,Solar generation,"Solar",2018-04-07,26,3080
NGET-EMFIP-AGWS-TS-00203149,Wind generation,"Wind Onshore",2018-04-07,25,1418.23
NGET-EMFIP-AGWS-TS-00203148,Wind generation,"Wind Offshore",2018-04-07,25,1186.822
NGET-EMFIP-AGWS-TS-00203147,Solar generation,"Solar",2018-04-07,25,3000
NGET-EMFIP-AGWS-TS-00203146,Wind generation,"Wind Onshore",2018-04-07,24,1500.484
NGET-EMFIP-AGWS-TS-00203145,Wind generation,"Wind Offshore",2018-04-07,24,1100.965
NGET-EMFIP-AGWS-TS-00203144,Solar generation,"Solar",2018-04-07,24,2790
NGET-EMFIP-AGWS-TS-00203143,Wind generation,"Wind Onshore",2018-04-07,23,1543.789
NGET-EMFIP-AGWS-TS-00203142,Wind generation,"Wind Offshore",2018-04-07,23,992.258
NGET-EMFIP-AGWS-TS-00203141,Solar generation,"Solar",2018-04-07,23,2480
NGET-EMFIP-AGWS-TS-00203140,Wind generation,"Wind Onshore",2018-04-07,22,1705.989
NGET-EMFIP-AGWS-TS-00203139,Wind generation,"Wind Offshore",2018-04-07,22,846.777
NGET-EMFIP-AGWS-TS-00203138,Solar generation,"Solar",2018-04-07,22,2070
NGET-EMFIP-AGWS-TS-00203137,Wind generation,"Wind Onshore",2018-04-07,21,1893.37
NGET-EMFIP-AGWS-TS-00203136,Wind generation,"Wind Offshore",2018-04-07,21,845.22
NGET-EMFIP-AGWS-TS-00203135,Solar generation,"Solar",2018-04-07,21,1560
NGET-EMFIP-AGWS-TS-00203134,Wind generation,"Wind Onshore",2018-04-07,20,1903.031
NGET-EMFIP-AGWS-TS-00203133,Wind generation,"Wind Offshore",2018-04-07,20,850.214
NGET-EMFIP-AGWS-TS-00203132,Solar generation,"Solar",2018-04-07,20,1200
NGET-EMFIP-AGWS-TS-00203131,Wind generation,"Wind Onshore",2018-04-07,19,1921.14
