Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00225782,Wind generation,"Wind Onshore",2018-08-21,48,2893.214
NGET-EMFIP-AGWS-TS-00225781,Wind generation,"Wind Offshore",2018-08-21,48,1615.915
NGET-EMFIP-AGWS-TS-00225780,Solar generation,"Solar",2018-08-21,48,0
NGET-EMFIP-AGWS-TS-00225779,Wind generation,"Wind Onshore",2018-08-21,47,3265.683
NGET-EMFIP-AGWS-TS-00225778,Wind generation,"Wind Offshore",2018-08-21,47,1579.255
NGET-EMFIP-AGWS-TS-00225777,Solar generation,"Solar",2018-08-21,47,0
NGET-EMFIP-AGWS-TS-00225776,Wind generation,"Wind Onshore",2018-08-21,46,3306.682
NGET-EMFIP-AGWS-TS-00225775,Wind generation,"Wind Offshore",2018-08-21,46,1563.458
NGET-EMFIP-AGWS-TS-00225774,Solar generation,"Solar",2018-08-21,46,0
NGET-EMFIP-AGWS-TS-00225773,Wind generation,"Wind Onshore",2018-08-21,45,3261.083
NGET-EMFIP-AGWS-TS-00225772,Wind generation,"Wind Offshore",2018-08-21,45,1472.618
NGET-EMFIP-AGWS-TS-00225771,Solar generation,"Solar",2018-08-21,45,1
NGET-EMFIP-AGWS-TS-00225770,Wind generation,"Wind Onshore",2018-08-21,44,3466.388
NGET-EMFIP-AGWS-TS-00225769,Wind generation,"Wind Offshore",2018-08-21,44,1281.525
NGET-EMFIP-AGWS-TS-00225768,Solar generation,"Solar",2018-08-21,44,1
NGET-EMFIP-AGWS-TS-00225767,Wind generation,"Wind Onshore",2018-08-21,43,3361.643
NGET-EMFIP-AGWS-TS-00225766,Wind generation,"Wind Offshore",2018-08-21,43,1070.883
NGET-EMFIP-AGWS-TS-00225765,Solar generation,"Solar",2018-08-21,43,3
NGET-EMFIP-AGWS-TS-00225764,Wind generation,"Wind Onshore",2018-08-21,42,3153.242
NGET-EMFIP-AGWS-TS-00225763,Wind generation,"Wind Offshore",2018-08-21,42,891.642
NGET-EMFIP-AGWS-TS-00225762,Solar generation,"Solar",2018-08-21,42,4
NGET-EMFIP-AGWS-TS-00225761,Wind generation,"Wind Onshore",2018-08-21,41,2915.806
NGET-EMFIP-AGWS-TS-00225760,Wind generation,"Wind Offshore",2018-08-21,41,733.783
NGET-EMFIP-AGWS-TS-00225759,Solar generation,"Solar",2018-08-21,41,10
NGET-EMFIP-AGWS-TS-00225758,Wind generation,"Wind Onshore",2018-08-21,40,2953.124
NGET-EMFIP-AGWS-TS-00225757,Wind generation,"Wind Offshore",2018-08-21,40,745.982
NGET-EMFIP-AGWS-TS-00225756,Solar generation,"Solar",2018-08-21,40,185
NGET-EMFIP-AGWS-TS-00225755,Wind generation,"Wind Onshore",2018-08-21,39,3087.702
NGET-EMFIP-AGWS-TS-00225754,Wind generation,"Wind Offshore",2018-08-21,39,712.331
NGET-EMFIP-AGWS-TS-00225753,Solar generation,"Solar",2018-08-21,39,653
NGET-EMFIP-AGWS-TS-00225752,Wind generation,"Wind Onshore",2018-08-21,38,3249.036
NGET-EMFIP-AGWS-TS-00225751,Wind generation,"Wind Offshore",2018-08-21,38,621.886
NGET-EMFIP-AGWS-TS-00225750,Solar generation,"Solar",2018-08-21,38,1290
NGET-EMFIP-AGWS-TS-00225749,Wind generation,"Wind Onshore",2018-08-21,37,3327.492
NGET-EMFIP-AGWS-TS-00225748,Wind generation,"Wind Offshore",2018-08-21,37,557.519
NGET-EMFIP-AGWS-TS-00225747,Solar generation,"Solar",2018-08-21,37,2010
NGET-EMFIP-AGWS-TS-00225746,Wind generation,"Wind Onshore",2018-08-21,36,3299.879
NGET-EMFIP-AGWS-TS-00225745,Wind generation,"Wind Offshore",2018-08-21,36,599.621
NGET-EMFIP-AGWS-TS-00225744,Solar generation,"Solar",2018-08-21,36,2730
NGET-EMFIP-AGWS-TS-00225743,Wind generation,"Wind Onshore",2018-08-21,35,3267.425
NGET-EMFIP-AGWS-TS-00225742,Wind generation,"Wind Offshore",2018-08-21,35,616.609
NGET-EMFIP-AGWS-TS-00225741,Solar generation,"Solar",2018-08-21,35,3450
NGET-EMFIP-AGWS-TS-00225740,Wind generation,"Wind Onshore",2018-08-21,34,3214.995
NGET-EMFIP-AGWS-TS-00225739,Wind generation,"Wind Offshore",2018-08-21,34,564.952
NGET-EMFIP-AGWS-TS-00225738,Solar generation,"Solar",2018-08-21,34,4010
NGET-EMFIP-AGWS-TS-00225737,Wind generation,"Wind Onshore",2018-08-21,33,3047.218
NGET-EMFIP-AGWS-TS-00225736,Wind generation,"Wind Offshore",2018-08-21,33,502.953
NGET-EMFIP-AGWS-TS-00225735,Solar generation,"Solar",2018-08-21,33,4590
NGET-EMFIP-AGWS-TS-00225734,Wind generation,"Wind Onshore",2018-08-21,32,2959.651
NGET-EMFIP-AGWS-TS-00225733,Wind generation,"Wind Offshore",2018-08-21,32,476.485
NGET-EMFIP-AGWS-TS-00225732,Solar generation,"Solar",2018-08-21,32,4970
NGET-EMFIP-AGWS-TS-00225731,Wind generation,"Wind Onshore",2018-08-21,31,2969.002
NGET-EMFIP-AGWS-TS-00225730,Wind generation,"Wind Offshore",2018-08-21,31,451.886
NGET-EMFIP-AGWS-TS-00225729,Solar generation,"Solar",2018-08-21,31,5270
NGET-EMFIP-AGWS-TS-00225728,Wind generation,"Wind Onshore",2018-08-21,30,2626.094
NGET-EMFIP-AGWS-TS-00225727,Wind generation,"Wind Offshore",2018-08-21,30,419.991
NGET-EMFIP-AGWS-TS-00225726,Solar generation,"Solar",2018-08-21,30,4917
NGET-EMFIP-AGWS-TS-00225725,Wind generation,"Wind Onshore",2018-08-21,29,2472.224
NGET-EMFIP-AGWS-TS-00225724,Wind generation,"Wind Offshore",2018-08-21,29,412.054
NGET-EMFIP-AGWS-TS-00225723,Solar generation,"Solar",2018-08-21,29,5290
NGET-EMFIP-AGWS-TS-00225722,Wind generation,"Wind Onshore",2018-08-21,28,2033.489
NGET-EMFIP-AGWS-TS-00225721,Wind generation,"Wind Offshore",2018-08-21,28,306.239
NGET-EMFIP-AGWS-TS-00225720,Solar generation,"Solar",2018-08-21,28,5300
NGET-EMFIP-AGWS-TS-00225719,Wind generation,"Wind Onshore",2018-08-21,27,1836.682
NGET-EMFIP-AGWS-TS-00225718,Wind generation,"Wind Offshore",2018-08-21,27,237.502
NGET-EMFIP-AGWS-TS-00225717,Solar generation,"Solar",2018-08-21,27,5090
NGET-EMFIP-AGWS-TS-00225716,Wind generation,"Wind Onshore",2018-08-21,26,1591.311
NGET-EMFIP-AGWS-TS-00225715,Wind generation,"Wind Offshore",2018-08-21,26,175.976
NGET-EMFIP-AGWS-TS-00225714,Solar generation,"Solar",2018-08-21,26,4850
NGET-EMFIP-AGWS-TS-00225713,Wind generation,"Wind Onshore",2018-08-21,25,1427.137
NGET-EMFIP-AGWS-TS-00225712,Wind generation,"Wind Offshore",2018-08-21,25,146.48
NGET-EMFIP-AGWS-TS-00225711,Solar generation,"Solar",2018-08-21,25,4460
NGET-EMFIP-AGWS-TS-00225710,Wind generation,"Wind Onshore",2018-08-21,24,1153.26
NGET-EMFIP-AGWS-TS-00225709,Wind generation,"Wind Offshore",2018-08-21,24,123.786
NGET-EMFIP-AGWS-TS-00225708,Solar generation,"Solar",2018-08-21,24,4090
NGET-EMFIP-AGWS-TS-00225707,Wind generation,"Wind Onshore",2018-08-21,23,1086.311
NGET-EMFIP-AGWS-TS-00225706,Wind generation,"Wind Offshore",2018-08-21,23,113.983
NGET-EMFIP-AGWS-TS-00225705,Solar generation,"Solar",2018-08-21,23,3620
NGET-EMFIP-AGWS-TS-00225704,Wind generation,"Wind Onshore",2018-08-21,22,880.088
NGET-EMFIP-AGWS-TS-00225703,Wind generation,"Wind Offshore",2018-08-21,22,93.244
NGET-EMFIP-AGWS-TS-00225702,Solar generation,"Solar",2018-08-21,22,3290
NGET-EMFIP-AGWS-TS-00225701,Wind generation,"Wind Onshore",2018-08-21,21,812.238
NGET-EMFIP-AGWS-TS-00225700,Wind generation,"Wind Offshore",2018-08-21,21,101.856
NGET-EMFIP-AGWS-TS-00225699,Solar generation,"Solar",2018-08-21,21,2820
NGET-EMFIP-AGWS-TS-00225698,Wind generation,"Wind Onshore",2018-08-21,20,682.132
NGET-EMFIP-AGWS-TS-00225697,Wind generation,"Wind Offshore",2018-08-21,20,76.082
NGET-EMFIP-AGWS-TS-00225696,Solar generation,"Solar",2018-08-21,20,2490
NGET-EMFIP-AGWS-TS-00225695,Wind generation,"Wind Onshore",2018-08-21,19,635.72
NGET-EMFIP-AGWS-TS-00225694,Wind generation,"Wind Offshore",2018-08-21,19,68.707
NGET-EMFIP-AGWS-TS-00225693,Solar generation,"Solar",2018-08-21,19,2000
NGET-EMFIP-AGWS-TS-00225692,Wind generation,"Wind Onshore",2018-08-21,18,596.026
NGET-EMFIP-AGWS-TS-00225691,Wind generation,"Wind Offshore",2018-08-21,18,77.016
NGET-EMFIP-AGWS-TS-00225690,Solar generation,"Solar",2018-08-21,18,1540
NGET-EMFIP-AGWS-TS-00225689,Wind generation,"Wind Onshore",2018-08-21,17,566.46
NGET-EMFIP-AGWS-TS-00225688,Wind generation,"Wind Offshore",2018-08-21,17,85.571
NGET-EMFIP-AGWS-TS-00225687,Solar generation,"Solar",2018-08-21,17,982
NGET-EMFIP-AGWS-TS-00225686,Wind generation,"Wind Onshore",2018-08-21,16,532.631
NGET-EMFIP-AGWS-TS-00225685,Wind generation,"Wind Offshore",2018-08-21,16,82.033
NGET-EMFIP-AGWS-TS-00225684,Solar generation,"Solar",2018-08-21,16,653
NGET-EMFIP-AGWS-TS-00225683,Wind generation,"Wind Onshore",2018-08-21,15,527.523
NGET-EMFIP-AGWS-TS-00225682,Wind generation,"Wind Offshore",2018-08-21,15,100.75
NGET-EMFIP-AGWS-TS-00225681,Solar generation,"Solar",2018-08-21,15,334
NGET-EMFIP-AGWS-TS-00225680,Wind generation,"Wind Onshore",2018-08-21,14,485.23
NGET-EMFIP-AGWS-TS-00225679,Wind generation,"Wind Offshore",2018-08-21,14,102.338
NGET-EMFIP-AGWS-TS-00225678,Solar generation,"Solar",2018-08-21,14,269
NGET-EMFIP-AGWS-TS-00225677,Wind generation,"Wind Onshore",2018-08-21,13,475.997
NGET-EMFIP-AGWS-TS-00225676,Wind generation,"Wind Offshore",2018-08-21,13,123.634
NGET-EMFIP-AGWS-TS-00225675,Solar generation,"Solar",2018-08-21,13,10
NGET-EMFIP-AGWS-TS-00225674,Wind generation,"Wind Onshore",2018-08-21,12,442.38
NGET-EMFIP-AGWS-TS-00225673,Wind generation,"Wind Offshore",2018-08-21,12,130.211
NGET-EMFIP-AGWS-TS-00225672,Solar generation,"Solar",2018-08-21,12,1
NGET-EMFIP-AGWS-TS-00225671,Wind generation,"Wind Onshore",2018-08-21,11,446.547
NGET-EMFIP-AGWS-TS-00225670,Wind generation,"Wind Offshore",2018-08-21,11,146.124
NGET-EMFIP-AGWS-TS-00225669,Solar generation,"Solar",2018-08-21,11,0
NGET-EMFIP-AGWS-TS-00225668,Wind generation,"Wind Onshore",2018-08-21,10,423.408
NGET-EMFIP-AGWS-TS-00225667,Wind generation,"Wind Offshore",2018-08-21,10,185.519
NGET-EMFIP-AGWS-TS-00225666,Solar generation,"Solar",2018-08-21,10,0
NGET-EMFIP-AGWS-TS-00225665,Wind generation,"Wind Onshore",2018-08-21,9,417.522
NGET-EMFIP-AGWS-TS-00225664,Wind generation,"Wind Offshore",2018-08-21,9,203.547
NGET-EMFIP-AGWS-TS-00225663,Solar generation,"Solar",2018-08-21,9,0
NGET-EMFIP-AGWS-TS-00225662,Wind generation,"Wind Onshore",2018-08-21,8,433.002
NGET-EMFIP-AGWS-TS-00225661,Wind generation,"Wind Offshore",2018-08-21,8,204.857
NGET-EMFIP-AGWS-TS-00225660,Solar generation,"Solar",2018-08-21,8,1
NGET-EMFIP-AGWS-TS-00225659,Wind generation,"Wind Onshore",2018-08-21,7,404.641
NGET-EMFIP-AGWS-TS-00225658,Wind generation,"Wind Offshore",2018-08-21,7,283.778
NGET-EMFIP-AGWS-TS-00225657,Solar generation,"Solar",2018-08-21,7,0
NGET-EMFIP-AGWS-TS-00225656,Wind generation,"Wind Onshore",2018-08-21,6,404.783
NGET-EMFIP-AGWS-TS-00225655,Wind generation,"Wind Offshore",2018-08-21,6,336.397
NGET-EMFIP-AGWS-TS-00225654,Solar generation,"Solar",2018-08-21,6,0
NGET-EMFIP-AGWS-TS-00225653,Wind generation,"Wind Onshore",2018-08-21,5,403.1
NGET-EMFIP-AGWS-TS-00225652,Wind generation,"Wind Offshore",2018-08-21,5,369.212
NGET-EMFIP-AGWS-TS-00225651,Solar generation,"Solar",2018-08-21,5,0
NGET-EMFIP-AGWS-TS-00225650,Wind generation,"Wind Onshore",2018-08-21,4,386.117
NGET-EMFIP-AGWS-TS-00225649,Wind generation,"Wind Offshore",2018-08-21,4,391.573
NGET-EMFIP-AGWS-TS-00225648,Solar generation,"Solar",2018-08-21,4,0
NGET-EMFIP-AGWS-TS-00225647,Wind generation,"Wind Onshore",2018-08-21,3,377.732
NGET-EMFIP-AGWS-TS-00225646,Wind generation,"Wind Offshore",2018-08-21,3,370.339
NGET-EMFIP-AGWS-TS-00225645,Solar generation,"Solar",2018-08-21,3,0
NGET-EMFIP-AGWS-TS-00225644,Wind generation,"Wind Onshore",2018-08-21,2,391.827
NGET-EMFIP-AGWS-TS-00225643,Wind generation,"Wind Offshore",2018-08-21,2,394.367
NGET-EMFIP-AGWS-TS-00225642,Solar generation,"Solar",2018-08-21,2,0
NGET-EMFIP-AGWS-TS-00225641,Wind generation,"Wind Onshore",2018-08-21,1,389.39
NGET-EMFIP-AGWS-TS-00225640,Wind generation,"Wind Offshore",2018-08-21,1,401.478
NGET-EMFIP-AGWS-TS-00225639,Solar generation,"Solar",2018-08-21,1,0
