Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00226607,Wind generation,"Wind Onshore",2018-08-26,48,4066.806
NGET-EMFIP-AGWS-TS-00226606,Wind generation,"Wind Offshore",2018-08-26,48,3459.273
NGET-EMFIP-AGWS-TS-00226605,Solar generation,"Solar",2018-08-26,48,0
NGET-EMFIP-AGWS-TS-00226604,Wind generation,"Wind Onshore",2018-08-26,47,4391.637
NGET-EMFIP-AGWS-TS-00226603,Wind generation,"Wind Offshore",2018-08-26,47,3410.17
NGET-EMFIP-AGWS-TS-00226602,Solar generation,"Solar",2018-08-26,47,0
NGET-EMFIP-AGWS-TS-00226601,Wind generation,"Wind Onshore",2018-08-26,46,4019.925
NGET-EMFIP-AGWS-TS-00226600,Wind generation,"Wind Offshore",2018-08-26,46,3471.784
NGET-EMFIP-AGWS-TS-00226599,Solar generation,"Solar",2018-08-26,46,0
NGET-EMFIP-AGWS-TS-00226598,Wind generation,"Wind Onshore",2018-08-26,45,3763.118
NGET-EMFIP-AGWS-TS-00226597,Wind generation,"Wind Offshore",2018-08-26,45,3182.139
NGET-EMFIP-AGWS-TS-00226596,Solar generation,"Solar",2018-08-26,45,0
NGET-EMFIP-AGWS-TS-00226595,Wind generation,"Wind Onshore",2018-08-26,44,3633.293
NGET-EMFIP-AGWS-TS-00226594,Wind generation,"Wind Offshore",2018-08-26,44,3403.227
NGET-EMFIP-AGWS-TS-00226593,Solar generation,"Solar",2018-08-26,44,1
NGET-EMFIP-AGWS-TS-00226592,Wind generation,"Wind Onshore",2018-08-26,43,3440.936
NGET-EMFIP-AGWS-TS-00226591,Wind generation,"Wind Offshore",2018-08-26,43,3368.785
NGET-EMFIP-AGWS-TS-00226590,Solar generation,"Solar",2018-08-26,43,6
NGET-EMFIP-AGWS-TS-00226589,Wind generation,"Wind Onshore",2018-08-26,42,3431.686
NGET-EMFIP-AGWS-TS-00226588,Wind generation,"Wind Offshore",2018-08-26,42,3633.141
NGET-EMFIP-AGWS-TS-00226587,Solar generation,"Solar",2018-08-26,42,2
NGET-EMFIP-AGWS-TS-00226586,Wind generation,"Wind Onshore",2018-08-26,41,3401.006
NGET-EMFIP-AGWS-TS-00226585,Wind generation,"Wind Offshore",2018-08-26,41,3711.889
NGET-EMFIP-AGWS-TS-00226584,Solar generation,"Solar",2018-08-26,41,2
NGET-EMFIP-AGWS-TS-00226583,Wind generation,"Wind Onshore",2018-08-26,40,3456.24
NGET-EMFIP-AGWS-TS-00226582,Wind generation,"Wind Offshore",2018-08-26,40,3653.482
NGET-EMFIP-AGWS-TS-00226581,Solar generation,"Solar",2018-08-26,40,12
NGET-EMFIP-AGWS-TS-00226580,Wind generation,"Wind Onshore",2018-08-26,39,3389.185
NGET-EMFIP-AGWS-TS-00226579,Wind generation,"Wind Offshore",2018-08-26,39,3640.807
NGET-EMFIP-AGWS-TS-00226578,Solar generation,"Solar",2018-08-26,39,99
NGET-EMFIP-AGWS-TS-00226577,Wind generation,"Wind Onshore",2018-08-26,38,3631.834
NGET-EMFIP-AGWS-TS-00226576,Wind generation,"Wind Offshore",2018-08-26,38,3655.955
NGET-EMFIP-AGWS-TS-00226575,Solar generation,"Solar",2018-08-26,38,261
NGET-EMFIP-AGWS-TS-00226574,Wind generation,"Wind Onshore",2018-08-26,37,3735.781
NGET-EMFIP-AGWS-TS-00226573,Wind generation,"Wind Offshore",2018-08-26,37,3526.017
NGET-EMFIP-AGWS-TS-00226572,Solar generation,"Solar",2018-08-26,37,436
NGET-EMFIP-AGWS-TS-00226571,Wind generation,"Wind Onshore",2018-08-26,36,4017.001
NGET-EMFIP-AGWS-TS-00226570,Wind generation,"Wind Offshore",2018-08-26,36,3381.369
NGET-EMFIP-AGWS-TS-00226569,Solar generation,"Solar",2018-08-26,36,592
NGET-EMFIP-AGWS-TS-00226565,Wind generation,"Wind Onshore",2018-08-26,34,4610.723
NGET-EMFIP-AGWS-TS-00226564,Wind generation,"Wind Offshore",2018-08-26,34,3344.1
NGET-EMFIP-AGWS-TS-00226563,Solar generation,"Solar",2018-08-26,34,899
NGET-EMFIP-AGWS-TS-00226562,Wind generation,"Wind Onshore",2018-08-26,33,4768.454
NGET-EMFIP-AGWS-TS-00226561,Wind generation,"Wind Offshore",2018-08-26,33,3571.946
NGET-EMFIP-AGWS-TS-00226560,Solar generation,"Solar",2018-08-26,33,1040
NGET-EMFIP-AGWS-TS-00226559,Wind generation,"Wind Onshore",2018-08-26,32,5071.657
NGET-EMFIP-AGWS-TS-00226558,Wind generation,"Wind Offshore",2018-08-26,32,3816.567
NGET-EMFIP-AGWS-TS-00226557,Solar generation,"Solar",2018-08-26,32,1100
NGET-EMFIP-AGWS-TS-00226556,Wind generation,"Wind Onshore",2018-08-26,31,5358.549
NGET-EMFIP-AGWS-TS-00226555,Wind generation,"Wind Offshore",2018-08-26,31,3800.504
NGET-EMFIP-AGWS-TS-00226554,Solar generation,"Solar",2018-08-26,31,1240
NGET-EMFIP-AGWS-TS-00226553,Wind generation,"Wind Onshore",2018-08-26,30,5629.471
NGET-EMFIP-AGWS-TS-00226552,Wind generation,"Wind Offshore",2018-08-26,30,3878.788
NGET-EMFIP-AGWS-TS-00226551,Solar generation,"Solar",2018-08-26,30,1340
NGET-EMFIP-AGWS-TS-00226550,Wind generation,"Wind Onshore",2018-08-26,29,5826.93
NGET-EMFIP-AGWS-TS-00226549,Wind generation,"Wind Offshore",2018-08-26,29,3735.581
NGET-EMFIP-AGWS-TS-00226548,Solar generation,"Solar",2018-08-26,29,1320
NGET-EMFIP-AGWS-TS-00226547,Wind generation,"Wind Onshore",2018-08-26,28,5865.849
NGET-EMFIP-AGWS-TS-00226546,Wind generation,"Wind Offshore",2018-08-26,28,3755.778
NGET-EMFIP-AGWS-TS-00226545,Solar generation,"Solar",2018-08-26,28,1280
NGET-EMFIP-AGWS-TS-00226544,Wind generation,"Wind Onshore",2018-08-26,27,6068
NGET-EMFIP-AGWS-TS-00226543,Wind generation,"Wind Offshore",2018-08-26,27,3817.57
NGET-EMFIP-AGWS-TS-00226542,Solar generation,"Solar",2018-08-26,27,1260
NGET-EMFIP-AGWS-TS-00226541,Wind generation,"Wind Onshore",2018-08-26,26,6060.142
NGET-EMFIP-AGWS-TS-00226540,Wind generation,"Wind Offshore",2018-08-26,26,3827.987
NGET-EMFIP-AGWS-TS-00226539,Solar generation,"Solar",2018-08-26,26,1180
NGET-EMFIP-AGWS-TS-00226527,Wind generation,"Wind Onshore",2018-08-26,25,6174.852
NGET-EMFIP-AGWS-TS-00226526,Wind generation,"Wind Offshore",2018-08-26,25,3773.828
NGET-EMFIP-AGWS-TS-00226525,Solar generation,"Solar",2018-08-26,25,1080
NGET-EMFIP-AGWS-TS-00226524,Wind generation,"Wind Onshore",2018-08-26,24,5643.687
NGET-EMFIP-AGWS-TS-00226523,Wind generation,"Wind Offshore",2018-08-26,24,3578.466
NGET-EMFIP-AGWS-TS-00226522,Solar generation,"Solar",2018-08-26,24,1070
NGET-EMFIP-AGWS-TS-00226521,Wind generation,"Wind Onshore",2018-08-26,23,5471.425
NGET-EMFIP-AGWS-TS-00226520,Wind generation,"Wind Offshore",2018-08-26,23,3366.589
NGET-EMFIP-AGWS-TS-00226519,Solar generation,"Solar",2018-08-26,23,1190
NGET-EMFIP-AGWS-TS-00226505,Wind generation,"Wind Onshore",2018-08-26,22,5125.252
NGET-EMFIP-AGWS-TS-00226504,Wind generation,"Wind Offshore",2018-08-26,22,3260.292
NGET-EMFIP-AGWS-TS-00226503,Solar generation,"Solar",2018-08-26,22,1160
NGET-EMFIP-AGWS-TS-00226502,Wind generation,"Wind Onshore",2018-08-26,21,4884.301
NGET-EMFIP-AGWS-TS-00226501,Wind generation,"Wind Offshore",2018-08-26,21,3067.434
