Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00227441,Wind generation,Wind Onshore,31/08/2018,48,2997.92
NGET-EMFIP-AGWS-TS-00227440,Wind generation,Wind Offshore,31/08/2018,48,513.694
NGET-EMFIP-AGWS-TS-00227439,Solar generation,Solar,31/08/2018,48,0
NGET-EMFIP-AGWS-TS-00227438,Wind generation,Wind Onshore,31/08/2018,47,2973.269
NGET-EMFIP-AGWS-TS-00227437,Wind generation,Wind Offshore,31/08/2018,47,530.699
NGET-EMFIP-AGWS-TS-00227436,Solar generation,Solar,31/08/2018,47,0
NGET-EMFIP-AGWS-TS-00227435,Wind generation,Wind Onshore,31/08/2018,46,2960.856
NGET-EMFIP-AGWS-TS-00227434,Wind generation,Wind Offshore,31/08/2018,46,550.228
NGET-EMFIP-AGWS-TS-00227433,Solar generation,Solar,31/08/2018,46,0
NGET-EMFIP-AGWS-TS-00227432,Wind generation,Wind Onshore,31/08/2018,45,2894.533
NGET-EMFIP-AGWS-TS-00227431,Wind generation,Wind Offshore,31/08/2018,45,648.019
NGET-EMFIP-AGWS-TS-00227430,Solar generation,Solar,31/08/2018,45,3
NGET-EMFIP-AGWS-TS-00227429,Wind generation,Wind Onshore,31/08/2018,44,2810.478
NGET-EMFIP-AGWS-TS-00227428,Wind generation,Wind Offshore,31/08/2018,44,641.597
NGET-EMFIP-AGWS-TS-00227427,Solar generation,Solar,31/08/2018,44,5
NGET-EMFIP-AGWS-TS-00227426,Wind generation,Wind Onshore,31/08/2018,43,2866.314
NGET-EMFIP-AGWS-TS-00227425,Wind generation,Wind Offshore,31/08/2018,43,595.152
NGET-EMFIP-AGWS-TS-00227424,Solar generation,Solar,31/08/2018,43,2
NGET-EMFIP-AGWS-TS-00227423,Wind generation,Wind Onshore,31/08/2018,42,2721.967
NGET-EMFIP-AGWS-TS-00227422,Wind generation,Wind Offshore,31/08/2018,42,547.711
NGET-EMFIP-AGWS-TS-00227421,Solar generation,Solar,31/08/2018,42,6
NGET-EMFIP-AGWS-TS-00227420,Wind generation,Wind Onshore,31/08/2018,41,2654.68
NGET-EMFIP-AGWS-TS-00227419,Wind generation,Wind Offshore,31/08/2018,41,478.723
NGET-EMFIP-AGWS-TS-00227418,Solar generation,Solar,31/08/2018,41,5
NGET-EMFIP-AGWS-TS-00227417,Wind generation,Wind Onshore,31/08/2018,40,2624.613
NGET-EMFIP-AGWS-TS-00227416,Wind generation,Wind Offshore,31/08/2018,40,419.283
NGET-EMFIP-AGWS-TS-00227415,Solar generation,Solar,31/08/2018,40,42
NGET-EMFIP-AGWS-TS-00227414,Wind generation,Wind Onshore,31/08/2018,39,2708.754
NGET-EMFIP-AGWS-TS-00227413,Wind generation,Wind Offshore,31/08/2018,39,426.916
NGET-EMFIP-AGWS-TS-00227412,Solar generation,Solar,31/08/2018,39,356
NGET-EMFIP-AGWS-TS-00227411,Wind generation,Wind Onshore,31/08/2018,38,2995.258
NGET-EMFIP-AGWS-TS-00227410,Wind generation,Wind Offshore,31/08/2018,38,442.477
NGET-EMFIP-AGWS-TS-00227409,Solar generation,Solar,31/08/2018,38,898
NGET-EMFIP-AGWS-TS-00227408,Wind generation,Wind Onshore,31/08/2018,37,3109.817
NGET-EMFIP-AGWS-TS-00227407,Wind generation,Wind Offshore,31/08/2018,37,465.185
NGET-EMFIP-AGWS-TS-00227406,Solar generation,Solar,31/08/2018,37,1520
NGET-EMFIP-AGWS-TS-00227405,Wind generation,Wind Onshore,31/08/2018,36,3280.196
NGET-EMFIP-AGWS-TS-00227404,Wind generation,Wind Offshore,31/08/2018,36,449.797
NGET-EMFIP-AGWS-TS-00227403,Solar generation,Solar,31/08/2018,36,2200
NGET-EMFIP-AGWS-TS-00227402,Wind generation,Wind Onshore,31/08/2018,35,3362.682
NGET-EMFIP-AGWS-TS-00227401,Wind generation,Wind Offshore,31/08/2018,35,448.956
NGET-EMFIP-AGWS-TS-00227400,Solar generation,Solar,31/08/2018,35,2980
NGET-EMFIP-AGWS-TS-00227399,Wind generation,Wind Onshore,31/08/2018,34,3408.534
NGET-EMFIP-AGWS-TS-00227398,Wind generation,Wind Offshore,31/08/2018,34,454.636
NGET-EMFIP-AGWS-TS-00227397,Solar generation,Solar,31/08/2018,34,3740
NGET-EMFIP-AGWS-TS-00227396,Wind generation,Wind Onshore,31/08/2018,33,3260.604
NGET-EMFIP-AGWS-TS-00227395,Wind generation,Wind Offshore,31/08/2018,33,482.587
NGET-EMFIP-AGWS-TS-00227394,Solar generation,Solar,31/08/2018,33,4430
NGET-EMFIP-AGWS-TS-00227393,Wind generation,Wind Onshore,31/08/2018,32,3157.72
NGET-EMFIP-AGWS-TS-00227392,Wind generation,Wind Offshore,31/08/2018,32,497.446
NGET-EMFIP-AGWS-TS-00227391,Solar generation,Solar,31/08/2018,32,4930
NGET-EMFIP-AGWS-TS-00227390,Wind generation,Wind Onshore,31/08/2018,31,3109.076
NGET-EMFIP-AGWS-TS-00227389,Wind generation,Wind Offshore,31/08/2018,31,526.008
NGET-EMFIP-AGWS-TS-00227388,Solar generation,Solar,31/08/2018,31,5630
NGET-EMFIP-AGWS-TS-00227384,Wind generation,Wind Onshore,31/08/2018,,3017.047
NGET-EMFIP-AGWS-TS-00227383,Wind generation,Wind Offshore,31/08/2018,,568.0975
NGET-EMFIP-AGWS-TS-00227382,Solar generation,Solar,31/08/2018,,6002.5
NGET-EMFIP-AGWS-TS-00227384,Wind generation,Wind Onshore,31/08/2018,29,2925.018
NGET-EMFIP-AGWS-TS-00227383,Wind generation,Wind Offshore,31/08/2018,29,610.187
NGET-EMFIP-AGWS-TS-00227382,Solar generation,Solar,31/08/2018,29,6375
NGET-EMFIP-AGWS-TS-00227381,Wind generation,Wind Onshore,31/08/2018,28,1021.927
NGET-EMFIP-AGWS-TS-00227380,Wind generation,Wind Offshore,31/08/2018,28,33.014
NGET-EMFIP-AGWS-TS-00227379,Solar generation,Solar,31/08/2018,28,6750
NGET-EMFIP-AGWS-TS-00227359,Wind generation,Wind Onshore,31/08/2018,27,2854.81
NGET-EMFIP-AGWS-TS-00227358,Wind generation,Wind Offshore,31/08/2018,27,594.692
NGET-EMFIP-AGWS-TS-00227357,Solar generation,Solar,31/08/2018,27,6800
NGET-EMFIP-AGWS-TS-00227356,Wind generation,Wind Onshore,31/08/2018,26,2427.633
NGET-EMFIP-AGWS-TS-00227355,Wind generation,Wind Offshore,31/08/2018,26,363.997
NGET-EMFIP-AGWS-TS-00227354,Solar generation,Solar,31/08/2018,26,6960
NGET-EMFIP-AGWS-TS-00227353,Wind generation,Wind Onshore,31/08/2018,25,2331.996
NGET-EMFIP-AGWS-TS-00227352,Wind generation,Wind Offshore,31/08/2018,25,356.752
NGET-EMFIP-AGWS-TS-00227351,Solar generation,Solar,31/08/2018,25,6840
NGET-EMFIP-AGWS-TS-00227350,Wind generation,Wind Onshore,31/08/2018,24,900.576
NGET-EMFIP-AGWS-TS-00227349,Wind generation,Wind Offshore,31/08/2018,24,24.35
NGET-EMFIP-AGWS-TS-00227348,Solar generation,Solar,31/08/2018,24,6630
NGET-EMFIP-AGWS-TS-00227347,Wind generation,Wind Onshore,31/08/2018,23,2175.473
NGET-EMFIP-AGWS-TS-00227346,Wind generation,Wind Offshore,31/08/2018,23,484.602
NGET-EMFIP-AGWS-TS-00227345,Solar generation,Solar,31/08/2018,23,6560
NGET-EMFIP-AGWS-TS-00227344,Wind generation,Wind Onshore,31/08/2018,22,1897.348
NGET-EMFIP-AGWS-TS-00227343,Wind generation,Wind Offshore,31/08/2018,22,498.228
NGET-EMFIP-AGWS-TS-00227342,Solar generation,Solar,31/08/2018,22,6060
NGET-EMFIP-AGWS-TS-00227341,Wind generation,Wind Onshore,31/08/2018,21,1710.821
NGET-EMFIP-AGWS-TS-00227340,Wind generation,Wind Offshore,31/08/2018,21,505.027
NGET-EMFIP-AGWS-TS-00227339,Solar generation,Solar,31/08/2018,21,3970
NGET-EMFIP-AGWS-TS-00227320,Wind generation,Wind Onshore,31/08/2018,20,1441.05
NGET-EMFIP-AGWS-TS-00227319,Wind generation,Wind Offshore,31/08/2018,20,499.065
NGET-EMFIP-AGWS-TS-00227318,Solar generation,Solar,31/08/2018,20,4520
NGET-EMFIP-AGWS-TS-00227317,Wind generation,Wind Onshore,31/08/2018,19,1339.22
NGET-EMFIP-AGWS-TS-00227316,Wind generation,Wind Offshore,31/08/2018,19,481.475
NGET-EMFIP-AGWS-TS-00227315,Solar generation,Solar,31/08/2018,19,3640
NGET-EMFIP-AGWS-TS-00227314,Wind generation,Wind Onshore,31/08/2018,18,1288.55
NGET-EMFIP-AGWS-TS-00227313,Wind generation,Wind Offshore,31/08/2018,18,478.276
NGET-EMFIP-AGWS-TS-00227312,Solar generation,Solar,31/08/2018,18,2830
NGET-EMFIP-AGWS-TS-00227311,Wind generation,Wind Onshore,31/08/2018,17,1269.669
NGET-EMFIP-AGWS-TS-00227310,Wind generation,Wind Offshore,31/08/2018,17,526.202
NGET-EMFIP-AGWS-TS-00227309,Solar generation,Solar,31/08/2018,17,1161
NGET-EMFIP-AGWS-TS-00227308,Wind generation,Wind Onshore,31/08/2018,16,1237.54
NGET-EMFIP-AGWS-TS-00227307,Wind generation,Wind Offshore,31/08/2018,16,574.103
NGET-EMFIP-AGWS-TS-00227306,Solar generation,Solar,31/08/2018,16,1220
NGET-EMFIP-AGWS-TS-00227305,Wind generation,Wind Onshore,31/08/2018,15,1124.407
NGET-EMFIP-AGWS-TS-00227304,Wind generation,Wind Offshore,31/08/2018,15,520.434
NGET-EMFIP-AGWS-TS-00227303,Solar generation,Solar,31/08/2018,15,572
NGET-EMFIP-AGWS-TS-00227302,Wind generation,Wind Onshore,31/08/2018,14,1061.258
NGET-EMFIP-AGWS-TS-00227301,Wind generation,Wind Offshore,31/08/2018,14,491.253
NGET-EMFIP-AGWS-TS-00227300,Solar generation,Solar,31/08/2018,14,131
NGET-EMFIP-AGWS-TS-00227299,Wind generation,Wind Onshore,31/08/2018,13,1028.678
NGET-EMFIP-AGWS-TS-00227298,Wind generation,Wind Offshore,31/08/2018,13,459.307
NGET-EMFIP-AGWS-TS-00227297,Solar generation,Solar,31/08/2018,13,3
NGET-EMFIP-AGWS-TS-00227296,Wind generation,Wind Onshore,31/08/2018,12,881.298
NGET-EMFIP-AGWS-TS-00227295,Wind generation,Wind Offshore,31/08/2018,12,465.763
NGET-EMFIP-AGWS-TS-00227294,Solar generation,Solar,31/08/2018,12,0
NGET-EMFIP-AGWS-TS-00227293,Wind generation,Wind Onshore,31/08/2018,11,856.778
NGET-EMFIP-AGWS-TS-00227292,Wind generation,Wind Offshore,31/08/2018,11,516.342
NGET-EMFIP-AGWS-TS-00227291,Solar generation,Solar,31/08/2018,11,0
NGET-EMFIP-AGWS-TS-00227290,Wind generation,Wind Onshore,31/08/2018,10,740.923
NGET-EMFIP-AGWS-TS-00227289,Wind generation,Wind Offshore,31/08/2018,10,533.368
NGET-EMFIP-AGWS-TS-00227288,Solar generation,Solar,31/08/2018,10,1
