Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00243073,Wind generation,"Wind Onshore",2018-12-03,48,804.24
NGET-EMFIP-AGWS-TS-00243072,Wind generation,"Wind Offshore",2018-12-03,48,99.964
NGET-EMFIP-AGWS-TS-00243071,Solar generation,"Solar",2018-12-03,48,0
NGET-EMFIP-AGWS-TS-00243070,Wind generation,"Wind Onshore",2018-12-03,47,1743.445
NGET-EMFIP-AGWS-TS-00243069,Wind generation,"Wind Offshore",2018-12-03,47,1299.452
NGET-EMFIP-AGWS-TS-00243068,Solar generation,"Solar",2018-12-03,47,0
NGET-EMFIP-AGWS-TS-00243067,Wind generation,"Wind Onshore",2018-12-03,46,1684.135
NGET-EMFIP-AGWS-TS-00243066,Wind generation,"Wind Offshore",2018-12-03,46,1411.123
NGET-EMFIP-AGWS-TS-00243065,Solar generation,"Solar",2018-12-03,46,0
NGET-EMFIP-AGWS-TS-00243064,Wind generation,"Wind Onshore",2018-12-03,45,1727.701
NGET-EMFIP-AGWS-TS-00243063,Wind generation,"Wind Offshore",2018-12-03,45,1637.179
NGET-EMFIP-AGWS-TS-00243062,Solar generation,"Solar",2018-12-03,45,0
NGET-EMFIP-AGWS-TS-00243061,Wind generation,"Wind Onshore",2018-12-03,44,1798.976
NGET-EMFIP-AGWS-TS-00243060,Wind generation,"Wind Offshore",2018-12-03,44,1580.989
NGET-EMFIP-AGWS-TS-00243059,Solar generation,"Solar",2018-12-03,44,0
NGET-EMFIP-AGWS-TS-00243049,Wind generation,"Wind Onshore",2018-12-03,43,1836.148
NGET-EMFIP-AGWS-TS-00243048,Wind generation,"Wind Offshore",2018-12-03,43,1550.056
NGET-EMFIP-AGWS-TS-00243047,Solar generation,"Solar",2018-12-03,43,0
NGET-EMFIP-AGWS-TS-00243046,Wind generation,"Wind Onshore",2018-12-03,42,1882.384
NGET-EMFIP-AGWS-TS-00243045,Wind generation,"Wind Offshore",2018-12-03,42,1700.963
NGET-EMFIP-AGWS-TS-00243044,Solar generation,"Solar",2018-12-03,42,0
NGET-EMFIP-AGWS-TS-00243043,Wind generation,"Wind Onshore",2018-12-03,41,1829.776
NGET-EMFIP-AGWS-TS-00243042,Wind generation,"Wind Offshore",2018-12-03,41,1755.692
NGET-EMFIP-AGWS-TS-00243041,Solar generation,"Solar",2018-12-03,41,0
NGET-EMFIP-AGWS-TS-00243040,Wind generation,"Wind Onshore",2018-12-03,40,1953.131
NGET-EMFIP-AGWS-TS-00243039,Wind generation,"Wind Offshore",2018-12-03,40,1899.797
