Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00193888,Wind generation,"Wind Onshore",2018-02-08,48,3467.19
NGET-EMFIP-AGWS-TS-00193887,Wind generation,"Wind Offshore",2018-02-08,48,2552.527
NGET-EMFIP-AGWS-TS-00193886,Solar generation,"Solar",2018-02-08,48,0
NGET-EMFIP-AGWS-TS-00193885,Wind generation,"Wind Onshore",2018-02-08,47,3515.689
NGET-EMFIP-AGWS-TS-00193884,Wind generation,"Wind Offshore",2018-02-08,47,2518.525
NGET-EMFIP-AGWS-TS-00193883,Solar generation,"Solar",2018-02-08,47,0
NGET-EMFIP-AGWS-TS-00193882,Wind generation,"Wind Onshore",2018-02-08,46,3489.314
NGET-EMFIP-AGWS-TS-00193881,Wind generation,"Wind Offshore",2018-02-08,46,2531.462
NGET-EMFIP-AGWS-TS-00193880,Solar generation,"Solar",2018-02-08,46,0
NGET-EMFIP-AGWS-TS-00193879,Wind generation,"Wind Onshore",2018-02-08,45,3367.306
NGET-EMFIP-AGWS-TS-00193878,Wind generation,"Wind Offshore",2018-02-08,45,2541.303
NGET-EMFIP-AGWS-TS-00193877,Solar generation,"Solar",2018-02-08,45,0
NGET-EMFIP-AGWS-TS-00193876,Wind generation,"Wind Onshore",2018-02-08,44,3515.208
NGET-EMFIP-AGWS-TS-00193875,Wind generation,"Wind Offshore",2018-02-08,44,2401.408
NGET-EMFIP-AGWS-TS-00193874,Solar generation,"Solar",2018-02-08,44,0
NGET-EMFIP-AGWS-TS-00193873,Wind generation,"Wind Onshore",2018-02-08,43,3549.112
NGET-EMFIP-AGWS-TS-00193872,Wind generation,"Wind Offshore",2018-02-08,43,2364.65
NGET-EMFIP-AGWS-TS-00193871,Solar generation,"Solar",2018-02-08,43,0
NGET-EMFIP-AGWS-TS-00193870,Wind generation,"Wind Onshore",2018-02-08,42,3404.077
NGET-EMFIP-AGWS-TS-00193869,Wind generation,"Wind Offshore",2018-02-08,42,2454.813
NGET-EMFIP-AGWS-TS-00193868,Solar generation,"Solar",2018-02-08,42,0
