Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00192726,Wind generation,"Wind Onshore",2018-02-01,48,5898.593
NGET-EMFIP-AGWS-TS-00192725,Wind generation,"Wind Offshore",2018-02-01,48,3301.213
NGET-EMFIP-AGWS-TS-00192724,Solar generation,"Solar",2018-02-01,48,0
NGET-EMFIP-AGWS-TS-00192723,Wind generation,"Wind Onshore",2018-02-01,47,5848.781
NGET-EMFIP-AGWS-TS-00192722,Wind generation,"Wind Offshore",2018-02-01,47,3248.158
NGET-EMFIP-AGWS-TS-00192721,Solar generation,"Solar",2018-02-01,47,0
NGET-EMFIP-AGWS-TS-00192720,Wind generation,"Wind Onshore",2018-02-01,46,5962.151
NGET-EMFIP-AGWS-TS-00192719,Wind generation,"Wind Offshore",2018-02-01,46,3310.195
NGET-EMFIP-AGWS-TS-00192718,Solar generation,"Solar",2018-02-01,46,0
NGET-EMFIP-AGWS-TS-00192717,Wind generation,"Wind Onshore",2018-02-01,45,6040.925
NGET-EMFIP-AGWS-TS-00192716,Wind generation,"Wind Offshore",2018-02-01,45,3412.443
NGET-EMFIP-AGWS-TS-00192715,Solar generation,"Solar",2018-02-01,45,0
NGET-EMFIP-AGWS-TS-00192714,Wind generation,"Wind Onshore",2018-02-01,44,6129.206
NGET-EMFIP-AGWS-TS-00192713,Wind generation,"Wind Offshore",2018-02-01,44,3404.707
NGET-EMFIP-AGWS-TS-00192712,Solar generation,"Solar",2018-02-01,44,0
NGET-EMFIP-AGWS-TS-00192711,Wind generation,"Wind Onshore",2018-02-01,43,6086.919
NGET-EMFIP-AGWS-TS-00192710,Wind generation,"Wind Offshore",2018-02-01,43,3414.916
NGET-EMFIP-AGWS-TS-00192709,Solar generation,"Solar",2018-02-01,43,0
NGET-EMFIP-AGWS-TS-00192708,Wind generation,"Wind Onshore",2018-02-01,42,6240.217
NGET-EMFIP-AGWS-TS-00192707,Wind generation,"Wind Offshore",2018-02-01,42,3428.92
NGET-EMFIP-AGWS-TS-00192706,Solar generation,"Solar",2018-02-01,42,0
NGET-EMFIP-AGWS-TS-00192705,Wind generation,"Wind Onshore",2018-02-01,41,6186.843
NGET-EMFIP-AGWS-TS-00192704,Wind generation,"Wind Offshore",2018-02-01,41,3395.569
NGET-EMFIP-AGWS-TS-00192703,Solar generation,"Solar",2018-02-01,41,0
NGET-EMFIP-AGWS-TS-00192702,Wind generation,"Wind Onshore",2018-02-01,40,6248.24
NGET-EMFIP-AGWS-TS-00192701,Wind generation,"Wind Offshore",2018-02-01,40,3330.124
NGET-EMFIP-AGWS-TS-00192700,Solar generation,"Solar",2018-02-01,40,0
NGET-EMFIP-AGWS-TS-00192699,Wind generation,"Wind Onshore",2018-02-01,39,6266.163
NGET-EMFIP-AGWS-TS-00192698,Wind generation,"Wind Offshore",2018-02-01,39,3347.86
NGET-EMFIP-AGWS-TS-00192697,Solar generation,"Solar",2018-02-01,39,0
NGET-EMFIP-AGWS-TS-00192696,Wind generation,"Wind Onshore",2018-02-01,38,6159.225
NGET-EMFIP-AGWS-TS-00192695,Wind generation,"Wind Offshore",2018-02-01,38,3380.87
NGET-EMFIP-AGWS-TS-00192694,Solar generation,"Solar",2018-02-01,38,0
NGET-EMFIP-AGWS-TS-00192693,Wind generation,"Wind Onshore",2018-02-01,37,6117.463
NGET-EMFIP-AGWS-TS-00192692,Wind generation,"Wind Offshore",2018-02-01,37,3333.232
NGET-EMFIP-AGWS-TS-00192691,Solar generation,"Solar",2018-02-01,37,2
NGET-EMFIP-AGWS-TS-00192690,Wind generation,"Wind Onshore",2018-02-01,36,6327.315
NGET-EMFIP-AGWS-TS-00192689,Wind generation,"Wind Offshore",2018-02-01,36,3077.707
NGET-EMFIP-AGWS-TS-00192688,Solar generation,"Solar",2018-02-01,36,3
NGET-EMFIP-AGWS-TS-00192687,Wind generation,"Wind Onshore",2018-02-01,35,6192.989
NGET-EMFIP-AGWS-TS-00192686,Wind generation,"Wind Offshore",2018-02-01,35,3170.981
NGET-EMFIP-AGWS-TS-00192685,Solar generation,"Solar",2018-02-01,35,2
NGET-EMFIP-AGWS-TS-00192684,Wind generation,"Wind Onshore",2018-02-01,34,6318.442
NGET-EMFIP-AGWS-TS-00192683,Wind generation,"Wind Offshore",2018-02-01,34,3118.6
NGET-EMFIP-AGWS-TS-00192682,Solar generation,"Solar",2018-02-01,34,57
NGET-EMFIP-AGWS-TS-00192681,Wind generation,"Wind Onshore",2018-02-01,33,6354.918
NGET-EMFIP-AGWS-TS-00192680,Wind generation,"Wind Offshore",2018-02-01,33,3139.573
NGET-EMFIP-AGWS-TS-00192679,Solar generation,"Solar",2018-02-01,33,399
NGET-EMFIP-AGWS-TS-00192671,Wind generation,"Wind Onshore",2018-02-01,32,6533.715
NGET-EMFIP-AGWS-TS-00192670,Wind generation,"Wind Offshore",2018-02-01,32,3217.55
NGET-EMFIP-AGWS-TS-00192669,Solar generation,"Solar",2018-02-01,32,931
NGET-EMFIP-AGWS-TS-00192668,Wind generation,"Wind Onshore",2018-02-01,31,6468.456
NGET-EMFIP-AGWS-TS-00192667,Wind generation,"Wind Offshore",2018-02-01,31,3246.119
NGET-EMFIP-AGWS-TS-00192666,Solar generation,"Solar",2018-02-01,31,1530
NGET-EMFIP-AGWS-TS-00192665,Wind generation,"Wind Onshore",2018-02-01,30,6523.385
NGET-EMFIP-AGWS-TS-00192664,Wind generation,"Wind Offshore",2018-02-01,30,3173.792
NGET-EMFIP-AGWS-TS-00192663,Solar generation,"Solar",2018-02-01,30,2000
NGET-EMFIP-AGWS-TS-00192662,Wind generation,"Wind Onshore",2018-02-01,29,6541.132
NGET-EMFIP-AGWS-TS-00192661,Wind generation,"Wind Offshore",2018-02-01,29,3259.459
NGET-EMFIP-AGWS-TS-00192660,Solar generation,"Solar",2018-02-01,29,2670
NGET-EMFIP-AGWS-TS-00192659,Wind generation,"Wind Onshore",2018-02-01,28,6636.756
NGET-EMFIP-AGWS-TS-00192658,Wind generation,"Wind Offshore",2018-02-01,28,3206.77
NGET-EMFIP-AGWS-TS-00192657,Solar generation,"Solar",2018-02-01,28,3330
NGET-EMFIP-AGWS-TS-00192656,Wind generation,"Wind Onshore",2018-02-01,27,6720.579
NGET-EMFIP-AGWS-TS-00192655,Wind generation,"Wind Offshore",2018-02-01,27,3136.104
NGET-EMFIP-AGWS-TS-00192654,Solar generation,"Solar",2018-02-01,27,3145
NGET-EMFIP-AGWS-TS-00192653,Wind generation,"Wind Onshore",2018-02-01,26,6798.914
NGET-EMFIP-AGWS-TS-00192652,Wind generation,"Wind Offshore",2018-02-01,26,3145.012
NGET-EMFIP-AGWS-TS-00192651,Solar generation,"Solar",2018-02-01,26,4030
NGET-EMFIP-AGWS-TS-00192650,Wind generation,"Wind Onshore",2018-02-01,25,6771.945
NGET-EMFIP-AGWS-TS-00192649,Wind generation,"Wind Offshore",2018-02-01,25,3216.098
NGET-EMFIP-AGWS-TS-00192648,Solar generation,"Solar",2018-02-01,25,4190
NGET-EMFIP-AGWS-TS-00192647,Wind generation,"Wind Onshore",2018-02-01,24,6684.603
NGET-EMFIP-AGWS-TS-00192646,Wind generation,"Wind Offshore",2018-02-01,24,3164.781
NGET-EMFIP-AGWS-TS-00192645,Solar generation,"Solar",2018-02-01,24,4270
NGET-EMFIP-AGWS-TS-00192644,Wind generation,"Wind Onshore",2018-02-01,23,6646.062
NGET-EMFIP-AGWS-TS-00192643,Wind generation,"Wind Offshore",2018-02-01,23,3175.19
NGET-EMFIP-AGWS-TS-00192642,Solar generation,"Solar",2018-02-01,23,4100
NGET-EMFIP-AGWS-TS-00192641,Wind generation,"Wind Onshore",2018-02-01,22,6437.63
NGET-EMFIP-AGWS-TS-00192640,Wind generation,"Wind Offshore",2018-02-01,22,3287.347
NGET-EMFIP-AGWS-TS-00192639,Solar generation,"Solar",2018-02-01,22,3770
NGET-EMFIP-AGWS-TS-00192619,Wind generation,"Wind Onshore",2018-02-01,21,6438.279
