Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00189402,Wind generation,"Wind Onshore",2018-01-11,48,1301.938
NGET-EMFIP-AGWS-TS-00189401,Wind generation,"Wind Offshore",2018-01-11,48,163.02
NGET-EMFIP-AGWS-TS-00189400,Solar generation,"Solar",2018-01-11,48,0
NGET-EMFIP-AGWS-TS-00189399,Wind generation,"Wind Onshore",2018-01-11,47,1172.969
NGET-EMFIP-AGWS-TS-00189398,Wind generation,"Wind Offshore",2018-01-11,47,186.214
NGET-EMFIP-AGWS-TS-00189397,Solar generation,"Solar",2018-01-11,47,0
NGET-EMFIP-AGWS-TS-00189396,Wind generation,"Wind Onshore",2018-01-11,46,992.62
NGET-EMFIP-AGWS-TS-00189395,Wind generation,"Wind Offshore",2018-01-11,46,203.944
NGET-EMFIP-AGWS-TS-00189394,Solar generation,"Solar",2018-01-11,46,0
NGET-EMFIP-AGWS-TS-00189393,Wind generation,"Wind Onshore",2018-01-11,45,940.169
NGET-EMFIP-AGWS-TS-00189392,Wind generation,"Wind Offshore",2018-01-11,45,240.001
NGET-EMFIP-AGWS-TS-00189391,Solar generation,"Solar",2018-01-11,45,0
NGET-EMFIP-AGWS-TS-00189390,Wind generation,"Wind Onshore",2018-01-11,44,758.489
NGET-EMFIP-AGWS-TS-00189389,Wind generation,"Wind Offshore",2018-01-11,44,244.275
NGET-EMFIP-AGWS-TS-00189388,Solar generation,"Solar",2018-01-11,44,0
NGET-EMFIP-AGWS-TS-00189387,Wind generation,"Wind Onshore",2018-01-11,43,669.642
NGET-EMFIP-AGWS-TS-00189386,Wind generation,"Wind Offshore",2018-01-11,43,250.996
NGET-EMFIP-AGWS-TS-00189385,Solar generation,"Solar",2018-01-11,43,0
NGET-EMFIP-AGWS-TS-00189384,Wind generation,"Wind Onshore",2018-01-11,42,621.368
NGET-EMFIP-AGWS-TS-00189383,Wind generation,"Wind Offshore",2018-01-11,42,246.592
