Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00191770,Wind generation,"Wind Onshore",2018-01-26,48,4110.44
NGET-EMFIP-AGWS-TS-00191769,Wind generation,"Wind Offshore",2018-01-26,48,1184.644
NGET-EMFIP-AGWS-TS-00191768,Solar generation,"Solar",2018-01-26,48,0
NGET-EMFIP-AGWS-TS-00191767,Wind generation,"Wind Onshore",2018-01-26,47,4019.675
NGET-EMFIP-AGWS-TS-00191766,Wind generation,"Wind Offshore",2018-01-26,47,1106.156
NGET-EMFIP-AGWS-TS-00191765,Solar generation,"Solar",2018-01-26,47,0
NGET-EMFIP-AGWS-TS-00191764,Wind generation,"Wind Onshore",2018-01-26,46,3609.794
NGET-EMFIP-AGWS-TS-00191763,Wind generation,"Wind Offshore",2018-01-26,46,975.416
NGET-EMFIP-AGWS-TS-00191762,Solar generation,"Solar",2018-01-26,46,0
NGET-EMFIP-AGWS-TS-00191761,Wind generation,"Wind Onshore",2018-01-26,45,3356.303
NGET-EMFIP-AGWS-TS-00191760,Wind generation,"Wind Offshore",2018-01-26,45,873.367
NGET-EMFIP-AGWS-TS-00191759,Solar generation,"Solar",2018-01-26,45,0
NGET-EMFIP-AGWS-TS-00191753,Wind generation,"Wind Onshore",2018-01-26,44,3137.808
NGET-EMFIP-AGWS-TS-00191752,Wind generation,"Wind Offshore",2018-01-26,44,790.866
NGET-EMFIP-AGWS-TS-00191751,Solar generation,"Solar",2018-01-26,44,0
NGET-EMFIP-AGWS-TS-00191750,Wind generation,"Wind Onshore",2018-01-26,43,2683.17
NGET-EMFIP-AGWS-TS-00191749,Wind generation,"Wind Offshore",2018-01-26,43,788.985
NGET-EMFIP-AGWS-TS-00191748,Solar generation,"Solar",2018-01-26,43,0
NGET-EMFIP-AGWS-TS-00191747,Wind generation,"Wind Onshore",2018-01-26,42,2366.497
NGET-EMFIP-AGWS-TS-00191746,Wind generation,"Wind Offshore",2018-01-26,42,700.961
NGET-EMFIP-AGWS-TS-00191745,Solar generation,"Solar",2018-01-26,42,0
NGET-EMFIP-AGWS-TS-00191744,Wind generation,"Wind Onshore",2018-01-26,41,2210.186
NGET-EMFIP-AGWS-TS-00191743,Wind generation,"Wind Offshore",2018-01-26,41,679.647
NGET-EMFIP-AGWS-TS-00191742,Solar generation,"Solar",2018-01-26,41,0
NGET-EMFIP-AGWS-TS-00191741,Wind generation,"Wind Onshore",2018-01-26,40,1858.948
NGET-EMFIP-AGWS-TS-00191740,Wind generation,"Wind Offshore",2018-01-26,40,679.114
NGET-EMFIP-AGWS-TS-00191739,Solar generation,"Solar",2018-01-26,40,0
NGET-EMFIP-AGWS-TS-00191738,Wind generation,"Wind Onshore",2018-01-26,39,1704.674
NGET-EMFIP-AGWS-TS-00191737,Wind generation,"Wind Offshore",2018-01-26,39,659.984
NGET-EMFIP-AGWS-TS-00191736,Solar generation,"Solar",2018-01-26,39,1
NGET-EMFIP-AGWS-TS-00191735,Wind generation,"Wind Onshore",2018-01-26,38,1487.263
NGET-EMFIP-AGWS-TS-00191734,Wind generation,"Wind Offshore",2018-01-26,38,714.823
NGET-EMFIP-AGWS-TS-00191733,Solar generation,"Solar",2018-01-26,38,1
NGET-EMFIP-AGWS-TS-00191732,Wind generation,"Wind Onshore",2018-01-26,37,1402.855
NGET-EMFIP-AGWS-TS-00191731,Wind generation,"Wind Offshore",2018-01-26,37,671.421
NGET-EMFIP-AGWS-TS-00191730,Solar generation,"Solar",2018-01-26,37,2
NGET-EMFIP-AGWS-TS-00191729,Wind generation,"Wind Onshore",2018-01-26,36,1219.761
NGET-EMFIP-AGWS-TS-00191728,Wind generation,"Wind Offshore",2018-01-26,36,692.272
NGET-EMFIP-AGWS-TS-00191727,Solar generation,"Solar",2018-01-26,36,0
NGET-EMFIP-AGWS-TS-00191726,Wind generation,"Wind Onshore",2018-01-26,35,1183.266
NGET-EMFIP-AGWS-TS-00191725,Wind generation,"Wind Offshore",2018-01-26,35,678.508
NGET-EMFIP-AGWS-TS-00191724,Solar generation,"Solar",2018-01-26,35,9
NGET-EMFIP-AGWS-TS-00191723,Wind generation,"Wind Onshore",2018-01-26,34,1067.064
NGET-EMFIP-AGWS-TS-00191722,Wind generation,"Wind Offshore",2018-01-26,34,560.16
NGET-EMFIP-AGWS-TS-00191721,Solar generation,"Solar",2018-01-26,34,3
