Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00192222,Wind generation,Wind Onshore,29/01/2018,48,3169.185
NGET-EMFIP-AGWS-TS-00192221,Wind generation,Wind Offshore,29/01/2018,48,1519.703
NGET-EMFIP-AGWS-TS-00192220,Solar generation,Solar,29/01/2018,48,0
NGET-EMFIP-AGWS-TS-00192219,Wind generation,Wind Onshore,29/01/2018,47,3236.275
NGET-EMFIP-AGWS-TS-00192218,Wind generation,Wind Offshore,29/01/2018,47,1449.639
NGET-EMFIP-AGWS-TS-00192217,Solar generation,Solar,29/01/2018,47,0
NGET-EMFIP-AGWS-TS-00192216,Wind generation,Wind Onshore,29/01/2018,46,3219.802
NGET-EMFIP-AGWS-TS-00192215,Wind generation,Wind Offshore,29/01/2018,46,1684.504
NGET-EMFIP-AGWS-TS-00192214,Solar generation,Solar,29/01/2018,46,0
NGET-EMFIP-AGWS-TS-00192213,Wind generation,Wind Onshore,29/01/2018,45,3320.546
NGET-EMFIP-AGWS-TS-00192212,Wind generation,Wind Offshore,29/01/2018,45,1718.294
NGET-EMFIP-AGWS-TS-00192211,Solar generation,Solar,29/01/2018,45,0
NGET-EMFIP-AGWS-TS-00192210,Wind generation,Wind Onshore,29/01/2018,44,3428.864
NGET-EMFIP-AGWS-TS-00192209,Wind generation,Wind Offshore,29/01/2018,44,1736.727
NGET-EMFIP-AGWS-TS-00192208,Solar generation,Solar,29/01/2018,44,0
NGET-EMFIP-AGWS-TS-00192207,Wind generation,Wind Onshore,29/01/2018,43,3519.962
NGET-EMFIP-AGWS-TS-00192206,Wind generation,Wind Offshore,29/01/2018,43,2057.912
NGET-EMFIP-AGWS-TS-00192205,Solar generation,Solar,29/01/2018,43,0
NGET-EMFIP-AGWS-TS-00192204,Wind generation,Wind Onshore,29/01/2018,42,3752.868
NGET-EMFIP-AGWS-TS-00192203,Wind generation,Wind Offshore,29/01/2018,42,2278.265
NGET-EMFIP-AGWS-TS-00192202,Solar generation,Solar,29/01/2018,42,0
NGET-EMFIP-AGWS-TS-00192201,Wind generation,Wind Onshore,29/01/2018,41,3621.642
NGET-EMFIP-AGWS-TS-00192200,Wind generation,Wind Offshore,29/01/2018,41,2408.608
NGET-EMFIP-AGWS-TS-00192199,Solar generation,Solar,29/01/2018,41,0
NGET-EMFIP-AGWS-TS-00192198,Wind generation,Wind Onshore,29/01/2018,40,3900.494
NGET-EMFIP-AGWS-TS-00192197,Wind generation,Wind Offshore,29/01/2018,40,2529.595
NGET-EMFIP-AGWS-TS-00192196,Solar generation,Solar,29/01/2018,40,0
NGET-EMFIP-AGWS-TS-00192195,Wind generation,Wind Onshore,29/01/2018,39,3791.833
NGET-EMFIP-AGWS-TS-00192194,Wind generation,Wind Offshore,29/01/2018,39,2124.746
NGET-EMFIP-AGWS-TS-00192193,Solar generation,Solar,29/01/2018,39,0
NGET-EMFIP-AGWS-TS-00192195,Wind generation,Wind Onshore,29/01/2018,38,3947.9792
NGET-EMFIP-AGWS-TS-00192194,Wind generation,Wind Offshore,29/01/2018,38,2198.8554
NGET-EMFIP-AGWS-TS-00192193,Solar generation,Solar,29/01/2018,38,4.4
