Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00219574,Wind generation,Wind Onshore,14/07/2018,48,1931.536
NGET-EMFIP-AGWS-TS-00219573,Wind generation,Wind Offshore,14/07/2018,48,1109.881
NGET-EMFIP-AGWS-TS-00219572,Solar generation,Solar,14/07/2018,48,0
NGET-EMFIP-AGWS-TS-00219571,Wind generation,Wind Onshore,14/07/2018,47,2016.081
NGET-EMFIP-AGWS-TS-00219570,Wind generation,Wind Offshore,14/07/2018,47,1056.802
NGET-EMFIP-AGWS-TS-00219569,Solar generation,Solar,14/07/2018,47,0
NGET-EMFIP-AGWS-TS-00219568,Wind generation,Wind Onshore,14/07/2018,46,2030.818
NGET-EMFIP-AGWS-TS-00219567,Wind generation,Wind Offshore,14/07/2018,46,1009.491
NGET-EMFIP-AGWS-TS-00219566,Solar generation,Solar,14/07/2018,46,0
NGET-EMFIP-AGWS-TS-00219565,Wind generation,Wind Onshore,14/07/2018,45,2044.698
NGET-EMFIP-AGWS-TS-00219564,Wind generation,Wind Offshore,14/07/2018,45,997.394
NGET-EMFIP-AGWS-TS-00219563,Solar generation,Solar,14/07/2018,45,7
NGET-EMFIP-AGWS-TS-00219562,Wind generation,Wind Onshore,14/07/2018,44,2149.24
NGET-EMFIP-AGWS-TS-00219561,Wind generation,Wind Offshore,14/07/2018,44,1039.729
NGET-EMFIP-AGWS-TS-00219560,Solar generation,Solar,14/07/2018,44,7
NGET-EMFIP-AGWS-TS-00219559,Wind generation,Wind Onshore,14/07/2018,43,2180.791
NGET-EMFIP-AGWS-TS-00219558,Wind generation,Wind Offshore,14/07/2018,43,1043.542
NGET-EMFIP-AGWS-TS-00219557,Solar generation,Solar,14/07/2018,43,501
NGET-EMFIP-AGWS-TS-00219556,Wind generation,Wind Onshore,14/07/2018,42,2290.102
NGET-EMFIP-AGWS-TS-00219555,Wind generation,Wind Offshore,14/07/2018,42,1034.26
NGET-EMFIP-AGWS-TS-00219554,Solar generation,Solar,14/07/2018,42,195
NGET-EMFIP-AGWS-TS-00219553,Wind generation,Wind Onshore,14/07/2018,41,2236.796
NGET-EMFIP-AGWS-TS-00219552,Wind generation,Wind Offshore,14/07/2018,41,916.351
NGET-EMFIP-AGWS-TS-00219551,Solar generation,Solar,14/07/2018,41,567
NGET-EMFIP-AGWS-TS-00219550,Wind generation,Wind Onshore,14/07/2018,40,2376.048
NGET-EMFIP-AGWS-TS-00219549,Wind generation,Wind Offshore,14/07/2018,40,872.518
NGET-EMFIP-AGWS-TS-00219548,Solar generation,Solar,14/07/2018,40,1030
NGET-EMFIP-AGWS-TS-00219547,Wind generation,Wind Onshore,14/07/2018,39,2507.007
NGET-EMFIP-AGWS-TS-00219546,Wind generation,Wind Offshore,14/07/2018,39,842.032
NGET-EMFIP-AGWS-TS-00219545,Solar generation,Solar,14/07/2018,39,1600
NGET-EMFIP-AGWS-TS-00219544,Wind generation,Wind Onshore,14/07/2018,38,2738.442
NGET-EMFIP-AGWS-TS-00219543,Wind generation,Wind Offshore,14/07/2018,38,779.257
NGET-EMFIP-AGWS-TS-00219542,Solar generation,Solar,14/07/2018,38,2240
NGET-EMFIP-AGWS-TS-00219541,Wind generation,Wind Onshore,14/07/2018,37,2826.16
NGET-EMFIP-AGWS-TS-00219540,Wind generation,Wind Offshore,14/07/2018,37,695.508
NGET-EMFIP-AGWS-TS-00219539,Solar generation,Solar,14/07/2018,37,2900
NGET-EMFIP-AGWS-TS-00219538,Wind generation,Wind Onshore,14/07/2018,36,2986.191
NGET-EMFIP-AGWS-TS-00219537,Wind generation,Wind Offshore,14/07/2018,36,681.975
NGET-EMFIP-AGWS-TS-00219536,Solar generation,Solar,14/07/2018,36,3670
NGET-EMFIP-AGWS-TS-00219535,Wind generation,Wind Onshore,14/07/2018,35,2948.004
NGET-EMFIP-AGWS-TS-00219534,Wind generation,Wind Offshore,14/07/2018,35,718.719
NGET-EMFIP-AGWS-TS-00219533,Solar generation,Solar,14/07/2018,35,4370
NGET-EMFIP-AGWS-TS-00219532,Wind generation,Wind Onshore,14/07/2018,34,2930.309
NGET-EMFIP-AGWS-TS-00219531,Wind generation,Wind Offshore,14/07/2018,34,660.645
NGET-EMFIP-AGWS-TS-00219530,Solar generation,Solar,14/07/2018,34,5030
NGET-EMFIP-AGWS-TS-00219529,Wind generation,Wind Onshore,14/07/2018,33,2936.27
NGET-EMFIP-AGWS-TS-00219528,Wind generation,Wind Offshore,14/07/2018,33,583.053
NGET-EMFIP-AGWS-TS-00219527,Solar generation,Solar,14/07/2018,33,5620
NGET-EMFIP-AGWS-TS-00219526,Wind generation,Wind Onshore,14/07/2018,32,2951.487
NGET-EMFIP-AGWS-TS-00219525,Wind generation,Wind Offshore,14/07/2018,32,526.358
NGET-EMFIP-AGWS-TS-00219524,Solar generation,Solar,14/07/2018,32,6200
NGET-EMFIP-AGWS-TS-00219523,Wind generation,Wind Onshore,14/07/2018,31,2914.934
NGET-EMFIP-AGWS-TS-00219522,Wind generation,Wind Offshore,14/07/2018,31,520.364
NGET-EMFIP-AGWS-TS-00219521,Solar generation,Solar,14/07/2018,31,6590
NGET-EMFIP-AGWS-TS-00219520,Wind generation,Wind Onshore,14/07/2018,30,2817.335
NGET-EMFIP-AGWS-TS-00219519,Wind generation,Wind Offshore,14/07/2018,30,504.881
NGET-EMFIP-AGWS-TS-00219518,Solar generation,Solar,14/07/2018,30,7090
NGET-EMFIP-AGWS-TS-00219517,Wind generation,Wind Onshore,14/07/2018,29,2732.369
NGET-EMFIP-AGWS-TS-00219516,Wind generation,Wind Offshore,14/07/2018,29,472.458
NGET-EMFIP-AGWS-TS-00219515,Solar generation,Solar,14/07/2018,29,7542
NGET-EMFIP-AGWS-TS-00219514,Wind generation,Wind Onshore,14/07/2018,28,2685.958
NGET-EMFIP-AGWS-TS-00219513,Wind generation,Wind Offshore,14/07/2018,28,434.511
NGET-EMFIP-AGWS-TS-00219512,Solar generation,Solar,14/07/2018,28,7510
NGET-EMFIP-AGWS-TS-00219511,Wind generation,Wind Onshore,14/07/2018,27,2610.869
NGET-EMFIP-AGWS-TS-00219510,Wind generation,Wind Offshore,14/07/2018,27,414.974
NGET-EMFIP-AGWS-TS-00219509,Solar generation,Solar,14/07/2018,27,7580
NGET-EMFIP-AGWS-TS-00219508,Wind generation,Wind Onshore,14/07/2018,26,2447.426
NGET-EMFIP-AGWS-TS-00219507,Wind generation,Wind Offshore,14/07/2018,26,378.326
NGET-EMFIP-AGWS-TS-00219506,Solar generation,Solar,14/07/2018,26,7470
NGET-EMFIP-AGWS-TS-00219505,Wind generation,Wind Onshore,14/07/2018,25,2368.801
NGET-EMFIP-AGWS-TS-00219504,Wind generation,Wind Offshore,14/07/2018,25,334.702
