Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00221090,Wind generation,"Wind Onshore",2018-07-24,48,747.803
NGET-EMFIP-AGWS-TS-00221089,Wind generation,"Wind Offshore",2018-07-24,48,425.08
NGET-EMFIP-AGWS-TS-00221088,Solar generation,"Solar",2018-07-24,48,0
NGET-EMFIP-AGWS-TS-00221087,Wind generation,"Wind Onshore",2018-07-24,47,779.603
NGET-EMFIP-AGWS-TS-00221086,Wind generation,"Wind Offshore",2018-07-24,47,483.445
NGET-EMFIP-AGWS-TS-00221085,Solar generation,"Solar",2018-07-24,47,0
NGET-EMFIP-AGWS-TS-00221084,Wind generation,"Wind Onshore",2018-07-24,46,820.354
NGET-EMFIP-AGWS-TS-00221083,Wind generation,"Wind Offshore",2018-07-24,46,533.429
NGET-EMFIP-AGWS-TS-00221082,Solar generation,"Solar",2018-07-24,46,0
NGET-EMFIP-AGWS-TS-00221081,Wind generation,"Wind Onshore",2018-07-24,45,815.651
NGET-EMFIP-AGWS-TS-00221080,Wind generation,"Wind Offshore",2018-07-24,45,484.653
NGET-EMFIP-AGWS-TS-00221079,Solar generation,"Solar",2018-07-24,45,8
NGET-EMFIP-AGWS-TS-00221066,Wind generation,"Wind Onshore",2018-07-24,44,869.824
NGET-EMFIP-AGWS-TS-00221065,Wind generation,"Wind Offshore",2018-07-24,44,356.316
NGET-EMFIP-AGWS-TS-00221064,Solar generation,"Solar",2018-07-24,44,10
NGET-EMFIP-AGWS-TS-00221063,Wind generation,"Wind Onshore",2018-07-24,43,872.547
NGET-EMFIP-AGWS-TS-00221062,Wind generation,"Wind Offshore",2018-07-24,43,363.183
NGET-EMFIP-AGWS-TS-00221061,Solar generation,"Solar",2018-07-24,43,8
NGET-EMFIP-AGWS-TS-00221060,Wind generation,"Wind Onshore",2018-07-24,42,971.142
NGET-EMFIP-AGWS-TS-00221059,Wind generation,"Wind Offshore",2018-07-24,42,533.004
NGET-EMFIP-AGWS-TS-00221058,Solar generation,"Solar",2018-07-24,42,98
NGET-EMFIP-AGWS-TS-00221057,Wind generation,"Wind Onshore",2018-07-24,41,1062.419
NGET-EMFIP-AGWS-TS-00221056,Wind generation,"Wind Offshore",2018-07-24,41,534.508
NGET-EMFIP-AGWS-TS-00221055,Solar generation,"Solar",2018-07-24,41,393
NGET-EMFIP-AGWS-TS-00221054,Wind generation,"Wind Onshore",2018-07-24,40,1207.703
NGET-EMFIP-AGWS-TS-00221053,Wind generation,"Wind Offshore",2018-07-24,40,567.202
NGET-EMFIP-AGWS-TS-00221052,Solar generation,"Solar",2018-07-24,40,766
NGET-EMFIP-AGWS-TS-00221051,Wind generation,"Wind Onshore",2018-07-24,39,1270.242
NGET-EMFIP-AGWS-TS-00221050,Wind generation,"Wind Offshore",2018-07-24,39,460.279
NGET-EMFIP-AGWS-TS-00221049,Solar generation,"Solar",2018-07-24,39,1290
NGET-EMFIP-AGWS-TS-00221048,Wind generation,"Wind Onshore",2018-07-24,38,1398.958
NGET-EMFIP-AGWS-TS-00221047,Wind generation,"Wind Offshore",2018-07-24,38,461.045
NGET-EMFIP-AGWS-TS-00221046,Solar generation,"Solar",2018-07-24,38,1840
NGET-EMFIP-AGWS-TS-00221045,Wind generation,"Wind Onshore",2018-07-24,37,1376.359
NGET-EMFIP-AGWS-TS-00221044,Wind generation,"Wind Offshore",2018-07-24,37,433.875
NGET-EMFIP-AGWS-TS-00221043,Solar generation,"Solar",2018-07-24,37,2300
NGET-EMFIP-AGWS-TS-00221042,Wind generation,"Wind Onshore",2018-07-24,36,1395.096
NGET-EMFIP-AGWS-TS-00221041,Wind generation,"Wind Offshore",2018-07-24,36,471.858
NGET-EMFIP-AGWS-TS-00221040,Solar generation,"Solar",2018-07-24,36,2820
NGET-EMFIP-AGWS-TS-00221039,Wind generation,"Wind Onshore",2018-07-24,35,1329.407
NGET-EMFIP-AGWS-TS-00221038,Wind generation,"Wind Offshore",2018-07-24,35,428.738
NGET-EMFIP-AGWS-TS-00221037,Solar generation,"Solar",2018-07-24,35,3400
NGET-EMFIP-AGWS-TS-00221036,Wind generation,"Wind Onshore",2018-07-24,34,1402.456
NGET-EMFIP-AGWS-TS-00221035,Wind generation,"Wind Offshore",2018-07-24,34,395.156
NGET-EMFIP-AGWS-TS-00221034,Solar generation,"Solar",2018-07-24,34,4040
NGET-EMFIP-AGWS-TS-00221033,Wind generation,"Wind Onshore",2018-07-24,33,1355.981
NGET-EMFIP-AGWS-TS-00221032,Wind generation,"Wind Offshore",2018-07-24,33,353.666
NGET-EMFIP-AGWS-TS-00221031,Solar generation,"Solar",2018-07-24,33,4500
NGET-EMFIP-AGWS-TS-00221030,Wind generation,"Wind Onshore",2018-07-24,32,1318.073
NGET-EMFIP-AGWS-TS-00221029,Wind generation,"Wind Offshore",2018-07-24,32,314.108
NGET-EMFIP-AGWS-TS-00221028,Solar generation,"Solar",2018-07-24,32,4940
NGET-EMFIP-AGWS-TS-00221027,Wind generation,"Wind Onshore",2018-07-24,31,1330.462
NGET-EMFIP-AGWS-TS-00221026,Wind generation,"Wind Offshore",2018-07-24,31,283.793
NGET-EMFIP-AGWS-TS-00221025,Solar generation,"Solar",2018-07-24,31,5300
NGET-EMFIP-AGWS-TS-00221024,Wind generation,"Wind Onshore",2018-07-24,30,1191.972
NGET-EMFIP-AGWS-TS-00221023,Wind generation,"Wind Offshore",2018-07-24,30,279.957
